,Concept_ID,bg,et
0,Auge::N,око,silm
1,Ohr::N,ухо,kõrv
2,Nase::N,нос,nina
3,Mund::N,уста,suu
4,Zahn::N,зъб,hammas
5,Zunge::N,език,keel
6,Lippe::N,устна,huul
7,Wange::N,буза,põsk
8,Gesicht::N,лице,nägu
9,Gesicht::N,образ,nägu
10,Stirn::N,чело,otsmik
11,Haar::N,коса,juus
12,Haar::N,косъм,juus
13,Schnurrbart::N,мустаци,vurrud
14,Schnurrbart::N,мустаци,vuntsid
15,Bart::N,брада,habe
16,Kinn::N,брада,lõug
17,Kinn::N,брадичка,lõug
18,Kiefer[Anatomie]::N,челюст,lõualuu
19,Kehle::N,гърло,kõri
20,Hals::N,врат,kael
21,Genick::N,тил,kukal
22,Kopf::N,глава,pea
23,Rücken::N,гръб,selg
24,Bauch::N,корем,kõht
25,Nabel::N,пъп,naba
26,Busen::N,бозка,rind
27,Brust::N,гръд,rind
28,Schulter::N,рамо,õlg
29,Schulter::N,плещи,õlg
30,Arm::N,ръка,käsivars
31,Ellenbogen::N,лакът,küünarnukk
32,Hand::N,ръка,käsi
33,Hand::N,китка,käsi
34,Handfläche::N,длан,pihk
35,Finger::N,пръст,sõrm
36,Fingernagel::N,нокът,küüs
37,Nagel[Anatomie]::N,нокът,küüs
38,Zeh::N,пръст на крак,varvas
39,Fuß::N,крак,jalg
40,Fuß::N,нога,jalg
41,Ferse::N,пета,kand
42,Knie::N,коляно,põlv
43,Oberschenkel::N,бедро,reis
44,Bein::N,крак,jalg
45,Bein::N,нога,jalg
46,Körper::N,тяло,ihu
47,Körper::N,тяло,keha
48,Haut::N,кожа,nahk
49,Blut::N,кръв,veri
50,Ader::N,вена,veen
51,Ader::N,артерия,veen
52,Sehne::N,жила,kõõlus
53,Sehne::N,сухожилие,kõõlus
54,Knochen::N,кост,luu
55,Gehirn::N,мозък,aju
56,Herz::N,сърце,süda
57,Magen::N,стомах,magu
58,Leber::N,черен дроб,maks
59,Atem::N,дишане,hingeõhk
60,Atem::N,дишане,hingamine
61,Hunger::N,глад,nälg
62,Träne::N,сълза,pisar
63,Geschmack::N,вкус,maitse
64,Geruch::N,миризма,lõhn
65,Schlaf::N,сън,uni
66,Traum::N,сън,unenägu
67,Himmel::N,небе,taevas
68,Sonne::N,слънце,päike
69,Mond::N,луна,kuu
70,Mond::N,месец,kuu
71,Stern::N,звезда,täht
72,Luft::N,въздух,õhk
73,Wind::N,вятър,tuul
74,Welle::N,вълна,laine
75,Wasser::N,вода,vesi
76,Stein::N,камък,kivi
77,Boden::N,земя,maa
78,Boden::N,земя,pinnas
79,Boden::N,почва,maa
80,Boden::N,почва,pinnas
81,Erde::N,земя,maa
82,Erde::N,почва,maa
83,Staub::N,прах,põrm
84,Rauch::N,дим,suits
85,Rauch::N,пушек,suits
86,Funke::N,искра,säde
87,Feuer::N,огън,tuli
88,Licht::N,светлина,valgus
89,Schatten::N,сянка,vari
90,Wetter::N,време,ilm
91,Nebel::N,мъгла,udu
92,Wolke::N,облак,pilv
93,Regen::N,дъжд,sadu
94,Schnee::N,сняг,lumi
95,Eis::N,лед,jää
96,Frost::N,мраз,pakane
97,Kälte::N,студ,külm
98,Kälte::N,студ,külmus
99,Hitze::N,жега,kuumus
100,Hitze::N,жега,palavus
101,Hitze::N,горещина,kuumus
102,Hitze::N,горещина,palavus
103,Raureif::N,скреж,härmatis
104,Raureif::N,слана,härmatis
105,Regenbogen::N,дъга,vikerkaar
106,Donner::N,гръм,kõu
107,Donner::N,гръм,müristamine
108,Strömung::N,течение,voolus
109,Strömung::N,течение,jõevool
110,Tropfen::N,капка,tilk
111,Schaum::N,пяна,vaht
112,Schmutz::N,кал,pori
113,Schmutz::N,кал,mustus
114,Schmutz::N,мръсотия,pori
115,Schmutz::N,мръсотия,mustus
116,See::N,езеро,järv
117,Sumpf::N,блато,soo
118,Moor::N,мочурище,raba
119,Wiese::N,ливада,aas
120,Wiese::N,ливада,nurm
121,Wald::N,гора,mets
122,Hügel::N,рид,küngas
123,Hügel::N,хълм,küngas
124,Anhöhe::N,могила,küngas
125,Anhöhe::N,възвишение,küngas
126,Berg::N,планина,mägi
127,Gipfel::N,връх,mäetipp
128,Höhle::N,пещера,koobas
129,Abhang::N,склон,nõlvak
130,Abhang::N,стръмнина,nõlvak
131,Quelle::N,извор,allikas
132,Bach::N,поток,oja
133,Fluss::N,река,jõgi
134,Ufer::N,бряг,kallas
135,Küste::N,бряг,rannik
136,Küste::N,крайбрежие,rannik
137,Festland::N,суша,mander
138,Festland::N,суша,maismaa
139,Meer::N,море,meri
140,Bucht::N,залив,laht
141,Insel::N,остров,saar
142,Blume::N,цвете,lill
143,Gras::N,трева,rohi
144,Wurzel::N,корен,juur
145,Baum::N,дърво,puu
146,Stamm::N,стъбло,tüvi
147,Rinde::N,кора,koor
148,Ast::N,клон,oks
149,Zweig::N,клон,oks
150,Blatt::N,лист,leht
151,Birke::N,бреза,kask
152,Kiefer[Baum]::N,бор,mänd
153,Weide[Baum]::N,върба,paju
154,Tanne::N,ела,nulg
155,Horn::N,рог,sarv
156,Feder::N,перо,sulg
157,Fell::N,кожа,karvkate
158,Fell::N,кожа,karusnahk
159,Flügel::N,крило,tiib
160,Flügel::N,крило,tiivik
161,Klaue::N,нокът,küüs
162,Kralle::N,нокът,küünis
163,Schwanz::N,опашка,saba
164,Ei::N,яйце,muna
165,Nest::N,гнездо,pesa
166,Bau::N,дупка,urg
167,Tier::N,животно,loom
168,Herde::N,стадо,kari
169,Kuh::N,крава,lehm
170,Bulle::N,бик,pull
171,Pferd::N,кон,hobune
172,Schaf::N,овца,lammas
173,Schwein::N,свиня,siga
174,Hund::N,куче,koer
175,Katze::N,котка,kass
176,Bär::N,мечка,karu
177,Eichhörnchen::N,катерица,orav
178,Elch::N,лос,põder
179,Fuchs::N,лисица,rebane
180,Hase::N,заек,jänes
181,Maus::N,мишка,hiir
182,Wolf::N,вълк,hunt
183,Vogel::N,птица,lind
184,Schwarm::N,рой,parv
185,Schwarm::N,рояк,parv
186,Huhn::N,кокошка,kana
187,Hahn::N,петел,kukk
188,Gans::N,гъска,hani
189,Adler::N,орел,kotkas
190,Ente::N,патица,part
191,Eule::N,сова,kakk
192,Eule::N,сова,öökull
193,Kranich::N,жерав,kurg
194,Krähe::N,врана,vares
195,Kuckuck::N,кукувица,kägu
196,Schwan::N,лебед,luik
197,Fisch::N,риба,kala
198,Barsch::N,костур,ahven
199,Hecht::N,щука,haug
200,Schlange[Tier]::N,змия,uss
201,Wurm::N,червей,uss
202,Wurm::N,червей,vagel
203,Spinne::N,паяк,ämblik
204,Ameise::N,мравка,sipelgas
205,Laus::N,въшка,täi
206,Mücke::N,комар,sääsk
207,Fliege::N,муха,kärbes
208,Schmetterling::N,пеперуда,liblikas
209,Beere::N,плод,mari
210,Apfel::N,ябълка,õun
211,Pilz::N,гъба,seen
212,Zwiebel::N,лук,sibul
213,Zwiebel::N,кромид,sibul
214,Saat::N,семе,seeme
215,Korn::N,зърно,iva
216,Korn::N,зърно,tera
217,Heu::N,сено,hein
218,Schale::N,кора,koor
219,Grube::N,яма,kaevand
220,Grube::N,дупка,kaevand
221,Falle::N,примка,lõks
222,Falle::N,примка,püünis
223,Schlinge::N,клуп,aas
224,Spur::N,диря,jälg
225,Spur::N,следа,jälg
226,Asche::N,пепел,tuhk
227,Dreck::N,кал,saast
228,Dreck::N,кал,mustus
229,Eisen::N,желязо,raud
230,Gold::N,злато,kuld
231,Silber::N,сребро,hõbe
232,Kohle::N,въглища,süsi
233,Glas::N,стъкло,klaas
234,Lehm::N,глина,savi
235,Sand::N,пясък,liiv
236,Mensch::N,човек,inimene
237,Mann::N,мъж,mees
238,Frau::N,жена,naine
239,Kind::N,дете,laps
240,Junge::N,момче,poiss
241,Mädchen::N,момиче,tüdruk
242,Familie::N,фамилия,perekond
243,Familie::N,семейство,perekond
244,Großvater::N,дядо,vanaisa
245,Großmutter::N,баба,vanaema
246,Eltern::N,родители,vanemad
247,Vater::N,баща,isa
248,Mutter::N,майка,ema
249,Sohn::N,син,poeg
250,Tochter::N,дъщеря,tütar
251,Bruder::N,брат,vend
252,Schwester::N,сестра,õde
253,Onkel::N,чичо,onu
254,Onkel::N,вуйчо,onu
255,Tante::N,леля,tädi
256,Ehemann::N,съпруг,mees
257,Ehemann::N,съпруг,abikaasa
258,Ehefrau::N,съпруга,naine
259,Ehefrau::N,съпруга,abikaasa
260,Freude::N,радост,rõõm
261,Gelächter::N,смях,naer
262,Glück::N,щастие,õnn
263,Kummer::N,тъга,mure
264,Kummer::N,тъга,kurbus
265,Wunsch::N,желание,soov
266,Lust::N,желание,himu
267,Geist::N,дух,vaim
268,Gedanke::N,мисъл,mõte
269,Gedächtnis::N,памет,mälu
270,Verstand::N,ум,aru
271,Verstand::N,ум,mõistus
272,Verstand::N,разум,aru
273,Verstand::N,разум,mõistus
274,Sinn::N,смисъл,tähendus
275,Grund::N,причина,põhjus
276,Wahrheit::N,правда,tõde
277,Gespräch::N,разговор,kõne
278,Gespräch::N,разговор,vestlus
279,Märchen::N,приказка,muinasjutt
280,Erzählung::N,разказ,jutustus
281,Nachricht::N,вест,teade
282,Nachricht::N,известие,teade
283,Neuigkeit::N,новина,uudis
284,Name::N,име,nimi
285,Rätsel::N,гатанка,mõistatus
286,Rede::N,реч,kõne
287,Rede::N,слово,kõne
288,Sprache::N,език,keel
289,Stimme::N,глас,hääl
290,Wort::N,дума,sõna
291,Zeichen::N,знак,märk
292,Ruf::N,зов,hüüe
293,Lärm::N,шум,müra
294,Lärm::N,глъчка,müra
295,Laut::N,звук,hääl
296,Ton::N,тон,toon
297,Lied::N,песен,laul
298,Ruhe::N,тишина,rahu
299,Ruhe::N,тишина,vaikus
300,Ruhe::N,спокойствие,rahu
301,Ruhe::N,спокойствие,vaikus
302,Leute::N,хора,inimesed
303,Volk::N,народ,rahvas
304,Arbeit::N,труд,töö
305,Arbeit::N,работа,töö
306,Gast::N,гост,külaline
307,Geschenk::N,дар,kingitus
308,Geschenk::N,подарък,kingitus
309,Spiel::N,игра,mäng
310,Gesellschaft::N,общество,selts
311,Hilfe::N,помощ,abi
312,Freund::N,приятел,sõber
313,Kamerad::N,другар,sõber
314,Angelegenheit::N,работа,asi
315,Anzahl::N,брой,arv
316,Anzahl::N,брой,hulk
317,Anzahl::N,количество,arv
318,Anzahl::N,количество,hulk
319,Art::N,вид,liik
320,Stück::N,къс,tükk
321,Stück::N,парче,tükk
322,Teil::N,дял,osa
323,Teil::N,част,osa
324,Hälfte::N,половина,pool
325,Kreis::N,кръг,ring
326,Kreuz::N,кръст,rist
327,Linie::N,черта,joon
328,Strich::N,щрих,joon
329,Strich::N,черта,joon
330,Abstand::N,дистанция,vahe
331,Abstand::N,разстояние,vahe
332,Entfernung::N,разстояние,kaugus
333,Entfernung::N,разстояние,vahemaa
334,Gegend::N,местност,ümbrus
335,Platz::N,място,ruum
336,Ort::N,място,paik
337,Seite::N,страна,pool
338,Mitte::N,среда,keskpaik
339,Gegenstand::N,предмет,ese
340,Sache::N,вещ,ese
341,Rand::N,ръб,äär
342,Rand::N,ръб,serv
343,Kante::N,ръб,kant
344,Kante::N,кант,kant
345,Ecke::N,ъгъл,nurk
346,Spitze::N,връх,teravik
347,Spitze::N,острие,teravik
348,Ende::N,край,ots
349,Ende::N,край,jupp
350,Loch::N,дупка,auk
351,Winkel::N,кът,nurk
352,Winkel::N,ъгъл,nurk
353,Muster::N,десен,muster
354,Muster::N,образец,muster
355,Größe::N,големина,suurus
356,Länge::N,дължина,pikkus
357,Höhe::N,висота,kõrgus
358,Höhe::N,височина,kõrgus
359,Gewicht::N,тегло,kaal
360,Gewicht::N,тегло,raskus
361,Gewicht::N,тежест,kaal
362,Gewicht::N,тежест,raskus
363,Menge::N,количество,arv
364,Menge::N,количество,hulk
365,Haufen::N,куп,hunnik
366,Haufen::N,грамада,hunnik
367,Reihe::N,ред,rivi
368,Reihe::N,редица,rivi
369,Boot::N,лодка,paat
370,Ruder::N,весло,aer
371,Ruder::N,гребло,aer
372,Schlitten::N,шейна,saan
373,Ski::N,ски,suusk
374,Lagerfeuer::N,огнище,lõke
375,Last::N,товар,koorem
376,Gang::N,ход,käik
377,Gang::N,вървеж,käik
378,Schritt::N,стъпка,samm
379,Norden::N,север,põhi
380,Süden::N,юг,lõuna
381,Westen::N,запад,lääs
382,Osten::N,изток,ida
383,Holz::N,дърво,puu
384,Brett::N,дъска,saelaud
385,Stange::N,прът,latt
386,Stange::N,прът,teivas
387,Stange::N,върлина,latt
388,Stange::N,върлина,teivas
389,Stock::N,прът,kepp
390,Stock::N,тояга,kepp
391,Stab::N,прът,varras
392,Rohr::N,цев,toru
393,Rohr::N,тръба,toru
394,Haus::N,къща,maja
395,Heim::N,дом,kodu
396,Ofen::N,печка,ahi
397,Fußboden::N,под,põrand
398,Tisch::N,маса,laud
399,Stuhl::N,стол,tool
400,Wiege::N,люлка,häll
401,Wiege::N,люлка,kätki
402,Bett::N,легло,voodi
403,Bett::N,креват,voodi
404,Regal::N,рафт,riiul
405,Regal::N,етажерка,riiul
406,Kiste::N,кутия,kast
407,Kiste::N,сандък,kast
408,Fenster::N,прозорец,aken
409,Tür::N,врата,uks
410,Tor::N,врата,värav
411,Zaun::N,ограда,aed
412,Zaun::N,ограда,tara
413,Dach::N,покрив,katus
414,Leiter::N,стълба,redel
415,Besen::N,метла,luud
416,Spaten::N,лопата,labidas
417,Schaufel::N,лопата,kühvel
418,Gabel::N,вилица,kahvel
419,Löffel::N,лъжица,lusikas
420,Messer::N,нож,nuga
421,Nagel::N,гвоздей,nael
422,Netz::N,мрежа,võrk
423,Haken::N,кука,haak
424,Haken::N,кука,konks
425,Haken::N,закачалка,haak
426,Haken::N,закачалка,konks
427,Griff::N,ръчка,sang
428,Griff::N,ръчка,käepide
429,Griff::N,дръжка,sang
430,Griff::N,дръжка,käepide
431,Schloss::N,брава,lukk
432,Schloss::N,ключалка,lukk
433,Bild::N,картина,pilt
434,Figur::N,фигура,kuju
435,Figur::N,фигура,kujund
436,Puppe::N,кукла,nukk
437,Beutel::N,кесия,paun
438,Bündel::N,връзка,kimp
439,Tasche::N,чанта,kott
440,Eimer::N,кофа,pang
441,Eimer::N,кофа,ämber
442,Deckel::N,капак,kaas
443,Deckel::N,похлупак,kaas
