,Concept_ID,ps,mdf
0,Auge::N,سترګه,сельме
1,Ohr::N,غوږ,пиле
2,Nase::N,پوزه,шалхка
3,Mund::N,خوله,курга
4,Zahn::N,غاښ,пей
5,Zunge::N,جبه,кяль
6,Lippe::N,شونډه,търва́
7,Wange::N,باړخو,щёка
8,Gesicht::N,مخ,шама
9,Stirn::N,تندی,коня
10,Stirn::N,وچولی,коня
11,Haar::N,وېښته,шя́ярь
12,Schnurrbart::N,برېت,уса́
13,Bart::N,ږیره,сакал
14,Kinn::N,زنه,ула
15,Kiefer[Anatomie]::N,جامه,саласка
16,Kehle::N,غاړه,кълдома
17,Kehle::N,غاړه,кърга́парь
18,Hals::N,غاړه,сялдаз
19,Genick::N,ورمېږ,шовонь
20,Kopf::N,سر,пря
21,Rücken::N,شا,копорь
22,Bauch::N,نس,пеке
23,Bauch::N,ګېډه,пеке
24,Nabel::N,نوم,по́кон
25,Busen::N,تی,потя
26,Brust::N,سینه,мяште
27,Schulter::N,اوږه,лафту
28,Arm::N,لاس,кядь
29,Ellenbogen::N,څنګل,кенерьба́карь
30,Hand::N,لاس,кядь
31,Handfläche::N,ورغوی,кядьлапш
32,Finger::N,ګوته,сур
33,Fingernagel::N,نوک,кенже
34,Nagel[Anatomie]::N,نوک,кенже
35,Zeh::N,ګوته,пильгосу́р
36,Fuß::N,پښه,пильге
37,Fuß::N,پښه,пильгелапа
38,Ferse::N,پونده,кочкяря
39,Knie::N,زنګون,эль
40,Knie::N,زنګون,пълма́нжа
41,Oberschenkel::N,پتون,пильгепукша
42,Bein::N,پښه,пильге
43,Körper::N,ځان,ро́нга
44,Körper::N,ځان,по́нда
45,Haut::N,پوټکی,киське
46,Blut::N,وینه,вер
47,Ader::N,رګ,сан
48,Ader::N,رګ,верза́н
49,Sehne::N,پله,коське сан
50,Knochen::N,هډوکی,пакарь
51,Gehirn::N,ماغزه,уй
52,Herz::N,زړه,седи
53,Magen::N,معده,коткърдазь
54,Leber::N,ينه,макса
55,Leber::N,ځیګر,макса
56,Atem::N,نفس,лекома
57,Atem::N,نفس,ваймонь тарксема
58,Hunger::N,ولږه,вачеши
59,Träne::N,اوښکه,сельмове́дь
60,Geschmack::N,مزه,таньф
61,Geschmack::N,خوند,таньф
62,Geruch::N,بوی,шине
63,Schlaf::N,خوب,удома́
64,Traum::N,خوب,он
65,Himmel::N,اسمان,менель
66,Sonne::N,لمر,ши
67,Mond::N,سپوږمۍ,ков
68,Stern::N,ستوری,тяште
69,Luft::N,هوا,кожф
70,Wind::N,ورښ,варма
71,Welle::N,موج,тавла
72,Wasser::N,اوبه,ведь
73,Stein::N,ډبره,кев
74,Boden::N,مځکه,мода
75,Boden::N,مځکه,потмакс
76,Erde::N,خاوره,мода
77,Erde::N,خاوره,мастор
78,Staub::N,ګرد,пуль
79,Staub::N,خاوره,пуль
80,Rauch::N,دود,качам
81,Rauch::N,لوګی,качам
82,Funke::N,سپرغۍ,ця́тка
83,Feuer::N,اور,тол
84,Licht::N,رڼا,ва́лда
85,Schatten::N,سیوری,цильф
86,Wetter::N,هوا,уша
87,Nebel::N,لړه,тума́н
88,Wolke::N,ورېځ,ковол
89,Regen::N,وریا,пизем
90,Regen::N,باران,пизем
91,Schnee::N,واوره,лов
92,Eis::N,یخ,эй
93,Eis::N,کنګل,эй
94,Frost::N,یخ,ке́льме
95,Kälte::N,ساړه,якшама
96,Hitze::N,تودوخي,пси
97,Raureif::N,سپینه پرخه,леш
98,Regenbogen::N,بوډۍ ټال,а́тямъёнга
99,Regenbogen::N,سره زرغونه,а́тямъёнга
100,Donner::N,تالنده,атям
101,Strömung::N,بهېدنه,шудема́
102,Tropfen::N,قطره,путькс
103,Tropfen::N,قطره,пътняфкс
104,Tropfen::N,څاڅکی,путькс
105,Tropfen::N,څاڅکی,пътняфкс
106,Schaum::N,ځګ,шов
107,Schmutz::N,ناپاکي,ърда́з
108,See::N,جهیل,эрьхке
109,Sumpf::N,جبه,шяй
110,Moor::N,جبه,шяй
111,Wiese::N,چمن,луга
112,Wiese::N,شنېلی,луга
113,Wald::N,ځنګل,вирь
114,Hügel::N,تپه,губо́р
115,Hügel::N,تپه,пандоня
116,Anhöhe::N,غونډۍ,губо́р
117,Berg::N,غ‍‍‍‍‍ر,панда
118,Gipfel::N,څوکه,пря
119,Höhle::N,کاز,у́нда
120,Abhang::N,لمن,па́нда ша́ма
121,Quelle::N,چینه,эшиня
122,Bach::N,واله,шудерькс
123,Fluss::N,سیند,ляй
124,Ufer::N,غاړه,търва́
125,Küste::N,ساحل,ляйтърва́
126,Festland::N,وچه,мода
127,Meer::N,بحر,моря
128,Meer::N,سمندر,моря
129,Bucht::N,کارۍ,ведьуське
130,Insel::N,ټاپو,цёнга
131,Insel::N,جزيره,цёнга
132,Blume::N,ګل,панчф
133,Gras::N,واښه,тише
134,Wurzel::N,ریښه,юр
135,Wurzel::N,ریښه,ункс
136,Baum::N,ونه,шуфта
137,Stamm::N,ډډ,ро́нга
138,Rinde::N,پوستکی,кер
139,Ast::N,ښاخ,морга
140,Zweig::N,څانګه,тарад
141,Blatt::N,پاڼه,лопа
142,Birke::N,توس,ке́лу
143,Kiefer[Baum]::N,نښتر,пиче
144,Weide[Baum]::N,وله,каль
145,Tanne::N,ناجو,куз
146,Horn::N,ښکر,сюра
147,Feder::N,بڼکه,толга
148,Fell::N,پوستکی,кедь
149,Flügel::N,وزر,паця
150,Klaue::N,پنجه,кенже
151,Klaue::N,منګول,кенже
152,Kralle::N,پنجه,кенже
153,Kralle::N,منګول,кенже
154,Schwanz::N,لکۍ,пула
155,Ei::N,وۍ,ал
156,Ei::N,هګۍ,ал
157,Nest::N,جاله,пиза
158,Bau::N,کاز,пиза
159,Tier::N,ژوی,жува́та
160,Tier::N,حیوان,жува́та
161,Herde::N,رمه,нал
162,Herde::N,رمه,стада
163,Herde::N,غېله,нал
164,Herde::N,غېله,стада
165,Kuh::N,غوا,скал
166,Kuh::N,غوا,тракс
167,Bulle::N,غوئی,бука
168,Pferd::N,آس,лишме
169,Schaf::N,پسه,уча́
170,Schwein::N,سرکوزی,тува
171,Hund::N,سپی,пине
172,Katze::N,پشه,катоня
173,Katze::N,پشه,аваката
174,Bär::N,خرس,офта
175,Eichhörnchen::N,خړ لمی,ур
176,Elch::N,ګوزن,ся́рда
177,Fuchs::N,سپلم,келазь
178,Hase::N,سوی,ну́мол
179,Maus::N,مږک,шеер
180,Wolf::N,لېوه,върьгаз
181,Vogel::N,مرغه,нармонь
182,Schwarm::N,سېل,ко́вол
183,Schwarm::N,سېل,ме́швеле
184,Huhn::N,چرګه,сараз
185,Hahn::N,چرګ,а́тякш
186,Gans::N,بته,маци
187,Adler::N,عقاب,куцькан
188,Ente::N,ایلۍ,яксярга
189,Eule::N,ګونګی,ко́рож
190,Kranich::N,کلنګ,ка́рга
191,Krähe::N,کارغه,ва́рси
192,Kuckuck::N,فاخته,ку́ку
193,Schwan::N,قو,ло́ксти
194,Fisch::N,کب,кал
195,Fisch::N,ماهی,кал
196,Schlange[Tier]::N,مار,куй
197,Wurm::N,چینجی,сукс
198,Spinne::N,غڼه,унжа́
199,Spinne::N,تارکښ,унжа́
200,Ameise::N,مېږی,панжам
201,Laus::N,سپږه,си
202,Mücke::N,ماشی,ся́ське
203,Fliege::N,مچ,кару
204,Schmetterling::N,پتنګ,ме́лав
205,Beere::N,مېوۍ,и́мож
206,Apfel::N,مڼه,марь
207,Pilz::N,خرېړی,панга
208,Zwiebel::N,پیاز,шурьхкя́
209,Saat::N,تخم,видьмот
210,Korn::N,تخم,сёра
211,Korn::N,دانه,сёра
212,Heu::N,بوس,тише
213,Heu::N,پروړه,тише
214,Schale::N,پوستکی,кедь
215,Grube::N,کنده,лотка
216,Falle::N,دام,туфкс
217,Falle::N,دام,кунда́ма
218,Falle::N,لومه,туфкс
219,Falle::N,لومه,кунда́ма
220,Schlinge::N,کړۍ,килькш
221,Spur::N,نښه,пильгоки́
222,Asche::N,آس,кулу
223,Asche::N,ایره,кулу
224,Dreck::N,ناپاکي,ърда́з
225,Eisen::N,اوسپنه,кшни
226,Gold::N,سره زر,ока
227,Gold::N,سره زر,золота
228,Silber::N,نقره,сия́
229,Silber::N,سپین زر,сия́
230,Kohle::N,سکور,седь
231,Kohle::N,سکور,седьвальмя
232,Kohle::N,سکاره,седь
233,Kohle::N,سکاره,седьвальмя
234,Glas::N,ښيښه,кля́нцек
235,Lehm::N,خټه,сёвонь
236,Sand::N,شګه,шува́р
237,Mensch::N,انسان,ломань
238,Mann::N,سړی,аля
239,Mann::N,سړی,цёраломань
240,Mann::N,نارینه,аля
241,Mann::N,نارینه,цёраломань
242,Frau::N,ښځه,ава
243,Kind::N,بچی,идь
244,Kind::N,بچی,шаба
245,Kind::N,ماشوم,идь
246,Kind::N,ماشوم,шаба
247,Junge::N,هلک,цёраня
248,Mädchen::N,نجلۍ,стирня́
249,Familie::N,کورنۍ,тнал
250,Familie::N,کورنۍ,семья
251,Großvater::N,بابا,атя
252,Großvater::N,بابا,щя́тя
253,Großmutter::N,انا,баба
254,Eltern::N,مور او پلار,тя́дят-а́лят
255,Vater::N,پلار,аля
256,Mutter::N,مور,ава
257,Mutter::N,مور,тядя
258,Sohn::N,زوی,цёра
259,Tochter::N,لور,стирь
260,Bruder::N,ورور,дуган
261,Bruder::N,ورور,пяльне
262,Schwester::N,خور,ака
263,Schwester::N,خور,сазор
264,Onkel::N,تره,оця
265,Onkel::N,تره,патя
266,Onkel::N,تره,щеня́
267,Onkel::N,ماما,оця
268,Onkel::N,ماما,патя
269,Onkel::N,ماما,щеня́
270,Tante::N,خاله,ака
271,Tante::N,خاله,щака
272,Ehemann::N,مېړه,мирде
273,Ehefrau::N,مېرمن,ърьвя́
274,Freude::N,خوشحالي,ке́нярдема
275,Gelächter::N,خندا,рахсема
276,Glück::N,بخت,паваз
277,Kummer::N,غم,ризф
278,Kummer::N,غم,пичефкс
279,Wunsch::N,هيله,мяль
280,Wunsch::N,هيله,таколдома
281,Wunsch::N,غوښتنه,мяль
282,Wunsch::N,غوښتنه,таколдома
283,Lust::N,شوق,таколдома
284,Lust::N,مینه,таколдома
285,Geist::N,روح,вайме
