,Concept_ID,uz,kl
0,Auge::N,ko'z,isi
1,Ohr::N,quloq,siut
2,Nase::N,burun,
3,Mund::N,og'iz,paaq
4,Mund::N,og'iz,qaneq
5,Zahn::N,tish,kigut
6,Zunge::N,til,oqaq
7,Lippe::N,dudoq,qarloq
8,Wange::N,bet,ersaq
9,Gesicht::N,yuz,kiinaq
10,Stirn::N,manglay,qaaq
11,Haar::N,soch,meqqoq
12,Schnurrbart::N,mo'ylov,
13,Bart::N,soqol,umik
14,Kinn::N,ängak,talloq
15,Kiefer[Anatomie]::N,iyak,alleroq
16,Kehle::N,bo'g'iz,malaq
17,Hals::N,bo'yin,qungaseq
18,Genick::N,gardan,pukusuk
19,Kopf::N,bosh,niaqoq
20,Rücken::N,orqa,qimerlut
21,Bauch::N,qorin,naaq
22,Nabel::N,kindik,qalaseq
23,Busen::N,ämchak,iviangeq
24,Brust::N,ko'krak,iviangeq
25,Schulter::N,elka,ersik
26,Schulter::N,elka,assaqqoq
27,Arm::N,bilak,taleq
28,Ellenbogen::N,tirsak,ikusik
29,Hand::N,qo'l,assak
30,Handfläche::N,kaft,itumak
31,Finger::N,barmoq,inuak
32,Fingernagel::N,tirnoq,kikiak
33,Nagel[Anatomie]::N,tirnoq,kukik
34,Zeh::N,oyoq barmog'i,isigak
35,Fuß::N,oyoq,
36,Ferse::N,tovon,kimmik
37,Knie::N,tiz,seeqqoq
38,Oberschenkel::N,son,uppat
39,Oberschenkel::N,son,quttoraq
40,Bein::N,oyoq,isigak
41,Körper::N,badna,timi
42,Haut::N,teri,mattak
43,Blut::N,qon,aak
44,Ader::N,qon tomir,taqaq
45,Sehne::N,tomir,ujalu
46,Sehne::N,tomir,ujaloq
47,Knochen::N,suyak,saanikut
48,Gehirn::N,miya,qarasaq
49,Herz::N,qalb,uummat
50,Magen::N,oshqozon,aqajaroq
51,Leber::N,bag'ir,tinguk
52,Atem::N,dam,anerneq
53,Hunger::N,ochlik,kaanneq
54,Träne::N,yosh,qia
55,Träne::N,yosh,qiak
56,Geschmack::N,tam,qilanaartuut
57,Geruch::N,jid,tipi
58,Geruch::N,jid,tipik
59,Schlaf::N,uyqu,
60,Traum::N,tush,sinnattoq
61,Traum::N,tush,sinnattugaq
62,Himmel::N,osmon,qilak
63,Sonne::N,quyosh,seqineq
64,Mond::N,oy,qaammat
65,Stern::N,yulduz,ulloriaq
66,Luft::N,havo,silaannaq
67,Wind::N,el,anori
68,Wind::N,el,anorsarik
69,Welle::N,to'lqin,aalappaa
70,Wasser::N,suv,imeq
71,Stein::N,tosh,ujarak
72,Boden::N,tuproq,nateq
73,Erde::N,er,issoq
74,Staub::N,chang,pujualanerit
75,Staub::N,chang,pujoralanerit
76,Rauch::N,tutun,iseq
77,Rauch::N,tutun,pujoq
78,Funke::N,yalt,illoorneq
79,Feuer::N,o't,inneq
80,Licht::N,yorug',qaamaneq
81,Schatten::N,soya,tarraq
82,Wetter::N,havo,sila
83,Nebel::N,tuman,pujoq
84,Wolke::N,bulut,nuia
85,Regen::N,yomg'ir,sialuk
86,Schnee::N,qor,aput
87,Eis::N,muz,siku
88,Frost::N,ajoz,issi
89,Frost::N,ajoz,issik
90,Kälte::N,ajoz,issi
91,Hitze::N,issiq,kianneq
92,Hitze::N,issiq,kiassuseq
93,Raureif::N,qirov,kaneq
94,Regenbogen::N,kamalak,neriusaaq
95,Donner::N,guldur,kalleq
96,Strömung::N,oqim,
97,Tropfen::N,tomchi,kuseriarneq
98,Schaum::N,ko'pik,qapuk
99,Schmutz::N,gard,minguk
100,See::N,ko'l,taseq
101,Sumpf::N,botqoq,maqulluk
102,Moor::N,qir-adir,
103,Wiese::N,o'tzor,masarsuk
104,Wald::N,o'rmon,
105,Hügel::N,tepa,qattuneq
106,Hügel::N,tepa,majuariaq
107,Hügel::N,tepa,majorajaaq
108,Hügel::N,tepa,qaqqannguaq
109,Anhöhe::N,adir,
110,Berg::N,tog',qaqqaq
111,Gipfel::N,cho'qqi,
112,Höhle::N,kavak,qaarusuk
113,Abhang::N,to'sh,ippik
114,Abhang::N,to'sh,sivinganeq
115,Abhang::N,to'sh,sivingajaaq
116,Abhang::N,to'sh,kussangajaaq
117,Quelle::N,buloq,
118,Bach::N,o'zan,kuunnguaq
119,Fluss::N,daryo,kuuk
120,Ufer::N,sohil,sissap sinaa
121,Küste::N,qirg'oq,sineriak
122,Festland::N,materik,
123,Meer::N,dengiz,imaq
124,Bucht::N,qo'ltiq,ikeq
125,Bucht::N,qo'ltiq,kangerluk
126,Bucht::N,qo'ltiq,kangerliumaneq
127,Insel::N,orol,qeqertaq
128,Blume::N,gul,naasoq
129,Gras::N,sabza,ivigaq
130,Wurzel::N,tub,niulutaq
131,Wurzel::N,tomir,niulutaq
132,Baum::N,daraxt,orpik
133,Stamm::N,o'simta,kanaartaq
134,Rinde::N,qobiq,ameraq
135,Ast::N,shox,avalequt
136,Zweig::N,butoq,avalequt
137,Blatt::N,barg,pilutaq
138,Birke::N,qayin,patitsit
139,Kiefer[Baum]::N,qarag'ay,
140,Weide[Baum]::N,shum,palleq
141,Tanne::N,archa,orsuerneq
142,Horn::N,mugiz,nassuk
143,Feder::N,par,suluk
144,Fell::N,mo'yna,ameq
145,Flügel::N,qanot,suluk
146,Flügel::N,qanot,isaroq
147,Klaue::N,tirnoq,kukik
148,Kralle::N,tirnoq,kukik
149,Schwanz::N,quyruq,pamioq
150,Schwanz::N,quyruq,paperuusaq
151,Ei::N,tuxum,mannik
152,Nest::N,oshyon,ullut
153,Bau::N,o'pqon,ini
154,Tier::N,hayvon,uumasoq
155,Herde::N,gala,unguukkat
156,Kuh::N,inak,ussik
157,Bulle::N,ho'kiz,angukulak
158,Bulle::N,ho'kiz,anguteralak
159,Bulle::N,ho'kiz,angutikulooq
160,Pferd::N,ot,
161,Schaf::N,qo'y,sava
162,Schwein::N,cho'chqa,puuluki
163,Hund::N,it,qimmeq
164,Katze::N,mushuk,puisaaq
165,Bär::N,ayiq,allaq
166,Eichhörnchen::N,tiyin,sissinnguaq
167,Elch::N,los,
168,Fuchs::N,tulki,terianniaq
169,Hase::N,kuyon,ukaleq
170,Maus::N,sichqon,teriannguaq
171,Wolf::N,bo'ri,amaroq
172,Vogel::N,qush,timmiaq
173,Schwarm::N,to'da,
174,Huhn::N,tovuq,kukkukooq
175,Huhn::N,tovuq,marloraaqaaq
176,Hahn::N,xo'roz,kiasiusaq
177,Gans::N,g'oz,nerleq
178,Adler::N,burgut,nattoralik
179,Ente::N,o'rdak,
180,Eule::N,boyo'g'li,uppik
