,Concept_ID,mdf,fa
0,Auge::N,сельме,چشم
1,Ohr::N,пиле,گوش
2,Nase::N,шалхка,بینی
3,Mund::N,курга,دهان
4,Zahn::N,пей,دندان
5,Zunge::N,кяль,زبان
6,Lippe::N,търва́,لب
7,Wange::N,щёка,لپ
8,Gesicht::N,шама,رو
9,Gesicht::N,шама,چهره
10,Stirn::N,коня,پیشانی
11,Haar::N,шя́ярь,مو
12,Schnurrbart::N,уса́,سبیل
13,Bart::N,сакал,ریش
14,Kinn::N,ула,چانه
15,Kiefer[Anatomie]::N,саласка,فک
16,Kiefer[Anatomie]::N,саласка,آرواره
17,Kehle::N,кълдома,حلق
18,Kehle::N,кърга́парь,حلق
19,Hals::N,сялдаз,گردن
20,Genick::N,шовонь,پشت گردن
21,Kopf::N,пря,سر
22,Kopf::N,пря,کله
23,Rücken::N,копорь,پشت
24,Bauch::N,пеке,شکم
25,Nabel::N,по́кон,ناف
26,Busen::N,потя,پستان
27,Brust::N,мяште,سینه
28,Schulter::N,лафту,دوش
29,Schulter::N,лафту,شانه
30,Arm::N,кядь,بازو
31,Ellenbogen::N,кенерьба́карь,آرنج
32,Hand::N,кядь,دست
33,Handfläche::N,кядьлапш,کف دست
34,Finger::N,сур,انگشت
35,Fingernagel::N,кенже,ناخن دست
36,Nagel[Anatomie]::N,кенже,ناخن
37,Zeh::N,пильгосу́р,انگشت پا
38,Fuß::N,пильге,پا
39,Fuß::N,пильгелапа,پا
40,Ferse::N,кочкяря,پاشنه
41,Knie::N,эль,زانو
42,Knie::N,пълма́нжа,زانو
43,Oberschenkel::N,пильгепукша,ران
44,Bein::N,пильге,پا
45,Bein::N,пильге,لنگ
46,Körper::N,ро́нга,تن
47,Körper::N,ро́нга,بدن
48,Körper::N,по́нда,تن
49,Körper::N,по́нда,بدن
50,Haut::N,киське,پوست
51,Blut::N,вер,خون
52,Ader::N,сан,رگ
53,Ader::N,верза́н,رگ
54,Sehne::N,коське сан,زردپی
55,Knochen::N,пакарь,استخوان
56,Gehirn::N,уй,مخ
57,Gehirn::N,уй,مغز
58,Herz::N,седи,دل
59,Herz::N,седи,قلب
60,Magen::N,коткърдазь,معده
61,Leber::N,макса,کبد
62,Atem::N,лекома,نفس
63,Atem::N,ваймонь тарксема,نفس
64,Hunger::N,вачеши,گرسنگی
65,Träne::N,сельмове́дь,اشک
66,Geschmack::N,таньф,مزه
67,Geruch::N,шине,بو
68,Schlaf::N,удома́,خواب
69,Traum::N,он,رؤیا
70,Himmel::N,менель,فلک
71,Himmel::N,менель,آسمان
72,Sonne::N,ши,آفتاب
73,Sonne::N,ши,خورشید
74,Mond::N,ков,ماه
75,Stern::N,тяште,ستاره
76,Luft::N,кожф,هوا
77,Wind::N,варма,باد
78,Welle::N,тавла,موج
79,Wasser::N,ведь,آب
80,Stein::N,кев,سنگ
81,Boden::N,мода,زمین
82,Boden::N,потмакс,زمین
83,Erde::N,мода,خاک
84,Erde::N,мода,زمین
85,Erde::N,мастор,خاک
86,Erde::N,мастор,زمین
87,Staub::N,пуль,گرد
88,Staub::N,пуль,غبار
89,Rauch::N,качам,دود
90,Funke::N,ця́тка,جرقه
91,Feuer::N,тол,آتش
92,Licht::N,ва́лда,نور
93,Licht::N,ва́лда,روشنی
94,Schatten::N,цильф,سایه
95,Wetter::N,уша,هوا
96,Nebel::N,тума́н,مه
97,Wolke::N,ковол,ابر
98,Regen::N,пизем,باران
99,Schnee::N,лов,برف
100,Eis::N,эй,یخ
101,Frost::N,ке́льме,یخبندان
102,Kälte::N,якшама,سرما
103,Hitze::N,пси,گرما
104,Hitze::N,пси,حرارت
105,Raureif::N,леш,برف ریزه
106,Regenbogen::N,а́тямъёнга,رنگین‌کمان
107,Donner::N,атям,رعد
108,Strömung::N,шудема́,جریان
109,Tropfen::N,путькс,قطره
110,Tropfen::N,пътняфкс,قطره
111,Schaum::N,шов,کف
112,Schmutz::N,ърда́з,گل
113,Schmutz::N,ърда́з,کثافت
114,See::N,эрьхке,دریاچه
115,Sumpf::N,шяй,مرداب
116,Sumpf::N,шяй,باتلاق
117,Moor::N,шяй,باتلاق
118,Wiese::N,луга,چمن
119,Wald::N,вирь,جنگل
120,Hügel::N,губо́р,تل
121,Hügel::N,губо́р,تپه
122,Hügel::N,пандоня,تل
123,Hügel::N,пандоня,تپه
124,Anhöhe::N,губо́р,بلندی
125,Berg::N,панда,کوه
126,Gipfel::N,пря,قله
127,Höhle::N,у́нда,غار
128,Abhang::N,па́нда ша́ма,سرازیری
129,Quelle::N,эшиня,چشمه
130,Bach::N,шудерькс,نهر
131,Fluss::N,ляй,رود
132,Ufer::N,търва́,ساحل
133,Ufer::N,търва́,کرانه
134,Küste::N,ляйтърва́,ساحل
135,Festland::N,мода,خشکی
136,Meer::N,моря,دریا
137,Bucht::N,ведьуське,خلیج
138,Insel::N,цёнга,جزیره
139,Blume::N,панчф,گل
140,Gras::N,тише,علف
141,Wurzel::N,юр,ریشه
142,Wurzel::N,ункс,ریشه
143,Baum::N,шуфта,درخت
144,Stamm::N,ро́нга,تنه
145,Rinde::N,кер,توژ
146,Rinde::N,кер,پوست
147,Ast::N,морга,شاخه
148,Zweig::N,тарад,شاخه
149,Blatt::N,лопа,برگ
150,Birke::N,ке́лу,غان
151,Kiefer[Baum]::N,пиче,کاج
152,Weide[Baum]::N,каль,بید
153,Tanne::N,куз,صنوبر
154,Horn::N,сюра,شاخ
155,Feder::N,толга,پر
156,Fell::N,кедь,خز
157,Flügel::N,паця,پر
158,Flügel::N,паця,بال
159,Klaue::N,кенже,چنگ
160,Klaue::N,кенже,پنجه
161,Kralle::N,кенже,پنجه
162,Schwanz::N,пула,دم
163,Ei::N,ал,تخم
164,Nest::N,пиза,لانه
165,Bau::N,пиза,بنا
166,Bau::N,пиза,ساختمان
167,Tier::N,жува́та,هیوان
168,Herde::N,нал,رمه
169,Herde::N,стада,رمه
170,Kuh::N,скал,گاو
171,Kuh::N,тракс,گاو
172,Bulle::N,бука,گاو نر
173,Pferd::N,лишме,اسب
174,Schaf::N,уча́,گوسفند
175,Schwein::N,тува,خوک
176,Hund::N,пине,سگ
177,Katze::N,катоня,گربه
178,Katze::N,аваката,گربه
179,Bär::N,офта,خرس
180,Eichhörnchen::N,ур,سنجاب
181,Elch::N,ся́рда,گوزن شمالی
182,Fuchs::N,келазь,روباه
183,Hase::N,ну́мол,خرگوش
184,Maus::N,шеер,موش
185,Wolf::N,върьгаз,گرگ
186,Vogel::N,нармонь,پرنده
187,Schwarm::N,ко́вол,دسته
188,Schwarm::N,ме́швеле,دسته
189,Huhn::N,сараз,مرغ
190,Hahn::N,а́тякш,خروس
191,Gans::N,маци,غاز
192,Adler::N,куцькан,عقاب
193,Ente::N,яксярга,اردک
194,Ente::N,яксярга,مرغابی
195,Eule::N,ко́рож,جغد
196,Kranich::N,ка́рга,درنا
197,Krähe::N,ва́рси,زاغ
198,Krähe::N,ва́рси,کلاغ
