,Concept_ID,be,uk
0,Auge::N,вока,око
1,Ohr::N,вуха,вухо
2,Nase::N,нос,ніс
3,Mund::N,рот,рот
4,Zahn::N,зуб,зуб
5,Zunge::N,язык,язик
6,Lippe::N,губа,губа
7,Wange::N,шчака,щока
8,Gesicht::N,твар,обличчя
9,Stirn::N,лоб,лоб
10,Haar::N,волас,волосся
11,Haar::N,валасы,волосся
12,Schnurrbart::N,вус,вуса
13,Schnurrbart::N,вусы,вуса
14,Bart::N,барада,борода
15,Kinn::N,падбародак,підборіддя
16,Kiefer[Anatomie]::N,сківіца,щелепа
17,Kehle::N,горла,горло
18,Hals::N,шыя,шия
19,Genick::N,патыліца,потилиця
20,Kopf::N,галава,голова
21,Rücken::N,спіна,спина
22,Bauch::N,жывот,живіт
23,Nabel::N,пупок,пупок
24,Busen::N,грудзі,груди
25,Brust::N,грудзі,груди
26,Schulter::N,плячо,плече
27,Arm::N,рука,рука
28,Ellenbogen::N,локаць,лікоть
29,Hand::N,кісць,рука
30,Handfläche::N,далонь,долоня
31,Finger::N,палец,палець
32,Fingernagel::N,ногаць,ніготь
33,Nagel[Anatomie]::N,ногаць,ніготь
34,Zeh::N,палец,палець на нозі
35,Fuß::N,нага,нога
36,Ferse::N,пята,п’ятка
37,Ferse::N,пятка,п’ятка
38,Knie::N,калена,коліно
39,Oberschenkel::N,бядро,стегно
40,Oberschenkel::N,сцягно,стегно
41,Bein::N,нага,нога
42,Körper::N,цела,тіло
43,Haut::N,скура,шкіра
44,Blut::N,кроў,кров
45,Ader::N,вена,вена
46,Ader::N,сасуд,вена
47,Sehne::N,жыла,сухожилля
48,Sehne::N,цеціва,сухожилля
49,Sehne::N,сухажылле,сухожилля
50,Knochen::N,косць,кістка
51,Gehirn::N,мозг,мозок
52,Herz::N,сэрца,серце
53,Magen::N,страўнік,шлунок
54,Leber::N,печань,печінка
55,Atem::N,дыханне,дихання
56,Hunger::N,голад,голод
57,Träne::N,сляза,сльоза
58,Geschmack::N,смак,смак
59,Geruch::N,пах,запах
60,Schlaf::N,сон,сон
61,Schlaf::N,сон,сплячка
62,Traum::N,сон,сон
63,Himmel::N,неба,небо
64,Sonne::N,сонца,сонце
65,Mond::N,месяц,місяць
66,Stern::N,зорка,зірка
67,Luft::N,паветра,повітря
68,Wind::N,вецер,вітер
69,Welle::N,хваля,хвиля
70,Wasser::N,вада,вода
71,Stein::N,камень,камінь
72,Boden::N,глеба,ґрунт
73,Erde::N,зямля,земля
74,Staub::N,пыл,пил
