,Concept_ID,zh,nl
0,Auge::N,眼睛,oog
1,Ohr::N,耳朵,oor
2,Nase::N,鼻子,neus
3,Mund::N,嘴,mond
4,Zahn::N,牙齿,tand
5,Zunge::N,舌头,tong
6,Lippe::N,嘴唇,lip
7,Wange::N,面颊,wang
8,Gesicht::N,脸,gelaat
9,Gesicht::N,脸,gezicht
10,Stirn::N,额,voorhoofd
11,Haar::N,头发,haar
12,Schnurrbart::N,髭须,snor
13,Bart::N,胡子,baard
14,Kinn::N,下巴,kin
15,Kiefer[Anatomie]::N,颌,kaak
16,Kehle::N,嗓子,keel
17,Kehle::N,嗓子,strot
18,Hals::N,颈,hals
19,Genick::N,后颈,nek
20,Kopf::N,头,hoofd
21,Rücken::N,背,rug
22,Bauch::N,肚子,buik
23,Nabel::N,肚脐,navel
24,Busen::N,胸脯,boezem
25,Brust::N,胸,borst
26,Schulter::N,肩膀,schouder
27,Arm::N,臂膀,arm
28,Ellenbogen::N,肘,elleboog
29,Hand::N,手,hand
30,Handfläche::N,手掌,handpalm
31,Finger::N,手指,vinger
32,Fingernagel::N,指甲,nagel
33,Nagel[Anatomie]::N,指甲,nagel
34,Zeh::N,脚趾,teen
35,Fuß::N,脚,voet
36,Ferse::N,后跟,hak
37,Ferse::N,后跟,hiel
38,Knie::N,膝,knie
39,Oberschenkel::N,大腿,dij
40,Bein::N,腿,been
41,Körper::N,身体,lichaam
42,Haut::N,皮肤,huid
43,Blut::N,血,bloed
44,Ader::N,血管,ader
45,Sehne::N,腱,pees
46,Knochen::N,骨,bot
47,Knochen::N,骨,been
48,Knochen::N,骨,knook
49,Gehirn::N,脑,hersenen
50,Herz::N,心,hart
51,Magen::N,胃,maag
52,Leber::N,肝,lever
53,Atem::N,呼吸,adem
54,Hunger::N,饿,honger
55,Träne::N,眼泪,traan
56,Geschmack::N,味道,smaak
57,Geruch::N,气味,geur
58,Schlaf::N,睡眠,slaap
59,Traum::N,梦,droom
60,Himmel::N,天空,hemel
61,Sonne::N,太阳,zon
62,Mond::N,月亮,maan
63,Stern::N,星,ster
64,Luft::N,空气,lucht
65,Wind::N,风,wind
66,Welle::N,波,golf
67,Wasser::N,水,water
68,Stein::N,石头,steen
69,Boden::N,地面,grond
70,Erde::N,地,aarde
71,Staub::N,灰尘,stof
72,Rauch::N,烟,rook
73,Funke::N,火花,vonk
74,Feuer::N,火,vuur
75,Licht::N,光,licht
76,Schatten::N,影子,schaduw
77,Wetter::N,天气,weer
78,Nebel::N,雾,mist
79,Nebel::N,雾,nevel
80,Wolke::N,云,wolk
81,Regen::N,雨,regen
82,Schnee::N,雪,sneeuw
83,Eis::N,冰,ijs
84,Frost::N,霜冻,vorst
85,Kälte::N,寒冷,kou
86,Kälte::N,寒冷,koude
87,Hitze::N,炎热,hitte
88,Raureif::N,霜,rijp
89,Regenbogen::N,虹,regenboog
90,Donner::N,雷,donder
91,Strömung::N,水流,stroming
92,Tropfen::N,滴,druppel
93,Schaum::N,泡沫,schuim
94,Schmutz::N,赃物,vuil
95,See::N,湖,meer
96,Sumpf::N,沼泽,moeras
97,Moor::N,沼泽,veen
98,Wiese::N,草地,wei
99,Wiese::N,草地,weide
100,Wald::N,森林,bos
101,Hügel::N,丘陵,heuvel
102,Anhöhe::N,山丘,hoogte
103,Berg::N,山,berg
104,Gipfel::N,峰,top
105,Höhle::N,洞穴,hol
106,Abhang::N,斜坡,helling
107,Quelle::N,泉,bron
108,Bach::N,溪,beek
109,Fluss::N,河流,stroom
110,Ufer::N,岸,wal
