,Concept_ID,kv,myv
0,Auge::N,син,сельме
1,Ohr::N,пель,пиле
2,Nase::N,ныр,судо
3,Mund::N,ӧм,курго
4,Zahn::N,пинь,пей
5,Zunge::N,кыв,кель
6,Lippe::N,тырп,турва
7,Wange::N,рожабан,чамабока
8,Wange::N,рожабан,чамаумарь
9,Gesicht::N,бан,чама
10,Stirn::N,кымӧс,коня
11,Haar::N,юрси,черь
12,Schnurrbart::N,уссэз,ус
13,Schnurrbart::N,уссэз,муюк
14,Bart::N,тош,сакал
15,Kinn::N,тшӧка,уло
16,Kiefer[Anatomie]::N,ан,пейпакар
17,Kiefer[Anatomie]::N,ан,пейловажа
18,Kehle::N,юан,кирьгапарь
19,Hals::N,юан,кирьга
20,Genick::N,юр бӧр,човонь
21,Kopf::N,юр,пря
22,Rücken::N,мышк,копорь
23,Bauch::N,кынӧм,пеке
24,Nabel::N,гӧг,почо
25,Busen::N,морос,поте
26,Brust::N,морос,меште
27,Schulter::N,пельпон,лавтов
28,Arm::N,ки,кедь
29,Ellenbogen::N,гырдзза,кенерепакарь
30,Hand::N,кикар,кедь
31,Handfläche::N,ки пыдӧс,кедькуншка
32,Handfläche::N,ки пыдӧс,кедьлапушка
33,Finger::N,чунь,сур
34,Fingernagel::N,гыж,кенже
35,Nagel[Anatomie]::N,гыж,кенже
36,Zeh::N,чунь,пильге сур
37,Fuß::N,кокпыдӧс,пильге
38,Ferse::N,кокдзир,кочкаря
39,Knie::N,пидзӧс,эле
40,Knie::N,пидзӧс,эзне
41,Knie::N,пидзӧс,кумажа
42,Oberschenkel::N,лядьбей,качо
43,Bein::N,кок,пильге
44,Körper::N,вывтыр,рунго
45,Haut::N,кучик,киське
46,Blut::N,вир,верь
47,Ader::N,сӧн,сан
48,Sehne::N,жила,коське сан
49,Knochen::N,коска,пакарь
50,Gehirn::N,вем,удем
51,Herz::N,сьӧлӧм,седей
52,Magen::N,жӧвдӧк,пеке
53,Leber::N,мус,максо
54,Atem::N,лолалӧм,лексема
55,Atem::N,лолалӧм,оймень таргсема
56,Hunger::N,тшыг,вачочи
57,Träne::N,синва,селведь
58,Geschmack::N,кӧр,тансть
59,Geruch::N,дук,чине
60,Schlaf::N,он,удома
61,Traum::N,вӧт,он
62,Himmel::N,небо,менель
63,Sonne::N,шондi,чи
64,Mond::N,тӧлiсь,ков
65,Stern::N,кӧдзыв,теште
66,Luft::N,ру,кошт
67,Wind::N,тӧв,варма
68,Welle::N,гы,толкун
69,Wasser::N,ва,ведь
70,Stein::N,из,кев
71,Boden::N,му,мода
72,Erde::N,му,мастор
73,Staub::N,бус,пуль
74,Rauch::N,тшын,качамо
75,Funke::N,бичир,сятко
76,Feuer::N,би,тол
77,Licht::N,би,валдо
78,Schatten::N,вуджӧр,сулей
79,Schatten::N,вуджӧр,сулейкс
80,Wetter::N,погоддя,ушо
81,Nebel::N,туман,сув
82,Wolke::N,кымӧр,пель
83,Regen::N,зэр,пиземс
84,Schnee::N,лым,лов
85,Eis::N,йы,эй
86,Frost::N,мороз,кельме
87,Kälte::N,кӧдзыт,якшамо
88,Hitze::N,ӧд,пси
89,Raureif::N,кижа,лекш
90,Regenbogen::N,енӧшка,пурьгинечирьке
91,Regenbogen::N,енӧшка,пурьгинеёнкс
92,Donner::N,гым,пурьгине
93,Strömung::N,визывтӧм,чудема
94,Strömung::N,визывтӧм,чудевкс
95,Tropfen::N,тёп,петнявкс
96,Schaum::N,быг,чов
97,Schmutz::N,нять,рудаз
98,See::N,ты,эрьке
99,Sumpf::N,арай,чей
100,Moor::N,нюр,чей
101,Wiese::N,видз,луга
102,Wald::N,вӧр,вирь
103,Hügel::N,мыльк,губорь
104,Hügel::N,мыльк,пандыне
105,Anhöhe::N,вывтас,губорь
106,Anhöhe::N,вывтас,пандыне
107,Anhöhe::N,вылынін,губорь
108,Anhöhe::N,вылынін,пандыне
109,Berg::N,керӧс,пандо
110,Gipfel::N,йыв,пря
111,Höhle::N,нора,пещера
112,Abhang::N,покат,пандочама
113,Quelle::N,больган,ушодкс
114,Bach::N,шор,чудикерькс
115,Fluss::N,ю,лей
116,Ufer::N,берег,чире
117,Küste::N,берег,лейчире
118,Festland::N,му,мода
119,Meer::N,море,моря
120,Bucht::N,курья,усия
121,Blume::N,цветок,цеця
122,Gras::N,турун,тикше
123,Wurzel::N,вуж,юр
124,Wurzel::N,вуж,ундокс
125,Baum::N,пу,чувто
126,Stamm::N,мыр,рунго
127,Stamm::N,кер,рунго
128,Rinde::N,кач,суд
129,Rinde::N,кач,керь
130,Ast::N,ув,морго
131,Zweig::N,ув,тарад
132,Blatt::N,лист,лопа
133,Birke::N,кыдз,килей
134,Kiefer[Baum]::N,пожум,пиче
135,Weide[Baum]::N,бадь,каль
136,Tanne::N,кӧз,куз
137,Horn::N,сюр,сюро
138,Feder::N,гӧн,толга
139,Fell::N,кучик,пона
140,Flügel::N,борд,сёлмо
141,Klaue::N,гыж,кенже
142,Kralle::N,кабыр,кенже
143,Schwanz::N,бӧж,пуло
144,Ei::N,кольть,ал
145,Nest::N,поз,пизэ
146,Bau::N,осьта,варя
147,Bau::N,осьта,пизе
148,Bau::N,нора,варя
149,Bau::N,нора,пизе
150,Tier::N,зверь,ракша
151,Herde::N,гурт,стада
152,Kuh::N,мӧс,скал
153,Bulle::N,ӧшка,бука
154,Pferd::N,вӧв,лишме
155,Schaf::N,баля,реве
156,Schwein::N,порсь,туво
157,Hund::N,пон,пине
158,Hund::N,пон,киска
159,Katze::N,кань,псака
160,Bär::N,ош,овто
161,Eichhörnchen::N,ур,ур
162,Elch::N,вӧр мӧс,сярдо
163,Fuchs::N,руч,ривезь
164,Hase::N,кӧч,нумоло
165,Maus::N,шыр,чеерь
166,Wolf::N,кӧин,верьгиз
167,Vogel::N,кай,нармунь
168,Schwarm::N,стая,полк
169,Schwarm::N,стая,стада
170,Schwarm::N,чукӧр,полк
171,Schwarm::N,чукӧр,стада
172,Huhn::N,курӧг,сараз
173,Hahn::N,петух,атякш
174,Hahn::N,ай курӧг,атякш
175,Gans::N,дзодзог,гала
176,Gans::N,дзодзог,мацей
177,Adler::N,куч,куцькан
178,Adler::N,куч,тумоатякш
179,Adler::N,кутш,куцькан
180,Adler::N,кутш,тумоатякш
181,Ente::N,утка,яксярго
182,Eule::N,тупка,корж
183,Kranich::N,тури,карго
184,Krähe::N,рака,варака
185,Kuckuck::N,кӧк,куко
186,Schwan::N,юсь,локсей
187,Fisch::N,чери,кал
188,Barsch::N,ёкыш,окунь
189,Hecht::N,сирпинь,щука
190,Schlange[Tier]::N,змей,гуй
191,Wurm::N,номыр,сукс
192,Spinne::N,черань,шанжав
193,Ameise::N,кӧдзывкар,коткудав
194,Laus::N,ляпа той,сий
195,Mücke::N,ном,сеське
196,Fliege::N,гут,карво
197,Schmetterling::N,бабыв,нимиляв
198,Beere::N,ягӧд,умарь
199,Apfel::N,яблоко,умарь
200,Pilz::N,тшак,панго
201,Zwiebel::N,грез,чурька
202,Saat::N,кӧдзыс,видьметь
203,Korn::N,сю,сюро
204,Heu::N,турун,тикше
205,Schale::N,кыш,кедь
206,Schale::N,кыш,ваткавкс
207,Schale::N,киль,кедь
208,Schale::N,киль,ваткавкс
209,Grube::N,яма,латко
210,Falle::N,нальк,тувор
211,Falle::N,нальк,кундамка
212,Falle::N,кляпча,тувор
213,Falle::N,кляпча,кундамка
214,Schlinge::N,лӧч,килькш
215,Spur::N,туй,челькс
216,Spur::N,туй,пильгеки
217,Asche::N,пӧим,кулов
218,Dreck::N,нять,рудаз
219,Eisen::N,кӧрт,кшни
220,Gold::N,зарни,сырне
221,Silber::N,язісь,сия
222,Kohle::N,шом,сэдь
223,Kohle::N,шом,уголия
224,Kohle::N,уголь,сэдь
225,Kohle::N,уголь,уголия
226,Glas::N,стекло,сулика
227,Lehm::N,сёй,сёвонь
228,Sand::N,лыа,човар
229,Mensch::N,морт,ломань
230,Mann::N,мужик,аля
231,Mann::N,мужик,цёраломань
232,Frau::N,инька,ава
233,Kind::N,кага,эйкакш
234,Junge::N,зонка,цёрыне
235,Mädchen::N,нывкаок,тейтерне
236,Familie::N,семья,семия
237,Großvater::N,дед,покштя
238,Großmutter::N,баб,баба
239,Eltern::N,ай-мам,тетят-ават
240,Vater::N,ай,тетя
241,Mutter::N,мам,ава
242,Sohn::N,зон,цёра
243,Tochter::N,ныв,тейтерь
244,Bruder::N,вон,леля
245,Bruder::N,вон,ялакс
246,Schwester::N,сой,сазор
247,Onkel::N,дядь,леля
248,Tante::N,айӧлӧн сой,патя
249,Tante::N,ичинь,патя
250,Ehemann::N,жӧник,мирде
251,Ehefrau::N,инь,ни
252,Freude::N,гаж,кеняркс
253,Freude::N,радъялӧм,кеняркс
254,Gelächter::N,сералӧм,ракамо
255,Gelächter::N,сералӧм,пейдема
256,Glück::N,мичлун,уцяска
257,Kummer::N,шог,рискс
