,Concept_ID,es,es
0,Auge::N,ojo,ojo
1,Ohr::N,oreja,oreja
2,Nase::N,nariz,nariz
3,Mund::N,boca,boca
4,Zahn::N,diente,diente
5,Zunge::N,lengua,lengua
6,Lippe::N,labio,labio
7,Wange::N,mejilla,mejilla
8,Gesicht::N,cara,cara
9,Stirn::N,frente,frente
10,Haar::N,cabello,cabello
11,Schnurrbart::N,bigote,bigote
12,Bart::N,barba,barba
13,Kinn::N,barbilla,barbilla
14,Kiefer[Anatomie]::N,mandíbula,mandíbula
15,Kehle::N,garganta,garganta
16,Hals::N,cuello,cuello
17,Genick::N,nuca,nuca
18,Genick::N,nuca,cerviz
19,Genick::N,cerviz,nuca
20,Genick::N,cerviz,cerviz
21,Kopf::N,cabeza,cabeza
22,Rücken::N,espalda,espalda
23,Bauch::N,vientre,vientre
24,Nabel::N,ombligo,ombligo
25,Busen::N,pecho,pecho
26,Brust::N,pecho,pecho
27,Schulter::N,hombro,hombro
28,Arm::N,brazo,brazo
29,Ellenbogen::N,codo,codo
30,Hand::N,mano,mano
31,Handfläche::N,palma,palma
32,Finger::N,dedo,dedo
33,Fingernagel::N,uña,uña
34,Nagel[Anatomie]::N,uña,uña
35,Zeh::N,dedo del pie,dedo del pie
36,Fuß::N,pie,pie
37,Ferse::N,talón,talón
38,Knie::N,rodilla,rodilla
39,Oberschenkel::N,muslo,muslo
40,Bein::N,pierna,pierna
41,Körper::N,cuerpo,cuerpo
42,Haut::N,piel,piel
43,Blut::N,sangre,sangre
44,Ader::N,vena,vena
45,Sehne::N,tendón,tendón
46,Knochen::N,hueso,hueso
47,Gehirn::N,cerebro,cerebro
48,Gehirn::N,cerebro,encéfalo
49,Gehirn::N,encéfalo,cerebro
50,Gehirn::N,encéfalo,encéfalo
51,Herz::N,corazón,corazón
52,Magen::N,estómago,estómago
53,Leber::N,hígado,hígado
54,Atem::N,aliento,aliento
55,Hunger::N,hambre,hambre
56,Träne::N,lágrima,lágrima
57,Geschmack::N,gusto,gusto
58,Geruch::N,olor,olor
59,Schlaf::N,sueño,sueño
60,Traum::N,sueño,sueño
61,Traum::N,sueño,ensueño
62,Traum::N,ensueño,sueño
63,Traum::N,ensueño,ensueño
64,Himmel::N,cielo,cielo
65,Sonne::N,sol,sol
66,Mond::N,luna,luna
67,Stern::N,estrella,estrella
68,Luft::N,aire,aire
69,Wind::N,viento,viento
70,Welle::N,ola,ola
71,Welle::N,ola,onda
72,Welle::N,onda,ola
73,Welle::N,onda,onda
74,Wasser::N,agua,agua
75,Stein::N,piedra,piedra
76,Boden::N,suelo,suelo
77,Erde::N,tierra,tierra
78,Staub::N,polvo,polvo
79,Rauch::N,humo,humo
80,Funke::N,chispa,chispa
81,Feuer::N,fuego,fuego
82,Licht::N,luz,luz
83,Schatten::N,sombra,sombra
84,Wetter::N,tiempo,tiempo
85,Nebel::N,niebla,niebla
86,Wolke::N,nube,nube
87,Regen::N,lluvia,lluvia
88,Schnee::N,nieve,nieve
89,Eis::N,hielo,hielo
90,Frost::N,helada,helada
91,Kälte::N,frío,frío
92,Hitze::N,calor,calor
93,Raureif::N,escarcha,escarcha
94,Regenbogen::N,arco iris,arco iris
95,Donner::N,trueno,trueno
96,Strömung::N,corriente,corriente
97,Tropfen::N,gota,gota
98,Schaum::N,espuma,espuma
99,Schmutz::N,suciedad,suciedad
100,See::N,lago,lago
101,Sumpf::N,pantano,pantano
102,Moor::N,turbera,turbera
103,Wiese::N,prado,prado
104,Wiese::N,prado,pradera
105,Wiese::N,pradera,prado
106,Wiese::N,pradera,pradera
107,Wald::N,bosque,bosque
108,Hügel::N,colina,colina
109,Anhöhe::N,cerro,cerro
110,Berg::N,monte,monte
111,Berg::N,monte,montaña
112,Berg::N,montaña,monte
113,Berg::N,montaña,montaña
114,Gipfel::N,cima,cima
115,Gipfel::N,cima,cumbre
116,Gipfel::N,cumbre,cima
117,Gipfel::N,cumbre,cumbre
118,Höhle::N,cueva,cueva
119,Höhle::N,cueva,caverna
120,Höhle::N,caverna,cueva
121,Höhle::N,caverna,caverna
122,Abhang::N,cuesta,cuesta
123,Abhang::N,cuesta,declive
124,Abhang::N,declive,cuesta
125,Abhang::N,declive,declive
126,Quelle::N,fuente,fuente
127,Quelle::N,fuente,manantial
128,Quelle::N,manantial,fuente
129,Quelle::N,manantial,manantial
130,Bach::N,arroyo,arroyo
131,Fluss::N,río,río
132,Ufer::N,orilla,orilla
133,Küste::N,costa,costa
134,Festland::N,tierra firme,tierra firme
135,Meer::N,mar,mar
136,Bucht::N,cala,cala
137,Bucht::N,cala,bahía
138,Bucht::N,bahía,cala
139,Bucht::N,bahía,bahía
140,Insel::N,isla,isla
141,Blume::N,flor,flor
142,Gras::N,hierba,hierba
143,Wurzel::N,raíz,raíz
144,Baum::N,árbol,árbol
145,Stamm::N,tronco,tronco
146,Rinde::N,corteza,corteza
147,Ast::N,rama,rama
148,Zweig::N,ramo,ramo
149,Blatt::N,hoja,hoja
150,Birke::N,abedul,abedul
151,Kiefer[Baum]::N,pino,pino
152,Weide[Baum]::N,sauce,sauce
153,Tanne::N,abeto,abeto
154,Horn::N,asta,asta
155,Horn::N,asta,cuerno
156,Horn::N,cuerno,asta
157,Horn::N,cuerno,cuerno
158,Feder::N,pluma,pluma
159,Fell::N,piel,piel
160,Flügel::N,ala,ala
161,Klaue::N,garra,garra
162,Kralle::N,uña,uña
163,Kralle::N,uña,garra
164,Kralle::N,garra,uña
165,Kralle::N,garra,garra
166,Schwanz::N,cola,cola
167,Ei::N,huevo,huevo
168,Nest::N,nido,nido
169,Bau::N,madriguera,madriguera
170,Tier::N,animal,animal
171,Herde::N,rebaño,rebaño
172,Kuh::N,vaca,vaca
173,Bulle::N,toro,toro
174,Pferd::N,caballo,caballo
175,Schaf::N,oveja,oveja
176,Schwein::N,cerdo,cerdo
177,Hund::N,perro,perro
178,Katze::N,gato,gato
179,Bär::N,oso,oso
180,Eichhörnchen::N,ardilla,ardilla
181,Elch::N,alce,alce
182,Fuchs::N,zorro,zorro
183,Hase::N,liebre,liebre
184,Maus::N,ratón,ratón
185,Wolf::N,lobo,lobo
186,Vogel::N,ave,ave
187,Vogel::N,ave,pájaro
188,Vogel::N,pájaro,ave
189,Vogel::N,pájaro,pájaro
190,Schwarm::N,bandada,bandada
191,Huhn::N,gallina,gallina
192,Hahn::N,gallo,gallo
193,Gans::N,oca,oca
194,Gans::N,oca,ganso
195,Gans::N,ganso,oca
196,Gans::N,ganso,ganso
197,Adler::N,águila,águila
198,Ente::N,pato,pato
199,Eule::N,lechuza,lechuza
200,Kranich::N,grulla,grulla
201,Krähe::N,corneja,corneja
202,Kuckuck::N,cuco,cuco
203,Schwan::N,cisne,cisne
204,Fisch::N,pez,pez
205,Barsch::N,perca,perca
206,Hecht::N,lucio,lucio
207,Schlange[Tier]::N,serpiente,serpiente
208,Wurm::N,gusano,gusano
209,Spinne::N,araña,araña
210,Ameise::N,hormiga,hormiga
211,Laus::N,piojo,piojo
212,Mücke::N,mosquito,mosquito
213,Fliege::N,mosca,mosca
214,Schmetterling::N,mariposa,mariposa
215,Beere::N,baya,baya
216,Apfel::N,manzana,manzana
217,Pilz::N,seta,seta
218,Pilz::N,seta,hongo
219,Pilz::N,hongo,seta
220,Pilz::N,hongo,hongo
221,Zwiebel::N,cebolla,cebolla
222,Saat::N,siembra,siembra
223,Korn::N,grano,grano
224,Heu::N,heno,heno
225,Schale::N,cáscara,cáscara
226,Grube::N,foso,foso
227,Falle::N,trampa,trampa
228,Schlinge::N,lazo,lazo
229,Spur::N,huella,huella
230,Asche::N,ceniza,ceniza
231,Dreck::N,suciedad,suciedad
232,Eisen::N,hierro,hierro
233,Gold::N,oro,oro
234,Silber::N,plata,plata
235,Kohle::N,carbón,carbón
236,Glas::N,vidrio,vidrio
