,Concept_ID,lbe,ar
0,Auge::N,я,عين
1,Ohr::N,вичӏи,أذن
2,Nase::N,май,أنف
3,Mund::N,кьацӏ,فم
4,Zahn::N,ккарччи,سن
5,Zunge::N,маз,لسان
6,Lippe::N,мурччи,شفة
7,Wange::N,чӏав,خد
8,Wange::N,чӏав,وجنة
9,Gesicht::N,лажин,وجه
10,Stirn::N,ненттабакӏ,جبين
11,Haar::N,чӏара,شعر
12,Schnurrbart::N,ссирссилтту,شارب
13,Bart::N,чӏири,لحية
14,Kinn::N,лунттубакӏ,ذقن
15,Kiefer[Anatomie]::N,ххинчулул,فك
16,Kehle::N,кьакьари,حلق
17,Hals::N,ссурссу,عنق
18,Hals::N,ссурссу,رقبة
19,Genick::N,махъабакӏ,قفا
20,Kopf::N,бакӏ,رأس
21,Rücken::N,ттиликӏ,ظهر
22,Bauch::N,лякьа,بطن
23,Nabel::N,цӏумуккутӏ,سرة
24,Busen::N,ккукку,ثدي
25,Brust::N,хъазам,صدر
26,Schulter::N,хъачӏ,كتف
27,Arm::N,ка,ذراع
28,Ellenbogen::N,ссюрхъ,كوع
29,Hand::N,бартка,يد
30,Handfläche::N,хъат,كف
31,Handfläche::N,битӏянхъ,كف
32,Finger::N,кӏисса,إصبع
33,Fingernagel::N,михь,ظفر
34,Nagel[Anatomie]::N,михь,ظفر
35,Zeh::N,кӏисса,إصبع القدم
36,Fuß::N,чӏанччан,قدم
37,Ferse::N,никъа,كعب
38,Knie::N,ник,ركبة
39,Oberschenkel::N,жира,فخذ
40,Bein::N,ччан,ساق
41,Körper::N,чурх,جسم
42,Haut::N,бурчу,بشرة
43,Blut::N,оь,دم
44,Ader::N,тунну,عرق
45,Sehne::N,хьхьа,طنب
46,Knochen::N,ттаркӏ,عظم
47,Gehirn::N,ня,دماغ
48,Herz::N,дакӏ,قلب
49,Herz::N,къюкӏ,قلب
50,Magen::N,лякьа,معدة
51,Atem::N,ссихӏ ласаву,نفس
52,Atem::N,ссихӏ бигьаву,نفس
53,Hunger::N,ккаши,جوع
54,Träne::N,макь,دمعة
55,Geschmack::N,тӏин,طعم
56,Geschmack::N,тӏин,مذاق
57,Geschmack::N,тӏааьн,طعم
58,Geschmack::N,тӏааьн,مذاق
59,Geruch::N,кьанкь,رائحة
60,Schlaf::N,шану,نوم
61,Schlaf::N,шану,منام
62,Traum::N,макӏру,حلم
63,Himmel::N,ссав,سماء
64,Sonne::N,баргъ,شمس
65,Mond::N,барз,قمر
66,Stern::N,цӏуку,نجم
67,Stern::N,цӏуку,كوكب
68,Luft::N,гьава,هواء
69,Wind::N,марч,ريح
70,Welle::N,щатӏи,موجة
71,Wasser::N,щин,ماء
72,Stein::N,чару,حجر
73,Boden::N,аьрщи,تراب
74,Erde::N,аьрщи,أرض
75,Staub::N,ххит,غبار
76,Rauch::N,пуркӏу,دخان
77,Funke::N,пиягь,شرارة
78,Feuer::N,цӏу,نار
79,Licht::N,чани,نور
80,Licht::N,чани,ضوء
81,Schatten::N,ххют,ظل
82,Schatten::N,ххют,فيء
83,Wetter::N,гьава,جو
84,Wetter::N,гьава,طقس
85,Nebel::N,шархь ттурлу,ضباب
86,Wolke::N,ттурлу,غيمة
87,Wolke::N,ттурлу,سحابة
88,Regen::N,гъарал,مطر
89,Schnee::N,марххала,ثلج
90,Eis::N,микӏ,جليد
91,Frost::N,дяркъу,صقيع
92,Frost::N,замгьар,صقيع
93,Kälte::N,дяркъу,برد
94,Hitze::N,кӏиришиву,حر
95,Hitze::N,кӏиришиву,حرارة
96,Raureif::N,сил,صقيع
97,Raureif::N,бурса,صقيع
98,Regenbogen::N,ссурул ккуртта,قوس قزح
99,Donner::N,къув,رعد
100,Strömung::N,экьинанаву,تيار
101,Tropfen::N,кӏунтӏ,قطرة
102,Schaum::N,хьама,زبد
103,Schaum::N,хьама,رغوة
104,Schmutz::N,кьяркьи,وسخ
105,See::N,бяр,بحيرة
106,Sumpf::N,кунцӏа,مستنقع
107,Wiese::N,кьан,مرج
108,Wald::N,вацӏа,غابة
109,Hügel::N,бакӏу,تل
110,Berg::N,зунтту,جبل
111,Gipfel::N,мицӏ,قمة
112,Höhle::N,нух,كهف
113,Abhang::N,сун,منحدر
114,Quelle::N,дайдихьу,منبع
115,Quelle::N,бакӏ,منبع
116,Bach::N,чӏрир нех,مجرى
117,Fluss::N,нех,نهر
118,Ufer::N,зума,ضفة
119,Küste::N,зумаинхалу,ساحل
120,Küste::N,зуманицӏалу,ساحل
121,Festland::N,кьири,بر
122,Meer::N,хьхьири,بحر
123,Insel::N,жазира,جزيرة
124,Blume::N,тӏутӏи,زهرة
125,Gras::N,уртту,حشيش
126,Wurzel::N,мархха,أصل
127,Baum::N,мурхь,شجرة
128,Stamm::N,ттарцӏ,جذع
129,Rinde::N,ккамара,قشرة
130,Ast::N,матӏи,فرع
131,Zweig::N,къяртта,غصن
132,Blatt::N,чӏапӏи,ورقة
133,Birke::N,кӏялахӏи,قضبان
134,Birke::N,кӏялахӏилул мурхь,قضبان
135,Kiefer[Baum]::N,ттар,صنوبرة
136,Kiefer[Baum]::N,ттарлил мурхь,صنوبرة
137,Weide[Baum]::N,щавщи,صفصاف
138,Tanne::N,ттарлил мурхь,شوح
139,Tanne::N,ттарлил мурхь,تبوب
140,Horn::N,хъи,قرن
141,Feder::N,лелуххул тӏиму,ريشة
142,Fell::N,бурчу,فرو
143,Flügel::N,хъа,جناح
144,Flügel::N,ххурупӏайрал тӏиму,جناح
145,Klaue::N,михь,مخلب
146,Kralle::N,ххяппа,مخلب
147,Schwanz::N,магъ,ذيل
148,Ei::N,ккунук,بيض
149,Nest::N,кюру,عش
150,Bau::N,цукъуккутӏ,جحر
151,Tier::N,хӏайван,حيوان
152,Herde::N,газу,قطيع
153,Kuh::N,оьл,بقرة
154,Bulle::N,ниц,ثور
155,Pferd::N,чу,خيل
156,Schaf::N,тта,شاة
157,Schwein::N,дунгъуз,خنزير
158,Hund::N,ккаччи,كلب
159,Katze::N,ччиту,قطة
160,Bär::N,цуша,دب
161,Eichhörnchen::N,бюрхттукку,سنجاب
162,Elch::N,ниц-бюрин,موظ
163,Fuchs::N,цулчӏа,ثعلب
164,Fuchs::N,куча цулчӏа,ثعلب
165,Hase::N,бюрх,أرنب
166,Maus::N,кӏулу,فأرة
167,Wolf::N,барцӏ,ذئب
168,Vogel::N,лелуххи,طير
169,Schwarm::N,гьухъала,سرب
170,Huhn::N,аьнакӏи,دجاجة
171,Hahn::N,ажари,ديك
172,Gans::N,къаз,وزة
173,Adler::N,барзу,نسر
174,Ente::N,урдак,بطة
175,Eule::N,ису,بوم
176,Eule::N,ччиккумяв,بوم
177,Kranich::N,кьурукь,كركي
178,Krähe::N,хъатӏу,غراب
179,Kuckuck::N,ччикку,وقواق
180,Schwan::N,урттил къаз,إوز عراقي
181,Fisch::N,чавахъ,سمك
182,Schlange[Tier]::N,шатта,حية
183,Schlange[Tier]::N,шатта,ثعبان
184,Wurm::N,кьюнукьай шатта,دودة
185,Spinne::N,ххялцу,عنكبوت
186,Ameise::N,митӏикьукьу,نملة
187,Mücke::N,мичӏак,ناموسة
188,Fliege::N,зимиз,ذبابة
189,Schmetterling::N,чӏимучӏали,فراشة
190,Beere::N,хӏаллил ахъулсса,حبة
191,Apfel::N,гьивч,تفاح
192,Pilz::N,ттуккул иис,فطر
193,Zwiebel::N,лаччул чсмусул бакӏ,بصل
194,Saat::N,гьанна,زرع
195,Korn::N,къама,حبة
196,Heu::N,ххулув,دريس
197,Schale::N,ккиртту,قشرة
198,Grube::N,кӏаланг,نقرة
199,Falle::N,къатӏа,فخ
200,Falle::N,къатӏа,مصيدة
201,Schlinge::N,хӏатӏ,عروة
202,Spur::N,ша,أثر
203,Asche::N,лах,رماد
204,Dreck::N,кьяркьи,قذر
205,Dreck::N,венп,قذر
206,Eisen::N,мах,حديد
207,Gold::N,муси,ذهب
208,Silber::N,арцу,فضة
209,Kohle::N,кӏалаш,فحم
210,Kohle::N,хъуручӏ,فحم
211,Glas::N,пюрун,زجاج
212,Lehm::N,сина аьрщи,طين
213,Sand::N,къун,رمل
214,Mensch::N,инсан,إنسان
215,Mann::N,чув,رجل
216,Mann::N,адимина,رجل
217,Frau::N,щарсса,امرأة
218,Frau::N,хъамитайпа,امرأة
219,Kind::N,чӏиви оьрчӏ,طفل
220,Junge::N,оьрчӏ,ولد
221,Junge::N,бурхьин оьрчӏ,ولد
222,Mädchen::N,душ,بنت
223,Familie::N,кулпат,عائلة
224,Großvater::N,ттатта,جد
225,Großvater::N,ниттил ппу,جد
226,Großmutter::N,буттал нину,جدة
227,Eltern::N,нину-ппу,أبوان
228,Eltern::N,нину-ппу,والدان
229,Vater::N,ппу,أب
230,Mutter::N,нину,أم
231,Sohn::N,арс,إبن
232,Tochter::N,душ,بنت
233,Tochter::N,душ,إبنة
234,Bruder::N,уссу,أخ
235,Bruder::N,уссу,شقيق
236,Schwester::N,ссу,أخت
237,Onkel::N,буттауссу,عم
238,Tante::N,буттал ссу,عمة
239,Ehemann::N,лас,زوج
240,Ehefrau::N,щар,زوجة
241,Ehefrau::N,щарсса,زوجة
242,Freude::N,шадшиву,فرح
243,Freude::N,шадшиву,سرور
244,Freude::N,ххаришиву,فرح
245,Freude::N,ххаришиву,سرور
246,Gelächter::N,хъяхъаву,قهقهة
247,Glück::N,талихӏ,سعادة
248,Kummer::N,дард,غم
249,Wunsch::N,мурад,منية
250,Lust::N,гьавас,شهوة
251,Lust::N,ччаву,شهوة
252,Geist::N,рухӏ,روح
253,Gedanke::N,пикри,فكرة
254,Gedächtnis::N,дакӏний личӏаву,ذاكرة
255,Verstand::N,аькьлу,عقل
256,Sinn::N,мяъна,معنى
257,Grund::N,багьана,سبب
258,Wahrheit::N,тӏайламур,حقيقة
259,Wahrheit::N,хӏакьмур,حقيقة
260,Gespräch::N,ихтилат,محادثة
261,Märchen::N,магьа,خرافة
262,Erzählung::N,хавар,قصة
263,Erzählung::N,хавар,حكاية
264,Nachricht::N,хавар,خبر
265,Neuigkeit::N,хавар,خبر جديد
266,Name::N,цӏа,اسم
267,Rätsel::N,ссигьа,لغز
