,Concept_ID,xal,ja
0,Auge::N,нүдн,目
1,Ohr::N,чикн,耳
2,Nase::N,хамр,鼻
3,Mund::N,амн,口
4,Zahn::N,шүдн,歯
5,Zunge::N,келн,舌
6,Lippe::N,урл,唇
7,Wange::N,халх,頬
8,Gesicht::N,нүр,顔
9,Stirn::N,маңна,額
10,Haar::N,үсн,髪
11,Schnurrbart::N,сахл,口髭
12,Bart::N,сахл,髭
13,Bart::N,өргнә сахл,髭
14,Kinn::N,өргн,顎
15,Kiefer[Anatomie]::N,өргн,顎
16,Kehle::N,хол,喉
17,Hals::N,күзүн,首
18,Genick::N,гиҗг,首
19,Kopf::N,толһа,頭
20,Rücken::N,нурһн,背中
21,Bauch::N,гесн,腹
22,Bauch::N,гесн,お腹
23,Nabel::N,киисн,へそ
24,Busen::N,көкн,乳房
25,Brust::N,чееҗ,胸
26,Schulter::N,ээм,肩
27,Arm::N,һар,腕
28,Ellenbogen::N,тоха,肘
29,Hand::N,баһлцг,手
30,Handfläche::N,альхн,手のひら
31,Finger::N,хурһн,指
32,Finger::N,һарин хурһн,指
33,Fingernagel::N,хумсн,爪
34,Nagel[Anatomie]::N,хумсн,爪
35,Zeh::N,хурһн,足の指
36,Zeh::N,көлин хурһн,足の指
37,Fuß::N,тавг,足
38,Ferse::N,өскә,かかと
39,Knie::N,өвдг,膝
40,Oberschenkel::N,һуй,上腿
41,Bein::N,көл,足
42,Körper::N,махмуд,体
43,Haut::N,арсн,皮膚
44,Blut::N,цусн,血
45,Ader::N,судцн,血管
46,Sehne::N,шүрүсн,腱
47,Knochen::N,ясн,骨
48,Gehirn::N,экн,脳
49,Herz::N,зүркн,心
50,Herz::N,зүркн,心臓
51,Magen::N,гесн,胃
52,Leber::N,элкн,肝臓
53,Atem::N,әмсхл,息
54,Atem::N,әмсхл,呼吸
55,Hunger::N,харһнлһн,空腹
56,Träne::N,нульмсн,涙
57,Geschmack::N,амтн,味
58,Geruch::N,үнр,匂い
59,Schlaf::N,нөр,睡眠
60,Traum::N,зүүдн,夢
61,Himmel::N,теңгр,空
62,Sonne::N,нарн,太陽
63,Mond::N,сар,月
64,Stern::N,одн,星
65,Luft::N,аһар,空気
66,Wind::N,салькн,風
67,Welle::N,дольган,波
68,Wasser::N,усн,水
69,Stein::N,чолун,石
70,Boden::N,Һазр,土地
71,Erde::N,Һазр,土
72,Staub::N,тоосн,埃
73,Rauch::N,утан,煙
74,Funke::N,очн,火花
75,Feuer::N,һал,火
76,Licht::N,герл,光
77,Schatten::N,сүүдр,陰
78,Wetter::N,теңгр,天気
79,Nebel::N,будн,霧
80,Wolke::N,үүлн,雲
81,Regen::N,хур,雨
82,Schnee::N,цасн,雪
83,Eis::N,мөсн,氷
84,Frost::N,киитн,霜
85,Kälte::N,киитн,寒さ
86,Hitze::N,халун,暑さ
87,Raureif::N,цаң,霧氷
88,Raureif::N,кирү,霧氷
89,Regenbogen::N,солңһ,虹
90,Donner::N,оһтрһун дун,雷
91,Strömung::N,урсхл,流れ
92,Tropfen::N,дусал,滴
93,Schaum::N,көөсн,泡
94,Schmutz::N,кир,汚れ
95,See::N,нур,湖
96,Sumpf::N,унул,沼
97,Moor::N,улм,湿原
98,Wiese::N,хадлһн,草原
99,Wald::N,ө-модн,森
100,Hügel::N,толһа,丘
101,Anhöhe::N,хамр,高み
102,Berg::N,уул,山
103,Gipfel::N,ора,頂上
104,Höhle::N,хадин көндә,洞窟
105,Abhang::N,ташу,斜面
106,Quelle::N,булг,泉
107,Bach::N,һооҗур,小川
108,Fluss::N,һол,川
109,Ufer::N,көвә,岸
110,Küste::N,көвә,海岸
111,Küste::N,теңгсин көвә,海岸
112,Festland::N,хүүрә һазр,陸
113,Meer::N,теңгс,海
114,Bucht::N,цекә,湾
115,Bucht::N,теңгсин цекә,湾
116,Insel::N,арл,島
117,Blume::N,цецг,花
118,Gras::N,ноһан,草
119,Wurzel::N,уңг,根
120,Baum::N,модн,木
121,Stamm::N,шилв,幹
122,Stamm::N,һол модн,幹
123,Rinde::N,көрсн,皮層
124,Ast::N,ац,枝
125,Zweig::N,ац,小枝
126,Blatt::N,хамтхасн,葉
127,Birke::N,хусм модн,樺
128,Kiefer[Baum]::N,шар харһа,松
129,Weide[Baum]::N,удн,柳
130,Tanne::N,җөөлн цаһан модн,樅
131,Horn::N,өвр,角
132,Feder::N,өрвлг,羽根
133,Fell::N,арсн,毛皮
134,Flügel::N,җивр,羽
135,Klaue::N,хумсн,鉤爪
136,Kralle::N,тавг,爪
137,Schwanz::N,сүл,尻尾
138,Ei::N,өндгн,卵
139,Nest::N,үр,巣
140,Bau::N,нүкн,穴
141,Tier::N,мал,動物
142,Herde::N,сүрг мал,群れ
143,Kuh::N,үкр,牛
144,Bulle::N,бух,雄牛
145,Pferd::N,мөрн,馬
146,Schaf::N,хөн,羊
147,Schwein::N,һаха,豚
148,Hund::N,ноха,犬
149,Katze::N,мис,猫
150,Bär::N,аю,熊
151,Eichhörnchen::N,кермн,栗鼠
152,Elch::N,хандһа,ヘラジカ
153,Fuchs::N,арат,狐
154,Hase::N,туула,兎
155,Maus::N,хулһн,鼠
156,Wolf::N,чон,狼
157,Vogel::N,шовун,鳥
158,Schwarm::N,зел,群れ
159,Huhn::N,така,鶏
160,Hahn::N,эр така,雄鶏
161,Gans::N,һалун,ガチョウ
162,Adler::N,һәрд,鷲
163,Ente::N,нуһсн,鴨
164,Eule::N,һурвлһ,フクロウ
165,Kranich::N,тоһрун,鶴
166,Krähe::N,шаазһа,烏
167,Kuckuck::N,эргин хуцдг,郭公
168,Schwan::N,хун,白鳥
169,Fisch::N,заһсн,魚
170,Barsch::N,шүрг,鱸
