,Concept_ID,hr,hr
0,Auge::N,oko,oko
1,Ohr::N,uho,uho
2,Nase::N,nos,nos
3,Mund::N,usta,usta
4,Zahn::N,zub,zub
5,Zunge::N,jezik,jezik
6,Lippe::N,usna,usna
7,Wange::N,obraz,obraz
8,Gesicht::N,lice,lice
9,Stirn::N,čelo,čelo
10,Haar::N,kosa,kosa
11,Schnurrbart::N,brkovi,brkovi
12,Bart::N,brada,brada
13,Kinn::N,brada,brada
14,Kinn::N,brada,podbradak
15,Kinn::N,podbradak,brada
16,Kinn::N,podbradak,podbradak
17,Kiefer[Anatomie]::N,čeljust,čeljust
18,Kehle::N,grlo,grlo
19,Hals::N,vrat,vrat
20,Genick::N,zatiljak,zatiljak
21,Kopf::N,glava,glava
22,Rücken::N,leđa,leđa
23,Rücken::N,leđa,hrbat
24,Rücken::N,hrbat,leđa
25,Rücken::N,hrbat,hrbat
26,Bauch::N,trbuh,trbuh
27,Nabel::N,pupak,pupak
28,Busen::N,sisa,sisa
29,Busen::N,sisa,njedra
30,Busen::N,njedra,sisa
31,Busen::N,njedra,njedra
32,Brust::N,prsa,prsa
33,Schulter::N,rame,rame
34,Schulter::N,rame,pleći
35,Schulter::N,pleći,rame
36,Schulter::N,pleći,pleći
37,Arm::N,ruka,ruka
38,Ellenbogen::N,lakat,lakat
39,Hand::N,ruka,ruka
40,Handfläche::N,dlan,dlan
41,Finger::N,prst,prst
42,Fingernagel::N,nokat,nokat
43,Nagel[Anatomie]::N,nokat,nokat
44,Zeh::N,nozni prst,nozni prst
45,Fuß::N,noga,noga
46,Fuß::N,noga,stopalo
47,Fuß::N,stopalo,noga
48,Fuß::N,stopalo,stopalo
49,Ferse::N,peta,peta
50,Knie::N,koljeno,koljeno
51,Oberschenkel::N,bedro,bedro
52,Bein::N,noga,noga
53,Körper::N,tijelo,tijelo
54,Haut::N,put,put
55,Haut::N,put,koža
56,Haut::N,koža,put
57,Haut::N,koža,koža
58,Blut::N,krv,krv
59,Ader::N,žila,žila
60,Sehne::N,tetiva,tetiva
61,Knochen::N,kost,kost
62,Herz::N,srce,srce
63,Magen::N,stomak,stomak
64,Magen::N,stomak,želudac
65,Magen::N,želudac,stomak
66,Magen::N,želudac,želudac
67,Leber::N,jetra,jetra
68,Atem::N,dah,dah
69,Hunger::N,glad,glad
70,Träne::N,suza,suza
71,Geschmack::N,ukus,ukus
72,Geruch::N,njuh,njuh
