,Concept_ID,lv,kv
0,Auge::N,син,син
1,Auge::N,acs,син
2,Ohr::N,пель,пель
3,Ohr::N,auss,пель
4,Nase::N,ныр,ныр
5,Nase::N,deguns,ныр
6,Mund::N,вом,ӧм
7,Mund::N,mute,ӧм
8,Zahn::N,пинь,пинь
9,Zahn::N,zobs,пинь
10,Zunge::N,кыв,кыв
11,Zunge::N,mēle,кыв
12,Lippe::N,вом дор,тырп
13,Lippe::N,lūpa,тырп
14,Wange::N,бан,рожабан
15,Wange::N,vaigs,рожабан
16,Gesicht::N,чужӧм,бан
17,Gesicht::N,seja,бан
18,Gesicht::N,ģīmis,бан
19,Stirn::N,плеш,кымӧс
20,Stirn::N,кымӧс,кымӧс
21,Stirn::N,piere,кымӧс
22,Haar::N,си,юрси
23,Haar::N,юрси,юрси
24,Haar::N,mats,юрси
25,Schnurrbart::N,ус,уссэз
26,Schnurrbart::N,пыртсим,уссэз
27,Schnurrbart::N,ūsas,уссэз
28,Bart::N,тош,тош
29,Bart::N,bārda,тош
30,Kinn::N,тшӧка,тшӧка
31,Kinn::N,zods,тшӧка
32,Kinn::N,smakrs,тшӧка
33,Kiefer[Anatomie]::N,черлы,ан
34,Kiefer[Anatomie]::N,алака лы,ан
35,Kiefer[Anatomie]::N,вомкӧтш лы,ан
36,Kiefer[Anatomie]::N,žoklis,ан
37,Kehle::N,голя,юан
38,Kehle::N,rīkle,юан
39,Hals::N,сьылі,юан
40,Hals::N,kakls,юан
41,Genick::N,юрбӧр,юр бӧр
42,Genick::N,балябӧж,юр бӧр
43,Genick::N,sprands,юр бӧр
44,Kopf::N,юр,юр
45,Kopf::N,galva,юр
46,Rücken::N,мыш,мышк
47,Rücken::N,mugura,мышк
48,Bauch::N,рушку,кынӧм
49,Bauch::N,vēders,кынӧм
50,Nabel::N,гӧг,гӧг
51,Nabel::N,naba,гӧг
52,Busen::N,морӧс,морос
53,Busen::N,krūts,морос
54,Brust::N,морӧс,морос
55,Brust::N,krūts,морос
56,Schulter::N,пельпом,пельпон
57,Schulter::N,plecs,пельпон
58,Arm::N,ки,ки
59,Arm::N,roka,ки
60,Arm::N,delms,ки
61,Ellenbogen::N,гырддза,гырдзза
62,Ellenbogen::N,elkonis,гырдзза
63,Hand::N,ки,кикар
64,Hand::N,roka,кикар
65,Hand::N,plauksta,кикар
66,Handfläche::N,ки пыдӧс,ки пыдӧс
67,Handfläche::N,delna,ки пыдӧс
68,Handfläche::N,plauksta,ки пыдӧс
69,Finger::N,чунь,чунь
70,Finger::N,pirksts,чунь
71,Fingernagel::N,гыж,гыж
72,Fingernagel::N,nags,гыж
73,Nagel[Anatomie]::N,гыж,гыж
74,Nagel[Anatomie]::N,nags,гыж
75,Zeh::N,кок чунь,чунь
76,Zeh::N,pirksts,чунь
77,Fuß::N,кок,кокпыдӧс
78,Fuß::N,kāja,кокпыдӧс
79,Ferse::N,кокбӧр,кокдзир
80,Ferse::N,papēdis,кокдзир
81,Knie::N,пидзӧс,пидзӧс
82,Knie::N,celis,пидзӧс
83,Oberschenkel::N,лядьвей,лядьбей
84,Oberschenkel::N,бек,лядьбей
85,Oberschenkel::N,ciska,лядьбей
86,Oberschenkel::N,augšstilbs,лядьбей
