,Concept_ID,hr,no
0,Auge::N,oko,øye
1,Ohr::N,uho,øre
2,Nase::N,nos,nese
3,Mund::N,usta,munn
4,Zahn::N,zub,tann
5,Zunge::N,jezik,tunge
6,Lippe::N,usna,leppe
7,Wange::N,obraz,kinn
8,Gesicht::N,lice,fjes
9,Gesicht::N,lice,ansikt
10,Stirn::N,čelo,panne
11,Haar::N,kosa,hår
12,Schnurrbart::N,brkovi,bart
13,Bart::N,brada,skjegg
14,Kinn::N,brada,hake
15,Kinn::N,podbradak,hake
16,Kiefer[Anatomie]::N,čeljust,kjeve
17,Kehle::N,grlo,strupe
18,Hals::N,vrat,hals
19,Genick::N,zatiljak,nakke
20,Kopf::N,glava,hode
21,Rücken::N,leđa,rygg
22,Rücken::N,hrbat,rygg
23,Bauch::N,trbuh,buk
24,Bauch::N,trbuh,mage
25,Nabel::N,pupak,navle
26,Busen::N,sisa,barm
27,Busen::N,njedra,barm
28,Brust::N,prsa,bryst
29,Schulter::N,rame,skulder
30,Schulter::N,pleći,skulder
31,Arm::N,ruka,arm
32,Ellenbogen::N,lakat,albue
33,Hand::N,ruka,hånd
34,Handfläche::N,dlan,håndflate
35,Finger::N,prst,finger
36,Fingernagel::N,nokat,fingernegl
37,Nagel[Anatomie]::N,nokat,negl
38,Zeh::N,nozni prst,tå
39,Fuß::N,noga,fot
40,Fuß::N,stopalo,fot
41,Ferse::N,peta,hæl
42,Knie::N,koljeno,kne
43,Oberschenkel::N,bedro,lår
44,Bein::N,noga,bein
45,Körper::N,tijelo,kropp
46,Körper::N,tijelo,legeme
47,Haut::N,put,hud
48,Haut::N,put,skinn
49,Haut::N,koža,hud
50,Haut::N,koža,skinn
51,Blut::N,krv,blod
52,Ader::N,žila,åre
53,Sehne::N,tetiva,sene
54,Knochen::N,kost,bein
55,Knochen::N,kost,knokkel
56,Herz::N,srce,hjerte
57,Magen::N,stomak,mage
58,Magen::N,želudac,mage
59,Leber::N,jetra,lever
60,Atem::N,dah,pust
61,Hunger::N,glad,sult
62,Träne::N,suza,tåre
63,Geschmack::N,ukus,smak
64,Geruch::N,njuh,lukt
65,Geruch::N,miris,lukt
66,Schlaf::N,san,søvn
67,Traum::N,san,drøm
68,Himmel::N,nebo,himmel
69,Sonne::N,sunce,sol
70,Mond::N,mjesec,måne
71,Stern::N,zvijezda,stjerne
72,Luft::N,zrak,luft
73,Wind::N,vjetar,vind
74,Welle::N,val,bølge
75,Welle::N,talas,bølge
76,Wasser::N,voda,vann
77,Stein::N,kamen,stein
78,Boden::N,tlo,bakke
79,Boden::N,zemlja,bakke
80,Erde::N,zemlja,jord
81,Staub::N,prah,støv
82,Staub::N,prašina,støv
83,Rauch::N,dim,røyk
84,Funke::N,iskra,gnist
85,Funke::N,varnica,gnist
86,Feuer::N,vatra,ild
87,Licht::N,svjetlo,lys
88,Schatten::N,hlad,skygge
89,Schatten::N,sjena,skygge
90,Wetter::N,vrijeme,vær
91,Nebel::N,magla,tåke
92,Wolke::N,oblak,sky
93,Regen::N,kiša,regn
94,Schnee::N,snijeg,snø
95,Eis::N,led,is
96,Frost::N,mraz,frost
97,Kälte::N,studen,kulde
98,Kälte::N,hladnoća,kulde
99,Hitze::N,vrućina,hete
100,Raureif::N,inje,rimfrost
101,Regenbogen::N,duga,regnbue
102,Donner::N,grom,torden
103,Donner::N,grmljavina,torden
104,Strömung::N,struja,strømning
105,Strömung::N,strujanje,strømning
106,Tropfen::N,kap,dråpe
107,Tropfen::N,kaplja,dråpe
108,Schaum::N,pjena,skum
109,Schmutz::N,nečistoća,søl
110,Schmutz::N,nečistoća,skitt
111,Schmutz::N,prljavština,søl
112,Schmutz::N,prljavština,skitt
113,See::N,jezero,sjø
114,Sumpf::N,bara,sump
115,Sumpf::N,bara,myrlende
116,Moor::N,močvara,myr
117,Moor::N,močvara,myrhei
118,Wiese::N,livada,eng
119,Wald::N,šuma,skog
120,Hügel::N,brijeg,haug
121,Hügel::N,brijeg,bakke
122,Hügel::N,brežuljak,haug
123,Hügel::N,brežuljak,bakke
124,Anhöhe::N,uzvišica,haug
125,Anhöhe::N,uzvišica,bakke
126,Berg::N,brdo,berg
127,Berg::N,brdo,fjell
128,Gipfel::N,vrh,topp
129,Höhle::N,pećina,hule
130,Höhle::N,spilja,hule
131,Abhang::N,obronak,li
132,Abhang::N,obronak,skråning
133,Abhang::N,nizbrdica,li
134,Abhang::N,nizbrdica,skråning
135,Quelle::N,izvor,kilde
136,Quelle::N,vrelo,kilde
137,Bach::N,potok,bekk
138,Fluss::N,rijeka,elv
139,Ufer::N,obala,bredd
140,Küste::N,obala,kyst
141,Küste::N,morska obala,kyst
142,Festland::N,kopno,fastland
143,Meer::N,more,hav
144,Bucht::N,zaliv,bukt
145,Insel::N,ada,øy
146,Insel::N,otok,øy
147,Blume::N,cvijet,blomst
148,Gras::N,trava,gress
149,Wurzel::N,korijen,rot
150,Baum::N,drvo,tre
151,Baum::N,stablo,tre
152,Stamm::N,deblo,stamme
153,Stamm::N,stablo,stamme
154,Rinde::N,kora,bark
155,Ast::N,grana,gren
156,Zweig::N,grana,kvist
157,Blatt::N,list,blad
158,Birke::N,breza,bjørk
159,Kiefer[Baum]::N,bor,furu
160,Weide[Baum]::N,iva,selje
161,Weide[Baum]::N,iva,piletre
162,Weide[Baum]::N,vŕba,selje
163,Weide[Baum]::N,vŕba,piletre
164,Tanne::N,jela,gran
165,Horn::N,rog,horn
166,Feder::N,pero,fjær
167,Fell::N,koža,skinn
168,Flügel::N,krilo,vinge
169,Klaue::N,papak,klauv
170,Kralle::N,pandža,klo
171,Schwanz::N,rep,hale
172,Ei::N,jaje,egg
173,Nest::N,gnijezdo,rede
174,Bau::N,jazbina,hi
175,Tier::N,životinja,dyr
176,Herde::N,krdo,flokk
177,Herde::N,stado,flokk
178,Kuh::N,krava,ku
179,Bulle::N,bik,tyr
180,Pferd::N,konj,hest
181,Schaf::N,ovca,får
182,Schwein::N,svinja,gris
183,Hund::N,pas,hund
184,Hund::N,pseto,hund
185,Katze::N,mačka,katt
186,Bär::N,medvjed,bjørn
187,Eichhörnchen::N,vjeverica,ekorn
188,Elch::N,los,elg
189,Fuchs::N,lisica,rev
190,Hase::N,zec,hare
191,Maus::N,miš,mus
192,Wolf::N,vuk,ulv
193,Wolf::N,vuk,varg
194,Wolf::N,kurjak,ulv
195,Wolf::N,kurjak,varg
196,Vogel::N,ptica,fugl
197,Schwarm::N,roj,sverm
198,Schwarm::N,jato,sverm
199,Huhn::N,kokoš,høne
200,Hahn::N,kokot,hane
201,Hahn::N,pijevac,hane
202,Gans::N,guska,gås
203,Adler::N,orao,ørn
204,Ente::N,patka,and
205,Eule::N,sova,ugle
206,Kranich::N,ždral,trane
207,Krähe::N,vrana,kråke
208,Kuckuck::N,kukavica,gjøk
209,Schwan::N,labud,svane
210,Fisch::N,riba,fisk
211,Barsch::N,grgeč,abbor
212,Hecht::N,štuka,gjedde
213,Schlange[Tier]::N,guja,orm
214,Schlange[Tier]::N,guja,slange
215,Schlange[Tier]::N,zmija,orm
216,Schlange[Tier]::N,zmija,slange
217,Wurm::N,crv,orm
218,Wurm::N,crv,mark
219,Spinne::N,pauk,edderkopp
220,Ameise::N,mrav,maur
221,Laus::N,uš,lus
222,Mücke::N,komarac,mygg
223,Fliege::N,muha,flue
224,Schmetterling::N,leptir,sommerfugl
225,Beere::N,boba,bær
226,Beere::N,bobica,bær
227,Apfel::N,jabuka,eple
228,Pilz::N,pečurka,sopp
229,Zwiebel::N,luk,løk
230,Zwiebel::N,kapula,løk
231,Saat::N,sjemenje,sæd
232,Korn::N,zrno,korn
233,Heu::N,sijeno,høy
234,Schale::N,kora,skall
235,Schale::N,ljuska,skall
236,Grube::N,jama,grop
237,Falle::N,zamka,felle
238,Falle::N,klopka,felle
239,Schlinge::N,uzao,snare
240,Schlinge::N,petlja,snare
241,Spur::N,trag,spor
242,Spur::N,slijed,spor
243,Asche::N,pepeo,aske
244,Dreck::N,blato,møkk
245,Dreck::N,blato,skitt
246,Eisen::N,željezo,jern
247,Gold::N,zlato,gull
248,Silber::N,srebro,sølv
249,Kohle::N,ugalj,kol
