,Concept_ID,lbe,sk
0,Auge::N,я,oko
1,Ohr::N,вичӏи,ucho
2,Nase::N,май,nos
3,Mund::N,кьацӏ,ústa
4,Zahn::N,ккарччи,zub
5,Zunge::N,маз,jazyk
6,Lippe::N,мурччи,pera
7,Wange::N,чӏав,líce
8,Gesicht::N,лажин,tvár
9,Gesicht::N,лажин,obličaj
10,Stirn::N,ненттабакӏ,čelo
11,Haar::N,чӏара,vlas
12,Schnurrbart::N,ссирссилтту,fúzy
13,Bart::N,чӏири,brada
14,Kinn::N,лунттубакӏ,brada
15,Kiefer[Anatomie]::N,ххинчулул,čeľusť
16,Kehle::N,кьакьари,hrdlo
17,Hals::N,ссурссу,krk
18,Genick::N,махъабакӏ,väzy
19,Kopf::N,бакӏ,hlava
20,Rücken::N,ттиликӏ,chrbát
21,Bauch::N,лякьа,brucho
22,Nabel::N,цӏумуккутӏ,pupok
23,Busen::N,ккукку,prsia
24,Brust::N,хъазам,hruď
25,Schulter::N,хъачӏ,plece
26,Arm::N,ка,rameno
27,Ellenbogen::N,ссюрхъ,lakeť
28,Hand::N,бартка,ruka
29,Handfläche::N,хъат,dlaň
30,Handfläche::N,битӏянхъ,dlaň
31,Finger::N,кӏисса,prst
32,Fingernagel::N,михь,necht
33,Nagel[Anatomie]::N,михь,necht
34,Zeh::N,кӏисса,prst na nohe
35,Fuß::N,чӏанччан,noha
36,Ferse::N,никъа,päta
37,Knie::N,ник,koleno
38,Oberschenkel::N,жира,stehno
39,Bein::N,ччан,noha
40,Körper::N,чурх,telo
41,Haut::N,бурчу,koža
42,Blut::N,оь,krv
43,Ader::N,тунну,žila
44,Sehne::N,хьхьа,šľacha
45,Knochen::N,ттаркӏ,kosť
46,Gehirn::N,ня,mozog
47,Herz::N,дакӏ,srdce
48,Herz::N,къюкӏ,srdce
49,Magen::N,лякьа,žalúdok
50,Atem::N,ссихӏ ласаву,dych
51,Atem::N,ссихӏ бигьаву,dych
52,Hunger::N,ккаши,hlad
53,Träne::N,макь,slza
54,Geschmack::N,тӏин,chuť
55,Geschmack::N,тӏааьн,chuť
56,Geruch::N,кьанкь,pach
57,Schlaf::N,шану,spánok
58,Traum::N,макӏру,sen
59,Himmel::N,ссав,nebo
60,Sonne::N,баргъ,slnko
61,Mond::N,барз,mesiac
62,Stern::N,цӏуку,hviezda
63,Luft::N,гьава,vzduch
64,Wind::N,марч,vietor
65,Welle::N,щатӏи,vlna
66,Wasser::N,щин,voda
67,Stein::N,чару,kameň
68,Boden::N,аьрщи,zem
69,Boden::N,аьрщи,pôda
70,Erde::N,аьрщи,zem
71,Staub::N,ххит,prach
72,Rauch::N,пуркӏу,dym
73,Funke::N,пиягь,iskra
74,Feuer::N,цӏу,oheň
