,Concept_ID,ko,sah
0,Auge::N,눈,харах
1,Ohr::N,귀,кулгаах
2,Nase::N,코,мурун
3,Mund::N,입,айах
4,Zahn::N,이,тиис
5,Zunge::N,혀,тыл
6,Lippe::N,입술,уос
7,Wange::N,뺨,иэдэс
8,Gesicht::N,얼굴,сирэй
9,Stirn::N,이마,сүүс
10,Haar::N,털,баттах
11,Schnurrbart::N,윗수몀,уос бытыга
12,Schnurrbart::N,코밑수염,уос бытыга
13,Bart::N,수엄,сэҥийэ бытыга
14,Kinn::N,아래턱,сэҥийэ
15,Kiefer[Anatomie]::N,턱,сыҥаах
16,Kehle::N,인후,тамах
17,Kehle::N,인후,күөмэй
18,Hals::N,목,моой
19,Genick::N,먹덜이,кэтэх
20,Kopf::N,머리,бас
21,Rücken::N,든,көҕүс
22,Bauch::N,배,ис
23,Nabel::N,배꼽,киин
24,Busen::N,가슴속,эмиий
25,Brust::N,가슴,түөс
26,Schulter::N,어깨,сарын
27,Arm::N,팔,илии
28,Ellenbogen::N,팔쿰치,тоҕонох
29,Hand::N,손,илии
30,Handfläche::N,손바닥,ытыс
31,Finger::N,속가락,тарбах
32,Fingernagel::N,손톱,тыҥырах
33,Nagel[Anatomie]::N,손톱,тыҥырах
34,Zeh::N,발가락,тарбах
35,Fuß::N,발,уллуҥах
36,Ferse::N,발꿈치,тилэх
37,Knie::N,무릎,тобук
38,Knie::N,무릎,дьилбэк
39,Oberschenkel::N,허벅다리,уллук
40,Oberschenkel::N,허벅다리,өттүк
41,Bein::N,다리,атах
42,Körper::N,구간,бэйэ
43,Haut::N,살갗,тирии
44,Blut::N,피,хаан
45,Ader::N,정맥,вена
46,Ader::N,정맥,күөх_тымыр
47,Sehne::N,현,иҥиир
48,Knochen::N,뼈,уҥуох
49,Knochen::N,뼈,уҥгуох
50,Gehirn::N,뇌,мэйии
51,Gehirn::N,뇌수,мэйии
52,Herz::N,염통,сүрэх
53,Magen::N,위,куртах
54,Leber::N,간,быар
55,Atem::N,기식,тыын
56,Hunger::N,공복,аас
57,Träne::N,눈물,харах уута
58,Geschmack::N,기호,амтан
59,Geruch::N,냄새,сыт
60,Schlaf::N,수면,утуйуу
61,Traum::N,쿰,түүл
62,Himmel::N,하늘,халлаан
63,Sonne::N,해,күн
64,Mond::N,달,ый
65,Stern::N,별,сулус
66,Luft::N,동준,салгын
67,Luft::N,가스채,салгын
68,Wind::N,바람,тыал
69,Welle::N,물결,долгун
70,Welle::N,물결,балхаан
71,Wasser::N,물,уу
72,Stein::N,돌,таас
73,Boden::N,바닥,сир
74,Erde::N,흙,буор
75,Staub::N,먼지,быыл
76,Rauch::N,연기,буруо
77,Funke::N,불티,кыым
78,Feuer::N,불,уот
79,Licht::N,불,уот
80,Schatten::N,어스레함,күлүк
81,Wetter::N,기상,күн-дьыл
82,Nebel::N,안개,туман
83,Wolke::N,구름,былыт
84,Regen::N,비,самыыр
85,Schnee::N,눈,хаар
86,Eis::N,얼음,муус
87,Frost::N,혹한,тымныы
88,Kälte::N,추위,тымныы
89,Kälte::N,차가움,тымныы
90,Hitze::N,고온,куйаас
91,Hitze::N,더위,куйаас
92,Regenbogen::N,무지개,кустук
93,Donner::N,뇌명,этиҥ
94,Strömung::N,유동,сүүрүк
95,Tropfen::N,물방울,таммах
96,Tropfen::N,물방울,хааппыла
97,Schaum::N,포말,күүгэн
98,Schmutz::N,때,кир
99,See::N,호수,күөл
100,Sumpf::N,습지,бадараан
101,Moor::N,저습지,дьэбэрэ
102,Wiese::N,목초지,ходуһа
103,Wald::N,숲,ойуур
104,Hügel::N,언덕,булгунньах
105,Anhöhe::N,언덕,үрдэл
106,Berg::N,산,хайа
107,Gipfel::N,졀졍,чыпчаал
108,Höhle::N,공동,хайа_хаспаҕа
109,Höhle::N,공동,көҥүс
110,Abhang::N,몰매,эниэ
111,Quelle::N,근원,дьүүктэ
112,Bach::N,내,үрүйэ
113,Fluss::N,강,өрүс
114,Ufer::N,강변,биэрэк
115,Ufer::N,바닷가,биэрэк
116,Küste::N,해변,кытыл
117,Küste::N,해변가,кытыл
118,Festland::N,본토,кураанах сир
119,Meer::N,바다,муора
120,Bucht::N,협만,хомо
121,Bucht::N,협만,бухта
122,Insel::N,섬,арыы
123,Blume::N,꽃,сибэкки
124,Gras::N,풀,от
125,Wurzel::N,뿌리,силис
126,Baum::N,나무,мас
127,Stamm::N,대,умнас
128,Rinde::N,나무껍질,хатырык
129,Ast::N,가지,мутук
130,Zweig::N,가지,лабаа
131,Blatt::N,잎,сэбирдэх
132,Birke::N,자작나무,хатыҥ
133,Kiefer[Baum]::N,소나무,бэс
134,Weide[Baum]::N,쉬양버들,үөт
135,Weide[Baum]::N,쉬양버들,талах
136,Tanne::N,전나무,харыйа
137,Horn::N,뿔,муос
138,Feder::N,깃털,куорсун
139,Fell::N,피혁모피,тирии
140,Flügel::N,날개,кынат
141,Klaue::N,갈고리 발톺,тыҥырах
142,Kralle::N,발툭,баппаҕай
143,Schwanz::N,꼬리,кутурук
144,Ei::N,알,сымыыт
145,Nest::N,보금자리,уйа
146,Bau::N,굴,хороон
147,Tier::N,짐승,кыыл
148,Tier::N,짐승,харамай
149,Herde::N,가축의떼,үөр
150,Kuh::N,암소,ынах
151,Bulle::N,황소,оҕус
152,Pferd::N,말,сылгы
153,Schaf::N,양,овца
154,Schwein::N,돼지,сибиинньэ
155,Hund::N,개,ыт
156,Katze::N,고양이,куоска
157,Bär::N,콤,эһэ
158,Eichhörnchen::N,다람쥐,тииҥ
159,Elch::N,고라니,тайах
160,Fuchs::N,여우,саһыл
161,Hase::N,토끼,куобах
162,Maus::N,쥐,кутуйах
163,Wolf::N,늑대,бөрө
164,Vogel::N,새,көтөр
165,Schwarm::N,뗴,бөлөх
166,Huhn::N,암탉,куурусса
167,Hahn::N,수탉,бөтүүк
168,Gans::N,거위,хаас
169,Adler::N,수리,хотой
170,Ente::N,오리,кус
171,Eule::N,부엉이,мэкчиргэ
172,Kranich::N,두루미,туруйа
173,Krähe::N,까마귀,тураах
174,Kuckuck::N,뻐꾸기,кэҕэ
175,Schwan::N,배조,куба
176,Fisch::N,물고기,балык
177,Barsch::N,농어,алыһар
178,Hecht::N,에속스,сордон
179,Schlange[Tier]::N,뱀,моҕой
180,Schlange[Tier]::N,뱀,эриэн үөн
181,Wurm::N,벌레,үөн
182,Spinne::N,거미,ооҕуй
183,Ameise::N,개미,кымырдаҕас
184,Laus::N,이,быт
185,Mücke::N,모기,кумаар
186,Fliege::N,날기,сахсырҕа
187,Schmetterling::N,나비,лыах
188,Schmetterling::N,나비,үрүмэччи
189,Beere::N,장과,отон
190,Apfel::N,사과,яблоко
191,Pilz::N,고방이,тэллэй
192,Zwiebel::N,양파,луук
193,Saat::N,씨,сиэмэ
194,Korn::N,알맹이,сиэмэ
195,Heu::N,건초,от
196,Schale::N,피상,хах
197,Falle::N,함정,сохсо
198,Schlinge::N,올가미,уктаа
199,Schlinge::N,멜빵붕대,уктаа
200,Spur::N,발지국,суол
201,Asche::N,재,күл
202,Dreck::N,똥,бадараан
203,Dreck::N,오물,бадараан
204,Eisen::N,쇠,тимир
205,Eisen::N,철,тимир
206,Gold::N,항금,көмүс
207,Gold::N,항금,кыһыл көмүс
208,Silber::N,은,көмүс
209,Silber::N,은,үрүҥ көмүс
210,Kohle::N,슻,чох
211,Glas::N,유리,өстүөкүлэ
212,Lehm::N,찰흙,туой
213,Sand::N,모래,кумах
214,Mensch::N,사람,киһи
215,Mann::N,남자,эр
216,Frau::N,여자,дьахтар
217,Kind::N,아이,оҕо
218,Junge::N,소녁,уол
219,Mädchen::N,소녀,кыыс оҕо
220,Familie::N,가족,кэргэн
221,Großvater::N,할아버지,эһэ
222,Großmutter::N,할머니,эбэ
223,Eltern::N,어버오,аҕа-ийэ
224,Vater::N,아버지,аҕа
225,Mutter::N,어머니,ийэ
226,Sohn::N,아들,уол
227,Tochter::N,딸기,кыыс
228,Bruder::N,형제,убай
229,Bruder::N,형제,быраат
230,Schwester::N,누이,аҕас
231,Schwester::N,누이,балыс
232,Onkel::N,백부,таай
233,Onkel::N,백부,абаҕа
234,Tante::N,아주머니,эдьиий
235,Ehemann::N,남편,эр
236,Ehefrau::N,아내,ойох
237,Freude::N,기쁨,үөрүү
238,Gelächter::N,웃음,күлүү
239,Glück::N,즐거움,дьол
240,Glück::N,즐거움,соргу
241,Kummer::N,슬픔,кутурҕан
242,Wunsch::N,소망,баҕарыы
243,Geist::N,할기,тыын
244,Gedanke::N,상념,санаа
245,Gedächtnis::N,기억,өй
