,Concept_ID,vep,de
0,Auge::N,sil'm,Auge
1,Ohr::N,korv,Ohr
2,Nase::N,nena,Nase
3,Mund::N,su,Mund
4,Zahn::N,pi,Zahn
5,Zahn::N,hambaz,Zahn
6,Zunge::N,kel',Zunge
7,Lippe::N,hul',Lippe
8,Wange::N,modpolišk,Wange
9,Gesicht::N,mod,Gesicht
10,Stirn::N,oc,Stirn
11,Haar::N,tuk,Haar
12,Haar::N,hibuz,Haar
13,Schnurrbart::N,habinod,Schnurrbart
14,Bart::N,bard,Bart
15,Kinn::N,löug,Kinn
16,Kiefer[Anatomie]::N,hambazlu,Kiefer
17,Kehle::N,kurk,Kehle
18,Hals::N,kagl,Hals
19,Genick::N,tagarai,Genick
20,Kopf::N,pä,Kopf
21,Rücken::N,sel'g,Rücken
22,Bauch::N,vac,Bauch
23,Bauch::N,koht,Bauch
24,Nabel::N,naba,Nabel
25,Busen::N,niža,Busen
26,Brust::N,rind,Brust
27,Schulter::N,oug,Schulter
28,Arm::N,käzi,Arm
29,Ellenbogen::N,künambruz,Ellenbogen
30,Hand::N,käzi,Hand
31,Hand::N,käzitera,Hand
32,Handfläche::N,kämen,Handfläche
33,Finger::N,sor'm,Finger
34,Fingernagel::N,künz',Fingernagel
35,Nagel[Anatomie]::N,künz',Nagel
36,Zeh::N,barbaz,Zeh
37,Fuß::N,jaug,Fuß
38,Ferse::N,kand,Ferse
39,Knie::N,komb,Knie
40,Knie::N,pol'v,Knie
41,Oberschenkel::N,riiže,Oberschenkel
42,Bein::N,jaug,Bein
43,Körper::N,hibj,Körper
44,Haut::N,nahk,Haut
45,Blut::N,čak,Blut
46,Blut::N,veri,Blut
47,Ader::N,son',Ader
48,Sehne::N,jände,Sehne
49,Knochen::N,lu,Knochen
50,Gehirn::N,aivod,Gehirn
51,Herz::N,südäin,Herz
52,Magen::N,südäikoht,Magen
53,Leber::N,maks,Leber
54,Atem::N,hengaiduz,Atem
55,Hunger::N,näl'g,Hunger
56,Träne::N,kündal',Träne
57,Geschmack::N,magu,Geschmack
58,Geruch::N,haju,Geruch
59,Schlaf::N,uni,Schlaf
60,Traum::N,unikuva,Traum
61,Himmel::N,taivaz,Himmel
62,Sonne::N,päiväine,Sonne
63,Mond::N,kudmaine,Mond
64,Stern::N,tähtaz,Stern
65,Luft::N,il'm,Luft
66,Wind::N,döl,Wind
67,Wind::N,tullei,Wind
68,Welle::N,ald,Welle
69,Welle::N,laineh,Welle
70,Wasser::N,vezi,Wasser
71,Stein::N,kivi,Stein
72,Boden::N,ma,Boden
73,Boden::N,pohj,Boden
74,Erde::N,ma,Erde
75,Staub::N,pölü,Staub
76,Rauch::N,savu,Rauch
77,Funke::N,kibin,Funke
78,Feuer::N,lämoi,Feuer
79,Licht::N,vauktuz,Licht
80,Schatten::N,pil'vez,Schatten
81,Schatten::N,kuvahaine,Schatten
82,Wetter::N,sä,Wetter
83,Nebel::N,sumeg,Nebel
84,Wolke::N,pil'v,Wolke
85,Regen::N,vihm,Regen
86,Schnee::N,lumi,Schnee
87,Eis::N,jä,Eis
88,Frost::N,hala,Frost
89,Frost::N,pakaine,Frost
90,Kälte::N,vilu,Kälte
91,Hitze::N,räk,Hitze
92,Raureif::N,hüde,Raureif
93,Regenbogen::N,jumalanbembel',Regenbogen
94,Donner::N,juru,Donner
95,Donner::N,jumalanjuru,Donner
96,Strömung::N,joksmuz,Strömung
97,Tropfen::N,tilkuine,Tropfen
98,Schaum::N,vaht,Schaum
99,Schmutz::N,redu,Schmutz
100,Schmutz::N,pačak,Schmutz
101,See::N,järv,See
102,Sumpf::N,so,Sumpf
103,Moor::N,so,Moor
104,Wiese::N,nit,Wiese
105,Wald::N,mec,Wald
106,Hügel::N,kukaz,Hügel
107,Anhöhe::N,kukaz,Anhöhe
108,Berg::N,mägi,Berg
109,Gipfel::N,ladv,Gipfel
110,Höhle::N,mägionduz,Höhle
111,Abhang::N,paute,Abhang
112,Quelle::N,lähte,Quelle
113,Bach::N,oja,Bach
114,Fluss::N,jogi,Fluss
115,Ufer::N,rand,Ufer
116,Küste::N,randišt,Küste
117,Festland::N,kuivma,Festland
118,Meer::N,meri,Meer
119,Bucht::N,laht,Bucht
120,Insel::N,sar',Insel
121,Blume::N,änik,Blume
122,Gras::N,hein,Gras
123,Wurzel::N,jur',Wurzel
124,Baum::N,pu,Baum
125,Stamm::N,tüvi,Stamm
126,Rinde::N,kor',Rinde
127,Ast::N,oks,Ast
128,Zweig::N,oks,Zweig
129,Zweig::N,barb,Zweig
130,Blatt::N,lehtez,Blatt
131,Birke::N,koiv,Birke
132,Kiefer[Baum]::N,pedai,Kiefer
133,Weide[Baum]::N,raid,Weide
134,Tanne::N,kuz',Tanne
135,Horn::N,sar'v,Horn
136,Feder::N,höuneh,Feder
137,Fell::N,nahk,Fell
138,Flügel::N,suug,Flügel
139,Klaue::N,künz',Klaue
140,Kralle::N,künz',Kralle
141,Schwanz::N,händ,Schwanz
142,Ei::N,muna,Ei
143,Nest::N,peza,Nest
144,Bau::N,uru,Bau
145,Tier::N,živat,Tier
146,Herde::N,kogo,Herde
147,Kuh::N,lehm,Kuh
148,Bulle::N,härg,Bulle
149,Pferd::N,hebo,Pferd
150,Schaf::N,lambaz,Schaf
151,Schwein::N,siga,Schwein
152,Hund::N,koir,Hund
153,Katze::N,kaži,Katze
154,Bär::N,kondi,Bär
155,Eichhörnchen::N,orav,Eichhörnchen
156,Elch::N,hirb',Elch
157,Fuchs::N,reboi,Fuchs
158,Hase::N,jäniš,Hase
159,Maus::N,hir',Maus
160,Wolf::N,händikaz,Wolf
161,Vogel::N,lind,Vogel
162,Schwarm::N,parveh,Schwarm
163,Huhn::N,kana,Huhn
164,Hahn::N,kukoi,Hahn
165,Gans::N,hanh',Gans
166,Adler::N,orl,Adler
167,Ente::N,sorz,Ente
168,Eule::N,hir'pulo,Eule
169,Kranich::N,kurg,Kranich
170,Krähe::N,variš,Krähe
171,Kuckuck::N,kägi,Kuckuck
172,Schwan::N,joucen,Schwan
173,Fisch::N,kala,Fisch
174,Barsch::N,ahven,Barsch
175,Hecht::N,haug',Hecht
176,Schlange[Tier]::N,kü,Schlange
177,Schlange[Tier]::N,mado,Schlange
178,Wurm::N,mado,Wurm
179,Spinne::N,hämähouk,Spinne
180,Ameise::N,murahaine,Ameise
181,Laus::N,täi,Laus
182,Mücke::N,säs'k,Mücke
183,Fliege::N,kärbhaine,Fliege
184,Schmetterling::N,lipkaine,Schmetterling
185,Beere::N,marj,Beere
186,Apfel::N,jablok,Apfel
187,Pilz::N,sen',Pilz
188,Pilz::N,babuk,Pilz
189,Zwiebel::N,lauk,Zwiebel
190,Saat::N,semned,Saat
191,Korn::N,jüvä,Korn
192,Korn::N,vill',Korn
193,Heu::N,hein,Heu
194,Schale::N,kor',Schale
195,Grube::N,kop,Grube
196,Falle::N,rida,Falle
197,Schlinge::N,rihm,Schlinge
198,Spur::N,jäl'g,Spur
199,Asche::N,tuhk,Asche
200,Dreck::N,redu,Dreck
201,Dreck::N,pačak,Dreck
202,Eisen::N,raud,Eisen
203,Gold::N,kuld,Gold
204,Silber::N,hobed,Silber
205,Kohle::N,hil',Kohle
206,Glas::N,stökol,Glas
207,Lehm::N,savi,Lehm
208,Sand::N,lete,Sand
209,Mensch::N,mez',Mensch
210,Mensch::N,ristit,Mensch
211,Mann::N,mez',Mann
212,Frau::N,naine,Frau
213,Kind::N,laps',Kind
214,Junge::N,poig,Junge
215,Junge::N,prihaine,Junge
216,Mädchen::N,neičukaine,Mädchen
217,Familie::N,kanz,Familie
218,Familie::N,pereh,Familie
219,Großvater::N,ded,Großvater
220,Großmutter::N,bab,Großmutter
221,Eltern::N,vanhembad,Eltern
222,Eltern::N,kazvatajad,Eltern
223,Vater::N,tat,Vater
224,Mutter::N,mam,Mutter
225,Sohn::N,poig,Sohn
226,Tochter::N,tütär,Tochter
227,Bruder::N,veik,Bruder
228,Bruder::N,vell',Bruder
229,Schwester::N,čiža,Schwester
230,Schwester::N,sizar,Schwester
231,Onkel::N,däd',Onkel
232,Tante::N,tädi,Tante
233,Ehemann::N,mužik,Ehemann
234,Ehefrau::N,ak,Ehefrau
235,Freude::N,ilo,Freude
236,Freude::N,ihastuz,Freude
237,Gelächter::N,nagr,Gelächter
238,Glück::N,oza,Glück
239,Kummer::N,gor'a,Kummer
240,Wunsch::N,taht,Wunsch
241,Lust::N,himo,Lust
242,Geist::N,heng,Geist
243,Gedanke::N,meletuz,Gedanke
244,Gedächtnis::N,mušt,Gedächtnis
245,Verstand::N,mel',Verstand
246,Sinn::N,jüvä,Sinn
247,Grund::N,sü,Grund
248,Wahrheit::N,tozi,Wahrheit
249,Gespräch::N,lodu,Gespräch
250,Gespräch::N,pagin,Gespräch
251,Märchen::N,sarn,Märchen
252,Erzählung::N,sanutez,Erzählung
253,Nachricht::N,tedotuz,Nachricht
254,Neuigkeit::N,uzištuz,Neuigkeit
255,Name::N,nimi,Name
256,Rätsel::N,ozoitez,Rätsel
257,Rede::N,pagin,Rede
258,Rede::N,sanad,Rede
259,Sprache::N,kel',Sprache
260,Stimme::N,än',Stimme
261,Wort::N,sana,Wort
262,Zeichen::N,znam,Zeichen
263,Ruf::N,kida,Ruf
264,Ruf::N,kucund,Ruf
265,Lärm::N,judu,Lärm
266,Laut::N,kulund,Laut
267,Ton::N,kulund,Ton
268,Lied::N,pajo,Lied
269,Ruhe::N,lebu,Ruhe
270,Leute::N,rahvaz,Leute
271,Volk::N,rahvaz,Volk
272,Arbeit::N,tö,Arbeit
273,Arbeit::N,rad,Arbeit
274,Gast::N,adiv,Gast
275,Geschenk::N,lahj,Geschenk
276,Spiel::N,vänd,Spiel
277,Gesellschaft::N,sebr,Gesellschaft
278,Hilfe::N,abu,Hilfe
279,Freund::N,sebranik,Freund
280,Kamerad::N,sebranik,Kamerad
281,Angelegenheit::N,azj,Angelegenheit
282,Anzahl::N,lugu,Anzahl
283,Art::N,rod,Art
284,Art::N,rodsugu,Art
285,Stück::N,pala,Stück
286,Stück::N,supal,Stück
287,Teil::N,pala,Teil
288,Hälfte::N,pol',Hälfte
289,Kreis::N,ümbruz,Kreis
290,Kreis::N,kehkruz,Kreis
291,Kreuz::N,rist,Kreuz
292,Linie::N,pird,Linie
293,Strich::N,pird,Strich
294,Abstand::N,keskust,Abstand
295,Entfernung::N,matk,Entfernung
296,Gegend::N,taho,Gegend
297,Platz::N,avaruz',Platz
298,Ort::N,koht,Ort
299,Seite::N,pol',Seite
300,Seite::N,kül'g,Seite
301,Mitte::N,kesk,Mitte
302,Gegenstand::N,kalu,Gegenstand
303,Sache::N,azj,Sache
304,Rand::N,röun,Rand
305,Kante::N,röun,Kante
306,Ecke::N,saum,Ecke
307,Spitze::N,agjaine,Spitze
308,Ende::N,agj,Ende
309,Loch::N,reig,Loch
310,Winkel::N,čoga,Winkel
311,Winkel::N,saum,Winkel
312,Muster::N,kirjam,Muster
313,Größe::N,suruz',Größe
314,Länge::N,piduz,Länge
315,Höhe::N,korktuz',Höhe
316,Gewicht::N,jügu,Gewicht
317,Gewicht::N,vedäduz,Gewicht
318,Menge::N,äjüz',Menge
319,Haufen::N,kogo,Haufen
320,Reihe::N,rivi,Reihe
321,Boot::N,veneh,Boot
322,Ruder::N,air,Ruder
323,Schlitten::N,regi,Schlitten
324,Schlitten::N,regut,Schlitten
325,Ski::N,suks',Ski
326,Lagerfeuer::N,nodj,Lagerfeuer
327,Lagerfeuer::N,pažag,Lagerfeuer
328,Last::N,jüguz,Last
329,Gang::N,astund,Gang
330,Schritt::N,hašk,Schritt
331,Norden::N,pohjoine,Norden
332,Süden::N,suvi,Süden
333,Westen::N,päivlaskm,Westen
334,Osten::N,päivnouzm,Osten
335,Holz::N,pu,Holz
336,Brett::N,laud,Brett
337,Platte::N,keitim,Platte
338,Stütze::N,tugi,Stütze
339,Stange::N,arz',Stange
340,Stock::N,kalu,Stock
341,Stab::N,seibaz,Stab
342,Rohr::N,torv,Rohr
343,Haus::N,pert',Haus
344,Heim::N,kodi,Heim
345,Ofen::N,päč,Ofen
346,Fußboden::N,lava,Fußboden
347,Tisch::N,laud,Tisch
348,Tisch::N,stal'c,Tisch
349,Stuhl::N,ištim,Stuhl
350,Wiege::N,kätte,Wiege
351,Bett::N,sija,Bett
352,Bett::N,magaduzsija,Bett
353,Regal::N,palič,Regal
354,Kiste::N,mülütim,Kiste
355,Fenster::N,ikun,Fenster
356,Tür::N,uks',Tür
357,Tor::N,verai,Tor
358,Zaun::N,aid,Zaun
359,Dach::N,katuz,Dach
360,Leiter::N,pordhad,Leiter
361,Besen::N,lud,Besen
362,Besen::N,vast,Besen
363,Spaten::N,labid,Spaten
364,Schaufel::N,labid,Schaufel
365,Gabel::N,hangoine,Gabel
366,Löffel::N,luzik,Löffel
367,Messer::N,veič,Messer
368,Nagel::N,nagl,Nagel
369,Netz::N,verk,Netz
370,Haken::N,kouk,Haken
371,Griff::N,kägä,Griff
372,Griff::N,varz',Griff
373,Schloss::N,lukkol,Schloss
374,Bild::N,kuva,Bild
375,Figur::N,figur,Figur
376,Puppe::N,tätüine,Puppe
377,Beutel::N,havad,Beutel
378,Bündel::N,toppaz,Bündel
379,Bündel::N,käč,Bündel
380,Tasche::N,sumk,Tasche
381,Eimer::N,vädr,Eimer
382,Deckel::N,katuz,Deckel
383,Geschirr::N,astii,Geschirr
384,Sack::N,havad,Sack
385,Tasse::N,čašk,Tasse
386,Topf::N,pada,Topf
387,Kessel::N,katil,Kessel
388,Essen::N,sönd,Essen
389,Nahrung::N,söm,Nahrung
390,Speise::N,sömine,Speise
391,Fleisch::N,liha,Fleisch
392,Getreide::N,vill',Getreide
393,Brei::N,pudr,Brei
394,Brot::N,leib,Brot
395,Scheibe::N,bibaleh,Scheibe
396,Scheibe::N,šlik,Scheibe
397,Fett::N,razv,Fett
398,Butter::N,voi,Butter
399,Öl::N,voi,Öl
400,Salz::N,sol,Salz
401,Suppe::N,lem',Suppe
