,Concept_ID,la,bn
0,Auge::N,oculus,চক্ষু
1,Ohr::N,auris,কর্ণ
2,Nase::N,nasus,নাক
3,Mund::N,os,মুখ
4,Zahn::N,dens,দাঁত
5,Zunge::N,lingua,জিহবা
6,Lippe::N,labrum,অধর
7,Wange::N,gena,গণ্ড
8,Gesicht::N,vultus,মুখমণ্ডল
9,Stirn::N,frons,কপাল
10,Haar::N,capillus,চুল
11,Schnurrbart::N,barba labri superioris,গোঁফ
12,Bart::N,barba,শ্মশ্রু
13,Kinn::N,mentum,চিবুক
14,Kiefer[Anatomie]::N,mala,চোয়াল
15,Kehle::N,iugulums,কণ্ঠ
16,Hals::N,collum,গল
17,Genick::N,cervices,ঘাড়
18,Kopf::N,caput,মাথা
19,Rücken::N,tergum,পৃষ্ঠ
20,Bauch::N,venter,উদর
21,Nabel::N,umbilicus,নাভি
22,Busen::N,sinus,স্তন
23,Brust::N,pectus,বুক
24,Schulter::N,umerus,স্কন্ধ
25,Arm::N,bracchium,বাহু
26,Ellenbogen::N,cubitum,কনুই
27,Hand::N,manus,হাত
28,Handfläche::N,palma,করতল
29,Finger::N,digitus,আঙ্গুল
30,Fingernagel::N,unguiculus,হাতের নখ
31,Nagel[Anatomie]::N,unguis,নখ
32,Zeh::N,digitus,আঙ্গুল
33,Fuß::N,pes,পা
34,Ferse::N,calx,গোড়ালি
35,Knie::N,genu,হাঁটু
36,Oberschenkel::N,femur,ঊরু
37,Bein::N,crus,পা
38,Körper::N,corpus,দেহ
39,Haut::N,cutis,ত্বক
40,Haut::N,pellis,ত্বক
41,Blut::N,sanguis,রক্ত
42,Ader::N,vena,শিরা
43,Sehne::N,nervus,কণ্ডরা
44,Knochen::N,os,অস্থি
45,Gehirn::N,cerebrum,মস্তিষ্ক
46,Herz::N,cor,হৃৎপিণ্ড
47,Herz::N,animus,হৃৎপিণ্ড
48,Magen::N,stomachus,পাকস্থলী
49,Leber::N,iecur,যকৃৎ
50,Atem::N,spiritus,শ্বাস
51,Hunger::N,fames,ক্ষুধা
52,Träne::N,lacrima,অশ্রু
53,Geschmack::N,sapor,স্বাদ
54,Geschmack::N,gustus,স্বাদ
55,Geruch::N,odor,গন্ধ
56,Schlaf::N,somnus,ঘুম
57,Traum::N,somnium,স্বপ্ন
58,Himmel::N,caelum,আকাশ
59,Sonne::N,sol,সূর্য
60,Mond::N,luna,চন্দ্র
61,Stern::N,sidus,নক্ষত্র
62,Stern::N,stella,নক্ষত্র
63,Luft::N,aer,বায়ু
64,Wind::N,ventus,বাতাস
65,Welle::N,unda,ঢেউ
66,Welle::N,unda,তরঙ্গ
67,Wasser::N,aqua,জল
68,Stein::N,lapis,ঢিল
69,Stein::N,lapis,প্রস্তর
70,Boden::N,solum,ভূতল
71,Erde::N,terra,ভূমি
72,Staub::N,pulvis,ধুলা
73,Rauch::N,fumus,ধোঁয়া
74,Funke::N,scintilla,স্ফুলিঙ্গ
75,Feuer::N,ignis,অগ্নি
76,Licht::N,lux,আলো
77,Licht::N,lumen,আলো
78,Schatten::N,umbra,ছায়া
79,Wetter::N,caelum,আবহাওয়া
80,Wetter::N,tempestas,আবহাওয়া
81,Nebel::N,nebula,কুহেলিকা
82,Wolke::N,nubes,মেঘ
83,Regen::N,imber,বৃষ্টি
84,Regen::N,pluvia,বৃষ্টি
85,Schnee::N,nix,তুষার
86,Eis::N,glacies,বরফ
87,Frost::N,gelu,তুষার
88,Kälte::N,frigus,শৈত্য
89,Hitze::N,calor,তাপ
90,Hitze::N,aestus,তাপ
91,Raureif::N,pruina,তুহিন
92,Regenbogen::N,arcus,রামধনু
93,Donner::N,tonitrus,বজ্রধ্বনি
94,Strömung::N,fluctus,স্রোত
95,Tropfen::N,gutta,ফোঁটা
96,Schaum::N,spuma,ফেনা
97,Schmutz::N,sordes,ধুলা
98,Schmutz::N,squalor,ধুলা
99,See::N,lacus,হ্রদ
100,Sumpf::N,palus,জলা
101,Moor::N,palus,মাঠ
102,Wiese::N,pratum,তৃণভূমি
103,Wald::N,silva,বন
104,Hügel::N,collis,পাহাড়
105,Anhöhe::N,specula,টিলা
106,Berg::N,mons,পর্বত
107,Gipfel::N,vertex,শীর্ষ
108,Höhle::N,caverna,গুহা
109,Höhle::N,spelunca,গুহা
110,Abhang::N,declivum,ঢাল
111,Quelle::N,fons,উৎস
112,Bach::N,rivus,ক্ষুদ্র নদী
113,Fluss::N,flumen,নদী
114,Ufer::N,ripa,উপকূল
115,Küste::N,litus,তীর
116,Festland::N,continens,ভূমি
117,Meer::N,mare,সমুদ্র
118,Bucht::N,sinus,উপসাগর
119,Insel::N,insula,দ্বীপ
120,Blume::N,flos,ফুল
121,Gras::N,herba,ঘাস
122,Gras::N,gramen,ঘাস
