,Concept_ID,udm,ab
0,Auge::N,син,ала
1,Ohr::N,пель,алымҳа
2,Nase::N,ныр,аҧынҵа
3,Mund::N,ым,аҧышə
4,Zahn::N,пинь,ахаҧыц
5,Zunge::N,кыл,абз
6,Lippe::N,ымдур,ақьышə
7,Wange::N,бам,аӡамҩа
8,Gesicht::N,ымныр,аҿы
9,Stirn::N,кымес,алахь
10,Haar::N,йырси,ахəыц
11,Schnurrbart::N,мыйык,аҧаҵа
12,Bart::N,туш,ажакьа
13,Kinn::N,ангес,ацламкəыгə
14,Kiefer[Anatomie]::N,ан,ацламҳəа
15,Kiefer[Anatomie]::N,анлы,ацламҳəа
16,Kehle::N,гульым,ахəда
17,Hals::N,чырты,ахəда
18,Genick::N,йырбер,ахəдаџьал
19,Kopf::N,йыр,ахы
20,Rücken::N,мыш,азқəа
21,Bauch::N,кӧт,амгəа
22,Nabel::N,гогы,аҷапан
23,Busen::N,ноны,агəыҧҳəы
24,Brust::N,мӧля,агəышҧы
25,Schulter::N,пельпум,ажəҩахыр
26,Arm::N,суй,амахəар
27,Ellenbogen::N,гырпум,амашьхəылҵ
28,Hand::N,ки,анапы
29,Handfläche::N,ки пыдэс,анапсаргəыҵа
30,Handfläche::N,кырым пыдэс,анапсаргəыҵа
31,Finger::N,чиньы,анацəа
32,Fingernagel::N,гижы,анапхыц
33,Fingernagel::N,гиждӥнь,анапхыц
34,Nagel[Anatomie]::N,гижы,ашьапхыц
35,Zeh::N,пыдчиньы,ашьацəа
36,Fuß::N,пыд,ашьапсыргəыҵа
37,Ferse::N,пыдбер,ашьхəа
38,Knie::N,пыдес,ашьамхы
39,Oberschenkel::N,макес,ауаҭəа
40,Bein::N,пыд,ашьапы
41,Körper::N,мугор,ацəеижь
42,Körper::N,вылтыр,ацəеижь
43,Haut::N,ку,ацəа
44,Blut::N,вир,ашьа
45,Ader::N,вирсэр,ада
46,Sehne::N,вуж,адаш
47,Knochen::N,лы,абаҩ
48,Gehirn::N,вим,ахшлыбаҩ
49,Gehirn::N,вим,ахшыбаҩ
50,Herz::N,сюлэм,агəы
51,Magen::N,ӝуш,аца
52,Magen::N,ӝуш,ацар
53,Leber::N,мус,агəаҵəа
54,Atem::N,лул,аҧсыҧлагаҩгара
55,Atem::N,шокан,аҧсыҧлагаҩгара
56,Hunger::N,кӧтсюман,амла
57,Träne::N,синкыли,алабжыш
58,Geschmack::N,шӧм,агьама
59,Geruch::N,зын,афҩы
60,Schlaf::N,вӧт,ацəа
61,Traum::N,уйвӧт,аҧхыӡ
62,Himmel::N,ин,ажəҩан
63,Sonne::N,шунды,амра
64,Mond::N,толэзь,амза
65,Stern::N,кизили,аеҵəа
66,Luft::N,омыр,аҳаир
67,Wind::N,тӧл,аҧша
68,Welle::N,тулкым,ацəқəырҧа
69,Wasser::N,ву,аӡы
70,Stein::N,из,ахаҳə
71,Boden::N,музъем,адгьыл
72,Erde::N,му,адгьыл
73,Staub::N,пыль,асаба
74,Rauch::N,ӵын,алҩа
75,Funke::N,гизьы,акəиц
76,Funke::N,гизьы,ацҧхь
77,Feuer::N,тыл,амца
78,Licht::N,тыл,алашара
79,Schatten::N,вужер,ашəшьыра
80,Wetter::N,куазь,амш
81,Nebel::N,бус,анаҟəа
82,Wolke::N,пилем,аҧсҭҳəа
83,Regen::N,зор,ақəа
84,Schnee::N,лымы,асы
85,Eis::N,йӧ,аҵаа
86,Frost::N,кезьыт,аҵаа
87,Kälte::N,кезьыт,ахьҭа
88,Hitze::N,пӧсь,ашоура
89,Raureif::N,гӧр,аҵааҧшқа
90,Regenbogen::N,вуюись,ацəаҟəа
91,Donner::N,гудыри,адыд
92,Strömung::N,бызён,аиасра
93,Strömung::N,бызён,амҩасра
94,Tropfen::N,шапык,ацəыкəбар
95,Schaum::N,шукы,ашəах
96,Schmutz::N,нӧд,алымт
97,Schmutz::N,дэри,алымт
98,See::N,ты,аӡиа
99,Sumpf::N,нюр,аӡмах
100,Moor::N,нюр,
101,Wiese::N,возь,адəы
102,Wiese::N,возьвыл,адəы
103,Wald::N,сик,абна
104,Wald::N,нюлэс,абна
105,Hügel::N,выр,ахəы
106,Hügel::N,вырйыл,ахəы
107,Anhöhe::N,выр,аҳаракыра
108,Anhöhe::N,вырйыл,аҳаракыра
109,Berg::N,гурезь,ашьха
110,Gipfel::N,йыл,ацəқəа
111,Höhle::N,гу,аҳаҧы
112,Abhang::N,бам,анаара
113,Quelle::N,ошмес,аҵҵырҭа
114,Bach::N,пичи шур,акəараҷҷа
115,Fluss::N,шур,аӡиас
116,Ufer::N,ярдур,ахықə
117,Küste::N,вудур,ахықə
118,Festland::N,мувыр,абарра
119,Meer::N,зарезь,амшын
120,Bucht::N,вукож,аӡбжьахала
121,Insel::N,вумуӵ,адгьылбжьаха
122,Insel::N,шормуӵ,адгьылбжьаха
123,Blume::N,сяська,ашəҭ
124,Gras::N,турын,аҳасакьын
