,Concept_ID,ku,de
0,Auge::N,çav,Auge
1,Ohr::N,guh,Ohr
2,Nase::N,bêvil,Nase
3,Mund::N,dev,Mund
4,Zahn::N,didan,Zahn
5,Zunge::N,ziman,Zunge
6,Lippe::N,lêv,Lippe
7,Wange::N,dêm,Wange
8,Wange::N,hinarik,Wange
9,Gesicht::N,rû,Gesicht
10,Stirn::N,enî,Stirn
11,Haar::N,por,Haar
12,Schnurrbart::N,simbêl,Schnurrbart
13,Bart::N,rih,Bart
14,Kinn::N,zenî,Kinn
15,Kiefer[Anatomie]::N,arguşk,Kiefer
16,Kehle::N,qirik,Kehle
17,Hals::N,stû,Hals
18,Hals::N,qirik,Hals
19,Genick::N,stû,Genick
20,Kopf::N,serî,Kopf
21,Rücken::N,pişt,Rücken
22,Bauch::N,ûr,Bauch
23,Bauch::N,zik,Bauch
24,Nabel::N,navik,Nabel
25,Busen::N,sîng,Busen
26,Brust::N,sîng,Brust
27,Schulter::N,mil,Schulter
28,Arm::N,çepil,Arm
29,Ellenbogen::N,enîşk,Ellenbogen
30,Hand::N,dest,Hand
31,Handfläche::N,kefadest,Handfläche
32,Finger::N,tilî,Finger
33,Fingernagel::N,neynuk,Fingernagel
34,Nagel[Anatomie]::N,bizmar,Nagel
35,Zeh::N,tilî linga,Zeh
36,Fuß::N,ling,Fuß
37,Ferse::N,pahnî,Ferse
38,Knie::N,kabok,Knie
39,Oberschenkel::N,rahn,Oberschenkel
40,Bein::N,çip,Bein
41,Körper::N,laş,Körper
42,Körper::N,gowde,Körper
43,Haut::N,çerm,Haut
44,Blut::N,xwîn,Blut
45,Ader::N,reh,Ader
46,Sehne::N,reh,Sehne
47,Knochen::N,hestî,Knochen
48,Gehirn::N,mêjî,Gehirn
49,Herz::N,dil,Herz
50,Magen::N,navêş,Magen
51,Leber::N,kezeb,Leber
52,Atem::N,hilm,Atem
53,Hunger::N,birçîtî,Hunger
54,Träne::N,hêstir,Träne
55,Geschmack::N,tam,Geschmack
56,Geruch::N,bêhn,Geruch
57,Schlaf::N,xew,Schlaf
58,Traum::N,xewn,Traum
59,Himmel::N,ezman,Himmel
60,Sonne::N,roj,Sonne
61,Mond::N,heyv,Mond
62,Stern::N,stêrk,Stern
63,Luft::N,ba,Luft
64,Wind::N,ba,Wind
65,Welle::N,şewl,Welle
66,Wasser::N,av,Wasser
67,Stein::N,kevir,Stein
68,Boden::N,herd,Boden
69,Erde::N,ax,Erde
70,Staub::N,toz,Staub
71,Rauch::N,dû,Rauch
72,Funke::N,çirûşk,Funke
73,Feuer::N,agir,Feuer
74,Licht::N,ronahî,Licht
75,Schatten::N,sî,Schatten
76,Wetter::N,hewa,Wetter
77,Nebel::N,mij,Nebel
78,Wolke::N,ewr,Wolke
79,Regen::N,baran,Regen
80,Schnee::N,berf,Schnee
81,Eis::N,qeşa,Eis
82,Frost::N,xûsik,Frost
83,Kälte::N,serma,Kälte
84,Hitze::N,germayî,Hitze
85,Raureif::N,şext,Raureif
86,Regenbogen::N,heftreng,Regenbogen
87,Donner::N,gire-gir,Donner
88,Strömung::N,şewl,Strömung
89,Tropfen::N,dilop,Tropfen
