,Concept_ID,no,kv
0,Auge::N,øye,син
1,Ohr::N,øre,пель
2,Nase::N,nese,ныр
3,Mund::N,munn,ӧм
4,Zahn::N,tann,пинь
5,Zunge::N,tunge,кыв
6,Lippe::N,leppe,тырп
7,Wange::N,kinn,рожабан
8,Gesicht::N,fjes,бан
9,Gesicht::N,ansikt,бан
10,Stirn::N,panne,кымӧс
11,Haar::N,hår,юрси
12,Schnurrbart::N,bart,уссэз
13,Bart::N,skjegg,тош
14,Kinn::N,hake,тшӧка
15,Kiefer[Anatomie]::N,kjeve,ан
16,Kehle::N,strupe,юан
17,Hals::N,hals,юан
18,Genick::N,nakke,юр бӧр
19,Kopf::N,hode,юр
20,Rücken::N,rygg,мышк
21,Bauch::N,buk,кынӧм
22,Bauch::N,mage,кынӧм
23,Nabel::N,navle,гӧг
24,Busen::N,barm,морос
25,Brust::N,bryst,морос
26,Schulter::N,skulder,пельпон
27,Arm::N,arm,ки
28,Ellenbogen::N,albue,гырдзза
29,Hand::N,hånd,кикар
30,Handfläche::N,håndflate,ки пыдӧс
31,Finger::N,finger,чунь
32,Fingernagel::N,fingernegl,гыж
33,Nagel[Anatomie]::N,negl,гыж
34,Zeh::N,tå,чунь
35,Fuß::N,fot,кокпыдӧс
36,Ferse::N,hæl,кокдзир
37,Knie::N,kne,пидзӧс
38,Oberschenkel::N,lår,лядьбей
39,Bein::N,bein,кок
40,Körper::N,kropp,вывтыр
41,Körper::N,legeme,вывтыр
42,Haut::N,hud,кучик
43,Haut::N,skinn,кучик
44,Blut::N,blod,вир
45,Ader::N,åre,сӧн
46,Sehne::N,sene,жила
47,Knochen::N,bein,коска
48,Knochen::N,knokkel,коска
49,Gehirn::N,hjerne,вем
50,Herz::N,hjerte,сьӧлӧм
51,Magen::N,mage,жӧвдӧк
52,Leber::N,lever,мус
53,Atem::N,pust,лолалӧм
54,Hunger::N,sult,тшыг
55,Träne::N,tåre,синва
56,Geschmack::N,smak,кӧр
57,Geruch::N,lukt,дук
58,Schlaf::N,søvn,он
59,Traum::N,drøm,вӧт
60,Himmel::N,himmel,небо
61,Sonne::N,sol,шондi
62,Mond::N,måne,тӧлiсь
63,Stern::N,stjerne,кӧдзыв
64,Luft::N,luft,ру
65,Wind::N,vind,тӧв
66,Welle::N,bølge,гы
67,Wasser::N,vann,ва
68,Stein::N,stein,из
69,Boden::N,bakke,му
70,Erde::N,jord,му
71,Staub::N,støv,бус
72,Rauch::N,røyk,тшын
73,Funke::N,gnist,бичир
74,Feuer::N,ild,би
75,Licht::N,lys,би
76,Schatten::N,skygge,вуджӧр
77,Wetter::N,vær,погоддя
78,Nebel::N,tåke,туман
79,Wolke::N,sky,кымӧр
80,Regen::N,regn,зэр
81,Schnee::N,snø,лым
82,Eis::N,is,йы
83,Frost::N,frost,мороз
84,Kälte::N,kulde,кӧдзыт
85,Hitze::N,hete,ӧд
86,Raureif::N,rimfrost,кижа
87,Regenbogen::N,regnbue,енӧшка
88,Donner::N,torden,гым
89,Strömung::N,strømning,визывтӧм
90,Tropfen::N,dråpe,тёп
91,Schaum::N,skum,быг
92,Schmutz::N,søl,нять
93,Schmutz::N,skitt,нять
94,See::N,sjø,ты
95,Sumpf::N,sump,арай
96,Sumpf::N,myrlende,арай
97,Moor::N,myr,нюр
98,Moor::N,myrhei,нюр
99,Wiese::N,eng,видз
100,Wald::N,skog,вӧр
101,Hügel::N,haug,мыльк
102,Hügel::N,bakke,мыльк
103,Anhöhe::N,haug,вывтас
104,Anhöhe::N,haug,вылынін
105,Anhöhe::N,bakke,вывтас
106,Anhöhe::N,bakke,вылынін
107,Berg::N,berg,керӧс
108,Berg::N,fjell,керӧс
109,Gipfel::N,topp,йыв
110,Höhle::N,hule,нора
111,Abhang::N,li,покат
112,Abhang::N,skråning,покат
113,Quelle::N,kilde,больган
114,Bach::N,bekk,шор
115,Fluss::N,elv,ю
116,Ufer::N,bredd,берег
117,Küste::N,kyst,берег
118,Festland::N,fastland,му
119,Meer::N,hav,море
120,Bucht::N,bukt,курья
121,Insel::N,øy,
122,Blume::N,blomst,цветок
123,Gras::N,gress,турун
