,Concept_ID,ro,el
0,Auge::N,ochi,μάτι
1,Auge::N,ochi,οφθαλμός
2,Ohr::N,ureche,αυτί
3,Nase::N,nas,μύτη
4,Mund::N,gură,στόμα
5,Zahn::N,dinte,δόντι
6,Zunge::N,limbă,γλώσσα
7,Lippe::N,buză,χείλος
8,Wange::N,bucă,παρειά
9,Wange::N,bucă,μάγουλο
10,Wange::N,obraz,παρειά
11,Wange::N,obraz,μάγουλο
12,Gesicht::N,față,πρόσωπο
13,Gesicht::N,figură,πρόσωπο
14,Stirn::N,frunte,μέτωπο
15,Haar::N,păr,μαλλιά
16,Schnurrbart::N,mustață,μουστάκι
17,Bart::N,barbă,γένια
18,Kinn::N,bărbie,πιγούνι
19,Kiefer[Anatomie]::N,falcă,σαγόνι
20,Kehle::N,beregată,λαρύγγι
21,Hals::N,gât,λαιμός
22,Genick::N,ceafă,σβέρκος
23,Kopf::N,cap,κεφάλι
24,Rücken::N,dos,ράχη
25,Rücken::N,spate,ράχη
26,Rücken::N,spinare,ράχη
27,Bauch::N,burtă,κοιλιά
28,Bauch::N,pântece,κοιλιά
29,Nabel::N,buric,αφαλός
30,Busen::N,sân,στήθος
31,Brust::N,piept,στήθος
32,Schulter::N,umăr,ώμος
33,Schulter::N,spate,ώμος
34,Arm::N,braț,χέρι
35,Arm::N,braț,μπράτςο
36,Ellenbogen::N,cot,αγκώνας
37,Hand::N,mână,χέρι
38,Handfläche::N,palmă,παλάμη
39,Finger::N,deget,δάχτυλο
40,Fingernagel::N,unghie,νύχι
41,Nagel[Anatomie]::N,unghie,νύχι
42,Zeh::N,deget de la picior,δάχτυλο του ποδιού
43,Fuß::N,picior,πόδι
44,Ferse::N,călcâi,φτέρνα
45,Knie::N,genunchi,γόνατο
46,Oberschenkel::N,coapsă,μηρός
47,Bein::N,picior,πόδι
48,Körper::N,corp,σώμα
49,Körper::N,corp,κορμί
50,Haut::N,piele,πετσί
51,Blut::N,sânge,αίμα
52,Ader::N,vână,φλέβα
53,Ader::N,arteră,φλέβα
54,Sehne::N,tendon,νεύρο
55,Sehne::N,tendon,τένοντας
56,Knochen::N,os,οστό
57,Knochen::N,os,κόκκαλο
58,Gehirn::N,creier,μυαλό
59,Gehirn::N,creier,εγκέφαλος
60,Herz::N,inimă,καρδιά
61,Magen::N,stomac,στομάχι
62,Leber::N,ficat,ήπαρ
63,Leber::N,ficat,συκωτί
64,Atem::N,răsuflare,αναπνοή
65,Atem::N,respirație,αναπνοή
66,Hunger::N,foame,πείνα
67,Träne::N,lacrimă,δάκρυ
68,Geschmack::N,gust,γεύση
69,Geruch::N,miros,οσμή
70,Geruch::N,miros,μυρωδία
71,Schlaf::N,somn,ύπνος
72,Traum::N,vis,όνειρο
73,Himmel::N,cer,ουρανός
74,Sonne::N,soare,ήλιος
75,Mond::N,lună,σελήνη
76,Mond::N,lună,φεγγάρι
77,Stern::N,stea,άστρο
78,Stern::N,stea,αστέρι
79,Luft::N,aer,αέρας
80,Wind::N,vânt,αέρας
81,Wind::N,vânt,άνεμος
82,Welle::N,val,κύμα
83,Welle::N,undă,κύμα
84,Wasser::N,apă,νερό
85,Stein::N,piatră,πέτρα
86,Boden::N,sol,χώμα
87,Boden::N,pământ,χώμα
88,Erde::N,pământ,γη
89,Staub::N,praf,σκόνη
90,Rauch::N,fum,καπνός
91,Funke::N,scânteie,σπίθα
92,Funke::N,scânteie,σπινθήρας
93,Feuer::N,foc,φωτιά
94,Licht::N,lumină,φως
95,Schatten::N,umbră,σκιά
96,Schatten::N,umbră,ίσκιος
97,Wetter::N,timp,καιρός
98,Wetter::N,vreme,καιρός
99,Nebel::N,ceață,ομίχλη
100,Nebel::N,negură,ομίχλη
101,Wolke::N,nor,σύννεφο
102,Regen::N,ploaie,βροχή
103,Schnee::N,zăpadă,χιόνι
104,Eis::N,gheață,πάγος
105,Frost::N,ger,παγωνία
106,Kälte::N,frig,κρύο
107,Kälte::N,frig,ψύχος
108,Hitze::N,arșiță,ζέστη
109,Hitze::N,căldură,ζέστη
110,Raureif::N,chiciură,πάχνη
111,Regenbogen::N,curcubeu,ουράνιο τόξο
112,Donner::N,tunet,βροντή
113,Strömung::N,curent,ρεύμα
114,Tropfen::N,picătură,στάλα
115,Schaum::N,spumă,αφρός
116,Schmutz::N,murdărie,βρωμιά
117,See::N,lac,λίμνη
118,Sumpf::N,mlaștină,βάλτος
119,Moor::N,bărăgan,έλος
120,Wiese::N,fânaț,λιβάδι
121,Wiese::N,livadă,λιβάδι
122,Wald::N,codru,δάσος
123,Wald::N,pădure,δάσος
124,Hügel::N,deal,λόφος
125,Hügel::N,movilă,λόφος
126,Anhöhe::N,deal,ύψωμα
127,Anhöhe::N,ridicătură,ύψωμα
128,Berg::N,munte,όρος
129,Berg::N,munte,βουνό
130,Gipfel::N,pisc,κορυφή
131,Höhle::N,peșteră,σπηλιά
132,Abhang::N,pantă,πλαγιά
133,Abhang::N,versant,πλαγιά
134,Quelle::N,izvor,πηγή
135,Quelle::N,izvor,βρύση
136,Bach::N,gârlă,ρυάκι
137,Fluss::N,râu,ποτάμι
138,Fluss::N,râu,ποταμός
139,Fluss::N,fluviu,ποτάμι
140,Fluss::N,fluviu,ποταμός
141,Ufer::N,mal,όχθη
142,Ufer::N,țărm,όχθη
143,Küste::N,coastă,ακτή
144,Küste::N,coastă,ακρογιαλιά
145,Festland::N,uscat,στεριά
146,Meer::N,mare,θάλασσα
147,Bucht::N,golf,κόλπος
148,Insel::N,insulă,νησί
149,Insel::N,insulă,νήσος
150,Blume::N,floare,άνθος
151,Blume::N,floare,λουλούδι
152,Gras::N,iarbă,χόρτο
153,Gras::N,iarbă,χορτάρι
154,Wurzel::N,rădăcină,ρίζα
155,Baum::N,copac,δέντρο
156,Baum::N,arbore,δέντρο
157,Stamm::N,tulpină,κορμός
158,Rinde::N,scoarță,φλούδα
159,Ast::N,cracă,κλαδί
160,Ast::N,creangă,κλαδί
161,Zweig::N,ramură,κλαδί
162,Zweig::N,ramură,κλάδος
163,Zweig::N,creangă,κλαδί
164,Zweig::N,creangă,κλάδος
165,Blatt::N,frunză,φύλλο
166,Birke::N,mesteacăn,σημύδα
167,Kiefer[Baum]::N,pin,πεύκο
168,Weide[Baum]::N,salcie,ιτιά
169,Weide[Baum]::N,răchită,ιτιά
170,Tanne::N,brad,έλατο
171,Horn::N,corn,κέρας
172,Horn::N,corn,κέρατο
173,Feder::N,pană,φτερό
174,Fell::N,piele,δέρμα
175,Fell::N,piele,τομάρι
176,Flügel::N,aripă,πτερύγιο
177,Klaue::N,gheară,κουλό
178,Kralle::N,labă,νύχι
179,Kralle::N,gheară,νύχι
180,Schwanz::N,coadă,ουρά
181,Ei::N,ou,αβγό
182,Nest::N,cuib,φωλιά
183,Bau::N,bârlog,φωλιά
184,Bau::N,vizuină,φωλιά
185,Tier::N,animal,ζώο
186,Herde::N,turmă,κοπάδι
187,Herde::N,cireadă,κοπάδι
188,Kuh::N,vacă,αγελάδα
189,Bulle::N,taur,ταύρος
190,Pferd::N,cal,άλογο
191,Schaf::N,oaie,πρόβατο
192,Schwein::N,porc,γουρούνι
193,Hund::N,câine,σκυλί
194,Hund::N,câine,σκύλος
195,Katze::N,pisică,γάτα
196,Bär::N,urs,άρκτος
197,Bär::N,urs,αρκούδα
198,Eichhörnchen::N,veveriță,βερβερίτσα
199,Elch::N,elan,άλκη
200,Fuchs::N,vulpe,αλεπού
201,Hase::N,iepure,λαγός
202,Maus::N,șoarece,ποντικός
203,Wolf::N,lup,λύκος
204,Vogel::N,pasăre,πουλί
205,Schwarm::N,cârd,σμήνος
206,Huhn::N,găină,κότα
207,Huhn::N,găină,όρνιθα
208,Hahn::N,cocoș,πετεινός
209,Gans::N,gâscă,χήνα
210,Adler::N,vultur,αετός
211,Ente::N,rață,πάπια
212,Eule::N,bufniță,κουκουβάγια
213,Kranich::N,cocor,γερανός
214,Krähe::N,cioară,καρακάξα
215,Kuckuck::N,cuc,κούκος
216,Schwan::N,lebădă,κύκνος
217,Fisch::N,pește,ψάρι
218,Barsch::N,biban,πέρκα
219,Hecht::N,știucă,λούτσος
220,Schlange[Tier]::N,șarpe,φίδι
221,Wurm::N,vierme,σκουλήκι
222,Spinne::N,păianjen,αράχνη
223,Ameise::N,furnică,μυρμήγκι
224,Laus::N,păduche,ψείρα
225,Mücke::N,țânțar,κουνούπι
226,Fliege::N,muscă,μύγα
227,Schmetterling::N,fluture,πεταλούδα
228,Beere::N,boabă,ρόγα
229,Apfel::N,măr,μήλο
230,Pilz::N,burete,μανιτάρι
231,Pilz::N,ciupercă,μανιτάρι
232,Zwiebel::N,ceapă,κρεμμύδι
233,Saat::N,semănătură,σπόρος
234,Korn::N,grâu,σπυρί
235,Heu::N,fân,σανός
236,Schale::N,coajă,τσόφλι
237,Grube::N,groapă,λάκκος
238,Falle::N,cursă,παγίδα
239,Falle::N,capcană,παγίδα
240,Schlinge::N,laț,θηλειά
241,Spur::N,dâră,ίχνος
242,Asche::N,cenușă,στάχτη
243,Dreck::N,noroi,βρωμιά
244,Dreck::N,murdărie,βρωμιά
245,Eisen::N,fier,σίδερο
246,Gold::N,aur,μάλαμα
247,Gold::N,aur,χρυσάφι
248,Silber::N,argint,ασήμι
249,Silber::N,argint,άργυρος
250,Kohle::N,cărbune,κάρβουνο
251,Glas::N,sticlă,γυαλί
252,Lehm::N,lut,πηλός
253,Lehm::N,humă,πηλός
254,Sand::N,nisip,άμμος
255,Mensch::N,om,άνθρωπος
256,Mensch::N,persoană,άνθρωπος
257,Mann::N,om,άνδρας
258,Mann::N,bărbat,άνδρας
259,Frau::N,femeie,γυναίκα
260,Kind::N,copil,παιδί
261,Junge::N,băiat,αγόρι
262,Junge::N,flăcău,αγόρι
263,Mädchen::N,fată,κοπέλα
