,Concept_ID,kl,ce
0,Auge::N,isi,бӏаьрг
1,Ohr::N,siut,лерг
2,Mund::N,paaq,бага
3,Mund::N,qaneq,бага
4,Zahn::N,kigut,церг
5,Zunge::N,oqaq,мотт
6,Lippe::N,qarloq,балда
7,Wange::N,ersaq,бесни
8,Gesicht::N,kiinaq,юьхь
9,Stirn::N,qaaq,хьаж
10,Haar::N,meqqoq,мас
11,Bart::N,umik,маж
12,Kinn::N,talloq,чӏениг
13,Kiefer[Anatomie]::N,alleroq,мочхал
14,Kehle::N,malaq,къамкъарг
15,Hals::N,qungaseq,ворта
16,Genick::N,pukusuk,кӏесаркӏаг
17,Kopf::N,niaqoq,корта
18,Rücken::N,qimerlut,букъ
19,Bauch::N,naaq,кийра
20,Nabel::N,qalaseq,цӏонга
21,Busen::N,iviangeq,зударийн накха
22,Brust::N,iviangeq,накха
23,Schulter::N,ersik,белш
24,Schulter::N,assaqqoq,белш
25,Arm::N,taleq,пхьарс
26,Ellenbogen::N,ikusik,пхьаьрсан гола
27,Hand::N,assak,куьг
28,Handfläche::N,itumak,кераюкъ
29,Finger::N,inuak,пӏелг
30,Fingernagel::N,kikiak,мӏара
31,Nagel[Anatomie]::N,kukik,мӏара
32,Zeh::N,isigak,кога пӏелг
33,Ferse::N,kimmik,кӏажа
34,Knie::N,seeqqoq,гола
35,Oberschenkel::N,uppat,варе
36,Oberschenkel::N,quttoraq,варе
37,Bein::N,isigak,ког
38,Körper::N,timi,хӏума
39,Haut::N,mattak,чкъор
40,Blut::N,aak,цӏий
41,Ader::N,taqaq,пха
42,Sehne::N,ujalu,хьорзам
43,Sehne::N,ujaloq,хьорзам
44,Knochen::N,saanikut,даьӏахк
45,Gehirn::N,qarasaq,хье
46,Herz::N,uummat,дог
47,Magen::N,aqajaroq,зорх
48,Leber::N,tinguk,доӏах
49,Atem::N,anerneq,садеӏар
50,Hunger::N,kaanneq,мацалла
51,Träne::N,qia,бӏаьрхи
52,Träne::N,qiak,бӏаьрхи
53,Geschmack::N,qilanaartuut,чам
54,Geruch::N,tipi,хьожа
55,Geruch::N,tipik,хьожа
56,Traum::N,sinnattoq,гӏан
57,Traum::N,sinnattugaq,гӏан
58,Himmel::N,qilak,стигал
59,Sonne::N,seqineq,малх
60,Mond::N,qaammat,бутт
61,Stern::N,ulloriaq,седа
62,Luft::N,silaannaq,xӏаваъ
63,Wind::N,anori,мох
64,Wind::N,anorsarik,мох
65,Welle::N,aalappaa,тулгӏе
66,Wasser::N,imeq,хи
67,Stein::N,ujarak,тӏулг
68,Boden::N,nateq,цӏенкъа
69,Erde::N,issoq,латта
70,Staub::N,pujualanerit,чан
71,Staub::N,pujoralanerit,чан
72,Rauch::N,iseq,кӏур
73,Rauch::N,pujoq,кӏур
74,Funke::N,illoorneq,суй
75,Feuer::N,inneq,цӏе
76,Licht::N,qaamaneq,серло
77,Schatten::N,tarraq,ӏиндагӏ
78,Wetter::N,sila,хенан хӏоттам
79,Nebel::N,pujoq,дохк
80,Wolke::N,nuia,марха
81,Regen::N,sialuk,догӏа
82,Schnee::N,aput,ло
83,Eis::N,siku,ша
84,Frost::N,issi,шело
85,Frost::N,issik,шело
86,Kälte::N,issi,шело
87,Hitze::N,kianneq,йовхо
88,Hitze::N,kiassuseq,йовхо
89,Raureif::N,kaneq,йис
90,Regenbogen::N,neriusaaq,стелаӏад
91,Donner::N,kalleq,ткъес
92,Tropfen::N,kuseriarneq,тӏадам
93,Schaum::N,qapuk,чопа
94,Schmutz::N,minguk,хатт
95,See::N,taseq,ӏам
96,Sumpf::N,maqulluk,уьшал
97,Wiese::N,masarsuk,бай
98,Hügel::N,qattuneq,гу
99,Hügel::N,qattuneq,шу
100,Hügel::N,qattuneq,барз
101,Hügel::N,majuariaq,гу
102,Hügel::N,majuariaq,шу
103,Hügel::N,majuariaq,барз
104,Hügel::N,majorajaaq,гу
105,Hügel::N,majorajaaq,шу
106,Hügel::N,majorajaaq,барз
107,Hügel::N,qaqqannguaq,гу
108,Hügel::N,qaqqannguaq,шу
109,Hügel::N,qaqqannguaq,барз
110,Berg::N,qaqqaq,лам
111,Höhle::N,qaarusuk,хьех
112,Abhang::N,ippik,басе
113,Abhang::N,sivinganeq,басе
114,Abhang::N,sivingajaaq,басе
115,Abhang::N,kussangajaaq,басе
116,Bach::N,kuunnguaq,татол
117,Fluss::N,kuuk,хи
118,Ufer::N,sissap sinaa,хийист
119,Küste::N,sineriak,йист
120,Meer::N,imaq,xӏорд
121,Bucht::N,ikeq,чож
122,Bucht::N,kangerluk,чож
123,Bucht::N,kangerliumaneq,чож
124,Insel::N,qeqertaq,гӏайре
125,Blume::N,naasoq,зезаг
126,Gras::N,ivigaq,буц
127,Wurzel::N,niulutaq,орам
128,Baum::N,orpik,дитт
129,Stamm::N,kanaartaq,гӏад
130,Stamm::N,kanaartaq,тайпа
131,Rinde::N,ameraq,кевстиг
132,Ast::N,avalequt,га
133,Zweig::N,avalequt,га
134,Blatt::N,pilutaq,гӏа
135,Birke::N,patitsit,дакх
136,Weide[Baum]::N,palleq,дак
137,Tanne::N,orsuerneq,база
138,Horn::N,nassuk,маӏа
139,Feder::N,suluk,пелаг
140,Fell::N,ameq,цӏока
141,Flügel::N,suluk,тӏам
142,Flügel::N,isaroq,тӏам
143,Klaue::N,kukik,мӏара
144,Kralle::N,kukik,тlод
145,Schwanz::N,pamioq,цӏога
146,Schwanz::N,paperuusaq,цӏога
147,Ei::N,mannik,xӏoa
148,Nest::N,ullut,бен
149,Bau::N,ini,lуьрг
150,Tier::N,uumasoq,дийнат
151,Herde::N,unguukkat,жа
152,Kuh::N,ussik,етт
153,Bulle::N,angukulak,сту
154,Bulle::N,anguteralak,сту
155,Bulle::N,angutikulooq,сту
156,Schaf::N,sava,жий
157,Schaf::N,sava,уьстагӏ
158,Schwein::N,puuluki,хьакха
159,Hund::N,qimmeq,жӏаьла
160,Katze::N,puisaaq,цициг
161,Bär::N,allaq,ча
162,Eichhörnchen::N,sissinnguaq,тарсал
163,Fuchs::N,terianniaq,цхьогал
164,Hase::N,ukaleq,пхьагал
165,Maus::N,teriannguaq,дахка
166,Wolf::N,amaroq,борз
167,Vogel::N,timmiaq,олхазар
168,Huhn::N,kukkukooq,котам
169,Huhn::N,marloraaqaaq,котам
170,Hahn::N,kiasiusaq,нӏаьна
171,Hahn::N,kiasiusaq,боргӏал
172,Gans::N,nerleq,гӏаз
173,Adler::N,nattoralik,aьрзу
174,Eule::N,uppik,бухӏа
175,Kranich::N,qorlorfik,гӏаргӏули
176,Krähe::N,tuluatsiaq,къиг
177,Kuckuck::N,kukkooq,aттйокх
178,Schwan::N,qussuk,гӏургӏаз
179,Fisch::N,aalisagaq,чӏара
180,Schlange[Tier]::N,pulateriarsuk,лаьхьа
181,Schlange[Tier]::N,pulateriaarsuk,лаьхьа
182,Spinne::N,aasiaq,гезг
183,Spinne::N,nissavaarsuk,гезг
184,Ameise::N,uniaaluk,зингат
185,Laus::N,kumak,меза
186,Laus::N,kumak,гӏениг
187,Mücke::N,ippernaq,чуьрк
188,Fliege::N,ippernaq,моза
189,Schmetterling::N,paluaq,полла
190,Schmetterling::N,pakkaluaq,полла
191,Schmetterling::N,utsuppaluaq,полла
192,Schmetterling::N,taqaleqisaaq,полла
193,Beere::N,paarmaq,цӏазам
194,Beere::N,paarngaq,цӏазам
195,Apfel::N,iipili,ӏаж
196,Pilz::N,anngiusaq,жӏаьлин нускал
197,Zwiebel::N,uanitsoq,xох
198,Saat::N,naatsiiassaq,чlу
199,Korn::N,maannineq,буьртиг
200,Schale::N,niutsivik,пардо
201,Schale::N,ilulissaq qaartussaq,пардо
202,Grube::N,itersaq,ор
203,Falle::N,pualavoq,кӏело
204,Schlinge::N,orseq,
205,Schlinge::N,norloq,
206,Spur::N,tumaa,лар
207,Asche::N,arsat,чим
208,Dreck::N,minguk,мода
209,Eisen::N,savimineq,эчиг
210,Eisen::N,saffiugassaq,эчиг
211,Gold::N,kuulti,деши
212,Silber::N,siilviuvoq,дети
213,Kohle::N,aamarsuit aamaruutissat,кӏора
214,Glas::N,igalaaq,aнгали
215,Glas::N,imertarfik,aнгали
216,Glas::N,igalaamineq,aнгали
217,Lehm::N,marraq,поппар
218,Sand::N,sioqqat,гӏум
219,Mensch::N,inuk,адам
220,Mensch::N,silamiu,адам
221,Mann::N,angut,майра
222,Frau::N,arnaq,зуда
223,Kind::N,meeraq,бер
224,Junge::N,nukappiaraq,жимха
225,Mädchen::N,arnannguaq,жима йоӏ
226,Familie::N,ilaqutakka,доьзал
227,Familie::N,ilaqutariit,доьзал
228,Großvater::N,aatak,ненада
229,Großmutter::N,aanaq,денана
230,Eltern::N,angajoqqaat,да-нана
231,Vater::N,ataata,да
232,Vater::N,ataataq,да
233,Mutter::N,anaana,нана
234,Sohn::N,erneq,кӏант
235,Tochter::N,panik,йоӏ
236,Bruder::N,ani,ваша
237,Bruder::N,aqqaluk,ваша
238,Bruder::N,qatanngut,ваша
239,Schwester::N,naja,йиша
240,Schwester::N,aleqa,йиша
241,Schwester::N,qatanngut,йиша
242,Onkel::N,akkak,деваша
243,Tante::N,aja,дейиша
244,Tante::N,ajak,дейиша
245,Tante::N,atsak,дейиша
246,Ehemann::N,ui,майра
247,Ehefrau::N,nuliaq,зуда
248,Freude::N,tipaatsussuseq,самукъа
249,Freude::N,tipaatsussuseq,хазахетар
250,Gelächter::N,illaq,белам
251,Glück::N,usornaat,ирс
252,Glück::N,usornarsuseq,ирс
253,Wunsch::N,kissaat,лаам
254,Lust::N,illigussuseq,лаам
255,Lust::N,piummaseq,лаам
256,Geist::N,anerneq,са
257,Geist::N,toornaq,са
258,Gedanke::N,isumassaq,ойла
259,Gedächtnis::N,eqqaamannissuseq,диццадалар
260,Verstand::N,isuma,хьекъал
261,Verstand::N,sianissut,хьекъал
262,Verstand::N,misigissut,хьекъал
263,Verstand::N,sianissuseq,хьекъал
264,Verstand::N,silaqassuseq,хьекъал
265,Sinn::N,isuma,маьӏна
266,Grund::N,patsit,бахьана
267,Wahrheit::N,sallusuissut,бакъдерг
268,Märchen::N,oqalualaarut,туьйра
269,Märchen::N,oqaluasaaq,туьйра
270,Erzählung::N,oqaluttuaq,дийцар
271,Nachricht::N,oqaassut,хаам
272,Nachricht::N,oqqersuut,хаам
273,Neuigkeit::N,tusarnartaq,керланиг
274,Name::N,ateq,цӏе
275,Rätsel::N,nalorsitsaarut,хӏетал-метал
276,Rede::N,oqaluuseq,къамел
277,Sprache::N,oqaatsit,мотт
278,Stimme::N,erinaq,aз
279,Stimme::N,qarluuseq,aз
280,Wort::N,oqaasii,дош
281,Zeichen::N,nalunaaqqut,билгало
282,Ruf::N,qaaqqussut,кхайкхар
283,Lärm::N,perpaluk,гӏовгӏа
284,Laut::N,torsukattak,аз
285,Ton::N,erinaq,aз
286,Lied::N,taalliaq,илли
287,Lied::N,erinarsuut,илли
288,Ruhe::N,qatsunganeq,тийналла
289,Leute::N,inuiak,нах
290,Leute::N,inuiaqatigiit,нах
291,Volk::N,inuiaat,халкъ
292,Arbeit::N,suliaq,болх
293,Gast::N,qaaqqusaq,хьаша
294,Geschenk::N,pajugut,совгӏат
295,Hilfe::N,annertoqqut,гӏо
296,Freund::N,tiliaq,доттагl
297,Freund::N,ikinngut,доттагl
298,Kamerad::N,tiliaq,накъост
299,Kamerad::N,ikinngut,накъост
300,Art::N,ileqquuseq,
301,Stück::N,nakkaalaniku,юьхк
302,Teil::N,tassiaasat,дакъа
303,Hälfte::N,affaq,ах
304,Kreis::N,kaajaluinneq or kaajaluitsoq,го
305,Kreuz::N,sanningasulik,жӏара
306,Linie::N,tittaq,сиз
307,Linie::N,titarneq,сиз
308,Abstand::N,aku,юкъ
309,Abstand::N,ikiaq,юкъ
310,Entfernung::N,asi,
311,Gegend::N,nuna,мeттиг
312,Platz::N,ini,майда
313,Platz::N,inissaq,майда
314,Ort::N,sumiiffik,меттиг
315,Seite::N,saneraq,aгӏo
316,Mitte::N,qiteq,юкъ
317,Sache::N,pigisaq,хӏума
318,Rand::N,sini,йист
319,Rand::N,akerfineq,йист
320,Kante::N,akerfineq,йист
321,Ecke::N,teqeqqoq,са
322,Ecke::N,tikeqqoq,са
323,Spitze::N,inngik,ралла
324,Ende::N,isu,юьхьиг
325,Loch::N,putu,ӏуьрг
326,Winkel::N,teqeqqorissaat,са
327,Muster::N,ilisserut,дагар
328,Muster::N,ilisserut,тӏамар
329,Größe::N,angissuseq,барам
330,Länge::N,takissuseq,йохалла
331,Gewicht::N,oqimaalutaq,йозалла
332,Menge::N,amerlassuseq,дукхалла
333,Haufen::N,eqimattat,сал
334,Haufen::N,eqimattat,оьла
335,Reihe::N,allunaasaq,рагӏ
336,Reihe::N,allunaasaq,могӏа
337,Boot::N,qajaq,кема
338,Boot::N,angallat,кема
339,Boot::N,umiatsiaq,кема
340,Ruder::N,iput,пийсиг
341,Schlitten::N,qamutit,салаз
342,Schlitten::N,qimusseq,салаз
343,Ski::N,ataarut,когсалаз
344,Last::N,nammagaq,дукъ
345,Schritt::N,allorneq,гӏулч
346,Norden::N,avannaq,къилбаседе
347,Süden::N,qava,къилбе
348,Süden::N,kujat,къилбе
349,Süden::N,kujataa,къилбе
350,Westen::N,kitaa,малхбузе
351,Osten::N,kangi,малхбале
352,Holz::N,qisuk,дечиг
353,Brett::N,salliligaq,у
354,Platte::N,qaateq,у
355,Stütze::N,ajagutaq,гӏopтоp
356,Stütze::N,ajaagutaq,гӏopтоp
357,Stange::N,kaaviffik,гӏуркх
358,Stock::N,ajaappissat,ӏаса
359,Stab::N,ajaappissat,гӏаж
360,Rohr::N,sullulik,биргӏа
361,Haus::N,illu,цӏа
362,Ofen::N,kissarsuut,кхерч
363,Fußboden::N,nateq,цӏенкъа
364,Tisch::N,allattarfik,шун
365,Stuhl::N,issiavik,гӏант
366,Stuhl::N,issiaffik,гӏант
367,Wiege::N,uaasoq,ага
368,Bett::N,nallavik,маьнга
369,Regal::N,ilisivik,терхи
370,Kiste::N,sakissat,яьшка
371,Kiste::N,illerfiusaq,яьшка
372,Fenster::N,aki,кор
373,Fenster::N,igalaaq,кор
374,Tür::N,matu,неӏ
375,Tor::N,isaaffik,ков
376,Zaun::N,saputit,керт
