,Concept_ID,hu,os
0,Auge::N,szem,цӕст
1,Ohr::N,fül,хъус
2,Nase::N,orr,фындз
3,Mund::N,száj,дзых
4,Zahn::N,fog,дӕндаг
5,Zunge::N,nyelv,ӕвзаг
6,Lippe::N,ajak,был
7,Wange::N,orca,рус
8,Wange::N,orca,уадул
9,Wange::N,orca,ӕхсӕрфарс
10,Gesicht::N,arc,цӕсгом
11,Stirn::N,homlok,ных
12,Haar::N,haj,хил
13,Schnurrbart::N,bajusz,рихи
14,Bart::N,szakáll,зачъе
15,Kinn::N,áll,роцъо
16,Kiefer[Anatomie]::N,állkapocs,ӕфсӕр
17,Kehle::N,gége,хъуыр
18,Kehle::N,torok,хъуыр
19,Hals::N,nyak,къубал
20,Genick::N,tarkó,къӕбут
21,Kopf::N,fő,сӕр
22,Kopf::N,fej,сӕр
23,Rücken::N,hát,фӕсонтӕ
24,Bauch::N,has,гуыбын
25,Nabel::N,köldök,бикъ
26,Busen::N,mell,дзидзи
27,Busen::N,kebel,дзидзи
28,Brust::N,mell,риу
29,Schulter::N,váll,уӕхск
30,Arm::N,kar,цонг
31,Ellenbogen::N,könyök,рæмбын
32,Hand::N,kéz,къух
33,Handfläche::N,tenyér,армытъӕпӕн
34,Finger::N,ujj,ӕнруылдз
35,Fingernagel::N,köröm,ных
36,Nagel[Anatomie]::N,köröm,ных
37,Zeh::N,lábujj,къух
38,Fuß::N,láb,фад
39,Ferse::N,sarok,зӕвӕт
40,Knie::N,térd,уӕраг
41,Oberschenkel::N,comb,агъд
42,Bein::N,láb,зӕнг
43,Bein::N,lábszár,зӕнг
44,Körper::N,test,буар
45,Haut::N,bőr,царм
46,Blut::N,vér,туг
47,Ader::N,ér,дадзин
48,Ader::N,ér,тугдадзин
49,Sehne::N,ín,хъиутæ
50,Sehne::N,ín,нуар
51,Knochen::N,csont,стӕг
52,Gehirn::N,agy,магъз
53,Gehirn::N,agyvelő,магъз
54,Herz::N,szív,зӕрдӕ
55,Magen::N,gyomor,ахсӕн
56,Leber::N,máj,игæр
57,Atem::N,lehelet,улӕфт
58,Atem::N,lélegzet,улӕфт
59,Hunger::N,éhség,стонг
60,Träne::N,könny,цæссыг
61,Geschmack::N,íz,ад
62,Geruch::N,szag,смаг
63,Schlaf::N,álom,хуыссӕг
64,Schlaf::N,alvás,хуыссӕг
65,Traum::N,álom,фын
66,Himmel::N,ég,арв
67,Himmel::N,ég,уӕларв
68,Himmel::N,menny,арв
69,Himmel::N,menny,уӕларв
70,Sonne::N,nap,хур
71,Mond::N,hold,мӕй
72,Stern::N,csillag,стъалы
73,Luft::N,levegő,уӕлдӕф
74,Wind::N,szél,дымгӕ
