,Concept_ID,he,es
0,Auge::N,עין,ojo
1,Ohr::N,אזן,oreja
2,Nase::N,אף,nariz
3,Nase::N,חטם,nariz
4,Mund::N,פה,boca
5,Zahn::N,שן,diente
6,Zunge::N,לשון,lengua
7,Lippe::N,שפה,labio
8,Wange::N,לחי,mejilla
9,Gesicht::N,פנים,cara
10,Stirn::N,מצח,frente
11,Haar::N,שערה,cabello
12,Schnurrbart::N,שפם,bigote
13,Bart::N,זקן,barba
14,Kinn::N,סנטר,barbilla
15,Kiefer[Anatomie]::N,לסת,mandíbula
16,Kehle::N,גרון,garganta
17,Hals::N,צואר,cuello
18,Genick::N,ערף,nuca
19,Genick::N,ערף,cerviz
20,Kopf::N,ראש,cabeza
21,Rücken::N,גב,espalda
22,Bauch::N,בטן,vientre
23,Nabel::N,טבור,ombligo
24,Busen::N,שד,pecho
25,Brust::N,חזה,pecho
26,Schulter::N,כתף,hombro
27,Arm::N,זרוע,brazo
28,Ellenbogen::N,מרפק,codo
29,Hand::N,יד,mano
30,Handfläche::N,כף יד,palma
31,Finger::N,אצבע,dedo
32,Fingernagel::N,צפרן,uña
33,Nagel[Anatomie]::N,צפרן,uña
34,Zeh::N,אצבע,dedo del pie
35,Fuß::N,רגל,pie
36,Ferse::N,עקב,talón
37,Knie::N,ברך,rodilla
38,Oberschenkel::N,ירך,muslo
39,Bein::N,רגל,pierna
40,Körper::N,גוף,cuerpo
41,Haut::N,עור,piel
42,Blut::N,דם,sangre
43,Ader::N,וריד,vena
44,Sehne::N,גיד,tendón
45,Knochen::N,עצם,hueso
46,Gehirn::N,מוח,cerebro
47,Gehirn::N,מוח,encéfalo
48,Herz::N,לב,corazón
49,Magen::N,קבה,estómago
50,Leber::N,כבד,hígado
51,Atem::N,נשימה,aliento
52,Hunger::N,רעב,hambre
53,Träne::N,דמעה,lágrima
54,Geschmack::N,טעם,gusto
55,Geruch::N,ריח,olor
56,Schlaf::N,שנה,sueño
57,Traum::N,חלום,sueño
58,Traum::N,חלום,ensueño
59,Himmel::N,שמים,cielo
60,Sonne::N,שמש,sol
61,Mond::N,ירח,luna
62,Stern::N,כוכב,estrella
63,Luft::N,אויר,aire
64,Wind::N,רוח,viento
65,Welle::N,גל,ola
66,Welle::N,גל,onda
67,Wasser::N,מים,agua
68,Stein::N,אבן,piedra
69,Boden::N,קרקע,suelo
70,Erde::N,אדמה,tierra
71,Staub::N,אבק,polvo
72,Rauch::N,עשן,humo
73,Funke::N,ניצוץ,chispa
74,Feuer::N,אש,fuego
75,Licht::N,אור,luz
76,Schatten::N,צל,sombra
77,Wetter::N,מזג אויר,tiempo
78,Nebel::N,ערפל,niebla
79,Wolke::N,ענן,nube
80,Regen::N,גשם,lluvia
81,Schnee::N,שלג,nieve
82,Eis::N,קרח,hielo
83,Frost::N,צנה,helada
84,Kälte::N,קר,frío
85,Hitze::N,חם,calor
86,Raureif::N,כפור,escarcha
87,Regenbogen::N,קשת,arco iris
88,Donner::N,רעם,trueno
89,Strömung::N,זרימה,corriente
90,Tropfen::N,טפה,gota
91,Schaum::N,קצף,espuma
92,Schmutz::N,לכלוך,suciedad
93,See::N,אגם,lago
94,Sumpf::N,בצה,pantano
95,Moor::N,בצה,turbera
96,Wiese::N,מרעה,prado
97,Wiese::N,מרעה,pradera
98,Wald::N,יער,bosque
99,Hügel::N,תל,colina
100,Anhöhe::N,מעלה,cerro
101,Berg::N,הר,monte
102,Berg::N,הר,montaña
103,Gipfel::N,פסגה,cima
104,Gipfel::N,פסגה,cumbre
105,Höhle::N,מערה,cueva
106,Höhle::N,מערה,caverna
107,Abhang::N,מדרון,cuesta
108,Abhang::N,מדרון,declive
109,Abhang::N,שפוע,cuesta
110,Abhang::N,שפוע,declive
111,Quelle::N,מעין,fuente
112,Quelle::N,מעין,manantial
113,Bach::N,נחל,arroyo
114,Fluss::N,נהר,río
115,Ufer::N,גדה,orilla
116,Küste::N,חוף,costa
117,Festland::N,יבשה,tierra firme
118,Meer::N,ים,mar
119,Bucht::N,מפרץ,cala
120,Bucht::N,מפרץ,bahía
121,Insel::N,אי,isla
122,Blume::N,פרח,flor
123,Gras::N,דשא,hierba
124,Wurzel::N,שרש,raíz
125,Baum::N,עץ,árbol
126,Stamm::N,גזע,tronco
127,Rinde::N,קלפת עץ,corteza
128,Ast::N,ענף,rama
129,Zweig::N,ענף,ramo
130,Blatt::N,עלה,hoja
131,Birke::N,שדר,abedul
132,Kiefer[Baum]::N,ארן,pino
133,Weide[Baum]::N,ערבה,sauce
134,Tanne::N,אשוח,abeto
135,Horn::N,קרן,asta
136,Horn::N,קרן,cuerno
137,Feder::N,נוצה,pluma
138,Fell::N,פרוה,piel
139,Flügel::N,כנף,ala
140,Klaue::N,טלף,garra
141,Kralle::N,טפר,uña
142,Kralle::N,טפר,garra
143,Schwanz::N,זנב,cola
144,Ei::N,ביצה,huevo
145,Nest::N,קן,nido
146,Bau::N,מחלה,madriguera
147,Tier::N,חיה,animal
148,Herde::N,עדר,rebaño
149,Kuh::N,פרה,vaca
150,Bulle::N,פר,toro
151,Pferd::N,סוס,caballo
152,Schaf::N,כבשה,oveja
153,Schwein::N,חזיר,cerdo
154,Hund::N,כלב,perro
155,Katze::N,חתול,gato
156,Bär::N,דב,oso
157,Eichhörnchen::N,סנאי,ardilla
158,Elch::N,דישון,alce
159,Fuchs::N,שועל,zorro
160,Hase::N,ארנב,liebre
161,Maus::N,עכבר,ratón
162,Wolf::N,זאב,lobo
163,Vogel::N,צפור,ave
164,Vogel::N,צפור,pájaro
165,Schwarm::N,נחיל,bandada
166,Schwarm::N,להקה,bandada
167,Huhn::N,תרנגלת,gallina
168,Hahn::N,תרנגול,gallo
169,Gans::N,אוז,oca
170,Gans::N,אוז,ganso
171,Adler::N,עיט,águila
172,Ente::N,ברוז,pato
173,Eule::N,ינשוף,lechuza
174,Kranich::N,עגור,grulla
175,Kranich::N,כרוכיה,grulla
176,Krähe::N,עורב,corneja
177,Kuckuck::N,קוקיה,cuco
178,Schwan::N,ברבור,cisne
179,Fisch::N,דג,pez
180,Barsch::N,אוקונוס,perca
181,Hecht::N,זאב הים,lucio
182,Schlange[Tier]::N,נחש,serpiente
183,Wurm::N,תולעת,gusano
184,Spinne::N,עכביש,araña
185,Ameise::N,נמלה,hormiga
186,Laus::N,כנה,piojo
187,Mücke::N,יתוש,mosquito
188,Fliege::N,זבוב,mosca
189,Schmetterling::N,פרפר,mariposa
190,Beere::N,ענבה,baya
191,Apfel::N,תפוח,manzana
192,Pilz::N,פטריה,seta
193,Pilz::N,פטריה,hongo
194,Zwiebel::N,בצל,cebolla
195,Saat::N,זרעים,siembra
196,Korn::N,גרעין,grano
197,Heu::N,חציר,heno
198,Schale::N,קלפה,cáscara
199,Grube::N,בור,foso
200,Grube::N,שוחה,foso
201,Falle::N,מלכדת,trampa
202,Schlinge::N,לולאה,lazo
203,Spur::N,עקבה,huella
204,Asche::N,אפר,ceniza
205,Dreck::N,זהמה,suciedad
206,Eisen::N,ברזל,hierro
207,Gold::N,זהב,oro
208,Silber::N,כסף,plata
209,Kohle::N,פחם,carbón
210,Glas::N,זכוכית,vidrio
211,Glas::N,זכוכית,cristal
212,Lehm::N,חרסית,barro
213,Sand::N,חול,arena
214,Mensch::N,אדם,hombre
215,Mensch::N,אדם,ser humano
216,Mann::N,איש,hombre
217,Mann::N,גבר,hombre
218,Frau::N,אשה,mujer
219,Frau::N,גברת,mujer
220,Kind::N,ילד,niño
221,Junge::N,ילד,chico
222,Junge::N,ילד,muchacho
223,Mädchen::N,נערה,chica
224,Mädchen::N,נערה,muchacha
225,Familie::N,משפחה,familia
226,Großvater::N,סבא,abuelo
227,Großmutter::N,סבתא,abuela
228,Eltern::N,הורים,padres
229,Vater::N,אב,padre
230,Mutter::N,אם,madre
231,Sohn::N,בן,hijo
232,Tochter::N,בת,hija
233,Bruder::N,אח,hermano
234,Schwester::N,אחות,hermana
235,Onkel::N,דוד,tío
236,Tante::N,דודה,tía
237,Ehemann::N,איש,esposo
238,Ehemann::N,בעל,esposo
239,Ehefrau::N,אשה,esposa
240,Freude::N,שמחה,placer
241,Freude::N,שמחה,alegría
242,Gelächter::N,צחוק,risa
243,Gelächter::N,צחוק,carcajada
244,Glück::N,אשר,felicidad
245,Kummer::N,יגון,pena
246,Kummer::N,עגמה,pena
247,Wunsch::N,אחול,deseo
248,Wunsch::N,משאלה,deseo
249,Lust::N,חשק,ganas
250,Lust::N,תשוקה,ganas
251,Geist::N,רוח,mente
252,Geist::N,רוח,espíritu
253,Gedanke::N,מחשבה,idea
254,Gedanke::N,מחשבה,pensamiento
255,Gedächtnis::N,זכרון,memoria
256,Verstand::N,שכל,razón
257,Verstand::N,שכל,entendimiento
258,Sinn::N,מובן,sentido
259,Sinn::N,מובן,significado
260,Sinn::N,משמעות,sentido
261,Sinn::N,משמעות,significado
262,Grund::N,סבה,causa
263,Wahrheit::N,אמת,verdad
264,Gespräch::N,דיון,conversación
265,Märchen::N,אגדה,cuento
266,Erzählung::N,ספור,cuento
267,Erzählung::N,ספור,narración
268,Nachricht::N,ידיעה,mensaje
269,Neuigkeit::N,חדשה,noticia
270,Name::N,שם,nombre
271,Rätsel::N,תעלומה,acertijo
272,Rätsel::N,תעלומה,adivinanza
273,Rede::N,נאום,discurso
274,Sprache::N,לשון,lengua
275,Stimme::N,קול,voz
276,Wort::N,מלה,palabra
277,Zeichen::N,סימן,señal
278,Ruf::N,קריאה,llamada
279,Lärm::N,רעש,ruido
280,Lärm::N,רעש,barullo
281,Laut::N,הגה,sonido
282,Ton::N,צליל,tono
283,Lied::N,שיר,canción
284,Ruhe::N,שלוה,calma
285,Ruhe::N,שלוה,silencio
286,Leute::N,אנשים,gente
287,Volk::N,עם,pueblo
288,Arbeit::N,עבודה,trabajo
289,Gast::N,אורח,huésped
290,Gast::N,אורח,invitado
291,Geschenk::N,מתנה,regalo
292,Spiel::N,משחק,juego
293,Gesellschaft::N,חברה,compañía
294,Hilfe::N,עזרה,ayuda
295,Hilfe::N,עזרה,socorro
296,Freund::N,חבר,amigo
297,Freund::N,ידיד,amigo
298,Kamerad::N,רע,camarada
299,Kamerad::N,רע,compañero
300,Angelegenheit::N,ענין,asunto
301,Anzahl::N,מספר,cantidad
302,Art::N,סוג,tipo
303,Art::N,סוג,clase
304,Stück::N,חתיכה,pieza
305,Teil::N,פרק,parte
306,Hälfte::N,חצי,mitad
307,Kreis::N,מעגל,círculo
308,Kreuz::N,צלב,cruz
309,Linie::N,קו,línea
310,Strich::N,קו קצר,raya
311,Strich::N,קו קצר,trazo
312,Abstand::N,מרחק,distancia
313,Entfernung::N,מרחק,distancia
314,Gegend::N,נוף,región
315,Gegend::N,נוף,comarca
316,Platz::N,שטח,espacio
317,Ort::N,אתר,sitio
318,Ort::N,מקום,sitio
319,Seite::N,צד,lado
320,Seite::N,צד,costado
321,Mitte::N,אמצע,medio
322,Mitte::N,אמצע,centro
323,Gegenstand::N,אוביקט,objeto
324,Sache::N,דבר,cosa
325,Rand::N,פרור,borde
326,Kante::N,קצה,borde
327,Ecke::N,פנה,esquina
328,Spitze::N,קצה,punta
329,Ende::N,סוף,cabo
330,Ende::N,סוף,extremo
331,Loch::N,חר,agujero
332,Loch::N,חר,abertura
333,Winkel::N,פנה,ángulo
334,Muster::N,תבנית,dibujo
335,Größe::N,גדל,tamaño
336,Länge::N,ארך,longitud
337,Höhe::N,קומה,altura
338,Höhe::N,קומה,altitud
339,Höhe::N,גבה,altura
340,Höhe::N,גבה,altitud
341,Gewicht::N,משקל,peso
342,Menge::N,כמות,cantidad
343,Haufen::N,ערמה,montón
344,Reihe::N,רצף,fila
345,Boot::N,סירה,bote
346,Boot::N,סירה,barca
347,Ruder::N,משוט,remo
348,Schlitten::N,מזחלת,trineo
349,Ski::N,מגלשים,esquí
350,Lagerfeuer::N,מדורה,hoguera
351,Last::N,משא,carga
352,Gang::N,הליכה,marcha
353,Schritt::N,צעד,paso
354,Norden::N,צפון,norte
355,Süden::N,דרום,sur
356,Westen::N,מערב,oeste
357,Osten::N,מזרח,este
358,Holz::N,עץ,madera
359,Brett::N,קרש,tabla
360,Platte::N,לוח,placa
361,Platte::N,לוח,plancha
362,Stütze::N,משען,sostén
363,Stütze::N,משען,soporte
364,Stange::N,מוט,vara
365,Stange::N,מוט,percha
366,Stock::N,מקל,palo
367,Stock::N,מקל,bastón
368,Stab::N,מוט,vara
369,Stab::N,מוט,bastón
370,Rohr::N,צנור,tubo
371,Haus::N,בית,casa
372,Heim::N,בית,hogar
373,Ofen::N,תנור,estufa
374,Fußboden::N,רצפה,suelo
375,Tisch::N,שלחן,mesa
376,Stuhl::N,כסא,silla
377,Wiege::N,ערש,cuna
378,Bett::N,מטה,cama
379,Regal::N,מדף,estantería
380,Kiste::N,תבה,caja
381,Kiste::N,ארגז,caja
382,Fenster::N,חלון,ventana
383,Tür::N,דלת,puerta
