,Concept_ID,bn,ps
0,Auge::N,চক্ষু,سترګه
1,Ohr::N,কর্ণ,غوږ
2,Nase::N,নাক,پوزه
3,Mund::N,মুখ,خوله
4,Zahn::N,দাঁত,غاښ
5,Zunge::N,জিহবা,جبه
6,Lippe::N,অধর,شونډه
7,Wange::N,গণ্ড,باړخو
8,Gesicht::N,মুখমণ্ডল,مخ
9,Stirn::N,কপাল,تندی
10,Stirn::N,কপাল,وچولی
11,Haar::N,চুল,وېښته
12,Schnurrbart::N,গোঁফ,برېت
13,Bart::N,শ্মশ্রু,ږیره
14,Kinn::N,চিবুক,زنه
15,Kiefer[Anatomie]::N,চোয়াল,جامه
16,Kehle::N,কণ্ঠ,غاړه
17,Hals::N,গল,غاړه
18,Genick::N,ঘাড়,ورمېږ
19,Kopf::N,মাথা,سر
20,Rücken::N,পৃষ্ঠ,شا
21,Bauch::N,উদর,نس
22,Bauch::N,উদর,ګېډه
23,Nabel::N,নাভি,نوم
24,Busen::N,স্তন,تی
25,Brust::N,বুক,سینه
26,Schulter::N,স্কন্ধ,اوږه
27,Arm::N,বাহু,لاس
28,Ellenbogen::N,কনুই,څنګل
29,Hand::N,হাত,لاس
30,Handfläche::N,করতল,ورغوی
31,Finger::N,আঙ্গুল,ګوته
32,Fingernagel::N,হাতের নখ,نوک
33,Nagel[Anatomie]::N,নখ,نوک
34,Zeh::N,আঙ্গুল,ګوته
35,Fuß::N,পা,پښه
36,Ferse::N,গোড়ালি,پونده
37,Knie::N,হাঁটু,زنګون
38,Oberschenkel::N,ঊরু,پتون
39,Bein::N,পা,پښه
40,Körper::N,দেহ,ځان
41,Haut::N,ত্বক,پوټکی
42,Blut::N,রক্ত,وینه
43,Ader::N,শিরা,رګ
44,Sehne::N,কণ্ডরা,پله
45,Knochen::N,অস্থি,هډوکی
46,Gehirn::N,মস্তিষ্ক,ماغزه
47,Herz::N,হৃৎপিণ্ড,زړه
48,Magen::N,পাকস্থলী,معده
49,Leber::N,যকৃৎ,ينه
50,Leber::N,যকৃৎ,ځیګر
