,Concept_ID,ady,ab
0,Auge::N,нэ,ала
1,Ohr::N,тхьакӏу́м,алымҳа
2,Nase::N,пэ,аҧынҵа
3,Mund::N,жэ,аҧышə
4,Zahn::N,цэ,ахаҧыц
5,Zunge::N,бзэгу,абз
6,Lippe::N,ӏупшӏэ́,ақьышə
7,Wange::N,нэкӏу́шъу,аӡамҩа
8,Gesicht::N,нэ́гу,аҿы
9,Stirn::N,натӏэ́,алахь
10,Haar::N,шъхьацы́,ахəыц
11,Bart::N,жакӏэ́,ажакьа
12,Kinn::N,жэкӏэпэпкъ,ацламкəыгə
13,Kiefer[Anatomie]::N,жэпкъы́,ацламҳəа
14,Kehle::N,чый,ахəда
15,Hals::N,пшъэ,ахəда
16,Genick::N,шъхьэпхэтыку,ахəдаџьал
17,Kopf::N,шъхьэ́,ахы
18,Rücken::N,кӏыбы́,азқəа
19,Bauch::N,ныбэ́,амгəа
20,Busen::N,бгъэ́,агəыҧҳəы
21,Brust::N,бгъэ́,агəышҧы
22,Schulter::N,блыпкъ,ажəҩахыр
23,Arm::N,ӏэ,амахəар
24,Ellenbogen::N,ӏэнтэ́гъу,амашьхəылҵ
25,Hand::N,ӏэтхьэцу,анапы
26,Handfläche::N,ӏэ́гу,анапсаргəыҵа
27,Finger::N,ӏэхъуа́мб,анацəа
28,Fingernagel::N,ӏэбжъа́н,анапхыц
29,Nagel[Anatomie]::N,ӏэбжъа́н,ашьапхыц
30,Zeh::N,ӏэхъуа́мб,ашьацəа
31,Fuß::N,лъэгу,ашьапсыргəыҵа
32,Ferse::N,лъэдакъэ,ашьхəа
33,Knie::N,лъагуа́ндж,ашьамхы
34,Oberschenkel::N,ко,ауаҭəа
35,Bein::N,лъакъо́,ашьапы
36,Körper::N,пкъышъол,ацəеижь
37,Haut::N,кӏы́шъу,ацəа
38,Blut::N,лъы,ашьа
39,Ader::N,льытф,ада
40,Sehne::N,фэ,адаш
41,Knochen::N,къупшъхьэ́,абаҩ
42,Gehirn::N,куцӏы,ахшлыбаҩ
43,Gehirn::N,куцӏы,ахшыбаҩ
44,Herz::N,гу,агəы
45,Magen::N,мышкӏу,аца
46,Magen::N,мышкӏу,ацар
47,Leber::N,шӏу,агəаҵəа
48,Atem::N,къэщэныр,аҧсыҧлагаҩгара
49,Hunger::N,гъаблэ́,амла
50,Träne::N,нэпсы,алабжыш
51,Geschmack::N,ӏэшӏугъа́кӏ,агьама
52,Geruch::N,мэ,афҩы
53,Schlaf::N,пчыхьы́пӏ,ацəа
54,Traum::N,пчыхьы́пӏ,аҧхыӡ
55,Himmel::N,уашъо́,ажəҩан
56,Sonne::N,тыгъэ,амра
57,Mond::N,мазэ,амза
58,Stern::N,жъуагъо́,аеҵəа
59,Luft::N,жьы,аҳаир
60,Wind::N,жьыбгъэ́,аҧша
61,Welle::N,ор,ацəқəырҧа
62,Welle::N,оры,ацəқəырҧа
63,Wasser::N,псы,аӡы
64,Stein::N,мыжъо́,ахаҳə
65,Boden::N,чӏ́ыгу,адгьыл
66,Erde::N,чӏ́ыгу,адгьыл
67,Staub::N,сап,асаба
68,Rauch::N,ӏугъо́,алҩа
69,Funke::N,мэшӏуа́ч,акəиц
70,Funke::N,мэшӏуа́ч,ацҧхь
71,Feuer::N,машӏо́,амца
72,Licht::N,нэфы,алашара
73,Licht::N,нэфын,алашара
74,Schatten::N,жьау́,ашəшьыра
75,Schatten::N,ныбжьыкъу,ашəшьыра
76,Nebel::N,пща́гъу,анаҟəа
77,Wolke::N,ошъуапщэ,аҧсҭҳəа
78,Regen::N,ощхы,ақəа
79,Schnee::N,осы́,асы
80,Eis::N,мылы,аҵаа
81,Kälte::N,чъыӏэ́,ахьҭа
82,Hitze::N,фэба́е,ашоура
83,Regenbogen::N, лэгъупэкъо́пс,ацəаҟəа
84,Donner::N,шыблэ́,адыд
85,Strömung::N,ток,аиасра
86,Strömung::N,ток,амҩасра
87,Tropfen::N,ткӏопс,ацəыкəбар
88,Tropfen::N,гъуаткӏу,ацəыкəбар
89,Schaum::N,тхъурбэ,ашəах
90,Schmutz::N,псынжъы,алымт
91,See::N,хыку́м,аӡиа
92,See::N,псыхъура́й,аӡиа
93,Sumpf::N,орыжъ,аӡмах
94,Moor::N,орыжъ,
95,Wiese::N,хъупӏэ́,адəы
96,Wiese::N,мэкъупӏ,адəы
97,Wald::N,мэзы́,абна
98,Hügel::N,ӏуашъхь,ахəы
99,Anhöhe::N,чӏыӏэтыгъ,аҳаракыра
100,Berg::N,къушъхьэ́,ашьха
101,Gipfel::N,шыгу,ацəқəа
102,Höhle::N,гъочӏэгъ,аҳаҧы
103,Abhang::N,чапэ,анаара
104,Quelle::N,псынэчэ́чъ,аҵҵырҭа
105,Bach::N,псышкуашку,акəараҷҷа
106,Fluss::N,псыхъо́,аӡиас
107,Ufer::N,нэпкъы,ахықə
108,Küste::N,ӏушъо,ахықə
109,Festland::N,чӏл́ыгу,абарра
