,Concept_ID,it,ro
0,Auge::N,occhio,ochi
1,Ohr::N,orecchio,ureche
2,Nase::N,naso,nas
3,Mund::N,bocca,gură
4,Zahn::N,dente,dinte
5,Zunge::N,lingua,limbă
6,Lippe::N,labbro,buză
7,Wange::N,guancia,bucă
8,Wange::N,guancia,obraz
9,Gesicht::N,viso,față
10,Gesicht::N,viso,figură
11,Gesicht::N,faccia,față
12,Gesicht::N,faccia,figură
13,Stirn::N,fronte,frunte
14,Haar::N,capello,păr
15,Schnurrbart::N,baffi,mustață
16,Schnurrbart::N,mustacchi,mustață
17,Bart::N,barba,barbă
18,Kinn::N,mento,bărbie
19,Kiefer[Anatomie]::N,mascella,falcă
20,Kehle::N,gola,beregată
21,Hals::N,collo,gât
22,Genick::N,nuca,ceafă
23,Kopf::N,capo,cap
24,Kopf::N,testa,cap
25,Rücken::N,dorso,dos
26,Rücken::N,dorso,spate
27,Rücken::N,dorso,spinare
28,Rücken::N,schiena,dos
29,Rücken::N,schiena,spate
30,Rücken::N,schiena,spinare
31,Bauch::N,ventre,burtă
32,Bauch::N,ventre,pântece
33,Nabel::N,ombelico,buric
34,Busen::N,seno,sân
35,Brust::N,petto,piept
36,Schulter::N,spalla,umăr
37,Schulter::N,spalla,spate
38,Arm::N,braccio,braț
39,Ellenbogen::N,gomito,cot
40,Hand::N,mano,mână
41,Handfläche::N,palma,palmă
42,Finger::N,dito,deget
43,Fingernagel::N,unghia,unghie
44,Nagel[Anatomie]::N,unghia,unghie
45,Zeh::N,dito del piede,deget de la picior
46,Fuß::N,piede,picior
47,Ferse::N,tallone,călcâi
48,Ferse::N,calcagno,călcâi
49,Knie::N,ginocchio,genunchi
50,Oberschenkel::N,fèmore,coapsă
51,Bein::N,gamba,picior
52,Körper::N,corpo,corp
53,Haut::N,pelle,piele
54,Blut::N,sangue,sânge
55,Ader::N,vena,vână
56,Ader::N,vena,arteră
57,Sehne::N,tèndine,tendon
58,Knochen::N,osso,os
