,Concept_ID,myv,mn
0,Auge::N,сельме,нүд
1,Ohr::N,пиле,чих
2,Nase::N,судо,хамар
3,Mund::N,курго,ам
4,Zahn::N,пей,шүд
5,Zunge::N,кель,хэл
6,Lippe::N,турва,уруул
7,Wange::N,чамабока,хацар
8,Wange::N,чамаумарь,хацар
9,Gesicht::N,чама,царай
10,Gesicht::N,чама,нүүр
11,Stirn::N,коня,дух
12,Haar::N,черь,үс
13,Schnurrbart::N,ус,дээд сахал
14,Schnurrbart::N,ус,живэр сахал
15,Schnurrbart::N,муюк,дээд сахал
16,Schnurrbart::N,муюк,живэр сахал
17,Bart::N,сакал,сахал
18,Kinn::N,уло,эрүү
19,Kiefer[Anatomie]::N,пейпакар,эрүү
20,Kiefer[Anatomie]::N,пейловажа,эрүү
21,Kehle::N,кирьгапарь,хоолой
22,Hals::N,кирьга,хүзүү
23,Genick::N,човонь,шил
24,Genick::N,човонь,хүзүү
25,Kopf::N,пря,толгой
26,Rücken::N,копорь,ар
27,Rücken::N,копорь,нуруу
28,Bauch::N,пеке,хэвлий
29,Bauch::N,пеке,гэдэс
30,Nabel::N,почо,хүйс
31,Busen::N,поте,хөх
32,Brust::N,меште,цээж
33,Schulter::N,лавтов,мөр
34,Schulter::N,лавтов,бугалга
35,Arm::N,кедь,гар
36,Ellenbogen::N,кенерепакарь,тохой
37,Hand::N,кедь,гар
38,Hand::N,кедь,алга
39,Handfläche::N,кедькуншка,алга
40,Handfläche::N,кедьлапушка,алга
41,Finger::N,сур,хуруу
42,Fingernagel::N,кенже,хурууны хумс
43,Nagel[Anatomie]::N,кенже,хумс
44,Zeh::N,пильге сур,хуруу
45,Fuß::N,пильге,хөл
46,Ferse::N,кочкаря,өсгий
47,Knie::N,эле,өвдөг
48,Knie::N,эзне,өвдөг
49,Knie::N,кумажа,өвдөг
50,Oberschenkel::N,качо,гуя
51,Bein::N,пильге,хөл
52,Körper::N,рунго,бие
53,Haut::N,киське,арьс
54,Blut::N,верь,цус
55,Ader::N,сан,судас
56,Sehne::N,коське сан,бүлх
57,Sehne::N,коське сан,шандас
58,Knochen::N,пакарь,яс
59,Gehirn::N,удем,тархи
60,Herz::N,седей,зүрх
61,Magen::N,пеке,ходоод
62,Leber::N,максо,элэг
63,Atem::N,лексема,амьсгаа
64,Atem::N,оймень таргсема,амьсгаа
65,Hunger::N,вачочи,өлсгөлөн
66,Träne::N,селведь,нулимс
67,Geschmack::N,тансть,амт
68,Geruch::N,чине,үнэр
69,Schlaf::N,удома,нойр
70,Traum::N,он,зүүд
71,Himmel::N,менель,тэнгэр
72,Himmel::N,менель,огторгуй
73,Sonne::N,чи,нар
74,Mond::N,ков,сар
75,Stern::N,теште,од
76,Luft::N,кошт,агаар
77,Wind::N,варма,салхи
78,Welle::N,толкун,долгио
79,Welle::N,толкун,давалгаа
80,Wasser::N,ведь,ус
81,Stein::N,кев,чулуу
82,Boden::N,мода,хөрс
83,Erde::N,мастор,газар
84,Erde::N,мастор,шороо
85,Staub::N,пуль,тоос
86,Rauch::N,качамо,утаа
87,Funke::N,сятко,оч
88,Feuer::N,тол,гал
89,Licht::N,валдо,гэрэл
90,Licht::N,валдо,гэгээ
91,Schatten::N,сулей,сүүдэр
92,Schatten::N,сулейкс,сүүдэр
93,Wetter::N,ушо,тэнгэр
94,Wetter::N,ушо,цаг уур
95,Nebel::N,сув,будан
96,Wolke::N,пель,үүл
97,Regen::N,пиземс,бороо
98,Schnee::N,лов,цас
99,Eis::N,эй,мөс
100,Frost::N,кельме,хүйт
101,Kälte::N,якшамо,хүйт
102,Hitze::N,пси,халуун
103,Raureif::N,лекш,цан
104,Raureif::N,лекш,хяруу
105,Regenbogen::N,пурьгинечирьке,солонго
106,Regenbogen::N,пурьгинеёнкс,солонго
107,Donner::N,пурьгине,тэнгэрийн дуу
108,Strömung::N,чудема,урсгал
109,Strömung::N,чудевкс,урсгал
110,Tropfen::N,петнявкс,дусал
111,Schaum::N,чов,хөөс
112,Schmutz::N,рудаз,хир
113,Schmutz::N,рудаз,шавхай
114,See::N,эрьке,нуур
115,Sumpf::N,чей,намаг
