,Concept_ID,no,nl
0,Auge::N,øye,oog
1,Ohr::N,øre,oor
2,Nase::N,nese,neus
3,Mund::N,munn,mond
4,Zahn::N,tann,tand
5,Zunge::N,tunge,tong
6,Lippe::N,leppe,lip
7,Wange::N,kinn,wang
8,Gesicht::N,fjes,gelaat
9,Gesicht::N,fjes,gezicht
10,Gesicht::N,ansikt,gelaat
11,Gesicht::N,ansikt,gezicht
12,Stirn::N,panne,voorhoofd
13,Haar::N,hår,haar
14,Schnurrbart::N,bart,snor
15,Bart::N,skjegg,baard
16,Kinn::N,hake,kin
17,Kiefer[Anatomie]::N,kjeve,kaak
18,Kehle::N,strupe,keel
19,Kehle::N,strupe,strot
20,Hals::N,hals,hals
21,Genick::N,nakke,nek
22,Kopf::N,hode,hoofd
23,Rücken::N,rygg,rug
24,Bauch::N,buk,buik
25,Bauch::N,mage,buik
26,Nabel::N,navle,navel
27,Busen::N,barm,boezem
28,Brust::N,bryst,borst
29,Schulter::N,skulder,schouder
30,Arm::N,arm,arm
31,Ellenbogen::N,albue,elleboog
32,Hand::N,hånd,hand
33,Handfläche::N,håndflate,handpalm
34,Finger::N,finger,vinger
35,Fingernagel::N,fingernegl,nagel
36,Nagel[Anatomie]::N,negl,nagel
37,Zeh::N,tå,teen
38,Fuß::N,fot,voet
39,Ferse::N,hæl,hak
40,Ferse::N,hæl,hiel
41,Knie::N,kne,knie
42,Oberschenkel::N,lår,dij
43,Bein::N,bein,been
44,Körper::N,kropp,lichaam
45,Körper::N,legeme,lichaam
46,Haut::N,hud,huid
47,Haut::N,skinn,huid
48,Blut::N,blod,bloed
49,Ader::N,åre,ader
50,Sehne::N,sene,pees
51,Knochen::N,bein,bot
52,Knochen::N,bein,been
53,Knochen::N,bein,knook
54,Knochen::N,knokkel,bot
55,Knochen::N,knokkel,been
56,Knochen::N,knokkel,knook
57,Gehirn::N,hjerne,hersenen
58,Herz::N,hjerte,hart
59,Magen::N,mage,maag
60,Leber::N,lever,lever
61,Atem::N,pust,adem
62,Hunger::N,sult,honger
63,Träne::N,tåre,traan
64,Geschmack::N,smak,smaak
65,Geruch::N,lukt,geur
66,Schlaf::N,søvn,slaap
67,Traum::N,drøm,droom
68,Himmel::N,himmel,hemel
69,Sonne::N,sol,zon
70,Mond::N,måne,maan
71,Stern::N,stjerne,ster
72,Luft::N,luft,lucht
73,Wind::N,vind,wind
74,Welle::N,bølge,golf
75,Wasser::N,vann,water
76,Stein::N,stein,steen
77,Boden::N,bakke,grond
78,Erde::N,jord,aarde
79,Staub::N,støv,stof
80,Rauch::N,røyk,rook
81,Funke::N,gnist,vonk
82,Feuer::N,ild,vuur
83,Licht::N,lys,licht
84,Schatten::N,skygge,schaduw
85,Wetter::N,vær,weer
86,Nebel::N,tåke,mist
87,Nebel::N,tåke,nevel
88,Wolke::N,sky,wolk
89,Regen::N,regn,regen
90,Schnee::N,snø,sneeuw
91,Eis::N,is,ijs
92,Frost::N,frost,vorst
93,Kälte::N,kulde,kou
94,Kälte::N,kulde,koude
95,Hitze::N,hete,hitte
96,Raureif::N,rimfrost,rijp
97,Regenbogen::N,regnbue,regenboog
98,Donner::N,torden,donder
99,Strömung::N,strømning,stroming
100,Tropfen::N,dråpe,druppel
101,Schaum::N,skum,schuim
102,Schmutz::N,søl,vuil
103,Schmutz::N,skitt,vuil
104,See::N,sjø,meer
105,Sumpf::N,sump,moeras
106,Sumpf::N,myrlende,moeras
107,Moor::N,myr,veen
108,Moor::N,myrhei,veen
109,Wiese::N,eng,wei
110,Wiese::N,eng,weide
111,Wald::N,skog,bos
112,Hügel::N,haug,heuvel
113,Hügel::N,bakke,heuvel
114,Anhöhe::N,haug,hoogte
115,Anhöhe::N,bakke,hoogte
116,Berg::N,berg,berg
117,Berg::N,fjell,berg
118,Gipfel::N,topp,top
119,Höhle::N,hule,hol
120,Abhang::N,li,helling
121,Abhang::N,skråning,helling
122,Quelle::N,kilde,bron
123,Bach::N,bekk,beek
124,Fluss::N,elv,stroom
125,Ufer::N,bredd,wal
126,Ufer::N,bredd,oever
127,Küste::N,kyst,kust
128,Festland::N,fastland,vasteland
129,Meer::N,hav,zee
130,Bucht::N,bukt,baai
131,Bucht::N,bukt,inham
132,Insel::N,øy,eiland
133,Blume::N,blomst,bloem
134,Gras::N,gress,gras
135,Wurzel::N,rot,wortel
136,Baum::N,tre,boom
137,Stamm::N,stamme,stam
138,Rinde::N,bark,schors
139,Ast::N,gren,tak
140,Zweig::N,kvist,twijg
141,Blatt::N,blad,blad
142,Birke::N,bjørk,berk
143,Kiefer[Baum]::N,furu,den
144,Weide[Baum]::N,selje,wilg
145,Weide[Baum]::N,piletre,wilg
146,Tanne::N,gran,spar
147,Horn::N,horn,hoorn
148,Feder::N,fjær,veer
149,Feder::N,fjær,pluim
150,Fell::N,skinn,vel
151,Flügel::N,vinge,vleugel
152,Klaue::N,klauv,klauw
153,Kralle::N,klo,klauw
154,Schwanz::N,hale,staart
155,Ei::N,egg,ei
156,Nest::N,rede,nest
157,Bau::N,hi,hol
158,Tier::N,dyr,dier
159,Herde::N,flokk,kudde
160,Kuh::N,ku,koe
161,Bulle::N,tyr,stier
162,Pferd::N,hest,paard
163,Schaf::N,får,schaap
164,Schwein::N,gris,varken
165,Hund::N,hund,hond
166,Katze::N,katt,kat
167,Bär::N,bjørn,beer
168,Eichhörnchen::N,ekorn,eekhoorntje
169,Elch::N,elg,eland
170,Fuchs::N,rev,vos
171,Hase::N,hare,haas
172,Maus::N,mus,muis
173,Wolf::N,ulv,wolf
174,Wolf::N,varg,wolf
175,Vogel::N,fugl,vogel
176,Schwarm::N,sverm,zwerm
177,Huhn::N,høne,kip
178,Huhn::N,høne,hoen
179,Hahn::N,hane,haan
180,Gans::N,gås,gans
181,Adler::N,ørn,arend
182,Ente::N,and,eend
183,Eule::N,ugle,uil
184,Kranich::N,trane,kraanvogel
185,Krähe::N,kråke,kraai
186,Kuckuck::N,gjøk,koekoek
187,Schwan::N,svane,zwaan
188,Fisch::N,fisk,vis
189,Barsch::N,abbor,baars
190,Hecht::N,gjedde,snoek
191,Schlange[Tier]::N,orm,slang
192,Schlange[Tier]::N,slange,slang
193,Wurm::N,orm,worm
194,Wurm::N,mark,worm
195,Spinne::N,edderkopp,spin
196,Ameise::N,maur,mier
197,Laus::N,lus,luis
198,Mücke::N,mygg,mug
199,Fliege::N,flue,vlieg
200,Schmetterling::N,sommerfugl,vlinder
201,Beere::N,bær,bes
202,Apfel::N,eple,appel
203,Pilz::N,sopp,paddestoel
204,Zwiebel::N,løk,ui
205,Saat::N,sæd,zaad
206,Korn::N,korn,graan
207,Korn::N,korn,korrel
208,Heu::N,høy,hooi
209,Schale::N,skall,schil
210,Grube::N,grop,kuil
211,Falle::N,felle,val
212,Schlinge::N,snare,strop
213,Spur::N,spor,spoor
214,Asche::N,aske,as
215,Dreck::N,møkk,drek
216,Dreck::N,skitt,drek
217,Eisen::N,jern,ijzer
218,Gold::N,gull,goud
219,Silber::N,sølv,zilver
220,Kohle::N,kol,kool
221,Kohle::N,kull,kool
222,Glas::N,glass,glas
223,Lehm::N,leire,klei
224,Sand::N,sand,zand
225,Mensch::N,menneske,mens
226,Mann::N,mann,man
227,Frau::N,kvinne,vrouw
228,Kind::N,barn,kind
229,Junge::N,gutt,jongen
230,Mädchen::N,pike,meisje
231,Mädchen::N,jente,meisje
232,Familie::N,familie,gezin
233,Familie::N,familie,familie
234,Großvater::N,bestefar,grootvader
235,Großmutter::N,bestemor,grootmoeder
236,Eltern::N,foreldre,ouders
237,Vater::N,far,vader
238,Mutter::N,mor,moeder
239,Sohn::N,sønn,zoon
240,Tochter::N,datter,dochter
241,Bruder::N,bror,broer
242,Bruder::N,bror,broeder
243,Schwester::N,søster,zus
244,Schwester::N,søster,zuster
245,Onkel::N,onkel,oom
246,Tante::N,tante,tante
247,Ehemann::N,ektemann,echtgenoot
248,Ehefrau::N,hustru,echtgenote
249,Freude::N,glede,vreugde
250,Gelächter::N,latter,gelach
251,Glück::N,lykke,geluk
252,Kummer::N,sorg,verdriet
253,Wunsch::N,ønske,wens
254,Wunsch::N,ønske,verlangen
255,Lust::N,lyst,zin
256,Lust::N,lyst,lust
257,Geist::N,ånd,geest
258,Gedanke::N,tanke,gedachte
259,Gedächtnis::N,minne,geheugen
260,Gedächtnis::N,hukommelse,geheugen
261,Verstand::N,forstand,verstand
262,Sinn::N,mening,betekenis
263,Sinn::N,betydning,betekenis
264,Grund::N,grunn,reden
265,Wahrheit::N,sannhet,waarheid
266,Gespräch::N,samtale,gesprek
267,Märchen::N,eventyr,sprookje
268,Erzählung::N,fortelling,verhaal
269,Nachricht::N,melding,tijding
270,Neuigkeit::N,nyhet,nieuws
271,Neuigkeit::N,nyhet,nieuwtje
272,Name::N,navn,naam
273,Rätsel::N,gåte,raadsel
274,Rede::N,tale,rede
275,Sprache::N,språk,taal
276,Stimme::N,stemme,stem
277,Wort::N,ord,woord
278,Zeichen::N,tegn,teken
279,Ruf::N,rop,roep
280,Lärm::N,bråk,lawaai
281,Laut::N,lyd,klank
282,Laut::N,lyd,geluid
283,Ton::N,tone,toon
284,Ton::N,tone,klank
285,Lied::N,vise,lied
286,Ruhe::N,ro,rust
287,Ruhe::N,ro,stilte
288,Leute::N,folk,lui
289,Leute::N,folk,mensen
290,Volk::N,folk,volk
291,Arbeit::N,arbeid,werk
292,Arbeit::N,arbeid,arbeid
293,Gast::N,gjest,gast
294,Geschenk::N,gave,cadeau
295,Geschenk::N,gave,geschenk
296,Spiel::N,lek,spel
297,Spiel::N,spill,spel
298,Gesellschaft::N,selskap,gezelschap
299,Hilfe::N,hjelp,hulp
300,Freund::N,venn,vriend
301,Kamerad::N,kamerat,maat
302,Kamerad::N,kamerat,metgezel
303,Angelegenheit::N,sak,zaak
304,Angelegenheit::N,sak,aangelegenheid
305,Angelegenheit::N,anliggende,zaak
306,Angelegenheit::N,anliggende,aangelegenheid
307,Anzahl::N,antall,tal
308,Anzahl::N,antall,aantal
309,Art::N,art,slag
310,Art::N,art,soort
311,Art::N,slag,slag
312,Art::N,slag,soort
313,Stück::N,stykke,stuk
314,Teil::N,del,deel
315,Hälfte::N,halvdel,helft
316,Kreis::N,ring,kring
317,Kreis::N,ring,cirkel
318,Kreis::N,sirkel,kring
319,Kreis::N,sirkel,cirkel
320,Kreuz::N,kors,kruis
321,Kreuz::N,kryss,kruis
322,Linie::N,linje,lijn
323,Strich::N,strek,haal
324,Strich::N,strek,streep
325,Abstand::N,avstand,afstand
326,Entfernung::N,avstand,afstand
327,Gegend::N,strøk,streek
328,Platz::N,plass,ruimte
329,Ort::N,sted,oord
330,Ort::N,sted,plaats
331,Seite::N,side,zij
332,Seite::N,side,kant
333,Seite::N,side,zijde
334,Mitte::N,midte,midden
335,Gegenstand::N,gjenstand,voorwerp
336,Sache::N,sak,zaak
337,Rand::N,rand,rand
338,Rand::N,rand,boord
339,Kante::N,kant,kant
340,Ecke::N,hjørne,hoek
341,Spitze::N,spiss,punt
342,Spitze::N,spiss,spits
343,Ende::N,ende,einde
344,Ende::N,ende,uiteinde
345,Loch::N,hull,gat
346,Winkel::N,vinkel,hoek
347,Muster::N,mønster,dessin
348,Muster::N,mønster,patroon
349,Größe::N,størrelse,grootte
350,Länge::N,lengde,lengte
351,Höhe::N,høyde,hoogte
352,Gewicht::N,vekt,gewicht
353,Menge::N,mengde,hoeveelheid
354,Haufen::N,haug,hoop
355,Haufen::N,bunke,hoop
356,Reihe::N,rekke,rij
357,Reihe::N,rekke,reeks
358,Boot::N,båt,boot
359,Ruder::N,åre,roeiriem
360,Schlitten::N,slede,slee
361,Schlitten::N,slede,slede
362,Schlitten::N,kjelke,slee
363,Schlitten::N,kjelke,slede
364,Ski::N,ski,ski
365,Lagerfeuer::N,leirbål,kampvuur
366,Last::N,bør,last
367,Last::N,bør,vracht
368,Last::N,last,last
369,Last::N,last,vracht
370,Gang::N,gang,wandeling
371,Schritt::N,steg,stap
372,Schritt::N,steg,schrede
373,Schritt::N,skritt,stap
374,Schritt::N,skritt,schrede
375,Norden::N,nord,noorden
376,Süden::N,sør,zuiden
377,Westen::N,vest,westen
378,Osten::N,øst,oosten
379,Holz::N,tre,hout
380,Brett::N,fjøl,plank
381,Brett::N,brett,plank
382,Platte::N,plate,plaat
383,Stütze::N,støtte,stut
384,Stütze::N,støtte,steun
385,Stange::N,stang,stang
386,Stock::N,pinne,stok
387,Stab::N,stav,staf
388,Stab::N,kjepp,staf
389,Rohr::N,rør,pijp
390,Haus::N,hus,huis
391,Heim::N,hjem,tehuis
392,Ofen::N,ovn,kachel
393,Fußboden::N,gulv,vloer
394,Tisch::N,bord,tafel
395,Stuhl::N,stol,stoel
396,Wiege::N,vogge,wieg
397,Bett::N,seng,bed
398,Regal::N,reol,rek
399,Regal::N,hylle,rek
400,Kiste::N,kasse,kist
401,Fenster::N,vindu,raam
402,Fenster::N,vindu,venster
403,Tür::N,dør,deur
404,Tor::N,port,poort
405,Zaun::N,gjerde,omheining
406,Dach::N,tak,dak
407,Leiter::N,stige,ladder
408,Besen::N,kost,bezem
409,Spaten::N,spade,schop
410,Schaufel::N,skuffe,schep
411,Gabel::N,gaffel,vork
412,Löffel::N,skje,lepel
413,Messer::N,kniv,mes
414,Nagel::N,spiker,spijker
415,Netz::N,nett,net
416,Haken::N,krok,haak
417,Griff::N,tak,handvat
418,Griff::N,håndtak,handvat
419,Schloss::N,lås,slot
420,Bild::N,bilde,beeld
421,Figur::N,figur,figuur
422,Puppe::N,dukke,pop
423,Beutel::N,pose,zak
424,Beutel::N,pose,buidel
425,Bündel::N,bylt,pak
426,Bündel::N,bylt,bundel
427,Tasche::N,veske,tas
428,Eimer::N,bøtte,emmer
429,Deckel::N,lokk,deksel
430,Geschirr::N,kjøkkentøy,vaatwerk
431,Sack::N,sekk,zak
432,Tasse::N,kopp,kop
433,Topf::N,gryte,pan
434,Kessel::N,kjele,ketel
435,Essen::N,mål,eten
436,Nahrung::N,mat,voedsel
437,Nahrung::N,næring,voedsel
438,Speise::N,matrett,spijs
439,Fleisch::N,kjøtt,vlees
440,Getreide::N,korn,graan
441,Brei::N,grøt,pap
442,Brei::N,grøt,brij
443,Brot::N,brød,brood
444,Scheibe::N,skive,plak
445,Scheibe::N,skive,snede
446,Fett::N,fett,vet
447,Butter::N,smør,boter
448,Öl::N,olje,olie
449,Salz::N,salt,zout
450,Suppe::N,suppe,soep
451,Honig::N,honning,honing
452,Milch::N,melk,melk
453,Tee::N,te,thee
454,Leder::N,lær,leer
455,Leder::N,lær,leder
456,Leder::N,skinn,leer
457,Leder::N,skinn,leder
458,Wolle::N,ull,wol
459,Stoff::N,tøy,stof
460,Stoff::N,stoff,stof
461,Nadel::N,nål,naald
462,Faden::N,tråd,draad
463,Knopf::N,knapp,knoop
464,Knoten::N,knute,knoop
465,Farbe::N,farge,verf
466,Kleidung::N,påkledning,kledij
467,Kleidung::N,påkledning,kleding
468,Hemd::N,skjorte,hemd
469,Kragen::N,krage,kraag
470,Ärmel::N,erme,mouw
471,Hose::N,bukse,broek
472,Hose::N,bukse,pantalon
473,Gürtel::N,belte,riem
474,Gürtel::N,belte,gordel
475,Mütze::N,lue,muts
476,Schuh::N,sko,schoen
477,Stiefel::N,støvel,laars
478,Ring::N,ring,ring
479,Band::N,band,lint
480,Kamm::N,kam,kam
481,Spiegel::N,speil,spiegel
482,Riemen::N,rem,riem
483,Schnur::N,snor,koord
484,Leine::N,line,lijn
485,Decke::N,teppe,deken
486,Kissen::N,pute,kussen
487,Tuch::N,tøy,doek
488,Handtuch::N,håndkle,handdoek
489,Kraft::N,kraft,kracht
490,Stärke::N,styrke,sterkte
491,Gesundheit::N,helse,gezondheid
492,Gesundheit::N,sunnhet,gezondheid
493,Krankheit::N,syke,ziekte
494,Krankheit::N,sykdom,ziekte
495,Schmerz::N,smerte,pijn
496,Wunde::N,sår,wond
497,Fieber::N,feber,koorts
498,Arznei::N,medisin,medicament
499,Arznei::N,medisin,geneesmiddel
500,Arznei::N,legemiddel,medicament
501,Arznei::N,legemiddel,geneesmiddel
502,Brücke::N,bro,brug
503,Brunnen::N,brønn,put
504,Brunnen::N,brønn,bron
505,Weide::N,beite,wei
506,Weide::N,beite,weide
507,Pfad::N,sti,pad
508,Weg::N,vei,weg
509,Straße::N,gate,baan
510,Straße::N,gate,straat
511,Dorf::N,landsby,dorp
512,Stadt::N,by,stad
513,Brief::N,brev,brief
514,Buch::N,bok,boek
515,Buchstabe::N,bokstav,letter
516,Zeitung::N,avis,krant
517,Zeitung::N,avis,dagblad
518,Leben::N,liv,leven
519,Tod::N,død,dood
520,Grab::N,grav,graf
521,Kirche::N,kirke,kerk
522,Sünde::N,synd,zonde
523,Gott::N,gud,god
524,Arbeiter::N,arbeider,arbeider
525,Chef::N,sjef,chef
526,Meister::N,mester,meester
527,Arzt::N,lege,arts
528,Arzt::N,lege,dokter
529,Lehrer::N,lærer,leraar
530,Lehrer::N,lærer,onderwijzer
531,Geld::N,penger,geld
532,Geschäft::N,forretning,zaak
533,Laden::N,butikk,winkel
534,Preis::N,pris,prijs
535,Ware::N,vare,waar
536,Nutzen::N,nytte,nut
537,Nutzen::N,nytte,voordeel
538,Reichtum::N,rikdom,rijkdom
539,Welt::N,verden,wereld
540,Land::N,land,land
541,Staat::N,stat,staat
542,König::N,konge,koning
543,Macht::N,makt,macht
544,Grenze::N,grense,grens
545,Krieg::N,krig,oorlog
546,Feind::N,fiende,vijand
547,Gewalt::N,vold,geweld
548,Kampf::N,kamp,strijd
549,Kampf::N,kamp,gevecht
550,Bogen[Waffe]::N,bue,boog
551,Pfeil::N,pil,pijl
552,Gewehr::N,gevær,geweer
553,Fehler::N,feil,fout
554,Lüge::N,løgn,leugen
555,Schaden::N,skade,schade
556,Unglück::N,uhell,tegenspoed
557,Schuld::N,skyld,schuld
558,Alter::N,alder,leeftijd
559,Schluss::N,slutt,slot
560,Zeit::N,tid,tijd
561,Tag::N,dag,dag
562,Morgen::N,morgen,morgen
563,Morgen::N,morgen,ochtend
564,Mittag::N,middag,middag
565,Abend::N,aften,avond
566,Nacht::N,natt,nacht
567,Woche::N,uke,week
568,Monat::N,måned,maand
569,Jahr::N,år,jaar
570,Frühling::N,vår,lente
571,Frühling::N,vår,voorjaar
572,Sommer::N,sommer,zomer
573,Herbst::N,høst,herfst
574,Winter::N,vinter,winter
575,Januar::N,januar,januari
576,Februar::N,februar,februari
577,März::N,mars,maart
578,April::N,april,april
579,Mai::N,mai,mei
580,Juni::N,juni,juni
581,Juli::N,juli,juli
582,August::N,august,augustus
583,September::N,september,september
584,Oktober::N,oktober,oktober
585,November::N,november,november
586,Dezember::N,desember,december
587,Montag::N,mandag,maandag
