,Concept_ID,,se
0,Auge::N,,tjelmie
1,Auge::N,,tjalmme
2,Auge::N,,čalbmi
3,Auge::N,,čalme
4,Auge::N,,čâ´lmm
5,Auge::N,,ча̄лльм
6,Ohr::N,,bieljie
7,Ohr::N,,biellje
8,Ohr::N,,beallji
9,Ohr::N,,pelji
10,Ohr::N,,pe´llj
11,Ohr::N,,пе̄лльй
12,Nase::N,,njuenie
13,Nase::N,,njunnje
14,Nase::N,,njunni
15,Nase::N,,njuṇe
16,Nase::N,,njuu´nn
17,Nase::N,,нюннҍ
18,Mund::N,,njaelmie
19,Mund::N,,njálmme
20,Mund::N,,njálbmi
21,Mund::N,,njälmi
22,Mund::N,,njä´lmm
23,Mund::N,,ня̄лльм
24,Zahn::N,,baenie
25,Zahn::N,,bádne
26,Zahn::N,,bátni
27,Zahn::N,,pääṇi
28,Zahn::N,,pää´nn
29,Zahn::N,,па̄ннҍ
30,Zunge::N,,njoektjeme
31,Zunge::N,,njuovtjav
32,Zunge::N,,njuovčča
33,Zunge::N,,njuovčâ
34,Zunge::N,,njuhččâm
35,Zunge::N,,нюхчем
36,Lippe::N,,bangseme
37,Lippe::N,,njálmmerabdda
38,Lippe::N,,bavssa
39,Lippe::N,,poovsâ
40,Lippe::N,,põõus
41,Lippe::N,,пэ̄кс
42,Wange::N,,skiehrie
43,Wange::N,,nierra
44,Wange::N,,muohtu
45,Wange::N,,nieṛâ
46,Wange::N,,njiõrr
47,Wange::N,,нӣрр
48,Gesicht::N,,ååredæjja
49,Gesicht::N,,muohto
50,Gesicht::N,,muođut
51,Gesicht::N,,ámadadju
52,Gesicht::N,,muáđuh
53,Gesicht::N,,muâđ
54,Gesicht::N,,ка̄ссв
55,Stirn::N,,gaalloe
56,Stirn::N,,gállo
57,Stirn::N,,gállu
58,Stirn::N,,kállu
59,Stirn::N,,käll
60,Stirn::N,,вуэххьц
61,Haar::N,,voepte
62,Haar::N,,vuoppta
63,Haar::N,,vuokta
64,Haar::N,,vuop'tâ
65,Haar::N,,vuõpt
66,Haar::N,,вӯппт
67,Schnurrbart::N,,bijjie-skaavtjoe
68,Schnurrbart::N,,njunjevuolskávttjá
69,Schnurrbart::N,,seamu
70,Schnurrbart::N,,siämu
71,Schnurrbart::N,,ää´bben
72,Schnurrbart::N,,о̄а̄бпан
73,Bart::N,,skaavtja
74,Bart::N,,skaavtjoe
75,Bart::N,,skávttjá
76,Bart::N,,seamu
77,Bart::N,,siämu
78,Bart::N,,seäm
79,Bart::N,,ся̄м
80,Kinn::N,,gaejpie
81,Kinn::N,,gájbbe
82,Kinn::N,,gáibi
83,Kinn::N,,käibi
84,Kinn::N,,käi´bb
85,Kinn::N,,ка̄ййп
86,Kiefer[Anatomie]::N,,gaejpie
87,Kiefer[Anatomie]::N,,oalol
88,Kiefer[Anatomie]::N,,oaloldákte
89,Kiefer[Anatomie]::N,,gáibi
90,Kiefer[Anatomie]::N,,uá'lultähti
91,Kiefer[Anatomie]::N,,vuâl'lõš
92,Kiefer[Anatomie]::N,,вуаллнешш
93,Kehle::N,,gealoe
94,Kehle::N,,tjåttå
95,Kehle::N,,njiello
96,Kehle::N,,čotta
97,Kehle::N,,čuudâ
98,Kehle::N,,čoodd
99,Kehle::N,,чонт
100,Kehle::N,,кэ̄ҏс
101,Hals::N,,tjeapohke
102,Hals::N,,tjiebet
103,Hals::N,,čeabet
104,Hals::N,,čiäppát
105,Hals::N,,čeäppat
106,Hals::N,,ча̄пэх
107,Genick::N,,tjovrese
108,Genick::N,,nisske
109,Genick::N,,niehkki
110,Genick::N,,niski
111,Genick::N,,niek'ki
112,Genick::N,,nji´šǩǩmaadd
113,Genick::N,,нышшькмоант
114,Kopf::N,,åejjie
115,Kopf::N,,oajvve
116,Kopf::N,,oaivi
117,Kopf::N,,uái'vi
118,Kopf::N,,vuei´vv
119,Kopf::N,,вуэййв
120,Rücken::N,,rudtje
121,Rücken::N,,hárddo
122,Rücken::N,,tjavelk
123,Rücken::N,,sealgi
124,Rücken::N,,selgi
125,Rücken::N,,čielgi
126,Rücken::N,,seä´lǧǧ
127,Rücken::N,,се̄лльк
128,Bauch::N,,tjåejjie
129,Bauch::N,,tjoajvve
130,Bauch::N,,čoavji
131,Bauch::N,,čuáv'ji
132,Bauch::N,,čåu´jj
133,Bauch::N,,чо̄ввьй
134,Nabel::N,,naepie
135,Nabel::N,,náhpe
136,Nabel::N,,náhpi
137,Nabel::N,,nääpi
138,Nabel::N,,nää´pp
139,Nabel::N,,на̄бпь
140,Busen::N,,boenge
141,Busen::N,,bållå
142,Busen::N,,čižži
143,Busen::N,,njamma
144,Busen::N,,njižže
145,Busen::N,,nje´ǯǯ
146,Busen::N,,раннҍт
147,Brust::N,,mïelke
148,Brust::N,,radde
149,Brust::N,,mielgga
150,Brust::N,,raddi
151,Brust::N,,radde
152,Brust::N,,râ´dd
153,Brust::N,,раннҍт
154,Schulter::N,,åelkie
155,Schulter::N,,oalgge
156,Schulter::N,,hárdu
157,Schulter::N,,ärdee
158,Schulter::N,,uál'gi
159,Schulter::N,,a´rddi
160,Schulter::N,,vuä´lǧǧ
161,Schulter::N,,вуэллык
162,Arm::N,,gïete
163,Arm::N,,giehta
164,Arm::N,,giehta
165,Arm::N,,kietâ
166,Arm::N,,kie'tâkaaṿâ
167,Arm::N,,ǩiõtt
168,Arm::N,,кӣдт
169,Ellenbogen::N,,gernjere
170,Ellenbogen::N,,garŋŋel
171,Ellenbogen::N,,gargŋil
172,Ellenbogen::N,,käŋŋir
173,Ellenbogen::N,,kõõnjâr
174,Ellenbogen::N,,карьнэль
175,Hand::N,,gïete
176,Hand::N,,giehta
177,Hand::N,,giehta
178,Hand::N,,kietâ
179,Hand::N,,ǩiõtt
180,Hand::N,,кӣдт
181,Handfläche::N,,gïeten-låapoe
182,Handfläche::N,,giehtavuodo
183,Handfläche::N,,tjårmmåvuodo
184,Handfläche::N,,giehtaloahpu
185,Handfläche::N,,kiämád
186,Handfläche::N,,kuámmir
187,Handfläche::N,,kuä´m'mer
188,Handfläche::N,,ǩiõttǩeä´m'men
189,Handfläche::N,,ко̄а̄ллдэгк
190,Handfläche::N,,кӣдткоалдэгк
191,Finger::N,,soerme
192,Finger::N,,tjuvdde
193,Finger::N,,suorbma
194,Finger::N,,čuvde
195,Finger::N,,suor'mâ
196,Finger::N,,suõrmm
197,Finger::N,,це̄ххп
198,Fingernagel::N,,gadtse
199,Fingernagel::N,,guehpere
200,Fingernagel::N,,gadtsa
201,Fingernagel::N,,gazza
202,Fingernagel::N,,kozzâ
203,Fingernagel::N,,kõʒʒ
204,Fingernagel::N,,кэ̄ннц
205,Nagel[Anatomie]::N,,gadtse
206,Nagel[Anatomie]::N,,guehpere
207,Nagel[Anatomie]::N,,gadtsa
208,Nagel[Anatomie]::N,,gazza
209,Nagel[Anatomie]::N,,kozzâ
210,Nagel[Anatomie]::N,,kõʒʒ
211,Nagel[Anatomie]::N,,кэ̄ннц
212,Zeh::N,,tjiehtjere
213,Zeh::N,,juolggetjuvdde
214,Zeh::N,,juolgesuorbma
215,Zeh::N,,jyel'gisuor'mâ
216,Zeh::N,,jue´lǧǧsuõrmm
217,Zeh::N,,ю̄лльк-це̄һп
218,Fuß::N,,juelkie
219,Fuß::N,,juolgge
220,Fuß::N,,juolgi
221,Fuß::N,,jyel'gi
222,Fuß::N,,jue´lǧǧ
223,Fuß::N,,ла̄бпь
224,Ferse::N,,båetskie
225,Ferse::N,,boasske
226,Ferse::N,,šušmi
227,Ferse::N,,šušme
228,Ferse::N,,jue´lǧǧkädd
229,Ferse::N,,ка̄ннт
230,Knie::N,,boelve
231,Knie::N,,buolvva
232,Knie::N,,čibbi
233,Knie::N,,veaŋki
234,Knie::N,,iidâ
235,Knie::N,,puõlvv
236,Knie::N,,пуллв
237,Oberschenkel::N,,ruaksja
238,Oberschenkel::N,,tjibbe
239,Oberschenkel::N,,gassaváhkká
240,Oberschenkel::N,,badjeváhkáa
241,Oberschenkel::N,,čuár'bpeeḷi
242,Oberschenkel::N,,če´bb
243,Oberschenkel::N,,чуаррбе̄лль
244,Bein::N,,juelkie
245,Bein::N,,juolgge
246,Bein::N,,juolgi
247,Bein::N,,jyel'gi
248,Bein::N,,jue´lǧǧ
249,Bein::N,,ю̄лльк
250,Körper::N,,kråahpe
251,Körper::N,,rumáj
252,Körper::N,,rumaš
253,Körper::N,,ruumâš
254,Körper::N,,rå´pp
255,Körper::N,,лышшьк
256,Körper::N,,роаӈӈьк
257,Haut::N,,njaltja
258,Haut::N,,lijkke
259,Haut::N,,tjuobma
260,Haut::N,,liiki
261,Haut::N,,liške
262,Haut::N,,le´šǩǩ
263,Haut::N,,лышшьк
264,Blut::N,,vïrre
265,Blut::N,,maelie
266,Blut::N,,varra
267,Blut::N,,varra
268,Blut::N,,vorrâ
269,Blut::N,,võrr
270,Blut::N,,вэ̄рр
271,Ader::N,,åerie
272,Ader::N,,aajroe
273,Ader::N,,suodna
274,Ader::N,,varrasuotna
275,Ader::N,,suoṇâ
276,Ader::N,,suõnn
277,Ader::N,,сӯнн
278,Sehne::N,,soene
279,Sehne::N,,gåårtenje
280,Sehne::N,,suodna
281,Sehne::N,,suotna
282,Sehne::N,,suoṇâ
283,Sehne::N,,suõnn
284,Sehne::N,,сӯнн
285,Knochen::N,,måara
286,Knochen::N,,måaroe
287,Knochen::N,,dákte
288,Knochen::N,,dákti
289,Knochen::N,,tähti
290,Knochen::N,,tä´htt
291,Knochen::N,,та̄ххт
292,Knochen::N,,та̄ффьт
293,Gehirn::N,,aajla
294,Gehirn::N,,vuojŋam
295,Gehirn::N,,vuoigŋašat
296,Gehirn::N,,vuoi'ŋâšeh
297,Gehirn::N,,vuo'ivâšneh
298,Gehirn::N,,vuõivâšn
299,Gehirn::N,,вуэййвэшна
300,Herz::N,,vaajmoe
301,Herz::N,,tsåhke
302,Herz::N,,váibmu
303,Herz::N,,váimu
304,Herz::N,,čââ´đ
305,Herz::N,,кӯттҌк
306,Magen::N,,tjåejjie
307,Magen::N,,tjoajvve
308,Magen::N,,čoavji
309,Magen::N,,čuáv'ji
310,Magen::N,,čåu´jj
311,Magen::N,,чо̄ввьй
312,Leber::N,,mueksie
313,Leber::N,,librre
314,Leber::N,,vuoivvas
315,Leber::N,,vuoivâs
316,Leber::N,,vuõivâs
317,Leber::N,,вуйвас
318,Atem::N,,voejngehtasse
319,Atem::N,,båssånis
320,Atem::N,,vuojŋadahka
321,Atem::N,,vuoiŋŋahat
322,Atem::N,,vuo'iŋâstim
323,Atem::N,,jiõg'g
324,Atem::N,,вӯйнас
325,Atem::N,,вӯййнмушш
326,Hunger::N,,nielkie
327,Hunger::N,,nielgge
328,Hunger::N,,nealgi
329,Hunger::N,,nelgi
330,Hunger::N,,neä´lǧǧ
331,Hunger::N,,не̄лльк
332,Träne::N,,gïknjele
333,Träne::N,,ganjál
334,Träne::N,,ganjal
335,Träne::N,,koonjâl
336,Träne::N,,kõõnjâl
337,Träne::N,,кэ̄нял
338,Geschmack::N,,aelmie
339,Geschmack::N,,muosse
340,Geschmack::N,,smáhkka
341,Geschmack::N,,máhku
342,Geschmack::N,,smáhkka
343,Geschmack::N,,mááhu
344,Geschmack::N,,smakkâ
345,Geschmack::N,,njõõd
346,Geschmack::N,,smääkk
347,Geschmack::N,,ня̄лльк
348,Geruch::N,,haaje
349,Geruch::N,,habjja
350,Geruch::N,,hádja
351,Geruch::N,,opsâ
352,Geruch::N,,haajâ
353,Geruch::N,,õpss
354,Geruch::N,,haajj
355,Geruch::N,,апс
356,Geruch::N,,лэ̄гк
357,Schlaf::N,,nahkerh
358,Schlaf::N,,nager
359,Schlaf::N,,oados
360,Schlaf::N,,nagir
361,Schlaf::N,,naṿer
362,Schlaf::N,,nââ´er
363,Schlaf::N,,нагерь
364,Traum::N,,nahkere
365,Traum::N,,niehko
366,Traum::N,,niehku
367,Traum::N,,naṿer
368,Traum::N,,nââ´er
369,Traum::N,,нагерь
370,Himmel::N,,elmie
371,Himmel::N,,almme
372,Himmel::N,,albmi
373,Himmel::N,,alme
374,Himmel::N,,â´lmm
375,Himmel::N,,алльм
376,Sonne::N,,biejjie
377,Sonne::N,,bæjvásj
378,Sonne::N,,beaivváš
379,Sonne::N,,peivi
380,Sonne::N,,piäiváš
381,Sonne::N,,pei´vv
382,Sonne::N,,пе̄ййв
383,Mond::N,,aske
384,Mond::N,,mánno
385,Mond::N,,mánnu
386,Mond::N,,máánu
387,Mond::N,,mään
388,Mond::N,,ма̄нн
389,Stern::N,,daasta
390,Stern::N,,naestie
391,Stern::N,,násste
392,Stern::N,,násti
393,Stern::N,,täsni
394,Stern::N,,tä´snn
395,Stern::N,,та̄ссьт
396,Luft::N,,elmie
397,Luft::N,,ájmmo
398,Luft::N,,áibmu
399,Luft::N,,áimu
400,Luft::N,,šõŋŋ
401,Luft::N,,вӯйнас
402,Wind::N,,bïegke
403,Wind::N,,biegga
404,Wind::N,,biegga
405,Wind::N,,pieg'gâ
406,Wind::N,,piõg'g
407,Wind::N,,пӣӈӈк
408,Welle::N,,baaroe
409,Welle::N,,bárro
410,Welle::N,,bárru
411,Welle::N,,pááṛu
412,Welle::N,,päärr
413,Welle::N,,нэ̄ммп
414,Wasser::N,,tjaetsie
415,Wasser::N,,tjáhtje
416,Wasser::N,,čáhci
417,Wasser::N,,čääci
418,Wasser::N,,čää´cc
419,Wasser::N,,ча̄дзь
420,Stein::N,,gierkie
421,Stein::N,,giergge
422,Stein::N,,geađgi
423,Stein::N,,keđgi
424,Stein::N,,ǩeä´dǧǧ
425,Stein::N,,ке̄ддҌк
426,Boden::N,,betnie
427,Boden::N,,ednam
428,Boden::N,,bodni
429,Boden::N,,vuođđu
430,Boden::N,,ponne
431,Boden::N,,vuáđ̣u
432,Boden::N,,vuâđđ
433,Boden::N,,лаввьн
434,Boden::N,,е̄ммьне
435,Erde::N,,jåarta
436,Erde::N,,mueltie
437,Erde::N,,ednam
438,Erde::N,,mållde
439,Erde::N,,eana
440,Erde::N,,eennâm
441,Erde::N,,mädd
442,Erde::N,,jânnam
443,Erde::N,,е̄ммьне
444,Staub::N,,heblie
445,Staub::N,,tsumhtsie
446,Staub::N,,dubme
447,Staub::N,,dopmu
448,Staub::N,,kovjâ
449,Staub::N,,põõ´l
450,Staub::N,,кэ̄ббьй
451,Rauch::N,,soeve
452,Rauch::N,,suovva
453,Rauch::N,,suovva
454,Rauch::N,,suoṿâ
455,Rauch::N,,suõvv
456,Rauch::N,,сӯвв
457,Funke::N,,naestie
458,Funke::N,,tjuonam
459,Funke::N,,čuotnan
460,Funke::N,,čuođâlm
461,Funke::N,,iiskâr
462,Funke::N,,čuõzzâm
463,Funke::N,,чӯссэм
464,Feuer::N,,dålle
465,Feuer::N,,dållå
466,Feuer::N,,dolla
467,Feuer::N,,tullâ
468,Feuer::N,,toll
469,Feuer::N,,то̄лл
470,Licht::N,,tjoevke
471,Licht::N,,tjuovgga
472,Licht::N,,čuovga
473,Licht::N,,čuovggas
474,Licht::N,,čuoṿâ
475,Licht::N,,toll
476,Licht::N,,čuõvv
477,Licht::N,,то̄лл
478,Schatten::N,,skugkie
479,Schatten::N,,soejvene
480,Schatten::N,,irkes
481,Schatten::N,,sieges
482,Schatten::N,,itku
483,Schatten::N,,suoivâ
484,Schatten::N,,õõtt
485,Schatten::N,,ǩeeu´niǩ
486,Schatten::N,,кывьнэхь
487,Wetter::N,,vïerhtse
488,Wetter::N,,dálkke
489,Wetter::N,,dálki
490,Wetter::N,,šoŋŋâ
491,Wetter::N,,šõŋŋ
492,Wetter::N,,шэ̄ӈӈ
493,Nebel::N,,såavla
494,Nebel::N,,mearhka
495,Nebel::N,,murkko
496,Nebel::N,,mierkká
497,Nebel::N,,mierká
498,Nebel::N,,miär'kká
499,Nebel::N,,oṃo
500,Nebel::N,,sue´lnn
501,Nebel::N,,цӣгк
502,Nebel::N,,сулльн
503,Wolke::N,,balve
504,Wolke::N,,balvva
505,Wolke::N,,balva
506,Wolke::N,,polvâ
507,Wolke::N,,põlvv
508,Wolke::N,,пэллв
509,Regen::N,,ebrie
510,Regen::N,,harvve
511,Regen::N,,arvi
512,Regen::N,,arve
513,Regen::N,,â´brr
514,Regen::N,,аббьр
515,Schnee::N,,lopme
516,Schnee::N,,moehtege
517,Schnee::N,,muohta
518,Schnee::N,,muohta
519,Schnee::N,,muotâ
520,Schnee::N,,muõtt
521,Schnee::N,,вэ̄дз
522,Schnee::N,,куэллт
523,Eis::N,,jïenge
524,Eis::N,,jiegŋa
525,Eis::N,,jiekŋa
526,Eis::N,,jieŋ̣â
527,Eis::N,,jiõŋŋ
528,Eis::N,,ӣӈӈ
529,Frost::N,,baajkoe
530,Frost::N,,tjoasskem
531,Frost::N,,buolaš
532,Frost::N,,puolâš
533,Frost::N,,puõlâš
534,Frost::N,,мӯнь
535,Kälte::N,,jueskie
536,Kälte::N,,tjåetskeme
537,Kälte::N,,tjoasskem
538,Kälte::N,,čoaskin
539,Kälte::N,,ko'lmâsvuotâ
540,Kälte::N,,ijss
541,Kälte::N,,čuä´cǩǩem
542,Kälte::N,,tuârggnjõs
543,Kälte::N,,кэ̄лмас
544,Hitze::N,,baahke
545,Hitze::N,,báhkka
546,Hitze::N,,báhkka
547,Hitze::N,,pakkâ
548,Hitze::N,,kuṃe
549,Hitze::N,,paašt
550,Hitze::N,,жоарр
551,Raureif::N,,jyjse
552,Raureif::N,,ridne
553,Raureif::N,,goarre
554,Raureif::N,,ritni
555,Raureif::N,,suhči
556,Raureif::N,,riṇe
557,Raureif::N,,ай
558,Regenbogen::N,,aatjan goengere
559,Regenbogen::N,,aatjan joekse
560,Regenbogen::N,,ádjájuoksa
561,Regenbogen::N,,arvedávgi
562,Regenbogen::N,,bajándávgi
563,Regenbogen::N,,äijihtävgi
564,Regenbogen::N,,teârmmazjohss
565,Regenbogen::N,,тӣрмесью̄ккс
566,Donner::N,,raejrie
567,Donner::N,,átjek
568,Donner::N,,átjárájdde
569,Donner::N,,áddjá
570,Donner::N,,baján
571,Donner::N,,juuṛâ
572,Donner::N,,tie´rmes
573,Donner::N,,тӣрмесь
574,Donner::N,,ча̄ркнэгк
575,Strömung::N,,njuvvie
576,Strömung::N,,ájggedáhpe
577,Strömung::N,,rávdnji
578,Strömung::N,,virde
579,Strömung::N,,ve´rdd
580,Strömung::N,,выррьт
581,Tropfen::N,,gåajhkohts
582,Tropfen::N,,gåjkudis
583,Tropfen::N,,goaikkanas
584,Tropfen::N,,čalme
585,Tropfen::N,,čâ´lmm
586,Tropfen::N,,ча̄лльм
587,Schaum::N,,sapte
588,Schaum::N,,såpptå
589,Schaum::N,,sokta
590,Schaum::N,,suptâ
591,Schaum::N,,soptt
592,Schaum::N,,со̄ппт
593,Schmutz::N,,haaskoe
594,Schmutz::N,,duolvva
595,Schmutz::N,,duolva
596,Schmutz::N,,durdi
597,Schmutz::N,,stänži
598,Schmutz::N,,sähss
599,Schmutz::N,,са̄ккьс
600,Schmutz::N,,не̄шшь
601,See::N,,jaevrie
602,See::N,,jávrre
603,See::N,,jávri
604,See::N,,jävri
605,See::N,,jâu´rr
606,See::N,,я̄ввьр
607,Sumpf::N,,pluevie
608,Sumpf::N,,áhpe
609,Sumpf::N,,sæmssa
610,Sumpf::N,,jeaggi
611,Sumpf::N,,jeggi
612,Sumpf::N,,jeä´ǧ'ǧ
613,Sumpf::N,,ла̄ммьп
614,Moor::N,,pluevie
615,Moor::N,,jiegge
616,Moor::N,,suotnju
617,Moor::N,,karrii
618,Moor::N,,kä´rev
619,Moor::N,,veättaǩ
620,Moor::N,,ла̄ммьп
621,Wiese::N,,ïentje
622,Wiese::N,,giedde
623,Wiese::N,,gieddi
624,Wiese::N,,nijtto
