,Concept_ID,kn,sk
0,Auge::N,ಕಣ್ಣು,oko
1,Ohr::N,ಕಿವಿ,ucho
2,Nase::N,ಮೂಗು,nos
3,Mund::N,ಬಾಯಿ,ústa
4,Zahn::N,ಹಲ್ಲು,zub
5,Zunge::N,ನಾಲಿಗೆ,jazyk
6,Lippe::N,ತುಟಿ,pera
7,Wange::N,ಗಲ್ಲ,líce
8,Gesicht::N,ಮುಖ,tvár
9,Gesicht::N,ಮುಖ,obličaj
10,Stirn::N,ಹಣೆ,čelo
11,Haar::N,ಕೂದಲು,vlas
12,Schnurrbart::N,ಮೀಸೆ,fúzy
13,Bart::N,ಗಡ್ಡ,brada
14,Kinn::N,ಗದ್ದ,brada
15,Kiefer[Anatomie]::N,ದವಡೆ,čeľusť
16,Kehle::N,ಗಂಟಲು,hrdlo
17,Hals::N,ಕೊರಳು,krk
18,Genick::N,ಹಿಂಗತ್ತು,väzy
19,Kopf::N,ತಲೆ,hlava
20,Rücken::N,ಬೆನ್ನು,chrbát
21,Bauch::N,ಹೊಟ್ಟೆ,brucho
22,Nabel::N,ಹೊಕ್ಕುಳು,pupok
23,Busen::N,ಸ್ತನ,prsia
24,Brust::N,ಎದೆ,hruď
25,Schulter::N,ಭುಜ,plece
26,Arm::N,ತೋಳು,rameno
27,Ellenbogen::N,ಮೊಣಕೈ,lakeť
28,Hand::N,ಕೈ,ruka
29,Handfläche::N,ಅಂಗೈ,dlaň
30,Finger::N,ಕೈಬೆರಳು,prst
31,Fingernagel::N,ಉಗುರು,necht
32,Nagel[Anatomie]::N,ಉಗುರು,necht
33,Zeh::N,ಕಾಲ್ಬೆರಳು,prst na nohe
34,Fuß::N,ಪಾದ,noha
35,Ferse::N,ಹಿಮ್ಮಡಿ,päta
36,Knie::N,ಮಂಡಿ,koleno
37,Oberschenkel::N,ತೊಡೆ,stehno
38,Bein::N,ಕಾಲು,noha
39,Körper::N,ದೇಹ,telo
40,Haut::N,ಚರ್ಮ,koža
41,Blut::N,ರಕ್ತ,krv
42,Ader::N,ನರ,žila
43,Sehne::N,ನರ,šľacha
44,Knochen::N,ಮೂಳೆ,kosť
45,Gehirn::N,ಮಿದುಳು,mozog
46,Herz::N,ಹೃದಯ,srdce
47,Magen::N,ಉದರ,žalúdok
48,Leber::N,ಯಕೃತ್ತು,pečeň
49,Atem::N,ಉಸಿರು,dych
50,Hunger::N,ಹಸಿವು,hlad
51,Träne::N,ಕಣ್ಣೀರು,slza
52,Geschmack::N,ರುಚಿ,chuť
53,Geruch::N,ವಾಸನೆ,pach
54,Schlaf::N,ನಿದ್ರೆ,spánok
55,Traum::N,ಕನಸು,sen
