,Concept_ID,hi,he
0,Auge::N,आँख,עין
1,Auge::N,चक्षु,עין
2,Ohr::N,कान,אזן
3,Ohr::N,कर्ण,אזן
4,Nase::N,नाक,אף
5,Nase::N,नाक,חטם
6,Nase::N,नासा,אף
7,Nase::N,नासा,חטם
8,Mund::N,मुख,פה
9,Mund::N,मुँह,פה
10,Zahn::N,दंत,שן
11,Zahn::N,दाँत,שן
12,Zunge::N,जीभ,לשון
13,Zunge::N,ज़बान,לשון
14,Zunge::N,जिह्वा,לשון
15,Lippe::N,ओंठ,שפה
16,Lippe::N,होंठ,שפה
17,Wange::N,गाल,לחי
18,Wange::N,कपोल,לחי
19,Gesicht::N,मुँह,פנים
20,Gesicht::N,चेहरा,פנים
21,Stirn::N,माथा,מצח
22,Stirn::N,मस्तक,מצח
23,Haar::N,बाल,שערה
24,Schnurrbart::N,मूँछें,שפם
25,Bart::N,दाढ़ी,זקן
26,Kinn::N,चिबुक,סנטר
27,Kiefer[Anatomie]::N,जबड़ा,לסת
28,Kehle::N,गला,גרון
29,Hals::N,गला,צואר
30,Hals::N,गरदन,צואר
31,Genick::N,गरदन,ערף
32,Genick::N,ग्रीवा,ערף
33,Kopf::N,सिर,ראש
34,Kopf::N,शीर्ष,ראש
35,Rücken::N,पीठ,גב
36,Bauch::N,उदर,בטן
37,Nabel::N,नाभि,טבור
38,Nabel::N,ढोंढी,טבור
39,Busen::N,कुच,שד
40,Busen::N,स्तन,שד
41,Brust::N,वक्ष,חזה
42,Schulter::N,कंधा,כתף
43,Schulter::N,स्कंध,כתף
44,Arm::N,बाँह,זרוע
45,Arm::N,बाज़ू,זרוע
46,Ellenbogen::N,कुहनी,מרפק
47,Hand::N,हाथ,יד
48,Hand::N,हस्त,יד
49,Handfläche::N,हथेली,כף יד
50,Finger::N,उँगली,אצבע
51,Finger::N,अँगुली,אצבע
52,Fingernagel::N,नख,צפרן
53,Fingernagel::N,नाख़ून,צפרן
54,Nagel[Anatomie]::N,नख,צפרן
55,Nagel[Anatomie]::N,नाख़ून,צפרן
56,Zeh::N,उँगली,אצבע
57,Zeh::N,पाँव की उँगली,אצבע
58,Fuß::N,चरण,רגל
59,Fuß::N,पाँव,רגל
60,Ferse::N,एड़ी,עקב
61,Knie::N,जानु,ברך
62,Knie::N,घुटना,ברך
63,Oberschenkel::N,उरु,ירך
64,Bein::N,टाँग,רגל
65,Körper::N,तन,גוף
66,Körper::N,देह,גוף
67,Körper::N,शरीर,גוף
68,Haut::N,चर्म,עור
69,Haut::N,त्वचा,עור
70,Blut::N,लहू,דם
71,Blut::N,ख़ून,דם
72,Ader::N,रग,וריד
73,Ader::N,शिरा,וריד
74,Sehne::N,कंडरा,גיד
75,Sehne::N,स्नायु,גיד
76,Knochen::N,अस्थि,עצם
77,Gehirn::N,दिमाग़,מוח
78,Gehirn::N,मस्तिष्क,מוח
79,Herz::N,दिल,לב
80,Herz::N,हृदय,לב
81,Magen::N,मेदा,קבה
82,Magen::N,अमाशय,קבה
83,Leber::N,जिगर,כבד
84,Leber::N,यकृत्,כבד
85,Atem::N,दम,נשימה
86,Atem::N,साँस,נשימה
87,Atem::N,श्वास,נשימה
88,Hunger::N,भूख,רעב
89,Hunger::N,क्षुधा,רעב
90,Träne::N,आँसू,דמעה
91,Träne::N,अश्रु,דמעה
92,Geschmack::N,स्वाद,טעם
93,Geschmack::N,ज़ायक़ा,טעם
94,Geruch::N,बू,ריח
95,Geruch::N,गंध,ריח
96,Schlaf::N,नींद,שנה
97,Schlaf::N,निद्रा,שנה
98,Traum::N,सपना,חלום
99,Traum::N,स्वप्न,חלום
100,Himmel::N,आकाश,שמים
101,Himmel::N,आसमान,שמים
102,Sonne::N,रवि,שמש
103,Sonne::N,सूरज,שמש
104,Sonne::N,सूर्य,שמש
105,Mond::N,चाँद,ירח
106,Mond::N,चंद्र,ירח
107,Stern::N,तारा,כוכב
108,Stern::N,सितारा,כוכב
109,Luft::N,हवा,אויר
110,Luft::N,वायु,אויר
111,Wind::N,पाद,רוח
112,Welle::N,लहर,גל
113,Welle::N,तरंग,גל
114,Wasser::N,जल,מים
115,Wasser::N,पानी,מים
116,Stein::N,पत्थर,אבן
117,Boden::N,मिट्टी,קרקע
118,Erde::N,भूमि,אדמה
119,Erde::N,ज़मीन,אדמה
120,Staub::N,धूल,אבק
121,Rauch::N,धूआँ,עשן
122,Rauch::N,धुम्र,עשן
123,Funke::N,चिनगारी,ניצוץ
124,Funke::N,स्फुलिंग,ניצוץ
125,Feuer::N,आग,אש
126,Feuer::N,आतिश,אש
127,Feuer::N,अग्नि,אש
128,Licht::N,रोशनी,אור
129,Licht::N,प्रकाश,אור
130,Schatten::N,छाया,צל
131,Schatten::N,परछाई,צל
132,Wetter::N,ऋतु,מזג אויר
133,Wetter::N,मौसम,מזג אויר
134,Nebel::N,धुँध,ערפל
135,Nebel::N,कुहरा,ערפל
136,Wolke::N,मेघ,ענן
137,Wolke::N,अभ्र,ענן
138,Regen::N,मेंह,גשם
139,Regen::N,बारिश,גשם
140,Schnee::N,हिम,שלג
141,Schnee::N,बर्फ़,שלג
142,Eis::N,हिम,קרח
143,Eis::N,बर्फ़,קרח
144,Frost::N,ठंड,צנה
145,Kälte::N,सर्दी,קר
146,Kälte::N,शीतलता,קר
147,Hitze::N,ताप,חם
148,Hitze::N,गरमी,חם
149,Raureif::N,पाला,כפור
150,Regenbogen::N,इंद्र-धनुष,קשת
151,Donner::N,गरज,רעם
152,Donner::N,मेघ-गर्जन,רעם
153,Strömung::N,बहाव,זרימה
154,Strömung::N,प्रवाह,זרימה
155,Tropfen::N,बूँद,טפה
156,Schaum::N,झाग,קצף
157,Schmutz::N,गंद,לכלוך
158,Schmutz::N,कीचड़,לכלוך
159,See::N,झील,אגם
160,See::N,सरोवर,אגם
161,Sumpf::N,दलदल,בצה
162,Sumpf::N,धँसान,בצה
163,Moor::N,झाबर,בצה
164,Moor::N,धँसान,בצה
165,Wiese::N,घास-स्थल,מרעה
166,Wald::N,जंगल,יער
167,Hügel::N,टीला,תל
168,Hügel::N,पहाड़,תל
169,Anhöhe::N,टीला,מעלה
170,Anhöhe::N,पहाड़ी,מעלה
171,Berg::N,पहाड़,הר
172,Gipfel::N,शिखर,פסגה
173,Höhle::N,गुहा,מערה
174,Höhle::N,गुफ़ा,מערה
175,Abhang::N,ढाल,מדרון
176,Abhang::N,ढाल,שפוע
177,Abhang::N,ढलान,מדרון
178,Abhang::N,ढलान,שפוע
179,Quelle::N,चश्मा,מעין
180,Bach::N,सोता,נחל
181,Bach::N,नदिका,נחל
182,Fluss::N,नदी,נהר
183,Fluss::N,सरिता,נהר
184,Ufer::N,तट,גדה
185,Ufer::N,किनारा,גדה
186,Küste::N,समुद्र-तट,חוף
187,Festland::N,महाद्वीप,יבשה
188,Meer::N,सागर,ים
189,Meer::N,समुद्र,ים
190,Bucht::N,खाड़ी,מפרץ
191,Insel::N,टापू,אי
192,Insel::N,द्वीप,אי
193,Blume::N,फूल,פרח
194,Blume::N,पुष्प,פרח
195,Gras::N,घास,דשא
196,Wurzel::N,मूल,שרש
197,Baum::N,पेड़,עץ
198,Baum::N,वृक्ष,עץ
199,Stamm::N,धड़,גזע
200,Rinde::N,छाल,קלפת עץ
201,Rinde::N,वल्कल,קלפת עץ
202,Ast::N,डाल,ענף
203,Ast::N,शाखा,ענף
204,Zweig::N,टहनी,ענף
205,Blatt::N,पत्र,עלה
206,Blatt::N,पत्ता,עלה
207,Birke::N,भूर्ज,שדר
208,Kiefer[Baum]::N,पाइन-वृक्ष,ארן
209,Weide[Baum]::N,बेंत,ערבה
210,Tanne::N,फ़र,אשוח
211,Horn::N,सींग,קרן
212,Horn::N,विषाण,קרן
213,Feder::N,पर,נוצה
214,Feder::N,पंख,נוצה
215,Fell::N,खाल,פרוה
216,Fell::N,पशु-चर्म,פרוה
217,Flügel::N,पंख,כנף
218,Flügel::N,डैना,כנף
219,Klaue::N,पंजा,טלף
220,Kralle::N,पंजा,טפר
221,Kralle::N,नाख़ून,טפר
222,Schwanz::N,पूँछ,זנב
223,Ei::N,अंडा,ביצה
224,Nest::N,नीड़,קן
225,Nest::N,घोंसला,קן
226,Bau::N,बिल,מחלה
227,Bau::N,माँद,מחלה
228,Tier::N,पशु,חיה
229,Tier::N,जानवर,חיה
230,Herde::N,गल्ला,עדר
231,Kuh::N,गौ,פרה
232,Kuh::N,गाय,פרה
233,Bulle::N,साँड़,פר
234,Pferd::N,अश्व,סוס
235,Pferd::N,घोड़ा,סוס
236,Schaf::N,भेड़,כבשה
237,Schwein::N,शूकर,חזיר
238,Hund::N,श्वान,כלב
239,Hund::N,कुत्ता,כלב
240,Katze::N,बिल्ली,חתול
241,Bär::N,रीछ,דב
242,Bär::N,भालू,דב
