,Concept_ID,os,udm
0,Auge::N,цӕст,син
1,Ohr::N,хъус,пель
2,Nase::N,фындз,ныр
3,Mund::N,дзых,ым
4,Zahn::N,дӕндаг,пинь
5,Zunge::N,ӕвзаг,кыл
6,Lippe::N,был,ымдур
7,Wange::N,рус,бам
8,Wange::N,уадул,бам
9,Wange::N,ӕхсӕрфарс,бам
10,Gesicht::N,цӕсгом,ымныр
11,Stirn::N,ных,кымес
12,Haar::N,хил,йырси
13,Schnurrbart::N,рихи,мыйык
14,Bart::N,зачъе,туш
15,Kinn::N,роцъо,ангес
16,Kiefer[Anatomie]::N,ӕфсӕр,ан
17,Kiefer[Anatomie]::N,ӕфсӕр,анлы
18,Kehle::N,хъуыр,гульым
19,Hals::N,къубал,чырты
20,Genick::N,къӕбут,йырбер
21,Kopf::N,сӕр,йыр
22,Rücken::N,фӕсонтӕ,мыш
23,Bauch::N,гуыбын,кӧт
24,Nabel::N,бикъ,гогы
25,Busen::N,дзидзи,ноны
26,Brust::N,риу,мӧля
27,Schulter::N,уӕхск,пельпум
28,Arm::N,цонг,суй
29,Ellenbogen::N,рæмбын,гырпум
30,Hand::N,къух,ки
31,Handfläche::N,армытъӕпӕн,ки пыдэс
32,Handfläche::N,армытъӕпӕн,кырым пыдэс
33,Finger::N,ӕнруылдз,чиньы
34,Fingernagel::N,ных,гижы
35,Fingernagel::N,ных,гиждӥнь
36,Nagel[Anatomie]::N,ных,гижы
37,Zeh::N,къух,пыдчиньы
38,Fuß::N,фад,пыд
39,Ferse::N,зӕвӕт,пыдбер
40,Knie::N,уӕраг,пыдес
41,Oberschenkel::N,агъд,макес
42,Bein::N,зӕнг,пыд
43,Körper::N,буар,мугор
44,Körper::N,буар,вылтыр
45,Haut::N,царм,ку
46,Blut::N,туг,вир
47,Ader::N,дадзин,вирсэр
48,Ader::N,тугдадзин,вирсэр
49,Sehne::N,хъиутæ,вуж
50,Sehne::N,нуар,вуж
51,Knochen::N,стӕг,лы
52,Gehirn::N,магъз,вим
53,Herz::N,зӕрдӕ,сюлэм
54,Magen::N,ахсӕн,ӝуш
55,Leber::N,игæр,мус
56,Atem::N,улӕфт,лул
57,Atem::N,улӕфт,шокан
58,Hunger::N,стонг,кӧтсюман
59,Träne::N,цæссыг,синкыли
60,Geschmack::N,ад,шӧм
61,Geruch::N,смаг,зын
62,Schlaf::N,хуыссӕг,вӧт
63,Traum::N,фын,уйвӧт
64,Himmel::N,арв,ин
65,Himmel::N,уӕларв,ин
66,Sonne::N,хур,шунды
67,Mond::N,мӕй,толэзь
68,Stern::N,стъалы,кизили
69,Luft::N,уӕлдӕф,омыр
70,Wind::N,дымгӕ,тӧл
71,Welle::N,уылӕн,тулкым
72,Wasser::N,дон,ву
73,Stein::N,дур,из
74,Boden::N,зӕхх,музъем
75,Erde::N,сыджыт,му
76,Staub::N,рыг,пыль
77,Rauch::N,фӕздӕг,ӵын
78,Funke::N,цӕхӕр,гизьы
79,Feuer::N,зынг,тыл
80,Licht::N,рухс,тыл
81,Schatten::N,аууон,вужер
82,Wetter::N,боныхъӕд,куазь
83,Nebel::N,мигъ,бус
84,Wolke::N,ӕврагъ,пилем
85,Regen::N,уарын,зор
86,Schnee::N,мит,лымы
87,Eis::N,их,йӧ
88,Frost::N,ихæн,кезьыт
89,Kälte::N,уазал,кезьыт
90,Hitze::N,ӕнтӕф,пӧсь
91,Raureif::N,халас,гӧр
92,Regenbogen::N,арвырон,вуюись
93,Regenbogen::N,арвырдын,вуюись
94,Donner::N,æрвнæрын,гудыри
95,Strömung::N,цыд,бызён
96,Tropfen::N,æртах,шапык
97,Schaum::N,фынк,шукы
98,Schmutz::N,цъыф,нӧд
99,Schmutz::N,цъыф,дэри
100,See::N,цад,ты
101,Sumpf::N,цъыфдзаст,нюр
102,Moor::N,цъыфдзаст,нюр
103,Wiese::N,уыгӕрдӕн,возь
104,Wiese::N,уыгӕрдӕн,возьвыл
105,Wald::N,хъӕд,сик
106,Wald::N,хъӕд,нюлэс
107,Hügel::N,обау,выр
108,Hügel::N,обау,вырйыл
109,Hügel::N,къуыбыр,выр
110,Hügel::N,къуыбыр,вырйыл
111,Anhöhe::N,уæлвæз,выр
112,Anhöhe::N,уæлвæз,вырйыл
113,Anhöhe::N,уæлхох,выр
114,Anhöhe::N,уæлхох,вырйыл
115,Berg::N,хох,гурезь
116,Gipfel::N,цъупп,йыл
117,Höhle::N,лӕгӕт,гу
118,Abhang::N,къул,бам
119,Quelle::N,суадон,ошмес
120,Bach::N,мӕсчъыдон,пичи шур
121,Fluss::N,дон,шур
122,Fluss::N,цӕугӕдон,шур
123,Ufer::N,был,ярдур
124,Küste::N,донбыл,вудур
125,Festland::N,сурзæхх,мувыр
126,Meer::N,денджыз,зарезь
127,Bucht::N,донбакæлæн,вукож
128,Insel::N,сакъадах,вумуӵ
129,Insel::N,сакъадах,шормуӵ
130,Blume::N,дидинӕг,сяська
131,Gras::N,кӕрдӕг,турын
132,Wurzel::N,уидаг,выжы
133,Baum::N,бӕлас,пу
134,Stamm::N,хӕтӕл,модос
135,Rinde::N,цъар,сул
136,Ast::N,арх,ул
137,Zweig::N,къалиу,вай
138,Blatt::N,сыф,куар
139,Birke::N,бæрз,кызьпу
140,Kiefer[Baum]::N,нӕзы,пужым
141,Weide[Baum]::N,хӕрис,бадьпу
142,Tanne::N,наз,кыз
143,Horn::N,сыкъа,сюр
144,Feder::N,сис,тылы
145,Fell::N,царм,ку
146,Flügel::N,базыр,бурд
147,Klaue::N,ных,гижы
148,Kralle::N,дзӕмбы,пыд
149,Schwanz::N,къӕдзил,быж
150,Ei::N,айк,пуз
151,Ei::N,айк,кукей
152,Nest::N,ахстон,кар
153,Nest::N,ахстон,пузкар
154,Bau::N,хуынкъ,кар
155,Bau::N,хуынкъ,гу
156,Tier::N,сырд,пӧйшур
157,Tier::N,цӕрӕгой,пӧйшур
158,Herde::N,дзуг,уллё
159,Herde::N,рӕгъау,уллё
160,Kuh::N,хъуг,скал
161,Bulle::N,гал,ош
162,Bulle::N,гал,пороз
163,Pferd::N,бӕх,вал
164,Schaf::N,фыс,ыж
165,Schwein::N,хуы,парсь
166,Hund::N,куыдз,пуны
167,Katze::N,гӕды,коӵыш
168,Bär::N,арс,гондыр
169,Eichhörnchen::N,æхсæрæг,коньы
170,Elch::N,цæгатаг саг,койык
171,Fuchs::N,рувас,ӟичы
172,Hase::N,тæрхъус,кеч
173,Maus::N,мыст,шыр
174,Wolf::N,бирӕгъ,кион
175,Vogel::N,цъиу,тылобурдо
176,Vogel::N,маргъ,тылобурдо
177,Schwarm::N,бал,уллё
178,Huhn::N,карк,курег
179,Hahn::N,уасӕг,атас
180,Gans::N,хъаз,ӟазег
181,Adler::N,цӕргӕс,ӧрзи
182,Ente::N,ацц,ӵӧж
183,Eule::N, уыг,кучыран
184,Eule::N,сидахъ,кучыран
185,Kranich::N,зырнæг,тури
186,Kranich::N,хърихъупп,тури
187,Krähe::N,халон,куака
188,Kuckuck::N,гаккук,кикы
189,Schwan::N,доныхъаз,юсь
190,Fisch::N,кӕсаг,чорыг
191,Barsch::N,окунь,юш
192,Hecht::N,хихор кӕсаг,чипей
193,Schlange[Tier]::N,калм,кый
194,Wurm::N,зулкъ,нумыр
195,Wurm::N,къуыдыргалм,нумыр
196,Spinne::N,хӕлуарӕг,чонари
197,Ameise::N,мæлдзыг,кузьыли
198,Laus::N,сыст,тэй
199,Mücke::N,къогъо,нымы
200,Mücke::N,къогъо,чибинь
201,Fliege::N,бындз,кут
202,Schmetterling::N,гæлæбу,бубыли
203,Beere::N,гагадыргъ,узы-боры
204,Apfel::N,фӕткъуы,яблок
205,Pilz::N,зокъо,губи
206,Pilz::N,къозо,губи
207,Zwiebel::N,хъӕдындз,сугон
208,Saat::N,тауинаг,кидыс
209,Saat::N,мыггаг,кидыс
210,Korn::N,мыггаг,тысь
211,Korn::N,тауинаг,тысь
212,Heu::N,хос,турын
213,Schale::N,цъар,кыд
214,Grube::N,урм,гу
215,Grube::N,урм,гоп
216,Grube::N,къахт,гу
217,Grube::N,къахт,гоп
218,Grube::N,дзыхъхъ,гу
219,Grube::N,дзыхъхъ,гоп
220,Falle::N,цъысым,налик
221,Falle::N,къӕппӕг,налик
222,Schlinge::N,цасм,гиӟ
223,Schlinge::N,цасм,герд
224,Spur::N,фæд,пытьы
225,Spur::N,фæд,бервыл
226,Asche::N,фӕнык,пень
227,Asche::N,ӕртхутӕг,пень
228,Dreck::N,цъыф,дэри
229,Eisen::N,ӕфсӕйнаг,корт
230,Gold::N,сыгъзӕрин,зарни
231,Silber::N,ӕвзист,азвесь
232,Kohle::N,ӕвзалы,эгыр
233,Glas::N,авг,стекло
234,Glas::N,авг,пияла
235,Lehm::N,ӕлыг,сюй
236,Sand::N,змис,луо
237,Mensch::N,лӕг,мурт
238,Mensch::N,лӕг,адями
239,Mensch::N,адӕймаг,мурт
240,Mensch::N,адӕймаг,адями
241,Mensch::N,удгоймаг,мурт
242,Mensch::N,удгоймаг,адями
243,Mann::N,лӕг,воргорон
244,Mann::N,нӕлгоймаг,воргорон
245,Frau::N,сылгоймаг,кышномурт
246,Kind::N,сывӕллон,нуны
247,Kind::N,сывӕллон,пинал
248,Junge::N,лӕппу,пи
249,Mädchen::N,чызг,ныл
250,Familie::N,бинонтæ,семья
251,Großvater::N,фыдыфыд,песятай
252,Großvater::N,фыдыфыд,пересь атай
253,Großvater::N,мадыфыд,песятай
254,Großvater::N,мадыфыд,пересь атай
255,Großmutter::N,фыды мад,песянай
256,Großmutter::N,фыды мад,пересь анай
257,Großmutter::N,мады мад,песянай
258,Großmutter::N,мады мад,пересь анай
259,Eltern::N,ныййарджытæ,атай-анай
260,Eltern::N,ныййарджытæ,бубы-мумы
261,Vater::N,фыд,айы
262,Vater::N,фыд,атай
263,Mutter::N,мад,мумы
264,Sohn::N,фырт,пи
265,Tochter::N,чызг,ныл
266,Bruder::N,ӕфсымӕр,агай
267,Schwester::N,хо,апа
268,Schwester::N,хо,сузэр
269,Onkel::N,фыдыфсымӕр,агай
270,Tante::N,мадыхо,апа
271,Tante::N,мадыхо,кенак
272,Ehemann::N,мой,карт
273,Ehefrau::N,ус,кышно
274,Freude::N,цин,шумпотон
275,Freude::N,циндзинад,шумпотон
276,Gelächter::N,худын,горем
277,Gelächter::N,худт,горем
278,Gelächter::N,худæг,горем
279,Glück::N,амонд,шуд
280,Kummer::N,хъыг,кайгу
281,Kummer::N,хъыг,куректон
282,Wunsch::N,бӕллиц,мылпотон
283,Lust::N,монц,потон
284,Geist::N,уд,лул
285,Gedanke::N,хъуыды,малпан
286,Gedächtnis::N,мысæн,йырсазь
287,Gedächtnis::N,мысæн,тодэваён
288,Gedächtnis::N,мысын,йырсазь
289,Gedächtnis::N,мысын,тодэваён
290,Gedächtnis::N,зæрдылдарын,йырсазь
291,Gedächtnis::N,зæрдылдарын,тодэваён
292,Verstand::N,зонд,йырвизь
293,Sinn::N,нысаниуæг,смысл
294,Grund::N,ӕфсон,муг
295,Grund::N,ӕфсон,ньӧм
296,Wahrheit::N,æцæг,зэм
297,Wahrheit::N,æцæг,шонер
298,Gespräch::N,ныхас,вераськон
299,Märchen::N,аргъау,выжыкыл
300,Erzählung::N,радзырд,верос
301,Nachricht::N,уац,ивор
302,Neuigkeit::N,хабар,выльивор
303,Name::N,ном,ним
304,Rätsel::N,уыци-уыци,мадькыл
305,Rätsel::N,базон-базон,мадькыл
306,Rede::N,раныхас,верам
307,Sprache::N,ӕвзаг,кыл
308,Stimme::N,хъӕлӕс,куара
309,Wort::N,дзырд,кыл
310,Zeichen::N,нысан,пус
311,Zeichen::N,нысан,тодмет
312,Ruf::N,сидт,ӧтён
313,Ruf::N,сидт,чортон
314,Lärm::N,уынæр,ӵашетон
315,Laut::N,зӕл,куара
316,Laut::N,мыр,куара
317,Ton::N,мыр,куара
318,Lied::N,зарӕг,кырӟан
319,Ruhe::N,æнцой,чалмыт улон
320,Leute::N,адӕм,адямиос
321,Volk::N,адӕм,калык
322,Arbeit::N,фӕллой,уж
