,Concept_ID,br,nl
0,Auge::N,lagad,oog
1,Ohr::N,skouarn,oor
2,Nase::N,fri,neus
3,Mund::N,genoù,mond
4,Zahn::N,dant,tand
5,Zunge::N,teod,tong
6,Lippe::N,muzell,lip
7,Wange::N,chot,wang
8,Gesicht::N,dremm,gelaat
9,Gesicht::N,dremm,gezicht
10,Stirn::N,tal,voorhoofd
11,Haar::N,blev,haar
12,Schnurrbart::N,mourenn,snor
13,Bart::N,barv,baard
14,Kinn::N,groñj,kin
15,Kiefer[Anatomie]::N,javed,kaak
16,Kehle::N,gouzoug,keel
17,Kehle::N,gouzoug,strot
18,Hals::N,gouzoug,hals
19,Genick::N,choug,nek
20,Kopf::N,penn,hoofd
21,Rücken::N,kein,rug
22,Bauch::N,kof,buik
23,Nabel::N,begel,navel
24,Busen::N,bronn,boezem
25,Brust::N,bruched,borst
26,Schulter::N,skoaz,schouder
27,Arm::N,brec'h,arm
28,Ellenbogen::N,ilin,elleboog
29,Hand::N,dorn,hand
30,Handfläche::N,palv,handpalm
31,Finger::N,biz,vinger
32,Fingernagel::N,ivin,nagel
33,Nagel[Anatomie]::N,ivin,nagel
34,Zeh::N,biz-troad,teen
35,Fuß::N,troad,voet
36,Ferse::N,seul,hak
37,Ferse::N,seul,hiel
38,Knie::N,glin,knie
39,Oberschenkel::N,morzhed,dij
40,Bein::N,gar,been
41,Körper::N,korf,lichaam
42,Haut::N,kroc'hen,huid
43,Blut::N,gwad,bloed
44,Ader::N,gwazhi,ader
45,Sehne::N,stir,pees
46,Knochen::N,askorn,bot
47,Knochen::N,askorn,been
48,Knochen::N,askorn,knook
49,Gehirn::N,empenn,hersenen
50,Herz::N,kalon,hart
51,Magen::N,stomog,maag
52,Leber::N,avu,lever
53,Atem::N,anal,adem
54,Hunger::N,naon,honger
55,Träne::N,daer,traan
56,Geschmack::N,blaz,smaak
57,Geruch::N,c'hwezh,geur
58,Schlaf::N,kousked,slaap
59,Traum::N,hune,droom
60,Himmel::N,oabl,hemel
61,Sonne::N,heol,zon
62,Mond::N,loar,maan
63,Stern::N,steredenn,ster
64,Luft::N,aer,lucht
65,Wind::N,avel,wind
66,Welle::N,houlenn,golf
67,Wasser::N,dour,water
68,Stein::N,maen,steen
69,Boden::N,tachenn,grond
70,Erde::N,douar,aarde
71,Staub::N,poultr,stof
72,Rauch::N,moged,rook
73,Funke::N,ful,vonk
74,Feuer::N,tan,vuur
75,Licht::N,gouloù,licht
76,Schatten::N,disheol,schaduw
77,Wetter::N,amzer,weer
78,Nebel::N,brumenn,mist
79,Nebel::N,brumenn,nevel
80,Wolke::N,koumoulenn,wolk
81,Regen::N,glav,regen
82,Schnee::N,erc'h,sneeuw
83,Eis::N,skorn,ijs
84,Frost::N,rev,vorst
85,Kälte::N,yen,kou
86,Kälte::N,yen,koude
87,Hitze::N,tommder,hitte
88,Raureif::N,frim,rijp
89,Regenbogen::N,gwareg-ar-glav,regenboog
90,Donner::N,kurun,donder
91,Strömung::N,red,stroming
92,Tropfen::N,bannac'h,druppel
93,Tropfen::N,takenn,druppel
94,Schaum::N,spoum,schuim
95,Schmutz::N,fank,vuil
96,See::N,lenn,meer
97,Sumpf::N,gwern,moeras
98,Moor::N,taouarc'heg,veen
99,Wiese::N,prad,wei
100,Wiese::N,prad,weide
101,Wald::N,koad,bos
102,Hügel::N,torgenn,heuvel
103,Anhöhe::N,run,hoogte
104,Berg::N,menez,berg
105,Gipfel::N,barr,top
106,Höhle::N,kav,hol
107,Abhang::N,naou,helling
108,Quelle::N,feunteun,bron
109,Bach::N,gwazh,beek
110,Fluss::N,stêr,stroom
111,Ufer::N,ribl,wal
112,Ufer::N,ribl,oever
113,Küste::N,aod,kust
114,Festland::N,douar,vasteland
115,Meer::N,mor,zee
116,Bucht::N,mor-bihan,baai
117,Bucht::N,mor-bihan,inham
118,Insel::N,enez,eiland
119,Blume::N,bleunienn,bloem
120,Gras::N,geot,gras
