,Concept_ID,ka,xal
0,Auge::N,თვალი,нүдн
1,Ohr::N,ყური,чикн
2,Nase::N,ცხვირი,хамр
3,Mund::N,პირი,амн
4,Zahn::N,კბილი,шүдн
5,Zunge::N,ენა,келн
6,Lippe::N,ბაგე,урл
7,Wange::N,ლოყა,халх
8,Gesicht::N,სახე,нүр
9,Stirn::N,შუბლი,маңна
10,Haar::N,თმა,үсн
11,Schnurrbart::N,ულვაში,сахл
12,Bart::N,წვერი,сахл
13,Bart::N,წვერი,өргнә сахл
14,Kinn::N,ნიკაპი,өргн
15,Kiefer[Anatomie]::N,ყბა,өргн
16,Kehle::N,ყელი,хол
17,Hals::N,ყელი,күзүн
18,Hals::N,კისერი,күзүн
19,Genick::N,კეფა,гиҗг
20,Kopf::N,თავი,толһа
21,Rücken::N,ზურგი,нурһн
22,Bauch::N,მუცელი,гесн
23,Nabel::N,ჭიპი,киисн
24,Busen::N,ძუძუ,көкн
25,Brust::N,მკერდი,чееҗ
26,Schulter::N,მხარი,ээм
27,Schulter::N,მკლავი,ээм
28,Arm::N,ხელი,һар
29,Ellenbogen::N,იდაყვი,тоха
30,Hand::N,ხელი,баһлцг
31,Handfläche::N,ნები,альхн
32,Handfläche::N,ხელისგული,альхн
33,Finger::N,თითი,хурһн
34,Finger::N,თითი,һарин хурһн
35,Fingernagel::N,ფრჩხილი,хумсн
36,Nagel[Anatomie]::N,ფრჩხილი,хумсн
37,Zeh::N,ფეხის თითი,хурһн
38,Zeh::N,ფეხის თითი,көлин хурһн
39,Fuß::N,ტერფი,тавг
40,Fuß::N,ფეხისგული,тавг
41,Ferse::N,ქუსლი,өскә
42,Knie::N,მუხლი,өвдг
43,Oberschenkel::N,ბარძაყი,һуй
44,Bein::N,ფეხი,көл
45,Körper::N,ტანი,махмуд
46,Körper::N,სხეული,махмуд
47,Haut::N,კანი,арсн
48,Blut::N,სისხლი,цусн
49,Ader::N,ძარღვი,судцн
50,Sehne::N,მყესი,шүрүсн
51,Knochen::N,ძვალი,ясн
52,Gehirn::N,ტვინი,экн
53,Herz::N,გული,зүркн
54,Magen::N,კუჭი,гесн
55,Leber::N,ღვიძლი,элкн
56,Atem::N,სუნთქვა,әмсхл
57,Hunger::N,შიმშილი,харһнлһн
58,Träne::N,ცრემლი,нульмсн
59,Geschmack::N,გემო,амтн
60,Geruch::N,სუნი,үнр
61,Schlaf::N,ძილი,нөр
62,Traum::N,სიზმარი,зүүдн
63,Himmel::N,ცა,теңгр
64,Sonne::N,მზე,нарн
65,Mond::N,მთვარე,сар
66,Stern::N,ვარსკვლავი,одн
67,Luft::N,ჰაერი,аһар
68,Wind::N,ქარი,салькн
69,Welle::N,ტალღა,дольган
70,Wasser::N,წყალი,усн
71,Stein::N,ქვა,чолун
72,Boden::N,მიწა,Һазр
73,Erde::N,ნიადაგი,Һазр
74,Staub::N,მტვერი,тоосн
75,Rauch::N,ბოლი,утан
76,Rauch::N,კვამლი,утан
77,Funke::N,ნაკვესი,очн
78,Feuer::N,ცეცხლი,һал
79,Licht::N,შუქი,герл
80,Licht::N,სინათლე,герл
81,Schatten::N,ლანდი,сүүдр
82,Schatten::N,ჩრდილი,сүүдр
83,Wetter::N,ამინდი,теңгр
84,Nebel::N,ნისლი,будн
85,Wolke::N,ღრუბელი,үүлн
86,Regen::N,წვიმა,хур
87,Schnee::N,თოვლი,цасн
88,Eis::N,თოში,мөсн
89,Eis::N,ყინული,мөсн
90,Frost::N,ყინვა,киитн
91,Kälte::N,სიცივე,киитн
92,Hitze::N,სიცხე,халун
93,Raureif::N,ჭირხლი,цаң
94,Raureif::N,ჭირხლი,кирү
95,Raureif::N,თრთვილი,цаң
96,Raureif::N,თრთვილი,кирү
97,Regenbogen::N,ცისარტყელა,солңһ
98,Donner::N,ქუხილი,оһтрһун дун
99,Strömung::N,დინება,урсхл
100,Tropfen::N,წვეთი,дусал
101,Schaum::N,ქაფი,көөсн
102,Schaum::N,დორბლი,көөсн
103,Schmutz::N,ჭუჭყი,кир
104,Schmutz::N,ტალახი,кир
105,See::N,ტბა,нур
106,Sumpf::N,ჭაობი,унул
107,Moor::N,ტორფნარი,улм
108,Wiese::N,ველი,хадлһн
109,Wiese::N,მდელო,хадлһн
110,Wald::N,ტყე,ө-модн
111,Hügel::N,ბორცვი,толһа
112,Anhöhe::N,მაღლობი,хамр
113,Berg::N,მთა,уул
114,Gipfel::N,მწვერვალი,ора
115,Höhle::N,მღვიმე,хадин көндә
116,Höhle::N,გამოქვებული,хадин көндә
117,Abhang::N,ფერდობი,ташу
118,Quelle::N,წყარო,булг
119,Quelle::N,სათავე,булг
120,Bach::N,რუ,һооҗур
121,Bach::N,ნაკადული,һооҗур
122,Fluss::N,მდინარე,һол
123,Ufer::N,კიდე,көвә
124,Ufer::N,ნაპირი,көвә
125,Küste::N,ნაპირი,көвә
126,Küste::N,ნაპირი,теңгсин көвә
127,Festland::N,ხმელეთი,хүүрә һазр
128,Meer::N,ზღვა,теңгс
129,Bucht::N,ყურე,цекә
