,Concept_ID,,eu
0,Auge::N,,begi
1,Ohr::N,,belarri
2,Nase::N,,sudur
3,Mund::N,,aho
4,Zahn::N,,hortz
5,Zunge::N,,mihi
6,Lippe::N,,ezpain
7,Wange::N,,masail
8,Gesicht::N,,aurpegi
9,Stirn::N,,bekoki
10,Haar::N,,ile
11,Haar::N,,bilo
12,Schnurrbart::N,,bibote
13,Schnurrbart::N,,sudurpeko
14,Bart::N,,bizar
15,Kinn::N,,kokots
16,Kiefer[Anatomie]::N,,masailezur
17,Kehle::N,,eztarri
18,Hals::N,,sama
19,Genick::N,,garondo
20,Kopf::N,,buru
21,Rücken::N,,bizkar
22,Bauch::N,,sabel
23,Nabel::N,,zilbor
24,Busen::N,,titi
25,Busen::N,,ugatz
26,Brust::N,,bular
27,Schulter::N,,besaburu
28,Arm::N,,beso
29,Ellenbogen::N,,ukondo
30,Hand::N,,esku
31,Handfläche::N,,ahur
32,Finger::N,,hatz
33,Fingernagel::N,,azazkal
34,Nagel[Anatomie]::N,,azazkal
35,Zeh::N,,behatz
36,Fuß::N,,oin
37,Ferse::N,,orpo
38,Ferse::N,,oinburu
39,Knie::N,,belaun
40,Oberschenkel::N,,izter
41,Bein::N,,zango
42,Körper::N,,soin
43,Haut::N,,azal
44,Blut::N,,odol
45,Ader::N,,zain
46,Sehne::N,,gihar-zain
47,Knochen::N,,hezur
48,Gehirn::N,,garun
49,Gehirn::N,,burmuin
50,Herz::N,,bihotz
51,Magen::N,,urdail
52,Leber::N,,gibel
53,Atem::N,,hats
54,Atem::N,,arnasa
55,Hunger::N,,gose
56,Träne::N,,malko
57,Geschmack::N,,dasta
58,Geruch::N,,usain
59,Schlaf::N,,lo
60,Traum::N,,amets
61,Himmel::N,,zeru
62,Sonne::N,,eguzki
63,Mond::N,,ilargi
64,Stern::N,,izar
65,Luft::N,,aire
66,Wind::N,,haize
67,Welle::N,,uhin
68,Welle::N,,olatu
69,Wasser::N,,ur
70,Stein::N,,harri
71,Boden::N,,lur
72,Boden::N,,zoru
73,Erde::N,,lur
74,Staub::N,,hauts
75,Rauch::N,,ke
76,Funke::N,,zirta
77,Funke::N,,txinparta
78,Feuer::N,,su
79,Licht::N,,argi
80,Schatten::N,,itzal
81,Schatten::N,,geriza
