,Concept_ID,mrj,xal
0,Auge::N,сӹнзӓ,нүдн
1,Ohr::N,пӹлӹш,чикн
2,Nase::N,нер,хамр
3,Mund::N,ышма,амн
4,Zahn::N,пӱ,шүдн
5,Zunge::N,йӹлмӹ,келн
6,Lippe::N,тӹрвӹ,урл
7,Wange::N,шӹргӹ,халх
8,Gesicht::N,лицӓ,нүр
9,Stirn::N,лепкӓ,маңна
10,Haar::N,ӱп,үсн
11,Schnurrbart::N,öрш,сахл
12,Bart::N,пандаш,сахл
13,Bart::N,пандаш,өргнә сахл
14,Kinn::N,онгылаш,өргн
15,Kiefer[Anatomie]::N,пӱ арата,өргн
16,Kehle::N,логер,хол
17,Hals::N,шӱ,күзүн
18,Genick::N,ланга,гиҗг
19,Kopf::N,вуй,толһа
20,Rücken::N,туп,нурһн
21,Bauch::N,мӹшкӹр,гесн
22,Nabel::N,кӹлӹмдӹ,киисн
23,Busen::N,цӹзӹ,көкн
24,Brust::N,мел,чееҗ
25,Schulter::N,ӹнгӹжӓ,ээм
26,Arm::N,кид,һар
27,Ellenbogen::N,кӹнервуй,тоха
28,Hand::N,лапа,баһлцг
29,Handfläche::N,кид лапа,альхн
30,Finger::N,парня,хурһн
31,Finger::N,парня,һарин хурһн
32,Fingernagel::N,кӹч,хумсн
33,Nagel[Anatomie]::N,кӹч,хумсн
34,Zeh::N,парня,хурһн
35,Zeh::N,парня,көлин хурһн
36,Fuß::N,ял лапа,тавг
37,Ferse::N,ялгавал,өскә
38,Ferse::N,ял кавал,өскә
39,Knie::N,пылвуй,өвдг
40,Oberschenkel::N,ӓрдӹ,һуй
41,Bein::N,ял,көл
42,Körper::N,монгыр,махмуд
43,Haut::N,кавашты,арсн
44,Blut::N,вӹр,цусн
45,Ader::N,вӹршӓр,судцн
46,Sehne::N,кукшышӱн,шүрүсн
47,Knochen::N,лу,ясн
48,Gehirn::N,вим,экн
49,Herz::N,шӱм,зүркн
50,Magen::N,шӱм,гесн
51,Leber::N,мокш,элкн
52,Atem::N,шӱлӹш,әмсхл
53,Hunger::N,шужымаш,харһнлһн
54,Träne::N,сӹнзӓвӹд,нульмсн
