,Concept_ID,ce,de
871,biegen::V,сатто,biegen
872,drehen::V,хьовзо,drehen
873,umdrehen::V,хьовзo,umdrehen
874,heben::V,айа,heben
875,heben::V,хьалаайа,heben
876,hochheben::V,хьалаайа,hochheben
877,ergreifen::V,дӏалаца,ergreifen
878,halten::V,латто,halten
879,drücken::V,тӏетаӏо,drücken
880,schieben::V,татта,schieben
881,kratzen::V,мӏараш тийса,kratzen
882,lecken::V,мотт хьекха,lecken
883,beißen::V,катoха,beißen
884,abreißen::V,схьадаккха,abreißen
885,abschneiden::V,кхада,abschneiden
886,binden::V,дӏадехка,binden
887,binden::V,вовшахтаса,binden
888,stecken::V,чудахийта,stecken
889,brechen::V,кагдан,brechen
890,klopfen::V,детта,klopfen
891,hauen::V,етта,hauen
892,kleben::V,тӏелато,kleben
893,reiben::V,хьекхо,reiben
894,streichen::V,тlехьакха,streichen
895,schleifen::V,ирдан,schleifen
896,schneiden::V,ларга,schneiden
897,rütteln::V,лесто,rütteln
898,schütteln::V,лесто,schütteln
899,schwenken::V,лесто,schwenken
900,schütten::V,дотта,schütten
901,füllen::V,дуза,füllen
902,einwickeln::V,хьарчо,einwickeln
903,tragen::V,дахьа,tragen
904,schleppen::V,ийзо,schleppen
905,ziehen::V,озо,ziehen
906,aufbewahren::V,ӏалашдан,aufbewahren
907,werfen::V,кхосса,werfen
908,fangen::V,леца,fangen
909,packen::V,леца,packen
910,verstecken::V,къайладаккха,verstecken
911,teilen::V,декъа,teilen
912,schicken::V,дӏадахьийта,schicken
913,bringen::V,дан,bringen
914,hinzufügen::V,тӏетоха,hinzufügen
915,bekommen::V,даккха,bekommen
916,erhalten::V,даккха,erhalten
917,nehmen::V,схьаэца,nehmen
918,wählen::V,харжа,wählen
919,auswählen::V,харжа,auswählen
920,bewahren::V,lалашдан,bewahren
921,behindern::V,новкъарло ян,behindern
922,verderben::V,талхо,verderben
923,beschädigen::V,дохо,beschädigen
924,zerbrechen::V,дохо,zerbrechen
925,zerbrechen::V,кагдан,zerbrechen
926,zerreißen::V,хадо,zerreißen
927,zerstören::V,дохо,zerstören
928,zerstören::V,кагдан,zerstören
929,verbrennen::V,даго,verbrennen
930,geben::V,яла,geben
931,reichen::V,дӏадала,reichen
932,reichen::V,дӏакховдо,reichen
933,schenken::V,совгӏат дан,schenken
934,versprechen::V,ваӏда дан,versprechen
935,wünschen::V,лаа,wünschen
936,loben::V,хасто,loben
937,küssen::V,оба яккха,küssen
938,wiegen::V,тахка,wiegen
939,zudecken::V,тӏетаса,zudecken
940,wecken::V,самадаккха,wecken
941,zeigen::V,гайта,zeigen
942,führen::V,дига,führen
943,lehren::V,ӏамо,lehren
944,unterrichten::V,хьеха,unterrichten
945,aufziehen::V,кхио,aufziehen
946,leiten::V,урхалла дан,leiten
947,antreiben::V,сихдан,antreiben
948,lassen::V,-йта,lassen
949,einladen::V,кхайкха,einladen
950,vereinigen::V,цхьаьнатоха,vereinigen
951,besuchen::V,хьажахIотта,besuchen
952,treffen::V,дуьхьалкхета,treffen
953,sich versammeln::V,гулдан,sich versammeln
954,spielen::V,ловза,spielen
955,singen::V,лакха,singen
956,tanzen::V,хелхадала,tanzen
957,sich trennen::V,къаста,sich trennen
958,verlassen::V,дита,verlassen
959,retten::V,кӏелхьардаккха,retten
960,bewachen::V,ха дан,bewachen
961,schützen::V,лардан,schützen
962,verteidigen::V,лардан,verteidigen
963,sich schlagen::V,етта,sich schlagen
964,schießen::V,детта,schießen
965,siegen::V,тола,siegen
966,ärgern::V,оьгӏаздахийта,ärgern
967,schlagen::V,тоха,schlagen
968,treten::V,мийра тоха,treten
969,stechen::V,ӏотта,stechen
970,stechen::V,къовзо,stechen
971,stoßen::V,татта,stoßen
972,stehlen::V,лачкъо,stehlen
973,stören::V,новкъарло ян,stören
974,belästigen::V,сагатдан,belästigen
975,verbergen::V,къайладаккха,verbergen
976,täuschen::V,ӏexo,täuschen
977,betrügen::V,ледан,betrügen
978,töten::V,ден,töten
979,wohnen::V,даха,wohnen
980,arbeiten::V,къахьега,arbeiten
981,sammeln::V,гулдан,sammeln
982,pflücken::V,даха,pflücken
983,jagen::V,талла,jagen
984,fischen::V,чӏерий леца,fischen
985,fassen::V,лаца,fassen
986,fassen::V,схьалаца,fassen
987,hüten::V,лардан,hüten
988,treiben::V,лахка,treiben
989,anbinden::V,дӏадехка,anbinden
990,füttern::V,хӏума яла,füttern
991,melken::V,оза,melken
992,gießen::V,хи тоха,gießen
993,reifen::V,хьекъа,reifen
994,zubereiten::V,кечъян,zubereiten
995,zubereiten::V,кхача бан,zubereiten
996,kochen::V,кхача бан,kochen
997,backen::V,датта,backen
998,braten::V,кхарза,braten
999,umrühren::V,кего,umrühren
1000,nähen::V,тега,nähen
1001,färben::V,басардан,färben
1002,reinigen::V,цӏандан,reinigen
1003,waschen::V,йила,waschen
1004,waschen::V,йитта,waschen
1005,waschen::V,дӏадайа,waschen
1006,abwischen::V,дӏадайа,abwischen
1007,spülen::V,хи кхарза,spülen
1008,fegen::V,нуй хьакха,fegen
1009,kehren::V,нуй хьакха,kehren
1010,baden::V,лийча,baden
1011,sich waschen::V,юьхь йила,sich waschen
1012,ausziehen::V,духар дӏадаккха,ausziehen
1013,sich anziehen::V,духа,sich anziehen
1014,kämmen::V,ехк хьакха,kämmen
1015,schmücken::V,хаздан,schmücken
1016,sagen::V,ала,sagen
