,Concept_ID,el,pl
0,Auge::N,μάτι,oko
1,Auge::N,οφθαλμός,oko
2,Ohr::N,αυτί,ucho
3,Nase::N,μύτη,nos
4,Mund::N,στόμα,usta
5,Zahn::N,δόντι,ząb
6,Zunge::N,γλώσσα,język
7,Lippe::N,χείλος,warga
8,Wange::N,παρειά,policzek
9,Wange::N,μάγουλο,policzek
10,Gesicht::N,πρόσωπο,twarz
11,Stirn::N,μέτωπο,czoło
12,Haar::N,μαλλιά,włos
13,Haar::N,μαλλιά,włosy
14,Schnurrbart::N,μουστάκι,wąsy
15,Bart::N,γένια,broda
16,Kinn::N,πιγούνι,podbródek
17,Kiefer[Anatomie]::N,σαγόνι,czeluść
18,Kehle::N,λαρύγγι,gardło
19,Hals::N,λαιμός,szyja
20,Genick::N,σβέρκος,kark
21,Kopf::N,κεφάλι,głowa
22,Rücken::N,ράχη,plecy
23,Rücken::N,ράχη,grzbiet
24,Bauch::N,κοιλιά,brzuch
25,Nabel::N,αφαλός,pępek
26,Busen::N,στήθος,biust
27,Brust::N,στήθος,pierś
28,Schulter::N,ώμος,bark
29,Schulter::N,ώμος,ramię
30,Arm::N,χέρι,ręka
31,Arm::N,χέρι,ramię
32,Arm::N,μπράτςο,ręka
33,Arm::N,μπράτςο,ramię
34,Ellenbogen::N,αγκώνας,łokieć
35,Hand::N,χέρι,dłoń
36,Handfläche::N,παλάμη,dłoń
37,Finger::N,δάχτυλο,palec
38,Fingernagel::N,νύχι,paznokieć
39,Nagel[Anatomie]::N,νύχι,paznokieć
40,Zeh::N,δάχτυλο του ποδιού,palec
41,Fuß::N,πόδι,stopa
42,Ferse::N,φτέρνα,pięta
43,Knie::N,γόνατο,kolano
44,Oberschenkel::N,μηρός,udo
45,Bein::N,πόδι,noga
46,Körper::N,σώμα,ciało
47,Körper::N,κορμί,ciało
48,Haut::N,πετσί,skóra
49,Blut::N,αίμα,krew
50,Ader::N,φλέβα,żyła
51,Sehne::N,νεύρο,ścięgno
52,Sehne::N,τένοντας,ścięgno
53,Knochen::N,οστό,kość
54,Knochen::N,κόκκαλο,kość
55,Gehirn::N,μυαλό,mózg
56,Gehirn::N,εγκέφαλος,mózg
57,Herz::N,καρδιά,serce
58,Magen::N,στομάχι,żołądek
59,Leber::N,ήπαρ,wątroba
60,Leber::N,συκωτί,wątroba
61,Atem::N,αναπνοή,dech
62,Atem::N,αναπνοή,oddech
63,Hunger::N,πείνα,głód
64,Träne::N,δάκρυ,łza
65,Geschmack::N,γεύση,smak
66,Geruch::N,οσμή,woń
67,Geruch::N,οσμή,zapach
68,Geruch::N,μυρωδία,woń
69,Geruch::N,μυρωδία,zapach
70,Schlaf::N,ύπνος,sen
71,Traum::N,όνειρο,sen
72,Himmel::N,ουρανός,niebo
73,Sonne::N,ήλιος,słońce
74,Mond::N,σελήνη,księżyc
75,Mond::N,φεγγάρι,księżyc
76,Stern::N,άστρο,gwiazda
77,Stern::N,αστέρι,gwiazda
78,Luft::N,αέρας,powietrze
79,Wind::N,αέρας,wiatr
80,Wind::N,άνεμος,wiatr
81,Welle::N,κύμα,fala
82,Wasser::N,νερό,woda
83,Stein::N,πέτρα,kamień
84,Boden::N,χώμα,grunt
85,Erde::N,γη,ziemia
86,Staub::N,σκόνη,pył
87,Staub::N,σκόνη,kurz
88,Rauch::N,καπνός,dym
89,Funke::N,σπίθα,iskra
90,Funke::N,σπινθήρας,iskra
91,Feuer::N,φωτιά,ogień
92,Licht::N,φως,światło
93,Schatten::N,σκιά,cień
94,Schatten::N,ίσκιος,cień
95,Wetter::N,καιρός,pogoda
96,Nebel::N,ομίχλη,mgła
97,Wolke::N,σύννεφο,obłok
98,Wolke::N,σύννεφο,chmura
99,Regen::N,βροχή,deszcz
100,Schnee::N,χιόνι,śnieg
101,Eis::N,πάγος,lód
102,Frost::N,παγωνία,mróz
103,Kälte::N,κρύο,chłód
104,Kälte::N,ψύχος,chłód
105,Hitze::N,ζέστη,gorąco
106,Raureif::N,πάχνη,szron
107,Regenbogen::N,ουράνιο τόξο,tęcza
108,Donner::N,βροντή,grzmot
109,Strömung::N,ρεύμα,nurt
110,Tropfen::N,στάλα,kropla
111,Schaum::N,αφρός,piana
112,Schmutz::N,βρωμιά,brud
113,See::N,λίμνη,jezioro
114,Sumpf::N,βάλτος,bagno
115,Moor::N,έλος,bagno
116,Wiese::N,λιβάδι,łąka
117,Wald::N,δάσος,las
118,Hügel::N,λόφος,pagórek
119,Anhöhe::N,ύψωμα,wzgórze
120,Berg::N,όρος,góra
121,Berg::N,βουνό,góra
122,Gipfel::N,κορυφή,szczyt
123,Gipfel::N,κορυφή,wierzchołek
124,Höhle::N,σπηλιά,pieczara
125,Abhang::N,πλαγιά,stok
126,Abhang::N,πλαγιά,zbocze
127,Quelle::N,πηγή,zdrój
128,Quelle::N,πηγή,źródło
129,Quelle::N,βρύση,zdrój
130,Quelle::N,βρύση,źródło
131,Bach::N,ρυάκι,potok
132,Bach::N,ρυάκι,strumień
133,Fluss::N,ποτάμι,rzeka
134,Fluss::N,ποταμός,rzeka
