,Concept_ID,ce,vep
0,Auge::N,бӏаьрг,sil'm
1,Ohr::N,лерг,korv
2,Nase::N,мара,nena
3,Mund::N,бага,su
4,Zahn::N,церг,pi
5,Zahn::N,церг,hambaz
6,Zunge::N,мотт,kel'
7,Lippe::N,балда,hul'
8,Wange::N,бесни,modpolišk
9,Gesicht::N,юьхь,mod
10,Stirn::N,хьаж,oc
11,Haar::N,мас,tuk
12,Haar::N,мас,hibuz
13,Schnurrbart::N,мекх,habinod
14,Bart::N,маж,bard
15,Kinn::N,чӏениг,löug
16,Kiefer[Anatomie]::N,мочхал,hambazlu
17,Kehle::N,къамкъарг,kurk
18,Hals::N,ворта,kagl
19,Genick::N,кӏесаркӏаг,tagarai
20,Kopf::N,корта,pä
21,Rücken::N,букъ,sel'g
22,Bauch::N,кийра,vac
23,Bauch::N,кийра,koht
24,Nabel::N,цӏонга,naba
25,Busen::N,зударийн накха,niža
26,Brust::N,накха,rind
27,Schulter::N,белш,oug
28,Arm::N,пхьарс,käzi
29,Ellenbogen::N,пхьаьрсан гола,künambruz
30,Hand::N,куьг,käzi
31,Hand::N,куьг,käzitera
32,Handfläche::N,кераюкъ,kämen
33,Finger::N,пӏелг,sor'm
34,Fingernagel::N,мӏара,künz'
35,Nagel[Anatomie]::N,мӏара,künz'
36,Zeh::N,кога пӏелг,barbaz
37,Fuß::N,ког,jaug
38,Ferse::N,кӏажа,kand
39,Knie::N,гола,komb
40,Knie::N,гола,pol'v
41,Oberschenkel::N,варе,riiže
42,Bein::N,ког,jaug
43,Körper::N,хӏума,hibj
44,Haut::N,чкъор,nahk
45,Blut::N,цӏий,čak
46,Blut::N,цӏий,veri
47,Ader::N,пха,son'
48,Sehne::N,хьорзам,jände
49,Knochen::N,даьӏахк,lu
50,Gehirn::N,хье,aivod
51,Herz::N,дог,südäin
52,Magen::N,зорх,südäikoht
53,Leber::N,доӏах,maks
54,Atem::N,садеӏар,hengaiduz
55,Hunger::N,мацалла,näl'g
56,Träne::N,бӏаьрхи,kündal'
57,Geschmack::N,чам,magu
58,Geruch::N,хьожа,haju
59,Schlaf::N,наб,uni
60,Traum::N,гӏан,unikuva
61,Himmel::N,стигал,taivaz
62,Sonne::N,малх,päiväine
63,Mond::N,бутт,kudmaine
64,Stern::N,седа,tähtaz
65,Luft::N,xӏаваъ,il'm
66,Wind::N,мох,döl
67,Wind::N,мох,tullei
68,Welle::N,тулгӏе,ald
69,Welle::N,тулгӏе,laineh
70,Wasser::N,хи,vezi
71,Stein::N,тӏулг,kivi
72,Boden::N,цӏенкъа,ma
73,Boden::N,цӏенкъа,pohj
74,Erde::N,латта,ma
75,Staub::N,чан,pölü
76,Rauch::N,кӏур,savu
77,Funke::N,суй,kibin
78,Feuer::N,цӏе,lämoi
79,Licht::N,серло,vauktuz
80,Schatten::N,ӏиндагӏ,pil'vez
81,Schatten::N,ӏиндагӏ,kuvahaine
82,Wetter::N,хенан хӏоттам,sä
83,Nebel::N,дохк,sumeg
84,Wolke::N,марха,pil'v
85,Regen::N,догӏа,vihm
