,Concept_ID,lez,hu
0,Auge::N,вил,szem
1,Ohr::N,яб,fül
2,Nase::N,нер,orr
3,Mund::N,сив,száj
4,Zahn::N,сас,fog
5,Zahn::N,свах,fog
6,Zunge::N,мез,nyelv
7,Lippe::N,пӏуз,ajak
8,Wange::N,хъвехъ,orca
9,Gesicht::N,ччин,arc
10,Stirn::N,пел,homlok
11,Haar::N,чӏар,haj
12,Schnurrbart::N,спел,bajusz
13,Schnurrbart::N,спелар,bajusz
14,Bart::N,ччуру,szakáll
15,Kinn::N,чене,áll
16,Kiefer[Anatomie]::N,чене,állkapocs
17,Kehle::N,туьд,gége
18,Kehle::N,туьд,torok
19,Hals::N,гардан,nyak
20,Genick::N,кьам,tarkó
21,Kopf::N,кьил,fő
22,Kopf::N,кьил,fej
23,Rücken::N,далу,hát
24,Bauch::N,руфун,has
25,Nabel::N,пицӏ,köldök
26,Busen::N,мам,mell
27,Busen::N,мам,kebel
28,Brust::N,хур,mell
29,Schulter::N,къуьн,váll
30,Arm::N,гъил,kar
31,Ellenbogen::N,кьуьнт,könyök
32,Hand::N,капаш,kéz
33,Handfläche::N,капан юкь,tenyér
34,Finger::N,тӏуб,ujj
35,Fingernagel::N,кек,köröm
36,Nagel[Anatomie]::N,кек,köröm
37,Zeh::N,кул,lábujj
38,Fuß::N,кӏвач,láb
39,Ferse::N,дабан,sarok
40,Knie::N,мет,térd
41,Bein::N,кӏвач,láb
42,Bein::N,кӏвач,lábszár
43,Körper::N,беден,test
44,Haut::N,хам,bőr
45,Blut::N,иви,vér
46,Ader::N,дамар,ér
47,Sehne::N,кьуру дамар,ín
48,Knochen::N,кӏараб,csont
49,Gehirn::N,мефт,agy
50,Gehirn::N,мефт,agyvelő
51,Herz::N,рикӏ,szív
52,Magen::N,хук,gyomor
53,Leber::N,лекь,máj
54,Atem::N,ял,lehelet
55,Atem::N,ял,lélegzet
56,Atem::N,нефес,lehelet
57,Atem::N,нефес,lélegzet
58,Hunger::N,каш,éhség
59,Träne::N,вилин нагъв,könny
60,Geschmack::N,дад,íz
61,Geschmack::N,тӏям,íz
62,Geruch::N,ни,szag
63,Schlaf::N,ахвар,álom
64,Schlaf::N,ахвар,alvás
65,Traum::N,ахвар,álom
66,Himmel::N,цав,ég
67,Himmel::N,цав,menny
68,Sonne::N,рагъ,nap
69,Mond::N,варз,hold
70,Stern::N,гъед,csillag
71,Luft::N,гьава,levegő
72,Wind::N,гар,szél
73,Welle::N,лепе,hullám
74,Wasser::N,яд,víz
75,Stein::N,къван,kő
76,Boden::N,накьв,föld
77,Boden::N,накьв,talaj
78,Erde::N,ччил,föld
79,Staub::N,руг,por
80,Rauch::N,гум,füst
81,Funke::N,цӏелхем,szikra
82,Feuer::N,цӏай,tűz
83,Licht::N,экв,fény
84,Schatten::N,серин,árnyék
85,Wetter::N,гьава,idő
86,Wetter::N,гьава,időjárás
87,Nebel::N,ччилин циф,köd
88,Wolke::N,циф,felhő
89,Regen::N,марф,eső
90,Schnee::N,жив,hó
91,Eis::N,мурк,jég
92,Frost::N,аяз,fagy
93,Kälte::N,мекь,hideg
94,Kälte::N,мекьивал,hideg
95,Hitze::N,зегьем,hő
96,Hitze::N,зегьем,hőség
97,Raureif::N,къирав,zúzmara
98,Regenbogen::N,яргъируш,szivárvány
99,Donner::N,цавун ван,dörgés
100,Donner::N,цавун ван,mennydörgés
101,Tropfen::N,стӏал,csepp
102,Schaum::N,каф,hab
103,Schaum::N,каф,tajték
104,Schmutz::N,чирк,piszok
105,Schmutz::N,кьуруш,piszok
106,See::N,вир,tó
107,Sumpf::N,уьлен,mocsár
108,Wiese::N,векь,rét
109,Wiese::N,векь,mező
110,Wald::N,там,erdő
111,Hügel::N,кӏунтӏ,domb
112,Anhöhe::N,тепе,magaslat
113,Anhöhe::N,гьуьндуьрвал,magaslat
114,Berg::N,дагъ,hegy
115,Gipfel::N,кӏукӏ,csúcs
116,Höhle::N,кьветӏ,barlang
117,Abhang::N,гуьне,lejtő
118,Quelle::N,чешме,forrás
119,Bach::N,булах,patak
120,Fluss::N,вацӏ,folyó
121,Ufer::N,къерех,part
122,Küste::N,къерех,tengerpart
123,Festland::N,кьурамат,szárazföld
124,Meer::N,гьуьл,tenger
125,Bucht::N,бухта,öböl
126,Insel::N,остров,sziget
127,Blume::N,цуьк,virág
128,Gras::N,хъач,fű
129,Wurzel::N,дувул,gyökér
130,Baum::N,ттар,fa
131,Stamm::N,тан,tő
132,Stamm::N,тан,törzs
133,Rinde::N,чкал,kéreg
134,Ast::N,тӏур,ág
135,Zweig::N,хел,gally
136,Blatt::N,пеш,levél
137,Birke::N,верх,nyír
138,Kiefer[Baum]::N,шамагъаж,fenyő
139,Weide[Baum]::N,цӏвелин ттар,fűz
140,Tanne::N,ель,fenyő
141,Horn::N,карч,szarv
142,Feder::N,цӏакул,toll
143,Fell::N,хам,szőr
144,Fell::N,хам,bunda
145,Flügel::N,лув,szárny
146,Klaue::N,къармах,köröm
147,Kralle::N,пац,karom
148,Kralle::N,тапас,karom
149,Schwanz::N,ттум,farok
150,Ei::N,кака,tojás
151,Nest::N,муг,fészek
152,Bau::N,тӏеквен,odú
153,Tier::N,гьайван,állat
154,Herde::N,суьруь,nyáj
155,Herde::N,суьруь,csorda
156,Kuh::N,ккал,tehén
157,Bulle::N,яц,bika
158,Bulle::N,бугъа,bika
159,Pferd::N,балкӏан,ló
160,Schaf::N,хеб,juh
161,Schaf::N,хеб,birka
162,Schwein::N,вак,sertés
163,Hund::N,кицӏ,eb
164,Hund::N,кицӏ,kutya
165,Katze::N,кац,macska
166,Bär::N,сев,medve
167,Eichhörnchen::N,белка,mókus
168,Elch::N,лось,jávorszarvas
169,Fuchs::N,сикӏ,róka
170,Hase::N,къуьр,nyúl
171,Maus::N,кьиф,egér
172,Wolf::N,жанавур,farkas
173,Vogel::N,луван ничхир,madár
174,Schwarm::N,луж,raj
175,Huhn::N,верч,tyúk
176,Hahn::N,кӏек,kakas
177,Gans::N,къаз,lúd
178,Gans::N,къаз,liba
179,Adler::N,лекь,sas
180,Ente::N,пӏатӏ,kacsa
181,Eule::N,тӏиб,bagoly
182,Kranich::N,дурна,daru
183,Krähe::N,къаргъа,varjú
184,Kuckuck::N,кукупӏ,kakukk
185,Schwan::N,къугь,hattyú
186,Fisch::N,гъед,hal
187,Barsch::N,окунь,sügér
188,Hecht::N,щука,csuka
189,Schlange[Tier]::N,илан,kígyó
190,Schlange[Tier]::N,гъуьлягъ,kígyó
191,Wurm::N,квак,kukac
192,Spinne::N,хуьшрекан,pók
193,Ameise::N,цегв,hangya
194,Laus::N,нет,tetű
195,Mücke::N,ветӏ,szúnyog
196,Fliege::N,тӏветӏ,légy
197,Schmetterling::N,чепелукь,lepke
198,Schmetterling::N,чепелукь,pillangó
199,Beere::N,куьлуь емиш,bogyó
200,Apfel::N,ич,alma
201,Pilz::N,къарникъуз,gomba
202,Zwiebel::N,чичӏек,hagyma
203,Saat::N,тумар,vetőmag
204,Korn::N,твар,mag
205,Korn::N,твар,szem
206,Heu::N,векь,széna
207,Heu::N,векьер,széna
208,Schale::N,пириш,héj
209,Schale::N,хъуьруьш,héj
210,Grube::N,фур,verem
211,Falle::N,ракьар,csapda
212,Schlinge::N,гьалкъа,tőr
213,Spur::N,гел,nyom
214,Asche::N,руьхъ,hamu
215,Dreck::N,чирк,sár
216,Dreck::N,чирк,piszok
217,Dreck::N,кьуруш,sár
218,Dreck::N,кьуруш,piszok
219,Eisen::N,ракь,vas
220,Gold::N,алтун,arany
221,Silber::N,гимиш,ezüst
222,Kohle::N,цӏивин,szén
223,Glas::N,шуьше,üveg
224,Lehm::N,ччеб,agyag
225,Lehm::N,ччеб,vályog
226,Sand::N,къум,homok
227,Mensch::N,инсан,ember
228,Mann::N,итим,úr
229,Mann::N,итим,férfi
230,Frau::N,паб,nő
231,Frau::N,паб,asszony
232,Frau::N,дишегьли,nő
233,Frau::N,дишегьли,asszony
234,Kind::N,аял,gyerek
