,Concept_ID,nl,fa
0,Auge::N,oog,چشم
1,Ohr::N,oor,گوش
2,Nase::N,neus,بینی
3,Mund::N,mond,دهان
4,Zahn::N,tand,دندان
5,Zunge::N,tong,زبان
6,Lippe::N,lip,لب
7,Wange::N,wang,لپ
8,Gesicht::N,gelaat,رو
9,Gesicht::N,gelaat,چهره
10,Gesicht::N,gezicht,رو
11,Gesicht::N,gezicht,چهره
12,Stirn::N,voorhoofd,پیشانی
13,Haar::N,haar,مو
14,Schnurrbart::N,snor,سبیل
15,Bart::N,baard,ریش
16,Kinn::N,kin,چانه
17,Kiefer[Anatomie]::N,kaak,فک
18,Kiefer[Anatomie]::N,kaak,آرواره
19,Kehle::N,keel,حلق
20,Kehle::N,strot,حلق
21,Hals::N,hals,گردن
22,Genick::N,nek,پشت گردن
23,Kopf::N,hoofd,سر
24,Kopf::N,hoofd,کله
25,Rücken::N,rug,پشت
26,Bauch::N,buik,شکم
27,Nabel::N,navel,ناف
28,Busen::N,boezem,پستان
29,Brust::N,borst,سینه
30,Schulter::N,schouder,دوش
31,Schulter::N,schouder,شانه
32,Arm::N,arm,بازو
33,Ellenbogen::N,elleboog,آرنج
34,Hand::N,hand,دست
35,Handfläche::N,handpalm,کف دست
36,Finger::N,vinger,انگشت
37,Fingernagel::N,nagel,ناخن دست
38,Nagel[Anatomie]::N,nagel,ناخن
39,Zeh::N,teen,انگشت پا
40,Fuß::N,voet,پا
41,Ferse::N,hak,پاشنه
42,Ferse::N,hiel,پاشنه
43,Knie::N,knie,زانو
44,Oberschenkel::N,dij,ران
45,Bein::N,been,پا
46,Bein::N,been,لنگ
47,Körper::N,lichaam,تن
48,Körper::N,lichaam,بدن
49,Haut::N,huid,پوست
50,Blut::N,bloed,خون
51,Ader::N,ader,رگ
52,Sehne::N,pees,زردپی
53,Knochen::N,bot,استخوان
54,Knochen::N,been,استخوان
55,Knochen::N,knook,استخوان
56,Gehirn::N,hersenen,مخ
57,Gehirn::N,hersenen,مغز
58,Herz::N,hart,دل
59,Herz::N,hart,قلب
60,Magen::N,maag,معده
61,Leber::N,lever,کبد
62,Atem::N,adem,نفس
63,Hunger::N,honger,گرسنگی
64,Träne::N,traan,اشک
65,Geschmack::N,smaak,مزه
66,Geruch::N,geur,بو
67,Schlaf::N,slaap,خواب
68,Traum::N,droom,رؤیا
69,Himmel::N,hemel,فلک
70,Himmel::N,hemel,آسمان
71,Sonne::N,zon,آفتاب
72,Sonne::N,zon,خورشید
73,Mond::N,maan,ماه
74,Stern::N,ster,ستاره
75,Luft::N,lucht,هوا
76,Wind::N,wind,باد
77,Welle::N,golf,موج
78,Wasser::N,water,آب
79,Stein::N,steen,سنگ
80,Boden::N,grond,زمین
81,Erde::N,aarde,خاک
82,Erde::N,aarde,زمین
83,Staub::N,stof,گرد
84,Staub::N,stof,غبار
85,Rauch::N,rook,دود
86,Funke::N,vonk,جرقه
87,Feuer::N,vuur,آتش
88,Licht::N,licht,نور
89,Licht::N,licht,روشنی
90,Schatten::N,schaduw,سایه
91,Wetter::N,weer,هوا
92,Nebel::N,mist,مه
93,Nebel::N,nevel,مه
94,Wolke::N,wolk,ابر
95,Regen::N,regen,باران
96,Schnee::N,sneeuw,برف
97,Eis::N,ijs,یخ
98,Frost::N,vorst,یخبندان
99,Kälte::N,kou,سرما
100,Kälte::N,koude,سرما
101,Hitze::N,hitte,گرما
102,Hitze::N,hitte,حرارت
103,Raureif::N,rijp,برف ریزه
104,Regenbogen::N,regenboog,رنگین‌کمان
105,Donner::N,donder,رعد
106,Strömung::N,stroming,جریان
107,Tropfen::N,druppel,قطره
108,Schaum::N,schuim,کف
109,Schmutz::N,vuil,گل
110,Schmutz::N,vuil,کثافت
111,See::N,meer,دریاچه
112,Sumpf::N,moeras,مرداب
113,Sumpf::N,moeras,باتلاق
114,Moor::N,veen,باتلاق
115,Wiese::N,wei,چمن
116,Wiese::N,weide,چمن
117,Wald::N,bos,جنگل
118,Hügel::N,heuvel,تل
119,Hügel::N,heuvel,تپه
120,Anhöhe::N,hoogte,بلندی
121,Berg::N,berg,کوه
122,Gipfel::N,top,قله
123,Höhle::N,hol,غار
124,Abhang::N,helling,سرازیری
125,Quelle::N,bron,چشمه
126,Bach::N,beek,نهر
127,Fluss::N,stroom,رود
128,Ufer::N,wal,ساحل
129,Ufer::N,wal,کرانه
130,Ufer::N,oever,ساحل
131,Ufer::N,oever,کرانه
132,Küste::N,kust,ساحل
133,Festland::N,vasteland,خشکی
134,Meer::N,zee,دریا
135,Bucht::N,baai,خلیج
136,Bucht::N,inham,خلیج
137,Insel::N,eiland,جزیره
138,Blume::N,bloem,گل
139,Gras::N,gras,علف
140,Wurzel::N,wortel,ریشه
141,Baum::N,boom,درخت
142,Stamm::N,stam,تنه
143,Rinde::N,schors,توژ
144,Rinde::N,schors,پوست
145,Ast::N,tak,شاخه
146,Zweig::N,twijg,شاخه
147,Blatt::N,blad,برگ
148,Birke::N,berk,غان
149,Kiefer[Baum]::N,den,کاج
150,Weide[Baum]::N,wilg,بید
151,Tanne::N,spar,صنوبر
152,Horn::N,hoorn,شاخ
153,Feder::N,veer,پر
154,Feder::N,pluim,پر
155,Fell::N,vel,خز
156,Flügel::N,vleugel,پر
157,Flügel::N,vleugel,بال
158,Klaue::N,klauw,چنگ
159,Klaue::N,klauw,پنجه
160,Kralle::N,klauw,پنجه
161,Schwanz::N,staart,دم
162,Ei::N,ei,تخم
163,Nest::N,nest,لانه
164,Bau::N,hol,بنا
165,Bau::N,hol,ساختمان
166,Tier::N,dier,هیوان
167,Herde::N,kudde,رمه
168,Kuh::N,koe,گاو
169,Bulle::N,stier,گاو نر
170,Pferd::N,paard,اسب
171,Schaf::N,schaap,گوسفند
172,Schwein::N,varken,خوک
173,Hund::N,hond,سگ
174,Katze::N,kat,گربه
175,Bär::N,beer,خرس
176,Eichhörnchen::N,eekhoorntje,سنجاب
177,Elch::N,eland,گوزن شمالی
178,Fuchs::N,vos,روباه
179,Hase::N,haas,خرگوش
180,Maus::N,muis,موش
181,Wolf::N,wolf,گرگ
182,Vogel::N,vogel,پرنده
183,Schwarm::N,zwerm,دسته
184,Huhn::N,kip,مرغ
185,Huhn::N,hoen,مرغ
186,Hahn::N,haan,خروس
187,Gans::N,gans,غاز
188,Adler::N,arend,عقاب
189,Ente::N,eend,اردک
190,Ente::N,eend,مرغابی
191,Eule::N,uil,جغد
192,Kranich::N,kraanvogel,درنا
193,Krähe::N,kraai,زاغ
194,Krähe::N,kraai,کلاغ
195,Kuckuck::N,koekoek,فاخته
196,Schwan::N,zwaan,قو
197,Fisch::N,vis,ماهی
198,Barsch::N,baars,ماهی خاردار
199,Hecht::N,snoek,اردک ماهی
200,Schlange[Tier]::N,slang,مار
201,Wurm::N,worm,کرم
202,Spinne::N,spin,عنکبوت
203,Ameise::N,mier,مورچه
204,Laus::N,luis,شپش
205,Mücke::N,mug,پشه
206,Fliege::N,vlieg,مگس
207,Schmetterling::N,vlinder,پروانه
208,Beere::N,bes,گیله
209,Apfel::N,appel,سیب
210,Pilz::N,paddestoel,قارچ
211,Zwiebel::N,ui,پیاز
212,Saat::N,zaad,بذر
213,Korn::N,graan,تخم
214,Korn::N,graan,دانه
215,Korn::N,korrel,تخم
216,Korn::N,korrel,دانه
217,Heu::N,hooi,علف خشک
218,Schale::N,schil,پوست
219,Grube::N,kuil,گودال
220,Falle::N,val,دام
221,Schlinge::N,strop,حلقه
222,Spur::N,spoor,رد
223,Asche::N,as,خاکستر
224,Dreck::N,drek,کثافت
225,Eisen::N,ijzer,آهن
226,Gold::N,goud,زر
227,Gold::N,goud,طلا
228,Silber::N,zilver,نقره
229,Kohle::N,kool,زغال
230,Glas::N,glas,شیشه
231,Lehm::N,klei,گل
232,Sand::N,zand,شن
233,Sand::N,zand,ماسه
234,Mensch::N,mens,آدم
235,Mensch::N,mens,انسان
236,Mann::N,man,مرد
237,Frau::N,vrouw,زن
238,Kind::N,kind,بچه
239,Kind::N,kind,کودک
240,Junge::N,jongen,پسر
241,Mädchen::N,meisje,دختر
242,Familie::N,gezin,فامیل
243,Familie::N,gezin,خانواده
244,Familie::N,familie,فامیل
245,Familie::N,familie,خانواده
246,Großvater::N,grootvader,پدربزرگ
247,Großmutter::N,grootmoeder,مادر‌بزرگ
248,Eltern::N,ouders,والدین
249,Eltern::N,ouders,پدر‌و‌مادر
250,Vater::N,vader,پدر
251,Mutter::N,moeder,مادر
252,Sohn::N,zoon,پسر
