,Concept_ID,ml,ab
0,Auge::N,കണ്ണ്,ала
1,Ohr::N,ചെവി,алымҳа
2,Nase::N,മൂക്ക്,аҧынҵа
3,Mund::N,വായ,аҧышə
4,Zahn::N,പല്ല്,ахаҧыц
5,Zunge::N,നാക്ക്,абз
6,Lippe::N,ചുണ്ട്,ақьышə
7,Wange::N,കവിൾത്തടം,аӡамҩа
8,Gesicht::N,മുഖം,аҿы
9,Stirn::N,നെറ്റി,алахь
10,Haar::N,തലമുടി,ахəыц
11,Schnurrbart::N,മീശ,аҧаҵа
12,Bart::N,താടിരോമം,ажакьа
13,Kinn::N,താടി,ацламкəыгə
14,Kiefer[Anatomie]::N,താടിയെല്ല്,ацламҳəа
15,Kehle::N,കണ്ഠനാളം,ахəда
16,Hals::N,കഴുത്ത്,ахəда
17,Genick::N,പിടലി,ахəдаџьал
18,Kopf::N,തല,ахы
19,Rücken::N,മുതുക്,азқəа
20,Bauch::N,നയറ്,амгəа
21,Nabel::N,നാഭി,аҷапан
22,Busen::N,സ്തനം,агəыҧҳəы
23,Brust::N,സ്തനം,агəышҧы
24,Schulter::N,തോൾ,ажəҩахыр
25,Arm::N,കൈ,амахəар
26,Ellenbogen::N,കൈമുട്ട്,амашьхəылҵ
27,Hand::N,കൈ,анапы
28,Handfläche::N,ഉള്ളം കൈ,анапсаргəыҵа
29,Finger::N,വിരൽ,анацəа
30,Fingernagel::N,നഖം,анапхыц
31,Nagel[Anatomie]::N,നഖം,ашьапхыц
32,Zeh::N,കാൽവിരൽ,ашьацəа
33,Fuß::N,കാൽപ്പാദം,ашьапсыргəыҵа
34,Ferse::N,ഉപ്പൂറ്റി,ашьхəа
35,Knie::N,കാൽമുട്ട്,ашьамхы
36,Oberschenkel::N,തുട,ауаҭəа
37,Bein::N,കാൽ,ашьапы
38,Körper::N,ശരീരം,ацəеижь
39,Haut::N,ചർമ്മം,ацəа
40,Blut::N,രക്തം,ашьа
41,Ader::N,ഞരമ്പ്,ада
42,Sehne::N,സ്നായു,адаш
43,Knochen::N,അസ്ഥി,абаҩ
44,Gehirn::N,തലച്ചോറ്,ахшлыбаҩ
45,Gehirn::N,തലച്ചോറ്,ахшыбаҩ
46,Herz::N,ഹൃദയം,агəы
47,Magen::N,വയർ,аца
48,Magen::N,വയർ,ацар
49,Leber::N,കരൾ,агəаҵəа
50,Atem::N,ശ്വാസം,аҧсыҧлагаҩгара
51,Hunger::N,വിശപ്പ്,амла
52,Träne::N,കണ്ണീർ,алабжыш
53,Geschmack::N,രുചി,агьама
54,Geruch::N,ഗന്ധം,афҩы
55,Schlaf::N,ഉറകും,ацəа
56,Traum::N,സ്വപ്നം,аҧхыӡ
57,Himmel::N,ആകാശം,ажəҩан
58,Sonne::N,സൂര്യൻ,амра
59,Mond::N,ചന്ദ്രൻ,амза
60,Stern::N,നക്ഷത്രം,аеҵəа
61,Luft::N,കാറ്റ്,аҳаир
62,Wind::N,കാറ്റ്,аҧша
63,Welle::N,തിരമാല,ацəқəырҧа
64,Wasser::N,വെള്ളം,аӡы
65,Stein::N,ശില,ахаҳə
66,Stein::N,കല്ല്,ахаҳə
67,Boden::N,തറ,адгьыл
68,Boden::N,നിലം,адгьыл
69,Erde::N,മണ്ണ്,адгьыл
70,Staub::N,പൊടി,асаба
71,Rauch::N,പുക,алҩа
72,Funke::N,തീപ്പൊരി,акəиц
73,Funke::N,തീപ്പൊരി,ацҧхь
74,Feuer::N,തീ,амца
75,Licht::N,വിളക്ക്,алашара
76,Licht::N,സൂര്യപ്രകാശം,алашара
77,Schatten::N,തണൽ,ашəшьыра
78,Wetter::N,കാലാവസ്ഥ,амш
79,Nebel::N,മൂടൽമഞ്ഞ്,анаҟəа
80,Wolke::N,മേഘം,аҧсҭҳəа
81,Regen::N,മഴ,ақəа
82,Schnee::N,മഞ്ഞ്,асы
83,Eis::N,ഐസ്,аҵаа
84,Frost::N,മൂടൽമഞ്ഞ്,аҵаа
85,Kälte::N,തണുപ്പ്,ахьҭа
86,Hitze::N,ചൂട്,ашоура
87,Raureif::N,കോടമഞ്ഞ്,аҵааҧшқа
88,Regenbogen::N,മഴവില്ല്,ацəаҟəа
89,Donner::N,ഇടി,адыд
90,Strömung::N,പ്രവാഹം,аиасра
91,Strömung::N,പ്രവാഹം,амҩасра
92,Tropfen::N,തുള്ളി,ацəыкəбар
93,Schaum::N,നുര,ашəах
94,Schmutz::N,അഴുക്ക്,алымт
95,See::N,തടാകം,аӡиа
96,Sumpf::N,ചതുപ്പുനിലം,аӡмах
97,Moor::N,പാഴ്നിലം,
98,Wiese::N,പുൽത്തകിടി,адəы
99,Wald::N,വനം,абна
100,Wald::N,കാട്,абна
101,Hügel::N,കുന്ന്,ахəы
102,Anhöhe::N,ഉയർന്ന ഭൂമി,аҳаракыра
103,Berg::N,പർവ്വതം,ашьха
104,Gipfel::N,ഉച്ചകോടി,ацəқəа
105,Höhle::N,ഗുഹ,аҳаҧы
