,Concept_ID,ady,en
0,Auge::N,нэ,eye
1,Ohr::N,тхьакӏу́м,ear
2,Nase::N,пэ,nose
3,Mund::N,жэ,mouth
4,Zahn::N,цэ,tooth
5,Zunge::N,бзэгу,tongue
6,Lippe::N,ӏупшӏэ́,lip
7,Wange::N,нэкӏу́шъу,cheek
8,Gesicht::N,нэ́гу,face
9,Stirn::N,натӏэ́,forehead
10,Haar::N,шъхьацы́,hair
11,Bart::N,жакӏэ́,beard
12,Kinn::N,жэкӏэпэпкъ,chin
13,Kiefer[Anatomie]::N,жэпкъы́,jaw
14,Kehle::N,чый,throat
15,Hals::N,пшъэ,neck
16,Genick::N,шъхьэпхэтыку,nape
17,Kopf::N,шъхьэ́,head
18,Rücken::N,кӏыбы́,back
19,Rücken::N,кӏыбы́,spine
20,Bauch::N,ныбэ́,belly
21,Busen::N,бгъэ́,bosom
22,Brust::N,бгъэ́,chest
23,Brust::N,бгъэ́,breast
24,Schulter::N,блыпкъ,shoulder
25,Arm::N,ӏэ,arm
26,Ellenbogen::N,ӏэнтэ́гъу,elbow
27,Hand::N,ӏэтхьэцу,hand
28,Handfläche::N,ӏэ́гу,palm
29,Finger::N,ӏэхъуа́мб,finger
30,Fingernagel::N,ӏэбжъа́н,fingernail
31,Nagel[Anatomie]::N,ӏэбжъа́н,nail
32,Zeh::N,ӏэхъуа́мб,toe
33,Fuß::N,лъэгу,foot
34,Ferse::N,лъэдакъэ,heel
35,Knie::N,лъагуа́ндж,knee
36,Oberschenkel::N,ко,thigh
37,Bein::N,лъакъо́,leg
38,Körper::N,пкъышъол,body
39,Haut::N,кӏы́шъу,skin
40,Blut::N,лъы,blood
41,Ader::N,льытф,vein
42,Sehne::N,фэ,sinew
43,Knochen::N,къупшъхьэ́,bone
44,Gehirn::N,куцӏы,brain
45,Herz::N,гу,heart
46,Magen::N,мышкӏу,stomach
47,Leber::N,шӏу,liver
48,Atem::N,къэщэныр,breath
49,Hunger::N,гъаблэ́,hunger
50,Träne::N,нэпсы,tear
51,Geschmack::N,ӏэшӏугъа́кӏ,flavour
52,Geschmack::N,ӏэшӏугъа́кӏ,flavor
53,Geruch::N,мэ,odour
54,Geruch::N,мэ,odor
55,Schlaf::N,пчыхьы́пӏ,sleep
56,Traum::N,пчыхьы́пӏ,dream
57,Himmel::N,уашъо́,sky
58,Sonne::N,тыгъэ,sun
59,Mond::N,мазэ,moon
60,Stern::N,жъуагъо́,star
61,Luft::N,жьы,air
62,Wind::N,жьыбгъэ́,wind
63,Welle::N,ор,wave
64,Welle::N,оры,wave
65,Wasser::N,псы,water
66,Stein::N,мыжъо́,stone
67,Boden::N,чӏ́ыгу,soil
68,Boden::N,чӏ́ыгу,ground
69,Erde::N,чӏ́ыгу,earth
70,Staub::N,сап,dust
71,Rauch::N,ӏугъо́,smoke
72,Funke::N,мэшӏуа́ч,spark
73,Feuer::N,машӏо́,fire
74,Licht::N,нэфы,light
75,Licht::N,нэфын,light
76,Schatten::N,жьау́,shadow
77,Schatten::N,ныбжьыкъу,shadow
78,Nebel::N,пща́гъу,fog
79,Wolke::N,ошъуапщэ,cloud
80,Regen::N,ощхы,rain
81,Schnee::N,осы́,snow
82,Eis::N,мылы,ice
83,Kälte::N,чъыӏэ́,chill
84,Hitze::N,фэба́е,heat
85,Regenbogen::N, лэгъупэкъо́пс,rainbow
86,Donner::N,шыблэ́,thunder
87,Strömung::N,ток,current
88,Tropfen::N,ткӏопс,drop
89,Tropfen::N,гъуаткӏу,drop
90,Schaum::N,тхъурбэ,foam
91,Schmutz::N,псынжъы,dirt
92,See::N,хыку́м,lake
93,See::N,псыхъура́й,lake
94,Sumpf::N,орыжъ,swamp
95,Moor::N,орыжъ,moor
96,Wiese::N,хъупӏэ́,meadow
97,Wiese::N,мэкъупӏ,meadow
98,Wald::N,мэзы́,forest
99,Hügel::N,ӏуашъхь,hill
100,Anhöhe::N,чӏыӏэтыгъ,elevation
101,Berg::N,къушъхьэ́,mountain
102,Gipfel::N,шыгу,summit
103,Höhle::N,гъочӏэгъ,cave
104,Abhang::N,чапэ,slope
105,Quelle::N,псынэчэ́чъ,source
106,Bach::N,псышкуашку,brook
107,Fluss::N,псыхъо́,river
108,Ufer::N,нэпкъы,shore
109,Küste::N,ӏушъо,coast
110,Festland::N,чӏл́ыгу,land
111,Meer::N,хы,sea
