,Concept_ID,uz,lez
0,Auge::N,ko'z,вил
1,Ohr::N,quloq,яб
2,Nase::N,burun,нер
3,Mund::N,og'iz,сив
4,Zahn::N,tish,сас
5,Zahn::N,tish,свах
6,Zunge::N,til,мез
7,Lippe::N,dudoq,пӏуз
8,Wange::N,bet,хъвехъ
9,Gesicht::N,yuz,ччин
10,Stirn::N,manglay,пел
11,Haar::N,soch,чӏар
12,Schnurrbart::N,mo'ylov,спел
13,Schnurrbart::N,mo'ylov,спелар
14,Bart::N,soqol,ччуру
15,Kinn::N,ängak,чене
16,Kiefer[Anatomie]::N,iyak,чене
17,Kehle::N,bo'g'iz,туьд
18,Hals::N,bo'yin,гардан
19,Genick::N,gardan,кьам
20,Kopf::N,bosh,кьил
21,Rücken::N,orqa,далу
22,Bauch::N,qorin,руфун
23,Nabel::N,kindik,пицӏ
24,Busen::N,ämchak,мам
25,Brust::N,ko'krak,хур
26,Schulter::N,elka,къуьн
27,Arm::N,bilak,гъил
28,Ellenbogen::N,tirsak,кьуьнт
29,Hand::N,qo'l,капаш
30,Handfläche::N,kaft,капан юкь
31,Finger::N,barmoq,тӏуб
32,Fingernagel::N,tirnoq,кек
33,Nagel[Anatomie]::N,tirnoq,кек
34,Zeh::N,oyoq barmog'i,кул
35,Fuß::N,oyoq,кӏвач
36,Ferse::N,tovon,дабан
37,Knie::N,tiz,мет
38,Oberschenkel::N,son,
39,Bein::N,oyoq,кӏвач
40,Körper::N,badna,беден
41,Haut::N,teri,хам
42,Blut::N,qon,иви
43,Ader::N,qon tomir,дамар
44,Sehne::N,tomir,кьуру дамар
45,Knochen::N,suyak,кӏараб
46,Gehirn::N,miya,мефт
47,Herz::N,qalb,рикӏ
48,Magen::N,oshqozon,хук
49,Leber::N,bag'ir,лекь
50,Atem::N,dam,ял
51,Atem::N,dam,нефес
52,Hunger::N,ochlik,каш
53,Träne::N,yosh,вилин нагъв
54,Geschmack::N,tam,дад
55,Geschmack::N,tam,тӏям
56,Geruch::N,jid,ни
57,Schlaf::N,uyqu,ахвар
58,Traum::N,tush,ахвар
59,Himmel::N,osmon,цав
60,Sonne::N,quyosh,рагъ
61,Mond::N,oy,варз
62,Stern::N,yulduz,гъед
63,Luft::N,havo,гьава
64,Wind::N,el,гар
65,Welle::N,to'lqin,лепе
66,Wasser::N,suv,яд
67,Stein::N,tosh,къван
68,Boden::N,tuproq,накьв
69,Erde::N,er,ччил
70,Staub::N,chang,руг
71,Rauch::N,tutun,гум
72,Funke::N,yalt,цӏелхем
73,Feuer::N,o't,цӏай
74,Licht::N,yorug',экв
75,Schatten::N,soya,серин
76,Wetter::N,havo,гьава
77,Nebel::N,tuman,ччилин циф
78,Wolke::N,bulut,циф
79,Regen::N,yomg'ir,марф
80,Schnee::N,qor,жив
81,Eis::N,muz,мурк
82,Frost::N,ajoz,аяз
83,Kälte::N,ajoz,мекь
84,Kälte::N,ajoz,мекьивал
85,Hitze::N,issiq,зегьем
86,Raureif::N,qirov,къирав
87,Regenbogen::N,kamalak,яргъируш
88,Donner::N,guldur,цавун ван
89,Strömung::N,oqim,
90,Tropfen::N,tomchi,стӏал
91,Schaum::N,ko'pik,каф
92,Schmutz::N,gard,чирк
93,Schmutz::N,gard,кьуруш
94,See::N,ko'l,вир
95,Sumpf::N,botqoq,уьлен
96,Moor::N,qir-adir,
97,Wiese::N,o'tzor,векь
98,Wald::N,o'rmon,там
99,Hügel::N,tepa,кӏунтӏ
100,Anhöhe::N,adir,тепе
101,Anhöhe::N,adir,гьуьндуьрвал
102,Berg::N,tog',дагъ
103,Gipfel::N,cho'qqi,кӏукӏ
104,Höhle::N,kavak,кьветӏ
105,Abhang::N,to'sh,гуьне
106,Quelle::N,buloq,чешме
107,Bach::N,o'zan,булах
108,Fluss::N,daryo,вацӏ
109,Ufer::N,sohil,къерех
110,Küste::N,qirg'oq,къерех
111,Festland::N,materik,кьурамат
112,Meer::N,dengiz,гьуьл
113,Bucht::N,qo'ltiq,бухта
114,Insel::N,orol,остров
115,Blume::N,gul,цуьк
116,Gras::N,sabza,хъач
117,Wurzel::N,tub,дувул
118,Wurzel::N,tomir,дувул
119,Baum::N,daraxt,ттар
120,Stamm::N,o'simta,тан
121,Rinde::N,qobiq,чкал
122,Ast::N,shox,тӏур
123,Zweig::N,butoq,хел
124,Blatt::N,barg,пеш
125,Birke::N,qayin,верх
126,Kiefer[Baum]::N,qarag'ay,шамагъаж
127,Weide[Baum]::N,shum,цӏвелин ттар
128,Tanne::N,archa,ель
129,Horn::N,mugiz,карч
130,Feder::N,par,цӏакул
131,Fell::N,mo'yna,хам
132,Flügel::N,qanot,лув
133,Klaue::N,tirnoq,къармах
134,Kralle::N,tirnoq,пац
135,Kralle::N,tirnoq,тапас
136,Schwanz::N,quyruq,ттум
137,Ei::N,tuxum,кака
138,Nest::N,oshyon,муг
139,Bau::N,o'pqon,тӏеквен
140,Tier::N,hayvon,гьайван
141,Herde::N,gala,суьруь
142,Kuh::N,inak,ккал
143,Bulle::N,ho'kiz,яц
144,Bulle::N,ho'kiz,бугъа
145,Pferd::N,ot,балкӏан
146,Schaf::N,qo'y,хеб
147,Schwein::N,cho'chqa,вак
148,Hund::N,it,кицӏ
149,Katze::N,mushuk,кац
150,Bär::N,ayiq,сев
151,Eichhörnchen::N,tiyin,белка
152,Elch::N,los,лось
153,Fuchs::N,tulki,сикӏ
154,Hase::N,kuyon,къуьр
155,Maus::N,sichqon,кьиф
156,Wolf::N,bo'ri,жанавур
157,Vogel::N,qush,луван ничхир
158,Schwarm::N,to'da,луж
159,Huhn::N,tovuq,верч
160,Hahn::N,xo'roz,кӏек
161,Gans::N,g'oz,къаз
162,Adler::N,burgut,лекь
163,Ente::N,o'rdak,пӏатӏ
164,Eule::N,boyo'g'li,тӏиб
165,Kranich::N,turna,дурна
166,Krähe::N,qarg'a,къаргъа
167,Kuckuck::N,kakku,кукупӏ
168,Schwan::N,oqkush,къугь
169,Fisch::N,baliq,гъед
170,Barsch::N,olabug'a,окунь
171,Hecht::N,cho'rtan,щука
172,Schlange[Tier]::N,ilon,илан
173,Schlange[Tier]::N,ilon,гъуьлягъ
174,Wurm::N,qurt,квак
175,Spinne::N,o'rgimchak,хуьшрекан
176,Ameise::N,chumoli,цегв
177,Laus::N,bit,нет
178,Mücke::N,chivin,ветӏ
179,Fliege::N,pashsha,тӏветӏ
180,Schmetterling::N,kapalak,чепелукь
181,Beere::N,meva,куьлуь емиш
182,Apfel::N,olma,ич
183,Pilz::N,qo'ziqorin,къарникъуз
184,Zwiebel::N,piyoz,чичӏек
185,Saat::N,äkin,тумар
186,Korn::N,zarra,твар
187,Heu::N,xashak,векь
188,Heu::N,xashak,векьер
189,Schale::N,po'choq,пириш
190,Schale::N,po'choq,хъуьруьш
191,Grube::N,co'ra,фур
192,Falle::N,qopqon,ракьар
193,Schlinge::N,sirtmoq,гьалкъа
194,Spur::N,iz,гел
195,Asche::N,kul,руьхъ
196,Dreck::N,kir,чирк
197,Dreck::N,kir,кьуруш
198,Eisen::N,temir,ракь
199,Gold::N,tilla,алтун
200,Silber::N,kumush,гимиш
201,Kohle::N,ko'mir,цӏивин
202,Glas::N,oyna,шуьше
203,Lehm::N,loy,ччеб
204,Sand::N,qum,къум
205,Mensch::N,odam,инсан
206,Mann::N,ärkak,итим
207,Frau::N,ayol,паб
208,Frau::N,ayol,дишегьли
209,Kind::N,bola,аял
210,Kind::N,kichkintoy,аял
211,Junge::N,bola,гада
212,Mädchen::N,qiz,руш
213,Familie::N,oila,хзан
214,Familie::N,oila,килфет
215,Großvater::N,buva,чӏехи буба
216,Großvater::N,katta ota,чӏехи буба
217,Großmutter::N,buvi,чӏехи диде
218,Großmutter::N,katta oyi,чӏехи диде
219,Eltern::N,ota-ona,диде-буба
220,Vater::N,ota,буба
221,Mutter::N,ona,диде
222,Sohn::N,o'g'il,хва
223,Tochter::N,qiz,руш
224,Bruder::N,og'a,стха
225,Bruder::N,uka,стха
226,Schwester::N,opa,вах
227,Schwester::N,singil,вах
228,Onkel::N,amaki,ими
229,Onkel::N,amaki,халу
230,Tante::N,amma,эме
231,Tante::N,amma,хала
232,Tante::N,xola,эме
233,Tante::N,xola,хала
234,Ehemann::N,är,гъуьл
235,Ehefrau::N,rafiqa,паб
236,Freude::N,ayish,шадвал
237,Gelächter::N,kulgi,хъвер
238,Glück::N,saodat,бахт
239,Kummer::N,g'am,дерт
240,Kummer::N,g'am,хажалат
241,Wunsch::N,orzu,мурад
242,Lust::N,rag'bat,гьевес
243,Geist::N,ruh,руьгь
244,Gedanke::N,fikr,фикир
245,Gedächtnis::N,äs,
246,Verstand::N,aql,акьул
247,Sinn::N,ma'ni,мана
248,Grund::N,sabab,себеб
249,Wahrheit::N,haq,керчек
250,Wahrheit::N,haq,гьакъикъат
251,Gespräch::N,gap,ихтилат
252,Märchen::N,ärtak,мах
253,Erzählung::N,rivoyat,кьиса
254,Nachricht::N,xabar,хабар
255,Neuigkeit::N,yangilik,цӏийи хабар
256,Name::N,ot,тӏвар
257,Rätsel::N,topishmoq,мискӏал
258,Rede::N,nutq,рахун
259,Sprache::N,til,чӏал
260,Stimme::N,ovoz,ван
261,Wort::N,so'z,гаф
262,Zeichen::N,alomat,ишара
263,Ruf::N,chaqiriq,эвер
264,Lärm::N,taraq,ван-сес
265,Laut::N,tovush,ван
266,Laut::N,tovush,сес
267,Ton::N,un,ван-сес
268,Lied::N,ashula,мани
269,Ruhe::N,tinchlik,ласвал
270,Ruhe::N,tinchlik,фаракъат
271,Ruhe::N,tinchlik,асайиш
272,Leute::N,xaloyiq,инсанар
273,Volk::N,xalq,халкь
274,Arbeit::N,ish,кӏвалах
275,Gast::N,mehmon,мугьман
276,Geschenk::N,hadya,савкьат
277,Spiel::N,o'yin,къугъун
278,Gesellschaft::N,jamiyat,жемят
279,Gesellschaft::N,jamiyat,общество
280,Hilfe::N,yordam,куьмек
281,Freund::N,do'st,дуст
282,Kamerad::N,yo'ldosh,яр-дуст
283,Angelegenheit::N,daxl,кар
284,Anzahl::N,son,сан
285,Anzahl::N,son,кьадар
286,Art::N,tur,жуьре
287,Stück::N,parcha,кӏус
288,Teil::N,bo'lak,пай
289,Hälfte::N,yarim,зур
290,Hälfte::N,yarim,зур пай
291,Kreis::N,aylana,круг
292,Kreis::N,aylana,чкаяр
293,Kreis::N,aylana,элкъвей цӏар
294,Kreuz::N,xoch,хаш
295,Linie::N,liniya,цӏар
296,Strich::N,chiziq,цӏар
297,Abstand::N,oralik,ара
298,Entfernung::N,uzoqlik,мензил
299,Gegend::N,yer,чка
300,Platz::N,oralig,ара
301,Ort::N,joy,чка
302,Seite::N,yon,пад
303,Mitte::N,o'rta,юкь
304,Gegenstand::N,ashyo,затӏ
305,Sache::N,buyum,шей
306,Sache::N,buyum,затӏ
307,Rand::N,chek,къерех
308,Kante::N,tig',син
309,Ecke::N,burchak,пӏипӏ
310,Spitze::N,uch,кӏвенкӏв
311,Ende::N,oxir,кьил
312,Loch::N,teshik,тӏеквен
313,Winkel::N,go'sha,пӏипӏ
314,Muster::N,nusha,гишир
315,Größe::N,kattalik,кьадар
316,Länge::N,uzunlik,яргъивал
317,Höhe::N,yuksaklik,кьакьанвал
318,Gewicht::N,solmoq,заланвал
319,Menge::N,miqdor,кьадар
320,Haufen::N,uyum,хара
321,Reihe::N,saf,жерге
322,Boot::N,qayiq,луьткве
323,Ruder::N,äshkak,кьусу
324,Schlitten::N,chana,гъелерар
325,Ski::N,chang'i,
326,Lagerfeuer::N,gulxan,цӏай
327,Last::N,yuk,заланвал
328,Gang::N,yurish,ериш
329,Schritt::N,qadam,къадам
330,Norden::N,shimol,кефер
331,Norden::N,shimol,кефер пад
332,Süden::N,janub,кьибле
333,Westen::N,g'arb,рагъакӏидай пад
334,Osten::N,sharq,рагъэкъечӏдай пад
335,Holz::N,yog'och,кӏарас
336,Brett::N,taxta,кьул
337,Brett::N,taxta,тахта
338,Platte::N,tabaqa,
339,Stütze::N,tayanchi,даях
340,Stange::N,qo'noq,юрк
341,Stock::N,tayoq,лаш
342,Stab::N,gavron,юрк
343,Rohr::N,tarnov,турба
344,Haus::N,uy,ужагъ
345,Heim::N,makon,кӏвал
346,Ofen::N,pechka,пич
347,Fußboden::N,pol,кӏвалин ччил
348,Tisch::N,mosa,стол
349,Stuhl::N,o'rindiq,стул
350,Wiege::N,beshik,кьеб
351,Bett::N,yotoq,тахт
352,Regal::N,tokcha,кьацӏ
353,Kiste::N,sandiq,ящик
354,Fenster::N,deraza,дакӏар
355,Tür::N,äshik,рак
356,Tor::N,darvoza,варар
357,Zaun::N,panjara,пару
358,Dach::N,tom,къав
359,Leiter::N,narvon,гурар
360,Besen::N,supurgi,таран кул
361,Spaten::N,bel,ппер
362,Schaufel::N,kurak,хекендаз
363,Gabel::N,bilka,шиш
364,Löffel::N,qoshiq,тӏур
365,Messer::N,pichoq,чукӏул
366,Nagel::N,mix,мих
367,Netz::N,to'r,чил
368,Haken::N,ilgak,къармах
369,Griff::N,sop,ттум
370,Griff::N,tutqich,ттум
371,Schloss::N,qulf,куьлег
372,Bild::N,rasm,шикил
373,Bild::N,rasm,суьрет
374,Figur::N,shakl,фигура
375,Puppe::N,ko'g'irchoq,нини
376,Beutel::N,to'rva,тагъар
377,Bündel::N,bog'lam,галгам
378,Tasche::N,kissa,чанта
379,Eimer::N,chelak,ведре
380,Deckel::N,qopqoq,кьил
381,Deckel::N,qopqoq,къалпагъ
