,Concept_ID,bg,uk
0,Auge::N,око,око
1,Ohr::N,ухо,вухо
2,Nase::N,нос,ніс
3,Mund::N,уста,рот
4,Zahn::N,зъб,зуб
5,Zunge::N,език,язик
6,Lippe::N,устна,губа
7,Wange::N,буза,щока
8,Gesicht::N,лице,обличчя
9,Gesicht::N,образ,обличчя
10,Stirn::N,чело,лоб
11,Haar::N,коса,волосся
12,Haar::N,косъм,волосся
13,Schnurrbart::N,мустаци,вуса
14,Bart::N,брада,борода
15,Kinn::N,брада,підборіддя
16,Kinn::N,брадичка,підборіддя
17,Kiefer[Anatomie]::N,челюст,щелепа
18,Kehle::N,гърло,горло
19,Hals::N,врат,шия
20,Genick::N,тил,потилиця
21,Kopf::N,глава,голова
22,Rücken::N,гръб,спина
23,Bauch::N,корем,живіт
24,Nabel::N,пъп,пупок
25,Busen::N,бозка,груди
26,Brust::N,гръд,груди
27,Schulter::N,рамо,плече
28,Schulter::N,плещи,плече
29,Arm::N,ръка,рука
30,Ellenbogen::N,лакът,лікоть
31,Hand::N,ръка,рука
32,Hand::N,китка,рука
33,Handfläche::N,длан,долоня
34,Finger::N,пръст,палець
35,Fingernagel::N,нокът,ніготь
36,Nagel[Anatomie]::N,нокът,ніготь
37,Zeh::N,пръст на крак,палець на нозі
38,Fuß::N,крак,нога
39,Fuß::N,нога,нога
40,Ferse::N,пета,п’ятка
41,Knie::N,коляно,коліно
42,Oberschenkel::N,бедро,стегно
43,Bein::N,крак,нога
44,Bein::N,нога,нога
45,Körper::N,тяло,тіло
46,Haut::N,кожа,шкіра
47,Blut::N,кръв,кров
48,Ader::N,вена,вена
49,Ader::N,артерия,вена
50,Sehne::N,жила,сухожилля
51,Sehne::N,сухожилие,сухожилля
52,Knochen::N,кост,кістка
53,Gehirn::N,мозък,мозок
54,Herz::N,сърце,серце
55,Magen::N,стомах,шлунок
56,Leber::N,черен дроб,печінка
57,Atem::N,дишане,дихання
58,Hunger::N,глад,голод
59,Träne::N,сълза,сльоза
60,Geschmack::N,вкус,смак
61,Geruch::N,миризма,запах
62,Schlaf::N,сън,сон
