,Concept_ID,ja,ba
0,Auge::N,目,күҙ
1,Ohr::N,耳,ҡолаҡ
2,Nase::N,鼻,танау
3,Mund::N,口,ауыҙ
4,Zahn::N,歯,теш
5,Zunge::N,舌,тел
6,Lippe::N,唇,ирен
7,Wange::N,頬,яцаҡтар
8,Gesicht::N,顔,бит
9,Stirn::N,額,маңлай
10,Haar::N,髪,сәс
11,Schnurrbart::N,口髭,мылтыҡ
12,Bart::N,髭,һаҡал
13,Kinn::N,顎,эйэк
14,Kiefer[Anatomie]::N,顎,яңаҡ һөйәге
15,Kehle::N,喉,тамаҡ
16,Hals::N,首,муйын
17,Genick::N,首,соңҡа
18,Kopf::N,頭,баш
19,Rücken::N,背中,арҡа
20,Bauch::N,腹,ҡорһаҡ
21,Bauch::N,お腹,ҡорһаҡ
22,Nabel::N,へそ,кендек
23,Busen::N,乳房,күкрәк
24,Brust::N,胸,түш
25,Schulter::N,肩,яурын
26,Arm::N,腕,ҡул
27,Ellenbogen::N,肘,терһәк
28,Hand::N,手,ҡул
29,Hand::N,手,ҡул суғы
30,Handfläche::N,手のひら,ус төбө
31,Finger::N,指,бармаҡ
32,Fingernagel::N,爪,тырнаҡ
33,Nagel[Anatomie]::N,爪,тырнаҡ
34,Zeh::N,足の指,бармаҡ
35,Fuß::N,足,табан
36,Ferse::N,かかと,үксә
37,Knie::N,膝,тубыҡ
38,Oberschenkel::N,上腿,сандыр
39,Bein::N,足,аяҡ
40,Körper::N,体,тән
41,Haut::N,皮膚,тире
42,Blut::N,血,ҡан
43,Ader::N,血管,тамыр
44,Sehne::N,腱,һеңер
45,Sehne::N,腱,тарамыш
46,Knochen::N,骨,һойәк
47,Gehirn::N,脳,мейе
48,Herz::N,心,йорәк
49,Herz::N,心臓,йорәк
50,Magen::N,胃,ашҡаҙан
51,Leber::N,肝臓,бауыр
52,Atem::N,息,һулыш
53,Atem::N,呼吸,һулыш
54,Hunger::N,空腹,аслыҡ
55,Träne::N,涙,күҙ иәше
56,Geschmack::N,味,тәм
57,Geruch::N,匂い,еҫ
58,Schlaf::N,睡眠,йоҡлау
59,Traum::N,夢,төш
60,Himmel::N,空,күк
61,Sonne::N,太陽,ҡояш
62,Mond::N,月,ай
63,Stern::N,星,йондоҙ
64,Luft::N,空気,һауа
65,Wind::N,風,ел
66,Welle::N,波,тулҡын
67,Wasser::N,水,һыу
68,Stein::N,石,таш
69,Boden::N,土地,тупраҡ
70,Erde::N,土,балсҡ
71,Staub::N,埃,туҙан
72,Rauch::N,煙,төтөн
73,Funke::N,火花,осҡон
74,Feuer::N,火,ут
75,Licht::N,光,яҡтылыҡ
76,Schatten::N,陰,күләгә
77,Wetter::N,天気,һауа торошо
78,Nebel::N,霧,төман
79,Wolke::N,雲,болот
80,Regen::N,雨,ямғыр
81,Schnee::N,雪,ҡар
82,Eis::N,氷,боҙ
83,Frost::N,霜,һалҡын
84,Kälte::N,寒さ,һыуыҡ
85,Hitze::N,暑さ,томра
86,Hitze::N,暑さ,эҫелек
87,Raureif::N,霧氷,ҡырау
88,Regenbogen::N,虹,йәйғор
89,Donner::N,雷,күк күкрәү
90,Strömung::N,流れ,ағым
91,Tropfen::N,滴,тамсы
92,Schaum::N,泡,күбек
93,Schmutz::N,汚れ,батҡаҡ
94,See::N,湖,күл
95,Sumpf::N,沼,һаҙлык
96,Moor::N,湿原,һаҙ
97,Wiese::N,草原,болон
98,Wald::N,森,урман
99,Hügel::N,丘,түбә
100,Anhöhe::N,高み,түбә
101,Anhöhe::N,高み,ҡалҡыулыҡ
102,Berg::N,山,тау
103,Gipfel::N,頂上,түбә
104,Höhle::N,洞窟,мәмерйә
105,Abhang::N,斜面,ипкен
106,Quelle::N,泉,шишмә
107,Bach::N,小川,шишмә
108,Fluss::N,川,йылға
109,Ufer::N,岸,яр
110,Küste::N,海岸,яр буйы
111,Festland::N,陸,ҡоро ер
112,Meer::N,海,диңгез
113,Bucht::N,湾,бухта
114,Insel::N,島,үтрау
115,Blume::N,花,сәскә
116,Gras::N,草,үлән
117,Wurzel::N,根,тамыр
118,Baum::N,木,ағас
119,Stamm::N,幹,олон
120,Stamm::N,幹,көбәк
121,Rinde::N,皮層,ҡабыҡ
122,Ast::N,枝,ботаҡ
123,Zweig::N,小枝,ботаҡ
124,Zweig::N,小枝,тармаҡ
125,Blatt::N,葉,япраҡ
126,Birke::N,樺,ҡайын
127,Kiefer[Baum]::N,松,ҡарғай
128,Weide[Baum]::N,柳,тал
129,Tanne::N,樅,шыршы
130,Horn::N,角,мөғөҙ
131,Feder::N,羽根,ҡауырһын
132,Fell::N,毛皮,тире
133,Flügel::N,羽,ҡанат
134,Klaue::N,鉤爪,тырнаҡ
135,Kralle::N,爪,аяҡ
136,Schwanz::N,尻尾,ҡойроҡ
137,Ei::N,卵,йомортҡа
138,Nest::N,巣,оя
139,Bau::N,穴,оң
140,Tier::N,動物,жайуан
141,Tier::N,動物,йыртҡыс
142,Herde::N,群れ,көтөү
143,Kuh::N,牛,һыйыр
144,Bulle::N,雄牛,үгеҙ
145,Pferd::N,馬,ат
146,Schaf::N,羊,һарыҡ
147,Schwein::N,豚,сусҡа
148,Hund::N,犬,эт
149,Katze::N,猫,бесәй
150,Bär::N,熊,айыу
151,Eichhörnchen::N,栗鼠,тейен
152,Elch::N,ヘラジカ,мышы
153,Fuchs::N,狐,төлкө
154,Hase::N,兎,ҡуян
155,Maus::N,鼠,сысҡан
156,Wolf::N,狼,бүре
157,Vogel::N,鳥,ҡош
158,Schwarm::N,群れ,көтөү
159,Huhn::N,鶏,тауыҡ
160,Hahn::N,雄鶏,әтәс
161,Gans::N,ガチョウ,ҡаҙ
162,Adler::N,鷲,бөркөт
163,Ente::N,鴨,өйрәк
164,Eule::N,フクロウ,өкө
165,Eule::N,フクロウ,ябалаҡ
166,Kranich::N,鶴,торна
167,Krähe::N,烏,ҡарға
168,Kuckuck::N,郭公,кәкүк
169,Schwan::N,白鳥,аҡҡош
170,Fisch::N,魚,балыҡ
171,Barsch::N,鱸,алабуға
172,Hecht::N,川魳,суртан
173,Schlange[Tier]::N,蛇,йылан
174,Wurm::N,虫,селяүсен
175,Spinne::N,蜘蛛,үрмәксе
176,Ameise::N,蟻,ҡырмыҫҡа
177,Laus::N,虱,бет
178,Mücke::N,蚊,серәкәй
179,Fliege::N,蝿,себен
180,Schmetterling::N,蝶,күбәләк
181,Beere::N,漿果,еләк
182,Apfel::N,林檎,алма
183,Pilz::N,茸,бәшмәк
184,Zwiebel::N,玉葱,һуган
185,Saat::N,種,орлоҡ
186,Korn::N,粒,иген
187,Heu::N,干し草,бесән
188,Schale::N,皮,ҡабыҡ
189,Grube::N,穴,соҡор
190,Falle::N,わな,тоҙак
191,Falle::N,わな,ҡапҡан
192,Schlinge::N,輪,тоҙак
193,Spur::N,跡,әҫер
194,Asche::N,灰,көл
195,Dreck::N,泥,батҡаҡ
196,Eisen::N,鉄,тимер
197,Gold::N,金,алтын
198,Silber::N,銀,көмөш
199,Kohle::N,炭,күмер
200,Glas::N,ガラス,быяла
201,Lehm::N,ローム,балсыҡ
202,Sand::N,砂,ҡом
203,Mensch::N,人,кеше
204,Mann::N,男,ир
205,Mann::N,男性,ир
206,Frau::N,女,ҡатын
207,Frau::N,女性,ҡатын
208,Kind::N,子,бала
209,Kind::N,子供,бала
