,Concept_ID,da,uz
0,Auge::N,øje,ko'z
1,Ohr::N,øre,quloq
2,Nase::N,næse,burun
3,Mund::N,mund,og'iz
4,Zahn::N,tand,tish
5,Zunge::N,tunge,til
6,Lippe::N,læbe,dudoq
7,Wange::N,kind,bet
8,Gesicht::N,ansigt,yuz
9,Stirn::N,pande,manglay
10,Haar::N,hår,soch
11,Schnurrbart::N,overskæg,mo'ylov
12,Bart::N,skæg,soqol
13,Kinn::N,hage,ängak
14,Kiefer[Anatomie]::N,kæbe,iyak
15,Kehle::N,strube,bo'g'iz
16,Hals::N,hals,bo'yin
17,Genick::N,nakke,gardan
18,Kopf::N,hoved,bosh
19,Rücken::N,ryg,orqa
20,Bauch::N,mave,qorin
21,Nabel::N,navle,kindik
22,Busen::N,barm,ämchak
23,Brust::N,bryst,ko'krak
24,Schulter::N,skulder,elka
25,Arm::N,arm,bilak
26,Ellenbogen::N,albue,tirsak
27,Hand::N,hånd,qo'l
28,Handfläche::N,håndflade,kaft
29,Finger::N,finger,barmoq
30,Fingernagel::N,fingernegl,tirnoq
31,Nagel[Anatomie]::N,negl,tirnoq
32,Zeh::N,tå,oyoq barmog'i
33,Fuß::N,fod,oyoq
34,Ferse::N,hæl,tovon
35,Knie::N,knæ,tiz
36,Oberschenkel::N,lår,son
37,Bein::N,ben,oyoq
38,Körper::N,krop,badna
39,Körper::N,legeme,badna
40,Haut::N,hud,teri
41,Blut::N,blod,qon
42,Ader::N,åre,qon tomir
43,Sehne::N,sene,tomir
44,Knochen::N,ben,suyak
45,Gehirn::N,hjerne,miya
46,Herz::N,hjerte,qalb
47,Magen::N,mave,oshqozon
48,Leber::N,lever,bag'ir
49,Atem::N,ånde,dam
50,Hunger::N,sult,ochlik
51,Träne::N,tåre,yosh
52,Geschmack::N,smag,tam
53,Geruch::N,lugt,jid
54,Schlaf::N,søvn,uyqu
55,Traum::N,drøm,tush
56,Himmel::N,himmel,osmon
57,Sonne::N,sol,quyosh
58,Mond::N,måne,oy
59,Stern::N,stjerne,yulduz
60,Luft::N,luft,havo
61,Wind::N,vind,el
62,Welle::N,bølge,to'lqin
63,Wasser::N,vand,suv
64,Stein::N,sten,tosh
65,Boden::N,jord,tuproq
66,Erde::N,jord,er
67,Staub::N,støv,chang
68,Rauch::N,røg,tutun
69,Funke::N,gnist,yalt
70,Feuer::N,ild,o't
71,Licht::N,lys,yorug'
72,Schatten::N,skygge,soya
73,Wetter::N,vejr,havo
74,Nebel::N,tåge,tuman
75,Wolke::N,sky,bulut
76,Regen::N,regn,yomg'ir
77,Schnee::N,sne,qor
78,Eis::N,is,muz
79,Frost::N,frost,ajoz
80,Kälte::N,kulde,ajoz
81,Hitze::N,hede,issiq
82,Raureif::N,rimfrost,qirov
83,Regenbogen::N,regnbue,kamalak
84,Donner::N,torden,guldur
85,Strömung::N,strømning,oqim
86,Tropfen::N,dråbe,tomchi
87,Schaum::N,skum,ko'pik
88,Schmutz::N,snavs,gard
89,See::N,sø,ko'l
90,Sumpf::N,sump,botqoq
91,Moor::N,mose,qir-adir
92,Wiese::N,eng,o'tzor
93,Wald::N,skov,o'rmon
94,Hügel::N,høj,tepa
95,Hügel::N,bakke,tepa
96,Anhöhe::N,høj,adir
97,Anhöhe::N,bakke,adir
98,Berg::N,bjerg,tog'
99,Gipfel::N,top,cho'qqi
100,Höhle::N,hule,kavak
101,Abhang::N,skrænt,to'sh
102,Abhang::N,skråning,to'sh
103,Quelle::N,kilde,buloq
104,Bach::N,bæk,o'zan
105,Fluss::N,flod,daryo
106,Ufer::N,bred,sohil
107,Küste::N,kyst,qirg'oq
108,Festland::N,fastland,materik
109,Meer::N,hav,dengiz
110,Bucht::N,bugt,qo'ltiq
111,Insel::N,ø,orol
112,Blume::N,blomst,gul
113,Gras::N,græs,sabza
114,Wurzel::N,rod,tub
115,Wurzel::N,rod,tomir
116,Baum::N,træ,daraxt
117,Stamm::N,stamme,o'simta
118,Rinde::N,bark,qobiq
119,Ast::N,gren,shox
120,Zweig::N,kvist,butoq
121,Blatt::N,blad,barg
122,Birke::N,birk,qayin
123,Kiefer[Baum]::N,fyrretræ,qarag'ay
124,Weide[Baum]::N,piletræ,shum
125,Tanne::N,gran,archa
126,Horn::N,horn,mugiz
127,Feder::N,fjer,par
128,Fell::N,skind,mo'yna
129,Flügel::N,vinge,qanot
130,Klaue::N,klov,tirnoq
131,Kralle::N,klo,tirnoq
132,Schwanz::N,hale,quyruq
133,Ei::N,æg,tuxum
134,Nest::N,rede,oshyon
135,Bau::N,bo,o'pqon
136,Tier::N,dyr,hayvon
137,Herde::N,flok,gala
138,Kuh::N,ko,inak
139,Bulle::N,tyr,ho'kiz
140,Pferd::N,hest,ot
141,Schaf::N,får,qo'y
142,Schwein::N,gris,cho'chqa
143,Hund::N,hund,it
144,Katze::N,kat,mushuk
145,Bär::N,bjørn,ayiq
146,Eichhörnchen::N,egern,tiyin
147,Elch::N,elg,los
148,Fuchs::N,ræv,tulki
149,Hase::N,hare,kuyon
150,Maus::N,mus,sichqon
151,Wolf::N,ulv,bo'ri
152,Vogel::N,fugl,qush
153,Schwarm::N,sværm,to'da
154,Huhn::N,høne,tovuq
155,Hahn::N,hane,xo'roz
156,Gans::N,gås,g'oz
157,Adler::N,ørn,burgut
158,Ente::N,and,o'rdak
159,Eule::N,ugle,boyo'g'li
160,Kranich::N,trane,turna
161,Krähe::N,krage,qarg'a
162,Kuckuck::N,gøg,kakku
163,Schwan::N,svane,oqkush
