,Concept_ID,zh,ta
0,Auge::N,眼睛,கண்
1,Ohr::N,耳朵,காது
2,Nase::N,鼻子,மூக்கு
3,Mund::N,嘴,வாய்
4,Zahn::N,牙齿,பல்
5,Zunge::N,舌头,நாக்கு
6,Lippe::N,嘴唇,உதடு
7,Wange::N,面颊,கன்னம்
8,Gesicht::N,脸,முகம்
9,Stirn::N,额,முன்னெற்றி
10,Haar::N,头发,முடி
11,Schnurrbart::N,髭须,மீசை
12,Bart::N,胡子,தாடி
13,Kinn::N,下巴,கீழதாடை
14,Kiefer[Anatomie]::N,颌,தாடை
15,Kehle::N,嗓子,தொண்டை
16,Hals::N,颈,கழுத்து
17,Genick::N,后颈,கழுத்து
18,Kopf::N,头,தலை
19,Rücken::N,背,முதுகு
20,Bauch::N,肚子,வயிறு
21,Nabel::N,肚脐,தொப்புள்
22,Busen::N,胸脯,மார்பகம்
23,Brust::N,胸, மார்பு
24,Schulter::N,肩膀,தோள்பட்டை
25,Arm::N,臂膀,கரம்
26,Ellenbogen::N,肘,முழங்கை
27,Hand::N,手,கை
28,Handfläche::N,手掌,உள்ளங்கை
29,Finger::N,手指,விரல்
30,Fingernagel::N,指甲,விரல் நகம்
31,Nagel[Anatomie]::N,指甲,நகம்
32,Zeh::N,脚趾,கால்விரல்
33,Fuß::N,脚,கால்
34,Ferse::N,后跟,குதிகால்
35,Knie::N,膝,முழங்கால்
36,Oberschenkel::N,大腿,தொடை
37,Bein::N,腿,கால்
38,Körper::N,身体,உடல்
39,Haut::N,皮肤,சருமம்
40,Blut::N,血,இரத்தம்
41,Ader::N,血管,நாளம்
42,Sehne::N,腱,தசைநார்
43,Knochen::N,骨,எலுமபு
44,Gehirn::N,脑,மூனை
45,Herz::N,心,இதயம
46,Magen::N,胃,வயிறு
47,Leber::N,肝,கல்லீரல்
48,Atem::N,呼吸,மூச்சு
49,Hunger::N,饿,பசி
50,Träne::N,眼泪,கண்ணீர்
51,Geschmack::N,味道,நறுமணம்
52,Geruch::N,气味,துர்நாற்றம்
53,Schlaf::N,睡眠,தூக்கம்
54,Traum::N,梦,கனவு
55,Himmel::N,天空,வானம்
56,Sonne::N,太阳,சூரியன்
57,Mond::N,月亮,சந்திரன்
58,Stern::N,星,நட்சத்திரம்
59,Luft::N,空气,காறறு
60,Wind::N,风,காற்று
61,Welle::N,波,அலை
62,Wasser::N,水,நீர்
63,Stein::N,石头,கல்
64,Boden::N,地面,தரை
65,Erde::N,地,மண்
66,Staub::N,灰尘,தூசி
67,Rauch::N,烟,புகை
68,Funke::N,火花,தீப்பொறி
69,Feuer::N,火,தீ
70,Licht::N,光,வெளிச்சம்
71,Schatten::N,影子,நிழல்
72,Wetter::N,天气,வானிலை
73,Nebel::N,雾,பனிமூட்டம்
74,Wolke::N,云,மேகம்
75,Regen::N,雨,மழை
76,Schnee::N,雪,உறைபனி
77,Eis::N,冰,பனிக்கட்டி
78,Frost::N,霜冻,உறைபனி
79,Kälte::N,寒冷,குளிர்ந்த
80,Hitze::N,炎热,சூடு
81,Raureif::N,霜,உறைபனி வெண்திரை
82,Regenbogen::N,虹,வானவில்
83,Donner::N,雷,இடி
84,Strömung::N,水流,நீரோட்டம்
85,Tropfen::N,滴,துளி
86,Schaum::N,泡沫,நுரை
87,Schmutz::N,赃物,அழுக்கு
88,See::N,湖,ஏரி
89,Sumpf::N,沼泽,சதுப்பு நிலம்
90,Moor::N,沼泽,முட்புதற்காடு
91,Wiese::N,草地,பசும் புல்தரை
92,Wald::N,森林,காடு
93,Hügel::N,丘陵,குன்று
94,Anhöhe::N,山丘,பதுக்கை
95,Berg::N,山,மலை
96,Gipfel::N,峰,உச்சி மாநாடு
97,Höhle::N,洞穴,குகை
98,Abhang::N,斜坡,சரிவு
99,Quelle::N,泉,மூலம்
100,Bach::N,溪,ஓடை
101,Fluss::N,河流,ஆறு
102,Ufer::N,岸,நீர்க்கரை
103,Küste::N,海岸,கடற்கரை
104,Festland::N,大陆,நிலம்
105,Meer::N,海,கடல்
106,Bucht::N,海湾,சிறுகுடா
107,Insel::N,岛,தீவு
108,Blume::N,花,பூ
109,Gras::N,草,புல்தரை
110,Wurzel::N,根,வேர்
111,Baum::N,树,மரம்
112,Stamm::N,树干,அடிமரம்
113,Rinde::N,树皮,பட்டை
114,Rinde::N,树皮,மரப்பட்டை
115,Ast::N,树枝,கினை
116,Zweig::N,树枝,குச்சி
117,Blatt::N,叶子,இலை
118,Birke::N,桦木,பிர்ச் மரம்
119,Kiefer[Baum]::N,松树,தேவதாரு மரம்
120,Weide[Baum]::N,柳树,மர வகைகளுள் ஒன்று
121,Tanne::N,冷杉,சாதிக்கய்
122,Horn::N,角,கொம்பு
123,Feder::N,羽毛,இறகு
124,Fell::N,皮毛,மென்முடி
125,Flügel::N,翅膀,இறக்கை
126,Klaue::N,爪子,நகம்
127,Kralle::N,爪子,நகம்
128,Schwanz::N,尾巴,வால்
129,Ei::N,蛋,முட்டை
130,Nest::N,巢,கூடு
131,Bau::N,穴,குகை
132,Tier::N,动物,விலங்கு
133,Herde::N,群,கூட்டம்
134,Kuh::N,母牛,பசு
135,Bulle::N,公牛,காளை
136,Pferd::N,马,குதிரை
137,Schaf::N,羊,செம்மறிஆடு
138,Schwein::N,猪,பன்றி
139,Hund::N,狗,நாய்
140,Katze::N,猫,பூனை
141,Bär::N,熊,கரடி
142,Eichhörnchen::N,松鼠,அணில்
143,Elch::N,麋鹿,கடம்பை
144,Fuchs::N,狐狸,நரி
145,Hase::N,兔子,முயல்
146,Maus::N,老鼠,எலி
147,Wolf::N,狼,ஓநாய்
148,Vogel::N,鸟,பறவை
149,Schwarm::N,群,தொகுதி
150,Huhn::N,鸡,கோழிக்குஞசு
151,Hahn::N,公鸡,சேவல்
152,Gans::N,鹅,பெண் வாத்து
153,Adler::N,鹰,பருநது
154,Ente::N,鸭,வாத்து
155,Eule::N,猫头鹰,ஆந்தை
156,Kranich::N,鹤,நாரை
157,Krähe::N,乌鸦,காகம்
158,Kuckuck::N,布谷鸟,குயில்
159,Schwan::N,天鹅,அன்னம்
160,Fisch::N,鱼,மீன்
161,Barsch::N,鲈鱼,பேர்ச்
162,Hecht::N,狗鱼,கோலாச்சி மீன்
163,Schlange[Tier]::N,蛇,பாம்பு
164,Wurm::N,蠕虫,புழு
165,Spinne::N,蜘蛛,சிலந்தி
166,Ameise::N,蚂蚁,எறும்பு
167,Laus::N,虱子,பேன்
168,Mücke::N,蚊子,கொசுவினப்பூச்சி
169,Fliege::N,苍蝇,ஈ
170,Schmetterling::N,蝴蝶,வண்ணத்துப்பூச்சி
171,Beere::N,将果,சதைப்பழம்
172,Apfel::N,苹果,ஆப்பிள பழம்
173,Pilz::N,蘑菇,காளான்
174,Zwiebel::N,洋葱,வெங்காயம்
175,Saat::N,种子,விதை
176,Korn::N,谷粒,தானியம்
177,Heu::N,干草,வைக்கோல்
178,Schale::N,壳,தோல்
179,Grube::N,坑,குழி
180,Falle::N,圈套,பொறி
181,Schlinge::N,活扣,கண்ணி
182,Spur::N,踪迹,சுவடு
183,Asche::N,灰烬,சாம்பல்
184,Dreck::N,污垢,அழுக்கு
185,Eisen::N,铁,இரும்பு
186,Gold::N,金子,தங்கம்
187,Silber::N,银,வெள்ளி
188,Kohle::N,煤,நிலக்கரி
189,Glas::N,玻璃,கண்ணாடி
190,Lehm::N,粘土,களிமண்
191,Sand::N,沙,மணல்
192,Mensch::N,人,மனிதர்கள்
193,Mann::N,男子,மனிதன்
194,Frau::N,妇女,பெண்
195,Kind::N,小孩,குழந்தை
196,Junge::N,男孩,பையன்
197,Mädchen::N,女孩,சிறுமி
198,Familie::N,家庭,குடும்பம்
199,Großvater::N,祖父,தாத்தா
200,Großmutter::N,祖母,பாட்டி
201,Eltern::N,父母,பெற்றோர்
202,Vater::N,父亲,தந்தை
203,Mutter::N,母亲,தாய்
204,Sohn::N,儿子,மகன்
205,Tochter::N,女儿,மகள்
206,Bruder::N,兄弟,சகோதரன்
207,Schwester::N,姐妹,அக்கா
208,Onkel::N,伯父,தாய் மாமன்
209,Tante::N,阿姨,அத்தை
210,Ehemann::N,丈夫,கணவன்
211,Ehefrau::N,妻子,மனைவி
212,Freude::N,愉快,கொண்டாட்டம்
213,Gelächter::N,大笑,சிரிப்பு
214,Glück::N,运气,மகிழ்ச்சி
215,Kummer::N,苦恼,துயரம்
216,Wunsch::N,愿望,விருப்பம்
217,Lust::N,乐趣,விருப்பம்
218,Geist::N,精神,ஆன்மா
219,Gedanke::N,思想,எண்ணம்
220,Gedächtnis::N,记性,ஞாபகம்
221,Verstand::N,理智,மனம்
222,Sinn::N,感觉,அர்த்தம்
223,Grund::N,理由,காரணம்
224,Wahrheit::N,真理,உண்நை
225,Gespräch::N,谈话,பெசு
226,Märchen::N,童话,நம்பத்தகாத கதை
227,Erzählung::N,故事,கதை
228,Nachricht::N,消息,செய்தி
229,Neuigkeit::N,新闻,செய்தி
230,Name::N,名字,பெயர்
231,Rätsel::N,谜语,புதிர்
232,Rede::N,讲话,பேச்சு
233,Sprache::N,语言,மொழி
234,Stimme::N,声音,குரல்
235,Wort::N,词,வார்த்தை
236,Zeichen::N,标记,குறி
237,Ruf::N,呼喊,அழைப்பு
238,Lärm::N,噪音,சத்தம்
239,Laut::N,响声,ஒலி
240,Ton::N,声音,குரல்
241,Lied::N,歌曲,பாட்டு
242,Ruhe::N,安静,அமைதி
243,Leute::N,人们,மக்கள்
244,Volk::N,人民,மக்கள்
245,Arbeit::N,劳动,வேலை
246,Gast::N,客人,விருந்தாளி
247,Geschenk::N,礼物,பரிசுப் பொருள்
248,Spiel::N,游戏,விளையாட்டு
249,Gesellschaft::N,陪同,சமுதாயம்
250,Hilfe::N,帮助,உதவி
251,Freund::N,朋友,நண்பன்
252,Kamerad::N,同志,உடனிருப்பவன்
253,Angelegenheit::N,事情,செய்தி
254,Anzahl::N,数目,எண்ணிக்கை
255,Art::N,种类,வகை
256,Stück::N,块,துண்டம்
257,Teil::N,部分,பகுதி
258,Hälfte::N,一半,பாதி
259,Kreis::N,圆,வட்டம்
260,Kreuz::N,十字架,சிலுவை
261,Linie::N,线条,கோடு
262,Strich::N,划,வாத நோய்
263,Abstand::N,距离,இடைவெளி
264,Entfernung::N,距离,தூரம்
265,Gegend::N,地区,வட்டாரம்
266,Platz::N,场所,வெற்றிடம்
267,Ort::N,地点,இடம்
268,Seite::N,面,பக்கம்
269,Mitte::N,中间,இடைப்பகுதி
270,Gegenstand::N,物品,உருப்படி
271,Sache::N,物,பொருள்
272,Rand::N,边,தொங்கு
273,Kante::N,棱,விளிம்பு
274,Ecke::N,角,மூலை
275,Spitze::N,尖,முனை
276,Ende::N,结尾,முடிவு
277,Loch::N,洞,துளை
278,Winkel::N,角度,கோணம்
279,Muster::N,模型,பாங்கு
280,Größe::N,大小,அளவு
281,Länge::N,长度,நீளம்
282,Höhe::N,高度,உயரம்
283,Gewicht::N,重量,எடை
284,Menge::N,数量,தொகை
285,Haufen::N,堆,குவியல்
286,Reihe::N,行,வரிசை
287,Boot::N,小船,படகு
288,Ruder::N,奖,துடுப்பு
289,Schlitten::N,雪橇,சகடையிலா வண்டி
290,Ski::N,雪板,பனிச் சறுக்கல்
291,Lagerfeuer::N,营火,மூட்டம்
292,Last::N,负担,பாரம்
293,Gang::N,行走,நடை
294,Schritt::N,步伐,காலடி
295,Norden::N,北,வடக்கு
296,Süden::N,南,தெற்கு
297,Westen::N,西,மேற்கு திசை
298,Osten::N,东,கிழக்கு
299,Holz::N,木材,மரக்கட்டை
300,Brett::N,木板,பலகை
301,Platte::N,平板,பலகம்
302,Stütze::N,支架,அடைப்புகன்
303,Stange::N,杆,கம்பம்
304,Stock::N,棒,குச்சி
305,Stab::N,棍,கம்பு
306,Rohr::N,管子,குழாய்
307,Haus::N,房屋,வீடு
308,Heim::N,家,வீடு
309,Ofen::N,炉子,அடுப்பு
310,Fußboden::N,地板,தரை
311,Tisch::N,桌子,மேசை
312,Stuhl::N,椅子,நாற்காலி
313,Wiege::N,摇蓝,தொட்டில்
314,Bett::N,床,படுக்கை
315,Regal::N,架子,அலமாரி
316,Kiste::N,箱子,பெட்டி
317,Fenster::N,窗户,சாளரம்
318,Tür::N,门,கதவு
319,Tor::N,大门,வாசற்கதவு
320,Zaun::N,篱笆,வேலி
321,Dach::N,屋顶,கூரை
322,Leiter::N,梯子,ஏணி
323,Besen::N,扫帚,விளக்குமாறு
324,Spaten::N,铁锹,மண்வெட்டி
325,Schaufel::N,铁锹,அடிதண்டா
326,Gabel::N,叉,முட்கரண்டி
327,Löffel::N,食匙,கரண்டி
328,Messer::N,刀,கத்தி
329,Nagel::N,钉子,ஆணி
330,Netz::N,网,வலை
331,Haken::N,钩子,கொக்கி
332,Griff::N,把柄,கைப்பிடி
333,Schloss::N,锁,பூட்டு
334,Bild::N,图画,படம்
335,Figur::N,人像,எண்ணிக்கை
336,Puppe::N,娃娃,பொம்மை
337,Beutel::N,袋子,பை
338,Bündel::N,捆,பொதி
339,Tasche::N,手提包,பை
340,Eimer::N,桶,வாளி
341,Deckel::N,盖子,உறை
342,Geschirr::N,餐具,பாத்திரம்
343,Sack::N,袋子,பை
344,Tasse::N,杯子,கிண்ணம்
345,Topf::N,锅,பானை
346,Kessel::N,水壶,கெண்டி
347,Essen::N,进餐,உணவருந்துதல்
348,Nahrung::N,食物,உணவு
349,Speise::N,菜肴,உணவு வகை
350,Fleisch::N,肉,இறைச்சி
351,Getreide::N,谷物,மக்காச்சோளம்
352,Brei::N,粥,கஞ்சி
353,Brot::N,面包,ரொட்டி
354,Scheibe::N,片,துண்டு
355,Fett::N,脂肪,கொழுப்பு
356,Butter::N,黄油,வெண்ணெய்
357,Öl::N,油,எண்ணெய்
