,Concept_ID,is,hr
0,Auge::N,auga,oko
1,Ohr::N,eyra,uho
2,Nase::N,nef,nos
3,Mund::N,munnur,usta
4,Zahn::N,tönn,zub
5,Zunge::N,tunga,jezik
6,Lippe::N,vör,usna
7,Wange::N,kinn,obraz
8,Wange::N,vangi,obraz
9,Gesicht::N,andlit,lice
10,Stirn::N,enni,čelo
11,Haar::N,hár,kosa
12,Schnurrbart::N,yfirskegg,brkovi
13,Bart::N,skegg,brada
14,Kinn::N,haka,brada
15,Kinn::N,haka,podbradak
16,Kiefer[Anatomie]::N,kjálki,čeljust
17,Kiefer[Anatomie]::N,skoltur,čeljust
18,Kehle::N,kverk,grlo
19,Hals::N,háls,vrat
20,Genick::N,hnakki,zatiljak
21,Kopf::N,höfuð,glava
22,Rücken::N,hryggur,leđa
23,Rücken::N,hryggur,hrbat
24,Bauch::N,kviður,trbuh
25,Nabel::N,nafli,pupak
26,Busen::N,barmur,sisa
27,Busen::N,barmur,njedra
28,Brust::N,brjóst,prsa
29,Schulter::N,öxl,rame
30,Schulter::N,öxl,pleći
31,Arm::N,armur,ruka
32,Ellenbogen::N,olnbogi,lakat
33,Hand::N,hönd,ruka
34,Handfläche::N,lófi,dlan
35,Finger::N,fingur,prst
36,Fingernagel::N,fingurnögl,nokat
37,Nagel[Anatomie]::N,nögl,nokat
38,Zeh::N,tá,nozni prst
39,Fuß::N,fótur,noga
40,Fuß::N,fótur,stopalo
41,Ferse::N,hæll,peta
42,Knie::N,kné,koljeno
43,Oberschenkel::N,læri,bedro
44,Bein::N,fótleggur,noga
45,Körper::N,búkur,tijelo
46,Körper::N,líkami,tijelo
47,Haut::N,húð,put
48,Haut::N,húð,koža
49,Haut::N,skinn,put
50,Haut::N,skinn,koža
51,Blut::N,blóð,krv
52,Ader::N,æð,žila
53,Sehne::N,sin,tetiva
54,Knochen::N,bein,kost
55,Gehirn::N,heili,
56,Herz::N,hjarta,srce
57,Magen::N,magi,stomak
58,Magen::N,magi,želudac
59,Leber::N,lifur,jetra
60,Atem::N,andi,dah
61,Atem::N,andardráttur,dah
62,Hunger::N,hungur,glad
63,Träne::N,tár,suza
64,Geschmack::N,smekkur,ukus
65,Geruch::N,lykt,njuh
66,Geruch::N,lykt,miris
67,Schlaf::N,svefn,san
68,Traum::N,draumur,san
69,Himmel::N,himinn,nebo
70,Sonne::N,sól,sunce
71,Mond::N,tungl,mjesec
72,Stern::N,stjarna,zvijezda
73,Luft::N,loft,zrak
74,Wind::N,vindur,vjetar
75,Welle::N,alda,val
76,Welle::N,alda,talas
77,Welle::N,bylgja,val
78,Welle::N,bylgja,talas
79,Wasser::N,vatn,voda
80,Stein::N,steinn,kamen
81,Boden::N,botn,tlo
82,Boden::N,botn,zemlja
83,Erde::N,jörð,zemlja
