,Concept_ID,lt,ja
0,Auge::N,akis,目
1,Ohr::N,ausis,耳
2,Nase::N,nosis,鼻
3,Mund::N,burna,口
4,Zahn::N,dantis,歯
5,Zunge::N,liežuvis,舌
6,Lippe::N,lūpa,唇
7,Wange::N,žandas,頬
8,Wange::N,skruostas,頬
9,Gesicht::N,veidas,顔
10,Stirn::N,kakta,額
11,Haar::N,plaukai,髪
12,Schnurrbart::N,ūsai,口髭
13,Bart::N,barzda,髭
14,Kinn::N,smakras,顎
15,Kiefer[Anatomie]::N,žandikaulis,顎
16,Kehle::N,gerklė,喉
17,Hals::N,kaklas,首
18,Genick::N,sprandas,首
19,Kopf::N,galva,頭
20,Rücken::N,nugara,背中
21,Bauch::N,pilvas,腹
22,Bauch::N,pilvas,お腹
23,Nabel::N,bamba,へそ
24,Busen::N,krūtinė,乳房
25,Brust::N,krūtis,胸
26,Schulter::N,petys,肩
27,Arm::N,ranka,腕
28,Ellenbogen::N,alkūnė,肘
29,Hand::N,ranka,手
30,Hand::N,plaštaka,手
31,Handfläche::N,delnas,手のひら
32,Handfläche::N,plaštaka,手のひら
33,Finger::N,pirštas,指
34,Fingernagel::N,nagas,爪
35,Nagel[Anatomie]::N,nagas,爪
36,Zeh::N,pirštas,足の指
37,Fuß::N,pėda,足
38,Ferse::N,kulnas,かかと
39,Knie::N,kelis,膝
40,Oberschenkel::N,kulšis,上腿
41,Oberschenkel::N,šlaunis,上腿
42,Bein::N,koja,足
43,Körper::N,kūnas,体
44,Haut::N,oda,皮膚
45,Blut::N,kraujas,血
46,Ader::N,kraujagyslė,血管
47,Sehne::N,sausgyslė,腱
48,Knochen::N,kaulas,骨
49,Gehirn::N,smegenys,脳
50,Herz::N,širdis,心
51,Herz::N,širdis,心臓
52,Magen::N,skrandis,胃
53,Leber::N,kepenys,肝臓
54,Atem::N,kvapas,息
55,Atem::N,kvapas,呼吸
56,Hunger::N,badas,空腹
57,Hunger::N,alkis,空腹
58,Träne::N,ašara,涙
59,Geschmack::N,skonis,味
60,Geruch::N,kvapas,匂い
61,Schlaf::N,miegas,睡眠
62,Traum::N,sapnas,夢
63,Himmel::N,dangus,空
64,Sonne::N,saulė,太陽
65,Mond::N,mėnulis,月
66,Stern::N,žvaigždė,星
