,Concept_ID,pt,la
0,Auge::N,olho,oculus
1,Ohr::N,orelha,auris
2,Nase::N,nariz,nasus
3,Mund::N,boca,os
4,Zahn::N,dente,dens
5,Zunge::N,língua,lingua
6,Lippe::N,lábio,labrum
7,Wange::N,face,gena
8,Gesicht::N,cara,vultus
9,Gesicht::N,rosto,vultus
10,Stirn::N,testa,frons
11,Haar::N,cabelo,capillus
12,Schnurrbart::N,bigode,barba labri superioris
13,Bart::N,barba,barba
14,Kinn::N,queixo,mentum
15,Kiefer[Anatomie]::N,maxila,mala
16,Kiefer[Anatomie]::N,mandíbula,mala
17,Kehle::N,garganta,iugulums
18,Hals::N,colo,collum
19,Hals::N,pescoço,collum
20,Genick::N,nuca,cervices
21,Kopf::N,cabeça,caput
22,Rücken::N,dorso,tergum
23,Rücken::N,costas,tergum
24,Bauch::N,ventre,venter
25,Bauch::N,barriga,venter
26,Nabel::N,umbigo,umbilicus
27,Busen::N,seio,sinus
28,Brust::N,peito,pectus
29,Schulter::N,ombro,umerus
30,Arm::N,braço,bracchium
31,Ellenbogen::N,cotovelo,cubitum
32,Hand::N,mão,manus
33,Handfläche::N,palma,palma
34,Handfläche::N,palma da mão,palma
35,Finger::N,dedo,digitus
36,Fingernagel::N,unha,unguiculus
37,Nagel[Anatomie]::N,unha,unguis
38,Zeh::N,dedo do pé,digitus
39,Fuß::N,pé,pes
40,Ferse::N,calcanhar,calx
41,Knie::N,joelho,genu
42,Oberschenkel::N,coxa,femur
43,Bein::N,perna,crus
44,Körper::N,corpo,corpus
45,Haut::N,pele,cutis
46,Haut::N,pele,pellis
47,Blut::N,sangue,sanguis
48,Ader::N,veia,vena
49,Sehne::N,tendão,nervus
50,Knochen::N,osso,os
51,Gehirn::N,cérebro,cerebrum
52,Herz::N,coração,cor
53,Herz::N,coração,animus
54,Magen::N,estômago,stomachus
55,Leber::N,fígado,iecur
56,Atem::N,fôlego,spiritus
57,Hunger::N,fome,fames
58,Träne::N,lágrima,lacrima
59,Geschmack::N,gosto,sapor
60,Geschmack::N,gosto,gustus
61,Geruch::N,odor,odor
62,Geruch::N,cheiro,odor
63,Schlaf::N,sono,somnus
64,Traum::N,sonho,somnium
65,Himmel::N,céu,caelum
66,Sonne::N,sol,sol
67,Mond::N,lua,luna
68,Stern::N,estrela,sidus
69,Stern::N,estrela,stella
70,Luft::N,ar,aer
71,Wind::N,vento,ventus
72,Welle::N,onda,unda
73,Wasser::N,água,aqua
74,Stein::N,pedra,lapis
75,Boden::N,solo,solum
76,Erde::N,terra,terra
77,Staub::N,pó,pulvis
78,Rauch::N,fumo,fumus
79,Funke::N,faísca,scintilla
80,Funke::N,centelha,scintilla
81,Feuer::N,fogo,ignis
82,Licht::N,luz,lux
83,Licht::N,luz,lumen
84,Schatten::N,sombra,umbra
85,Wetter::N,tempo,caelum
86,Wetter::N,tempo,tempestas
87,Nebel::N,nevoeiro,nebula
88,Wolke::N,nuvem,nubes
89,Regen::N,chuva,imber
90,Regen::N,chuva,pluvia
91,Schnee::N,neve,nix
92,Eis::N,gelo,glacies
93,Frost::N,gelo,gelu
94,Frost::N,geada,gelu
95,Kälte::N,frio,frigus
96,Hitze::N,ardor,calor
97,Hitze::N,ardor,aestus
98,Raureif::N,geada,pruina
99,Regenbogen::N,arco-iris,arcus
100,Donner::N,trovão,tonitrus
101,Strömung::N,corrente,fluctus
102,Tropfen::N,gota,gutta
103,Schaum::N,espuma,spuma
104,Schmutz::N,sujidade,sordes
105,Schmutz::N,sujidade,squalor
106,Schmutz::N,imundície,sordes
107,Schmutz::N,imundície,squalor
108,See::N,lago,lacus
109,Sumpf::N,charco,palus
110,Sumpf::N,pântano,palus
111,Moor::N,pântano,palus
112,Wiese::N,prado,pratum
113,Wald::N,bosque,silva
114,Wald::N,floresta,silva
115,Hügel::N,colina,collis
116,Anhöhe::N,alto,specula
117,Anhöhe::N,outeiro,specula
118,Berg::N,monte,mons
119,Berg::N,montanha,mons
120,Gipfel::N,pico,vertex
121,Höhle::N,caverna,caverna
122,Höhle::N,caverna,spelunca
123,Abhang::N,encosta,declivum
124,Quelle::N,fonte,fons
125,Bach::N,regato,rivus
126,Bach::N,ribeiro,rivus
127,Fluss::N,rio,flumen
128,Ufer::N,beira,ripa
129,Küste::N,costa,litus
130,Festland::N,terra firme,continens
131,Meer::N,mar,mare
132,Bucht::N,baía,sinus
133,Insel::N,ilha,insula
134,Blume::N,flor,flos
135,Gras::N,erva,herba
136,Gras::N,erva,gramen
137,Wurzel::N,raiz,radix
138,Baum::N,árvore,arbor
139,Stamm::N,tronco,truncus
140,Rinde::N,casca,cortex
141,Ast::N,ramo,ramus
142,Zweig::N,galho,ramus
143,Blatt::N,folha,folium
144,Birke::N,bétula,betulla
145,Kiefer[Baum]::N,pinheiro,pinus
146,Weide[Baum]::N,salgueiro,salix
147,Tanne::N,abeto,abies
148,Horn::N,corno,cornu
149,Horn::N,chifre,cornu
150,Feder::N,pena,penna
151,Fell::N,pele,pellis
152,Flügel::N,asa,ala
153,Klaue::N,pata,unguis
154,Kralle::N,unha,unguis
155,Kralle::N,garra,unguis
156,Schwanz::N,rabo,cauda
157,Schwanz::N,cauda,cauda
158,Ei::N,ovo,ovum
159,Nest::N,ninho,nidus
160,Bau::N,toca,cavum
161,Bau::N,toca,latibulum
162,Bau::N,covil,cavum
163,Bau::N,covil,latibulum
164,Tier::N,animal,bestia
165,Herde::N,rebanho,grex
166,Kuh::N,vaca,vacca
167,Bulle::N,touro,taurus
168,Pferd::N,cavalo,equus
169,Schaf::N,ovelha,ovis
170,Schwein::N,porco,sus
171,Schwein::N,porco,porcus
172,Hund::N,cão,canis
173,Katze::N,gata,felis
174,Bär::N,urso,ursus
175,Eichhörnchen::N,esquilo,sciurus
176,Elch::N,alce,alces
177,Fuchs::N,raposa,vulpes
178,Hase::N,lebre,lepus
179,Maus::N,rato,mus
180,Wolf::N,lobo,lupus
181,Vogel::N,ave,avis
182,Vogel::N,pássaro,avis
183,Schwarm::N,bando,examen
184,Schwarm::N,enxame,examen
185,Huhn::N,galinha,gallina
186,Hahn::N,galo,gallus
187,Gans::N,ganso,anser
188,Adler::N,águia,aquila
189,Ente::N,pata,anas
190,Eule::N,mocho,ulula
191,Eule::N,mocho,noctua
192,Eule::N,coruja,ulula
193,Eule::N,coruja,noctua
194,Kranich::N,grou,grus
195,Krähe::N,gralha,cornix
196,Kuckuck::N,cuco,cuculus
197,Schwan::N,cisne,olor
198,Schwan::N,cisne,cycnus
199,Fisch::N,peixe,piscis
200,Barsch::N,perca,perca
201,Hecht::N,lúcio,esox
202,Schlange[Tier]::N,serpente,serpens
203,Wurm::N,verme,vermis
204,Spinne::N,aranha,aranea
205,Ameise::N,formiga,formica
206,Laus::N,piolho,pediculus
207,Mücke::N,mosquito,culex
208,Fliege::N,mosca,musca
209,Schmetterling::N,borboleta,papilio
210,Beere::N,bago,baca
211,Apfel::N,maçã,malum
212,Pilz::N,fungo,fungus
213,Pilz::N,cogumelo,fungus
214,Zwiebel::N,cebola,cepa
215,Saat::N,sementeira,seges
216,Korn::N,grão,granum
217,Heu::N,feno,faenum
218,Schale::N,casca,putamen
219,Grube::N,cova,fovea
220,Grube::N,fossa,fovea
221,Falle::N,armadilha,pedica
222,Schlinge::N,laço,laqueus
223,Spur::N,pista,vestigium
224,Spur::N,vestígio,vestigium
225,Asche::N,cinza,cinis
226,Dreck::N,sujidade,lutum
227,Eisen::N,ferro,ferrum
228,Gold::N,ouro,aurum
229,Silber::N,prata,argentum
230,Kohle::N,carvão,carbo
231,Glas::N,vidro,vitrum
232,Lehm::N,barro,lutum
233,Lehm::N,argila,lutum
234,Sand::N,areia,arena
235,Mensch::N,homem,homo
236,Mensch::N,pessoa,homo
237,Mann::N,homem,vir
238,Frau::N,mulher,mulier
239,Kind::N,filho,puer
240,Kind::N,filho,infans
241,Kind::N,criança,puer
