,Concept_ID,ce,hy
0,Auge::N,бӏаьрг,աչք
1,Ohr::N,лерг,ականջ
2,Nase::N,мара,քիթ
3,Mund::N,бага,բերան
4,Zahn::N,церг,ատամ
5,Zunge::N,мотт,լեզու
6,Lippe::N,балда,շրթունք
7,Wange::N,бесни,այտ
8,Wange::N,бесни,թուշ
9,Gesicht::N,юьхь,դեմք
10,Stirn::N,хьаж,ճակատ
11,Haar::N,мас,մազ
12,Schnurrbart::N,мекх,բեղ
13,Bart::N,маж,մորուք
14,Kinn::N,чӏениг,կզակ
15,Kiefer[Anatomie]::N,мочхал,ծնոտ
16,Kehle::N,къамкъарг,կոկորդ
17,Hals::N,ворта,վիզ
18,Hals::N,ворта,պարանոց
19,Genick::N,кӏесаркӏаг,ծոծրակ
20,Kopf::N,корта,գլուխ
21,Rücken::N,букъ,մեջք
22,Bauch::N,кийра,փոր
23,Bauch::N,кийра,որովայն
24,Nabel::N,цӏонга,պորտ
25,Busen::N,зударийн накха,ծոց
26,Brust::N,накха,կուրծք
27,Schulter::N,белш,ուս
28,Arm::N,пхьарс,թեւ
29,Arm::N,пхьарс,բազուկ
30,Ellenbogen::N,пхьаьрсан гола,արմունկ
31,Hand::N,куьг,ձեռք
32,Handfläche::N,кераюкъ,ափ
33,Finger::N,пӏелг,մատ
34,Fingernagel::N,мӏара,եղունգ
35,Nagel[Anatomie]::N,мӏара,եղունգ
36,Zeh::N,кога пӏелг,ոտքի մատ
37,Fuß::N,ког,ոտք
38,Ferse::N,кӏажа,գարշապար
39,Knie::N,гола,ծունկ
40,Oberschenkel::N,варе,ազդր
41,Bein::N,ког,ոտք
42,Körper::N,хӏума,մարմին
43,Haut::N,чкъор,մաշկ
44,Blut::N,цӏий,արյուն
45,Ader::N,пха,երակ
46,Sehne::N,хьорзам,ջիղ
47,Sehne::N,хьорзам,ձգտան
48,Knochen::N,даьӏахк,ոսկոր
49,Gehirn::N,хье,խելք
50,Herz::N,дог,սիրտ
51,Magen::N,зорх,ստամոքս
52,Leber::N,доӏах,լյարդ
53,Atem::N,садеӏар,շունչ
54,Hunger::N,мацалла,քաղց
