,Concept_ID,en,ro
0,Auge::N,eye,ochi
1,Ohr::N,ear,ureche
2,Nase::N,nose,nas
3,Mund::N,mouth,gură
4,Zahn::N,tooth,dinte
5,Zunge::N,tongue,limbă
6,Lippe::N,lip,buză
7,Wange::N,cheek,bucă
8,Wange::N,cheek,obraz
9,Gesicht::N,face,față
10,Gesicht::N,face,figură
11,Stirn::N,forehead,frunte
12,Haar::N,hair,păr
13,Schnurrbart::N,moustache,mustață
14,Bart::N,beard,barbă
15,Kinn::N,chin,bărbie
16,Kiefer[Anatomie]::N,jaw,falcă
17,Kehle::N,throat,beregată
18,Hals::N,neck,gât
19,Genick::N,nape,ceafă
20,Kopf::N,head,cap
21,Rücken::N,back,dos
22,Rücken::N,back,spate
23,Rücken::N,back,spinare
24,Rücken::N,spine,dos
25,Rücken::N,spine,spate
26,Rücken::N,spine,spinare
27,Bauch::N,belly,burtă
28,Bauch::N,belly,pântece
29,Nabel::N,navel,buric
30,Busen::N,bosom,sân
31,Brust::N,chest,piept
32,Brust::N,breast,piept
33,Schulter::N,shoulder,umăr
34,Schulter::N,shoulder,spate
35,Arm::N,arm,braț
36,Ellenbogen::N,elbow,cot
37,Hand::N,hand,mână
38,Handfläche::N,palm,palmă
39,Finger::N,finger,deget
40,Fingernagel::N,fingernail,unghie
41,Nagel[Anatomie]::N,nail,unghie
42,Zeh::N,toe,deget de la picior
43,Fuß::N,foot,picior
44,Ferse::N,heel,călcâi
45,Knie::N,knee,genunchi
46,Oberschenkel::N,thigh,coapsă
47,Bein::N,leg,picior
48,Körper::N,body,corp
49,Haut::N,skin,piele
50,Blut::N,blood,sânge
51,Ader::N,vein,vână
52,Ader::N,vein,arteră
53,Sehne::N,sinew,tendon
54,Knochen::N,bone,os
55,Gehirn::N,brain,creier
56,Herz::N,heart,inimă
57,Magen::N,stomach,stomac
58,Leber::N,liver,ficat
59,Atem::N,breath,răsuflare
60,Atem::N,breath,respirație
61,Hunger::N,hunger,foame
62,Träne::N,tear,lacrimă
63,Geschmack::N,flavour,gust
64,Geschmack::N,flavor,gust
65,Geruch::N,odour,miros
66,Geruch::N,odor,miros
67,Schlaf::N,sleep,somn
68,Traum::N,dream,vis
69,Himmel::N,sky,cer
70,Sonne::N,sun,soare
71,Mond::N,moon,lună
72,Stern::N,star,stea
73,Luft::N,air,aer
74,Wind::N,wind,vânt
75,Welle::N,wave,val
76,Welle::N,wave,undă
77,Wasser::N,water,apă
78,Stein::N,stone,piatră
79,Boden::N,soil,sol
80,Boden::N,soil,pământ
81,Boden::N,ground,sol
82,Boden::N,ground,pământ
83,Erde::N,earth,pământ
84,Staub::N,dust,praf
85,Rauch::N,smoke,fum
86,Funke::N,spark,scânteie
87,Feuer::N,fire,foc
88,Licht::N,light,lumină
89,Schatten::N,shadow,umbră
90,Wetter::N,weather,timp
91,Wetter::N,weather,vreme
92,Nebel::N,fog,ceață
93,Nebel::N,fog,negură
94,Wolke::N,cloud,nor
95,Regen::N,rain,ploaie
96,Schnee::N,snow,zăpadă
97,Eis::N,ice,gheață
98,Frost::N,frost,ger
99,Kälte::N,chill,frig
100,Hitze::N,heat,arșiță
101,Hitze::N,heat,căldură
102,Raureif::N,hoarfrost,chiciură
103,Regenbogen::N,rainbow,curcubeu
104,Donner::N,thunder,tunet
105,Strömung::N,current,curent
106,Tropfen::N,drop,picătură
107,Schaum::N,foam,spumă
108,Schmutz::N,dirt,murdărie
109,See::N,lake,lac
110,Sumpf::N,swamp,mlaștină
111,Moor::N,moor,bărăgan
112,Wiese::N,meadow,fânaț
113,Wiese::N,meadow,livadă
114,Wald::N,forest,codru
115,Wald::N,forest,pădure
116,Hügel::N,hill,deal
117,Hügel::N,hill,movilă
118,Anhöhe::N,elevation,deal
119,Anhöhe::N,elevation,ridicătură
120,Berg::N,mountain,munte
121,Gipfel::N,summit,pisc
122,Höhle::N,cave,peșteră
