,Concept_ID,ka,udm
0,Auge::N,თვალი,син
1,Ohr::N,ყური,пель
2,Nase::N,ცხვირი,ныр
3,Mund::N,პირი,ым
4,Zahn::N,კბილი,пинь
5,Zunge::N,ენა,кыл
6,Lippe::N,ბაგე,ымдур
7,Wange::N,ლოყა,бам
8,Gesicht::N,სახე,ымныр
9,Stirn::N,შუბლი,кымес
10,Haar::N,თმა,йырси
11,Schnurrbart::N,ულვაში,мыйык
12,Bart::N,წვერი,туш
13,Kinn::N,ნიკაპი,ангес
14,Kiefer[Anatomie]::N,ყბა,ан
15,Kiefer[Anatomie]::N,ყბა,анлы
16,Kehle::N,ყელი,гульым
17,Hals::N,ყელი,чырты
18,Hals::N,კისერი,чырты
19,Genick::N,კეფა,йырбер
20,Kopf::N,თავი,йыр
21,Rücken::N,ზურგი,мыш
22,Bauch::N,მუცელი,кӧт
23,Nabel::N,ჭიპი,гогы
24,Busen::N,ძუძუ,ноны
25,Brust::N,მკერდი,мӧля
26,Schulter::N,მხარი,пельпум
27,Schulter::N,მკლავი,пельпум
28,Arm::N,ხელი,суй
29,Ellenbogen::N,იდაყვი,гырпум
30,Hand::N,ხელი,ки
31,Handfläche::N,ნები,ки пыдэс
32,Handfläche::N,ნები,кырым пыдэс
33,Handfläche::N,ხელისგული,ки пыдэс
34,Handfläche::N,ხელისგული,кырым пыдэс
35,Finger::N,თითი,чиньы
36,Fingernagel::N,ფრჩხილი,гижы
37,Fingernagel::N,ფრჩხილი,гиждӥнь
38,Nagel[Anatomie]::N,ფრჩხილი,гижы
39,Zeh::N,ფეხის თითი,пыдчиньы
40,Fuß::N,ტერფი,пыд
41,Fuß::N,ფეხისგული,пыд
42,Ferse::N,ქუსლი,пыдбер
43,Knie::N,მუხლი,пыдес
44,Oberschenkel::N,ბარძაყი,макес
45,Bein::N,ფეხი,пыд
46,Körper::N,ტანი,мугор
47,Körper::N,ტანი,вылтыр
48,Körper::N,სხეული,мугор
49,Körper::N,სხეული,вылтыр
50,Haut::N,კანი,ку
51,Blut::N,სისხლი,вир
52,Ader::N,ძარღვი,вирсэр
53,Sehne::N,მყესი,вуж
54,Knochen::N,ძვალი,лы
55,Gehirn::N,ტვინი,вим
56,Herz::N,გული,сюлэм
57,Magen::N,კუჭი,ӝуш
58,Leber::N,ღვიძლი,мус
59,Atem::N,სუნთქვა,лул
60,Atem::N,სუნთქვა,шокан
61,Hunger::N,შიმშილი,кӧтсюман
62,Träne::N,ცრემლი,синкыли
63,Geschmack::N,გემო,шӧм
64,Geruch::N,სუნი,зын
65,Schlaf::N,ძილი,вӧт
66,Traum::N,სიზმარი,уйвӧт
67,Himmel::N,ცა,ин
68,Sonne::N,მზე,шунды
69,Mond::N,მთვარე,толэзь
70,Stern::N,ვარსკვლავი,кизили
71,Luft::N,ჰაერი,омыр
72,Wind::N,ქარი,тӧл
73,Welle::N,ტალღა,тулкым
74,Wasser::N,წყალი,ву
75,Stein::N,ქვა,из
76,Boden::N,მიწა,музъем
77,Erde::N,ნიადაგი,му
78,Staub::N,მტვერი,пыль
79,Rauch::N,ბოლი,ӵын
80,Rauch::N,კვამლი,ӵын
81,Funke::N,ნაკვესი,гизьы
82,Feuer::N,ცეცხლი,тыл
83,Licht::N,შუქი,тыл
84,Licht::N,სინათლე,тыл
85,Schatten::N,ლანდი,вужер
86,Schatten::N,ჩრდილი,вужер
87,Wetter::N,ამინდი,куазь
88,Nebel::N,ნისლი,бус
89,Wolke::N,ღრუბელი,пилем
90,Regen::N,წვიმა,зор
91,Schnee::N,თოვლი,лымы
92,Eis::N,თოში,йӧ
93,Eis::N,ყინული,йӧ
94,Frost::N,ყინვა,кезьыт
95,Kälte::N,სიცივე,кезьыт
96,Hitze::N,სიცხე,пӧсь
97,Raureif::N,ჭირხლი,гӧр
98,Raureif::N,თრთვილი,гӧр
99,Regenbogen::N,ცისარტყელა,вуюись
100,Donner::N,ქუხილი,гудыри
101,Strömung::N,დინება,бызён
102,Tropfen::N,წვეთი,шапык
103,Schaum::N,ქაფი,шукы
104,Schaum::N,დორბლი,шукы
105,Schmutz::N,ჭუჭყი,нӧд
106,Schmutz::N,ჭუჭყი,дэри
107,Schmutz::N,ტალახი,нӧд
108,Schmutz::N,ტალახი,дэри
109,See::N,ტბა,ты
110,Sumpf::N,ჭაობი,нюр
111,Moor::N,ტორფნარი,нюр
112,Wiese::N,ველი,возь
113,Wiese::N,ველი,возьвыл
114,Wiese::N,მდელო,возь
115,Wiese::N,მდელო,возьвыл
116,Wald::N,ტყე,сик
117,Wald::N,ტყე,нюлэс
118,Hügel::N,ბორცვი,выр
119,Hügel::N,ბორცვი,вырйыл
120,Anhöhe::N,მაღლობი,выр
121,Anhöhe::N,მაღლობი,вырйыл
122,Berg::N,მთა,гурезь
123,Gipfel::N,მწვერვალი,йыл
124,Höhle::N,მღვიმე,гу
125,Höhle::N,გამოქვებული,гу
126,Abhang::N,ფერდობი,бам
127,Quelle::N,წყარო,ошмес
128,Quelle::N,სათავე,ошмес
129,Bach::N,რუ,пичи шур
130,Bach::N,ნაკადული,пичи шур
131,Fluss::N,მდინარე,шур
132,Ufer::N,კიდე,ярдур
133,Ufer::N,ნაპირი,ярдур
134,Küste::N,ნაპირი,вудур
135,Festland::N,ხმელეთი,мувыр
136,Meer::N,ზღვა,зарезь
137,Bucht::N,ყურე,вукож
138,Insel::N,კუნძული,вумуӵ
139,Insel::N,კუნძული,шормуӵ
140,Blume::N,ყვავილი,сяська
141,Gras::N,ბალახი,турын
142,Wurzel::N,ძირი,выжы
143,Wurzel::N,ფესვი,выжы
144,Baum::N,ხე,пу
145,Stamm::N,ტანი,модос
146,Rinde::N,ქერქი,сул
147,Ast::N,ტოტი,ул
148,Zweig::N,შტო,вай
149,Blatt::N,ფოთოლი,куар
150,Birke::N,არყი,кызьпу
151,Kiefer[Baum]::N,ფიჭვი,пужым
152,Weide[Baum]::N,ტირიფი,бадьпу
153,Tanne::N,ნაძვი,кыз
154,Horn::N,რქა,сюр
155,Feder::N,ფრთა,тылы
156,Fell::N,ტყავი,ку
157,Flügel::N,ფრთა,бурд
158,Klaue::N,კლანჭი,гижы
159,Kralle::N,ტორი,пыд
160,Schwanz::N,კუდი,быж
161,Ei::N,კვერცხი,пуз
162,Ei::N,კვერცხი,кукей
163,Nest::N,ბუდე,кар
164,Nest::N,ბუდე,пузкар
165,Bau::N,სორო,кар
166,Bau::N,სორო,гу
167,Tier::N,ნადირი,пӧйшур
168,Tier::N,ცხოველი,пӧйшур
169,Herde::N,ფარა,уллё
170,Kuh::N,ფური,скал
171,Kuh::N,ძროხა,скал
172,Bulle::N,ხარი,ош
173,Bulle::N,ხარი,пороз
174,Pferd::N,რაში,вал
175,Pferd::N,ცხენი,вал
176,Schaf::N,ცხვარი,ыж
177,Schwein::N,ღორი,парсь
178,Hund::N,ძაღლი,пуны
179,Katze::N,კატა,коӵыш
180,Bär::N,დათვი,гондыр
181,Eichhörnchen::N,ციყვი,коньы
182,Elch::N,ცხენ-ირემი,койык
183,Fuchs::N,მელა,ӟичы
184,Hase::N,კურდღელი,кеч
185,Maus::N,თაგვი,шыр
186,Wolf::N,მგელი,кион
187,Vogel::N,ჩიტი,тылобурдо
188,Vogel::N,ფრინველი,тылобурдо
189,Schwarm::N,გუნდი,уллё
190,Huhn::N,დედალი,курег
191,Hahn::N,მამალი,атас
192,Gans::N,ბატი,ӟазег
193,Adler::N,არწივი,ӧрзи
194,Ente::N,იხვი,ӵӧж
195,Eule::N,ბუ,кучыран
196,Kranich::N,წერო,тури
197,Krähe::N,ყვავი,куака
198,Kuckuck::N,გუგული,кикы
199,Schwan::N,გედი,юсь
200,Fisch::N,თევზი,чорыг
201,Barsch::N,ქორჭილა,юш
202,Hecht::N,ქარიყლაპია,чипей
203,Schlange[Tier]::N,გველი,кый
204,Wurm::N,ჭია,нумыр
205,Spinne::N,ობობა,чонари
206,Ameise::N,ჭიანჭველა,кузьыли
207,Laus::N,ტილი,тэй
208,Laus::N,მკბენარი,тэй
209,Mücke::N,კოღო,нымы
210,Mücke::N,კოღო,чибинь
211,Fliege::N,ბუზი,кут
212,Schmetterling::N,პეპელა,бубыли
213,Beere::N,კენკრა,узы-боры
214,Apfel::N,ვაშლი,яблок
215,Pilz::N,სოკო,губи
216,Zwiebel::N,ხახვი,сугон
