,Concept_ID,ja,mrj
0,Auge::N,目,сӹнзӓ
1,Ohr::N,耳,пӹлӹш
2,Nase::N,鼻,нер
3,Mund::N,口,ышма
4,Zahn::N,歯,пӱ
5,Zunge::N,舌,йӹлмӹ
6,Lippe::N,唇,тӹрвӹ
7,Wange::N,頬,шӹргӹ
8,Gesicht::N,顔,лицӓ
9,Stirn::N,額,лепкӓ
10,Haar::N,髪,ӱп
11,Schnurrbart::N,口髭,öрш
12,Bart::N,髭,пандаш
13,Kinn::N,顎,онгылаш
14,Kiefer[Anatomie]::N,顎,пӱ арата
15,Kehle::N,喉,логер
16,Hals::N,首,шӱ
17,Genick::N,首,ланга
18,Kopf::N,頭,вуй
19,Rücken::N,背中,туп
20,Bauch::N,腹,мӹшкӹр
21,Bauch::N,お腹,мӹшкӹр
22,Nabel::N,へそ,кӹлӹмдӹ
23,Busen::N,乳房,цӹзӹ
24,Brust::N,胸,мел
25,Schulter::N,肩,ӹнгӹжӓ
26,Arm::N,腕,кид
27,Ellenbogen::N,肘,кӹнервуй
28,Hand::N,手,лапа
29,Handfläche::N,手のひら,кид лапа
30,Finger::N,指,парня
31,Fingernagel::N,爪,кӹч
32,Nagel[Anatomie]::N,爪,кӹч
33,Zeh::N,足の指,парня
34,Fuß::N,足,ял лапа
35,Ferse::N,かかと,ялгавал
36,Ferse::N,かかと,ял кавал
37,Knie::N,膝,пылвуй
38,Oberschenkel::N,上腿,ӓрдӹ
39,Bein::N,足,ял
40,Körper::N,体,монгыр
41,Haut::N,皮膚,кавашты
42,Blut::N,血,вӹр
43,Ader::N,血管,вӹршӓр
44,Sehne::N,腱,кукшышӱн
45,Knochen::N,骨,лу
46,Gehirn::N,脳,вим
47,Herz::N,心,шӱм
48,Herz::N,心臓,шӱм
49,Magen::N,胃,шӱм
50,Leber::N,肝臓,мокш
51,Atem::N,息,шӱлӹш
52,Atem::N,呼吸,шӱлӹш
53,Hunger::N,空腹,шужымаш
54,Träne::N,涙,сӹнзӓвӹд
55,Geschmack::N,味,тот
56,Geruch::N,匂い,пыш
57,Schlaf::N,睡眠,ом
58,Traum::N,夢,ом
59,Himmel::N,空,пӹлгом
60,Sonne::N,太陽,кечӹ
61,Mond::N,月,тӹлзӹ
62,Stern::N,星,шӹдӹр
63,Luft::N,空気,юж
64,Luft::N,空気,воздух
65,Wind::N,風,мардеж
66,Welle::N,波,ко
67,Welle::N,波,коэ
68,Wasser::N,水,вӹд
69,Stein::N,石,кӱ
70,Boden::N,土地,рок
71,Erde::N,土,свет
72,Staub::N,埃,пырак
73,Rauch::N,煙,шӹкш
74,Funke::N,火花,ип
75,Funke::N,火花,тылип
76,Feuer::N,火,тыл
77,Licht::N,光,соты
78,Licht::N,光,валгыды
79,Schatten::N,陰,ӹмӹл
80,Wetter::N,天気,игечӹ
81,Nebel::N,霧,тӹтӹрӓ
82,Wolke::N,雲,пӹл
83,Regen::N,雨,юр
84,Schnee::N,雪,лым
85,Eis::N,氷,и
86,Frost::N,霜,ӱштӹ
87,Kälte::N,寒さ,ӱштӹ
88,Hitze::N,暑さ,шокшы
89,Raureif::N,霧氷,пöрш
90,Regenbogen::N,虹,шанавӹл
91,Donner::N,雷,хӹдӹртӹш
92,Strömung::N,流れ,йогы
93,Tropfen::N,滴,капльы
94,Tropfen::N,滴,капльык
95,Schaum::N,泡,шонг
96,Schmutz::N,汚れ,лявӹрӓ
97,See::N,湖,йӓр
98,Sumpf::N,沼,лӱкӹ
99,Moor::N,湿原,куп
100,Wiese::N,草原,алык
101,Wald::N,森,шӹргӹ
102,Hügel::N,丘,пӱгӹрикӓ
103,Anhöhe::N,高み,кӱкшикӓ
104,Berg::N,山,кырык
105,Gipfel::N,頂上,неркӓ
106,Höhle::N,洞窟,ы́раж
107,Abhang::N,斜面,полом
108,Quelle::N,泉,вӹдсӹнзӓ
109,Bach::N,小川,ӓнгӹр
110,Fluss::N,川,вӹд
111,Ufer::N,岸,сир
112,Küste::N,海岸,сир
113,Festland::N,陸,мӱлӓндӹ
114,Meer::N,海,тангыж
115,Bucht::N,湾,вӹдъял
116,Insel::N,島,острок
117,Blume::N,花,пеледӹш
118,Gras::N,草,шуды
119,Wurzel::N,根,важ
120,Baum::N,木,пушӓнгӹ
121,Stamm::N,幹,пушӓнгӹ тӹнг
122,Rinde::N,皮層,каргыж
123,Ast::N,枝,укш
124,Zweig::N,小枝,укш
125,Blatt::N,葉,листӹ
126,Birke::N,樺,куги
127,Kiefer[Baum]::N,松,йӓктӹ
128,Weide[Baum]::N,柳,уа
129,Tanne::N,樅,кож
130,Horn::N,角,шур
131,Feder::N,羽根,пын
132,Fell::N,毛皮,кавашты
133,Flügel::N,羽,шылдыр
134,Klaue::N,鉤爪,кӹч
