,Concept_ID,vep,pt
0,Auge::N,sil'm,olho
1,Ohr::N,korv,orelha
2,Nase::N,nena,nariz
3,Mund::N,su,boca
4,Zahn::N,pi,dente
5,Zahn::N,hambaz,dente
6,Zunge::N,kel',língua
7,Lippe::N,hul',lábio
8,Wange::N,modpolišk,face
9,Gesicht::N,mod,cara
10,Gesicht::N,mod,rosto
11,Stirn::N,oc,testa
12,Haar::N,tuk,cabelo
13,Haar::N,hibuz,cabelo
14,Schnurrbart::N,habinod,bigode
15,Bart::N,bard,barba
16,Kinn::N,löug,queixo
17,Kiefer[Anatomie]::N,hambazlu,maxila
18,Kiefer[Anatomie]::N,hambazlu,mandíbula
19,Kehle::N,kurk,garganta
20,Hals::N,kagl,colo
21,Hals::N,kagl,pescoço
22,Genick::N,tagarai,nuca
23,Kopf::N,pä,cabeça
24,Rücken::N,sel'g,dorso
25,Rücken::N,sel'g,costas
26,Bauch::N,vac,ventre
27,Bauch::N,vac,barriga
28,Bauch::N,koht,ventre
29,Bauch::N,koht,barriga
30,Nabel::N,naba,umbigo
31,Busen::N,niža,seio
32,Brust::N,rind,peito
33,Schulter::N,oug,ombro
34,Arm::N,käzi,braço
35,Ellenbogen::N,künambruz,cotovelo
36,Hand::N,käzi,mão
37,Hand::N,käzitera,mão
38,Handfläche::N,kämen,palma
39,Handfläche::N,kämen,palma da mão
40,Finger::N,sor'm,dedo
41,Fingernagel::N,künz',unha
42,Nagel[Anatomie]::N,künz',unha
43,Zeh::N,barbaz,dedo do pé
44,Fuß::N,jaug,pé
45,Ferse::N,kand,calcanhar
46,Knie::N,komb,joelho
47,Knie::N,pol'v,joelho
48,Oberschenkel::N,riiže,coxa
49,Bein::N,jaug,perna
50,Körper::N,hibj,corpo
51,Haut::N,nahk,pele
52,Blut::N,čak,sangue
53,Blut::N,veri,sangue
54,Ader::N,son',veia
55,Sehne::N,jände,tendão
56,Knochen::N,lu,osso
57,Gehirn::N,aivod,cérebro
58,Herz::N,südäin,coração
59,Magen::N,südäikoht,estômago
60,Leber::N,maks,fígado
61,Atem::N,hengaiduz,fôlego
62,Hunger::N,näl'g,fome
63,Träne::N,kündal',lágrima
64,Geschmack::N,magu,gosto
65,Geruch::N,haju,odor
66,Geruch::N,haju,cheiro
67,Schlaf::N,uni,sono
68,Traum::N,unikuva,sonho
69,Himmel::N,taivaz,céu
70,Sonne::N,päiväine,sol
71,Mond::N,kudmaine,lua
72,Stern::N,tähtaz,estrela
73,Luft::N,il'm,ar
74,Wind::N,döl,vento
75,Wind::N,tullei,vento
76,Welle::N,ald,onda
77,Welle::N,laineh,onda
78,Wasser::N,vezi,água
79,Stein::N,kivi,pedra
80,Boden::N,ma,solo
81,Boden::N,pohj,solo
82,Erde::N,ma,terra
83,Staub::N,pölü,pó
84,Rauch::N,savu,fumo
85,Funke::N,kibin,faísca
86,Funke::N,kibin,centelha
87,Feuer::N,lämoi,fogo
88,Licht::N,vauktuz,luz
89,Schatten::N,pil'vez,sombra
90,Schatten::N,kuvahaine,sombra
91,Wetter::N,sä,tempo
92,Nebel::N,sumeg,nevoeiro
93,Wolke::N,pil'v,nuvem
94,Regen::N,vihm,chuva
95,Schnee::N,lumi,neve
96,Eis::N,jä,gelo
97,Frost::N,hala,gelo
98,Frost::N,hala,geada
99,Frost::N,pakaine,gelo
100,Frost::N,pakaine,geada
101,Kälte::N,vilu,frio
102,Hitze::N,räk,ardor
103,Raureif::N,hüde,geada
104,Regenbogen::N,jumalanbembel',arco-iris
105,Donner::N,juru,trovão
106,Donner::N,jumalanjuru,trovão
107,Strömung::N,joksmuz,corrente
108,Tropfen::N,tilkuine,gota
109,Schaum::N,vaht,espuma
110,Schmutz::N,redu,sujidade
111,Schmutz::N,redu,imundície
112,Schmutz::N,pačak,sujidade
113,Schmutz::N,pačak,imundície
114,See::N,järv,lago
115,Sumpf::N,so,charco
116,Sumpf::N,so,pântano
117,Moor::N,so,pântano
118,Wiese::N,nit,prado
119,Wald::N,mec,bosque
120,Wald::N,mec,floresta
121,Hügel::N,kukaz,colina
122,Anhöhe::N,kukaz,alto
123,Anhöhe::N,kukaz,outeiro
124,Berg::N,mägi,monte
125,Berg::N,mägi,montanha
126,Gipfel::N,ladv,pico
127,Höhle::N,mägionduz,caverna
128,Abhang::N,paute,encosta
129,Quelle::N,lähte,fonte
130,Bach::N,oja,regato
131,Bach::N,oja,ribeiro
132,Fluss::N,jogi,rio
133,Ufer::N,rand,beira
134,Küste::N,randišt,costa
135,Festland::N,kuivma,terra firme
136,Meer::N,meri,mar
137,Bucht::N,laht,baía
138,Insel::N,sar',ilha
139,Blume::N,änik,flor
140,Gras::N,hein,erva
141,Wurzel::N,jur',raiz
142,Baum::N,pu,árvore
143,Stamm::N,tüvi,tronco
144,Rinde::N,kor',casca
145,Ast::N,oks,ramo
146,Zweig::N,oks,galho
147,Zweig::N,barb,galho
148,Blatt::N,lehtez,folha
149,Birke::N,koiv,bétula
150,Kiefer[Baum]::N,pedai,pinheiro
151,Weide[Baum]::N,raid,salgueiro
152,Tanne::N,kuz',abeto
153,Horn::N,sar'v,corno
154,Horn::N,sar'v,chifre
155,Feder::N,höuneh,pena
156,Fell::N,nahk,pele
157,Flügel::N,suug,asa
158,Klaue::N,künz',pata
159,Kralle::N,künz',unha
160,Kralle::N,künz',garra
161,Schwanz::N,händ,rabo
162,Schwanz::N,händ,cauda
163,Ei::N,muna,ovo
164,Nest::N,peza,ninho
165,Bau::N,uru,toca
166,Bau::N,uru,covil
167,Tier::N,živat,animal
168,Herde::N,kogo,rebanho
169,Kuh::N,lehm,vaca
170,Bulle::N,härg,touro
171,Pferd::N,hebo,cavalo
172,Schaf::N,lambaz,ovelha
173,Schwein::N,siga,porco
174,Hund::N,koir,cão
175,Katze::N,kaži,gata
176,Bär::N,kondi,urso
177,Eichhörnchen::N,orav,esquilo
178,Elch::N,hirb',alce
179,Fuchs::N,reboi,raposa
180,Hase::N,jäniš,lebre
181,Maus::N,hir',rato
182,Wolf::N,händikaz,lobo
183,Vogel::N,lind,ave
184,Vogel::N,lind,pássaro
185,Schwarm::N,parveh,bando
186,Schwarm::N,parveh,enxame
187,Huhn::N,kana,galinha
188,Hahn::N,kukoi,galo
189,Gans::N,hanh',ganso
190,Adler::N,orl,águia
191,Ente::N,sorz,pata
192,Eule::N,hir'pulo,mocho
193,Eule::N,hir'pulo,coruja
194,Kranich::N,kurg,grou
195,Krähe::N,variš,gralha
196,Kuckuck::N,kägi,cuco
197,Schwan::N,joucen,cisne
198,Fisch::N,kala,peixe
199,Barsch::N,ahven,perca
200,Hecht::N,haug',lúcio
201,Schlange[Tier]::N,kü,serpente
202,Schlange[Tier]::N,mado,serpente
203,Wurm::N,mado,verme
204,Spinne::N,hämähouk,aranha
205,Ameise::N,murahaine,formiga
206,Laus::N,täi,piolho
207,Mücke::N,säs'k,mosquito
208,Fliege::N,kärbhaine,mosca
209,Schmetterling::N,lipkaine,borboleta
210,Beere::N,marj,bago
211,Apfel::N,jablok,maçã
212,Pilz::N,sen',fungo
213,Pilz::N,sen',cogumelo
214,Pilz::N,babuk,fungo
215,Pilz::N,babuk,cogumelo
216,Zwiebel::N,lauk,cebola
217,Saat::N,semned,sementeira
218,Korn::N,jüvä,grão
219,Korn::N,vill',grão
220,Heu::N,hein,feno
221,Schale::N,kor',casca
222,Grube::N,kop,cova
223,Grube::N,kop,fossa
224,Falle::N,rida,armadilha
225,Schlinge::N,rihm,laço
226,Spur::N,jäl'g,pista
227,Spur::N,jäl'g,vestígio
228,Asche::N,tuhk,cinza
229,Dreck::N,redu,sujidade
230,Dreck::N,pačak,sujidade
231,Eisen::N,raud,ferro
232,Gold::N,kuld,ouro
233,Silber::N,hobed,prata
234,Kohle::N,hil',carvão
235,Glas::N,stökol,vidro
236,Lehm::N,savi,barro
237,Lehm::N,savi,argila
238,Sand::N,lete,areia
239,Mensch::N,mez',homem
240,Mensch::N,mez',pessoa
241,Mensch::N,ristit,homem
242,Mensch::N,ristit,pessoa
243,Mann::N,mez',homem
244,Frau::N,naine,mulher
245,Kind::N,laps',filho
246,Kind::N,laps',criança
247,Junge::N,poig,rapaz
248,Junge::N,poig,menino
249,Junge::N,prihaine,rapaz
250,Junge::N,prihaine,menino
251,Mädchen::N,neičukaine,menina
252,Mädchen::N,neičukaine,rapariga
253,Familie::N,kanz,família
254,Familie::N,pereh,família
255,Großvater::N,ded,avô
256,Großmutter::N,bab,avó
257,Eltern::N,vanhembad,pais
258,Eltern::N,kazvatajad,pais
259,Vater::N,tat,pai
260,Mutter::N,mam,mãe
261,Sohn::N,poig,filho
262,Tochter::N,tütär,filha
263,Bruder::N,veik,irmão
264,Bruder::N,vell',irmão
265,Schwester::N,čiža,irmã
266,Schwester::N,sizar,irmã
267,Onkel::N,däd',tio
268,Tante::N,tädi,tia
269,Ehemann::N,mužik,esposo
270,Ehefrau::N,ak,esposa
271,Freude::N,ilo,prazer
272,Freude::N,ilo,alegria
273,Freude::N,ihastuz,prazer
274,Freude::N,ihastuz,alegria
275,Gelächter::N,nagr,risada
276,Gelächter::N,nagr,gargalhada
277,Glück::N,oza,felicidade
278,Kummer::N,gor'a,aflição
279,Kummer::N,gor'a,desgosto
280,Wunsch::N,taht,desejo
281,Lust::N,himo,vontade
282,Geist::N,heng,mente
283,Geist::N,heng,espírito
284,Gedanke::N,meletuz,ideia
285,Gedanke::N,meletuz,pensamento
286,Gedächtnis::N,mušt,memória
287,Verstand::N,mel',razão
288,Verstand::N,mel',inteligência
289,Sinn::N,jüvä,sentido
290,Sinn::N,jüvä,significado
291,Grund::N,sü,causa
292,Grund::N,sü,motivo
293,Wahrheit::N,tozi,verdade
294,Gespräch::N,lodu,conversa
295,Gespräch::N,lodu,conversação
296,Gespräch::N,pagin,conversa
297,Gespräch::N,pagin,conversação
298,Märchen::N,sarn,conto
299,Erzählung::N,sanutez,conto
300,Erzählung::N,sanutez,narrativa
301,Nachricht::N,tedotuz,mensagem
302,Neuigkeit::N,uzištuz,notícia
303,Neuigkeit::N,uzištuz,novidade
304,Name::N,nimi,nome
305,Rätsel::N,ozoitez,adivinha
306,Rede::N,pagin,oração
307,Rede::N,pagin,discurso
308,Rede::N,sanad,oração
309,Rede::N,sanad,discurso
310,Sprache::N,kel',língua
311,Stimme::N,än',voz
312,Wort::N,sana,palavra
313,Zeichen::N,znam,marca
314,Ruf::N,kida,grito
315,Ruf::N,kida,chamada
316,Ruf::N,kucund,grito
317,Ruf::N,kucund,chamada
318,Lärm::N,judu,ruído
319,Lärm::N,judu,barulho
320,Laut::N,kulund,som
321,Ton::N,kulund,tom
322,Lied::N,pajo,canção
323,Ruhe::N,lebu,calma
324,Ruhe::N,lebu,silêncio
325,Leute::N,rahvaz,gente
326,Leute::N,rahvaz,pessoas
327,Volk::N,rahvaz,povo
328,Volk::N,rahvaz,nação
329,Arbeit::N,tö,trabalho
330,Arbeit::N,rad,trabalho
331,Gast::N,adiv,hóspede
332,Gast::N,adiv,convidado
333,Geschenk::N,lahj,prenda
334,Geschenk::N,lahj,presente
335,Spiel::N,vänd,jogo
336,Gesellschaft::N,sebr,companhia
337,Hilfe::N,abu,ajuda
338,Hilfe::N,abu,socorro
339,Freund::N,sebranik,amigo
340,Kamerad::N,sebranik,camarada
341,Angelegenheit::N,azj,assunto
342,Anzahl::N,lugu,número
343,Anzahl::N,lugu,quantidade
344,Art::N,rod,tipo
345,Art::N,rod,espécie
346,Art::N,rodsugu,tipo
347,Art::N,rodsugu,espécie
348,Stück::N,pala,pedaço
349,Stück::N,supal,pedaço
350,Teil::N,pala,peça
351,Teil::N,pala,parte
352,Hälfte::N,pol',metade
353,Kreis::N,ümbruz,círculo
354,Kreis::N,kehkruz,círculo
355,Kreuz::N,rist,cruz
356,Linie::N,pird,linha
357,Strich::N,pird,traço
358,Abstand::N,keskust,distância
359,Entfernung::N,matk,distância
360,Gegend::N,taho,área
361,Gegend::N,taho,região
362,Platz::N,avaruz',lugar
363,Ort::N,koht,sítio
364,Seite::N,pol',lado
365,Seite::N,kül'g,lado
366,Mitte::N,kesk,meio
367,Gegenstand::N,kalu,objecto
368,Sache::N,azj,coisa
369,Rand::N,röun,bordo
370,Rand::N,röun,margem
371,Kante::N,röun,borda
372,Kante::N,röun,aresta
373,Ecke::N,saum,esquina
374,Spitze::N,agjaine,ponta
375,Ende::N,agj,cabo
376,Ende::N,agj,extremo
377,Loch::N,reig,furo
378,Loch::N,reig,buraco
379,Winkel::N,čoga,canto
380,Winkel::N,čoga,ângulo
381,Winkel::N,saum,canto
