,Concept_ID,ca,tt
0,Auge::N,ull,күз
1,Ohr::N,orella,колак
2,Nase::N,nas,борын
3,Mund::N,boca,авыз
4,Mund::N,boca,тамак
5,Zahn::N,dent,теш
6,Zunge::N,llēngua,тел
7,Lippe::N,llavi,ирен
8,Wange::N,galta,яңак
9,Gesicht::N,cara,йөз
10,Stirn::N,front,маңгай
11,Haar::N,cabēll,чәч
12,Schnurrbart::N,bigoti,мыек
13,Bart::N,barba,сакал
14,Kinn::N,mentó,ияк
15,Kinn::N,barbeta,ияк
16,Kiefer[Anatomie]::N,queix,казналык
17,Kiefer[Anatomie]::N,mandíbula,казналык
18,Kehle::N,gola,тамак
19,Kehle::N,gorja,тамак
20,Hals::N,coll,бугаз
21,Genick::N,nuca,җилкә
22,Kopf::N,cap,баш
23,Rücken::N,esquena,сырт
24,Bauch::N,panxa,корсак
25,Nabel::N,llombrígol,кендек
26,Busen::N,pit,түш
27,Busen::N,mama,түш
28,Brust::N,pit,имчәк
29,Brust::N,pit,күкрәк
30,Schulter::N,espatlla,иңбаш
31,Schulter::N,espatlla,кулбаш
32,Arm::N,braç,кул
33,Ellenbogen::N,colze,терсәк
34,Hand::N,mà,кул
35,Handfläche::N,palma,уч
36,Finger::N,dit,бармак
37,Fingernagel::N,ungla,тырнак
38,Nagel[Anatomie]::N,ungla,тырнак
39,Zeh::N,dit del peu,бармак
40,Fuß::N,peu,табан
41,Ferse::N,taló,үкчә
42,Knie::N,genoll,тез
43,Oberschenkel::N,cuixa,бот
44,Bein::N,cama,аяк
45,Körper::N,cos,тән
46,Körper::N,cos,җисем
47,Haut::N,pell,тире
48,Blut::N,sang,кан
49,Ader::N,vena,тамыр
50,Sehne::N,tendó,сеңер
51,Knochen::N,os,сөяк
52,Gehirn::N,cervell,ми
53,Herz::N,cor,йөрәк
54,Magen::N,estómac,ашказаны
55,Leber::N,fetge,бавыр
56,Atem::N,alè,сулыш
57,Atem::N,hàlit,сулыш
58,Hunger::N,fam,ачлык
59,Hunger::N,gana,ачлык
60,Träne::N,llàgrima,яшь
61,Geschmack::N,gust,тәм
62,Geschmack::N,gust,зәвык
63,Geschmack::N,sabor,тәм
64,Geschmack::N,sabor,зәвык
65,Geruch::N,olor,ис
66,Schlaf::N,son,йокы
67,Traum::N,somni,төш
68,Himmel::N,celm,күк
69,Sonne::N,sol,кояш
70,Mond::N,lluna,ай
71,Stern::N,estel,йолдыз
72,Stern::N,estrella,йолдыз
73,Luft::N,aire,һава
74,Wind::N,vent,җил
75,Welle::N,ona,дулкын
76,Wasser::N,āigua,су
77,Stein::N,pedra,таш
78,Boden::N,sòl,туфрак
79,Erde::N,terra,җир
80,Staub::N,pols,тузан
81,Rauch::N,fum,төтен
82,Funke::N,guspira,очкын
83,Funke::N,centella,очкын
84,Feuer::N,foc,ут
