,Concept_ID,pt,mn
0,Auge::N,olho,нүд
1,Ohr::N,orelha,чих
2,Nase::N,nariz,хамар
3,Mund::N,boca,ам
4,Zahn::N,dente,шүд
5,Zunge::N,língua,хэл
6,Lippe::N,lábio,уруул
7,Wange::N,face,хацар
8,Gesicht::N,cara,царай
9,Gesicht::N,cara,нүүр
10,Gesicht::N,rosto,царай
11,Gesicht::N,rosto,нүүр
12,Stirn::N,testa,дух
13,Haar::N,cabelo,үс
14,Schnurrbart::N,bigode,дээд сахал
15,Schnurrbart::N,bigode,живэр сахал
16,Bart::N,barba,сахал
17,Kinn::N,queixo,эрүү
18,Kiefer[Anatomie]::N,maxila,эрүү
19,Kiefer[Anatomie]::N,mandíbula,эрүү
20,Kehle::N,garganta,хоолой
21,Hals::N,colo,хүзүү
22,Hals::N,pescoço,хүзүү
23,Genick::N,nuca,шил
24,Genick::N,nuca,хүзүү
25,Kopf::N,cabeça,толгой
26,Rücken::N,dorso,ар
27,Rücken::N,dorso,нуруу
28,Rücken::N,costas,ар
29,Rücken::N,costas,нуруу
30,Bauch::N,ventre,хэвлий
31,Bauch::N,ventre,гэдэс
32,Bauch::N,barriga,хэвлий
33,Bauch::N,barriga,гэдэс
34,Nabel::N,umbigo,хүйс
35,Busen::N,seio,хөх
36,Brust::N,peito,цээж
37,Schulter::N,ombro,мөр
38,Schulter::N,ombro,бугалга
39,Arm::N,braço,гар
40,Ellenbogen::N,cotovelo,тохой
41,Hand::N,mão,гар
42,Hand::N,mão,алга
43,Handfläche::N,palma,алга
44,Handfläche::N,palma da mão,алга
45,Finger::N,dedo,хуруу
46,Fingernagel::N,unha,хурууны хумс
47,Nagel[Anatomie]::N,unha,хумс
48,Zeh::N,dedo do pé,хуруу
49,Fuß::N,pé,хөл
50,Ferse::N,calcanhar,өсгий
51,Knie::N,joelho,өвдөг
52,Oberschenkel::N,coxa,гуя
53,Bein::N,perna,хөл
54,Körper::N,corpo,бие
55,Haut::N,pele,арьс
56,Blut::N,sangue,цус
57,Ader::N,veia,судас
58,Sehne::N,tendão,бүлх
59,Sehne::N,tendão,шандас
60,Knochen::N,osso,яс
61,Gehirn::N,cérebro,тархи
62,Herz::N,coração,зүрх
63,Magen::N,estômago,ходоод
64,Leber::N,fígado,элэг
65,Atem::N,fôlego,амьсгаа
66,Hunger::N,fome,өлсгөлөн
67,Träne::N,lágrima,нулимс
68,Geschmack::N,gosto,амт
69,Geruch::N,odor,үнэр
70,Geruch::N,cheiro,үнэр
71,Schlaf::N,sono,нойр
72,Traum::N,sonho,зүүд
73,Himmel::N,céu,тэнгэр
74,Himmel::N,céu,огторгуй
75,Sonne::N,sol,нар
76,Mond::N,lua,сар
77,Stern::N,estrela,од
78,Luft::N,ar,агаар
79,Wind::N,vento,салхи
80,Welle::N,onda,долгио
81,Welle::N,onda,давалгаа
82,Wasser::N,água,ус
83,Stein::N,pedra,чулуу
84,Boden::N,solo,хөрс
85,Erde::N,terra,газар
86,Erde::N,terra,шороо
87,Staub::N,pó,тоос
88,Rauch::N,fumo,утаа
89,Funke::N,faísca,оч
90,Funke::N,centelha,оч
91,Feuer::N,fogo,гал
92,Licht::N,luz,гэрэл
93,Licht::N,luz,гэгээ
94,Schatten::N,sombra,сүүдэр
95,Wetter::N,tempo,тэнгэр
96,Wetter::N,tempo,цаг уур
97,Nebel::N,nevoeiro,будан
98,Wolke::N,nuvem,үүл
99,Regen::N,chuva,бороо
100,Schnee::N,neve,цас
101,Eis::N,gelo,мөс
102,Frost::N,gelo,хүйт
103,Frost::N,geada,хүйт
104,Kälte::N,frio,хүйт
105,Hitze::N,ardor,халуун
106,Raureif::N,geada,цан
107,Raureif::N,geada,хяруу
108,Regenbogen::N,arco-iris,солонго
109,Donner::N,trovão,тэнгэрийн дуу
110,Strömung::N,corrente,урсгал
111,Tropfen::N,gota,дусал
112,Schaum::N,espuma,хөөс
113,Schmutz::N,sujidade,хир
114,Schmutz::N,sujidade,шавхай
115,Schmutz::N,imundície,хир
116,Schmutz::N,imundície,шавхай
117,See::N,lago,нуур
118,Sumpf::N,charco,намаг
119,Sumpf::N,charco,балчиг
120,Sumpf::N,pântano,намаг
121,Sumpf::N,pântano,балчиг
122,Moor::N,pântano,хүлрийн намаг
123,Wiese::N,prado,нуга
124,Wald::N,bosque,ой
125,Wald::N,floresta,ой
126,Hügel::N,colina,болдог
127,Anhöhe::N,alto,гүвээ
128,Anhöhe::N,outeiro,гүвээ
129,Berg::N,monte,уул
130,Berg::N,montanha,уул
131,Gipfel::N,pico,орой
132,Gipfel::N,pico,оргил
133,Höhle::N,caverna,агуй
134,Abhang::N,encosta,хүр
135,Quelle::N,fonte,булаг
136,Bach::N,regato,горхи
137,Bach::N,ribeiro,горхи
138,Fluss::N,rio,гол
139,Fluss::N,rio,мөрөн
140,Ufer::N,beira,эрэг
141,Küste::N,costa,эрэг
142,Festland::N,terra firme,хуурай газар
143,Meer::N,mar,далай
144,Meer::N,mar,тэнгис
145,Bucht::N,baía,булан
146,Bucht::N,baía,далайн тохой
147,Insel::N,ilha,арал
148,Blume::N,flor,цэцэг
