,Concept_ID,av,mrj
97,Tropfen::N,тӏенкӏел,капльы
98,Tropfen::N,тӏенкӏел,капльык
99,Schaum::N,полоп,шонг
100,Schmutz::N,чороклъи,лявӹрӓ
101,See::N,хӏор,йӓр
102,Sumpf::N,хьуцӏ,лӱкӹ
103,Wiese::N,мегъ,алык
104,Wiese::N,гӏурдаллъи,алык
105,Wald::N,рохь,шӹргӹ
106,Hügel::N,гохӏ,пӱгӹрикӓ
107,Anhöhe::N,сийитма,кӱкшикӓ
108,Berg::N,мегӏер,кырык
109,Gipfel::N,тӏогь,неркӓ
110,Höhle::N,нохъо,ы́раж
111,Abhang::N,лабаллъи,полом
112,Quelle::N,ицц,вӹдсӹнзӓ
113,Bach::N,лъар,ӓнгӹр
114,Fluss::N,гӏор,вӹд
115,Ufer::N,рагӏал,сир
116,Küste::N,рагӏал,сир
117,Festland::N,ракь,мӱлӓндӹ
118,Festland::N,ракъдаллъи,мӱлӓндӹ
119,Meer::N,ралъад,тангыж
120,Bucht::N,кӏветӏ,вӹдъял
121,Insel::N,чӏинкӏиллъи,острок
122,Blume::N,тӏегь,пеледӹш
123,Gras::N,хер,шуды
124,Wurzel::N,кьибил,важ
125,Baum::N,гъветӏ,пушӓнгӹ
126,Stamm::N,рохти,пушӓнгӹ тӹнг
127,Rinde::N,макъар,каргыж
128,Ast::N,ноцӏ,укш
129,Zweig::N,гӏаркьел,укш
130,Blatt::N,тӏамах,листӹ
131,Birke::N,мах,куги
132,Birke::N,махигъветӏ,куги
133,Kiefer[Baum]::N,накӏкӏигъветӏ,йӓктӹ
134,Weide[Baum]::N,рицӏцӏ,уа
135,Weide[Baum]::N,рицӏцӏигъветӏ,уа
136,Tanne::N,ёлка,кож
137,Horn::N,лълъар,шур
138,Feder::N,хӏули,пын
139,Fell::N,тӏом,кавашты
140,Fell::N,цӏоко,кавашты
141,Flügel::N,кваркьи,шылдыр
142,Klaue::N,галъ,кӹч
143,Kralle::N,квачӏ,лапа
144,Kralle::N,катиквачӏ,лапа
145,Schwanz::N,рачӏ,пач
146,Ei::N,хоно,мыны
147,Nest::N,бусен,пӹжӓш
148,Bau::N,каратӏ,ыраж
149,Tier::N,хӏайван,во́льык
150,Herde::N,рехъен,кӹтö
151,Herde::N,рехъед,кӹтö
152,Kuh::N,гӏака,ышкал
153,Bulle::N,оц,ӱшкӱж
154,Pferd::N,чу,имни
155,Schaf::N,чахъу,шарык
156,Schwein::N,болъон,сасна
157,Hund::N,гьой,пи
158,Katze::N,кету,коти
159,Bär::N,ци,мöскӓ
160,Eichhörnchen::N,гвангва,ур
161,Fuchs::N,цер,рӹвӹж
162,Hase::N,гӏанкӏ,морен
163,Maus::N,гӏункӏкӏ,каля
164,Wolf::N,бацӏ,пирӹ
165,Vogel::N,хӏинчӏ,кек
166,Schwarm::N,тӏел,цуца
167,Huhn::N,гӏанкӏу,цӹвӹ
168,Hahn::N,хӏелеко,ӓптӓн
169,Gans::N,хъаз,комбы
170,Adler::N,цӏум,кучкыж
171,Ente::N,ордек,лыды
172,Eule::N,беццаруз,тымана
173,Kranich::N,къункъра,тырня
174,Kranich::N,къункъра,тыртня
175,Krähe::N,гъеду,лудыгарак
176,Kuckuck::N,гагу,куку
177,Schwan::N,хӏанкъва,йӱксӹ
178,Fisch::N,ччугӏа,кол
179,Barsch::N,окунь,алангы
180,Hecht::N,щука,нуж
181,Hecht::N,щука,нужгол
182,Schlange[Tier]::N,борохь,кӹшкы
183,Wurm::N,хӏапара,шукш
184,Spinne::N,хъанхъра,ӓнгӹремшӹ
185,Ameise::N,цӏунцӏра,кыткы
186,Laus::N,нацӏ,ти
187,Mücke::N,кӏкӏара,кужнер
188,Mücke::N,кӏкӏара,кужынер
189,Fliege::N,тӏутӏ,шӹнгӓ
190,Schmetterling::N,кӏалкӏучӏ,лӹпӹ
191,Apfel::N,гӏеч,олма
192,Pilz::N,гӏурдахӏан,понгы
193,Zwiebel::N,кӏочӏопер,охыра
194,Saat::N,хьон,нӱшмӹ
195,Saat::N,хьон,нӱшмӱ
196,Korn::N,мугь,пӹрцӹ
197,Heu::N,хер,шуды
198,Schale::N,хъал,аваха
199,Schale::N,хъал,карлангы
200,Grube::N,гвенд,йӓм
201,Falle::N,къор,лӱдӹ
202,Falle::N,къор,лӱдӹш
203,Falle::N,къотен,лӱдӹ
204,Falle::N,къотен,лӱдӹш
205,Schlinge::N,кӏичӏ,онгы
206,Spur::N,лъалкӏ,кишӓ
207,Asche::N,рахъу,ломых
208,Asche::N,рахъу,ломпыж
209,Dreck::N,гъиз,лявӹрӓ
210,Dreck::N,хӏарщ,лявӹрӓ
211,Eisen::N,махх,кӹртни
212,Gold::N,месед,шöртни
213,Gold::N,месед,шöртньӹ
214,Silber::N,гӏарац,ши
215,Kohle::N,тӏурччи,шӱ
216,Glas::N,цӏер,охоница
217,Lehm::N,хӏатӏ,шун
218,Sand::N,сали,ошма
219,Mensch::N,чи,эдем
220,Mann::N,бихьинчи,пӱэргӹ
221,Frau::N,гӏадан,ӹдӹрӓмӓш
222,Kind::N,лъимер,ӓзӓ
223,Kind::N,лъимер,шачшы
224,Junge::N,вас,рвезӹ
225,Junge::N,вас,ӹрвезӹ
226,Mädchen::N,яс,ӹдӹрӓш
227,Familie::N,хъизан,йиш
228,Familie::N,хъизан,семня
229,Großvater::N,кӏудада,тьоти
230,Großmutter::N,кӏодо,папа
231,Eltern::N,эбел-эмен,ӓтя-ӓвӓ
232,Vater::N,эмен,ӓтя
233,Mutter::N,эбел,ӓвӓ
234,Sohn::N,вас,эргӹ
235,Tochter::N,яс,ӹдӹр
236,Bruder::N,вац,ӹза
237,Schwester::N,яц,ӓкӓ
238,Onkel::N,даци,кугуза
239,Tante::N,ада,куака
240,Ehemann::N,рос,мары
241,Ehefrau::N,чӏужу,вӓтӹ
242,Freude::N,ракӏбохи,ӹвӹртӹмӓш
243,Gelächter::N,релъи,ваштылмаш
244,Glück::N,талихӏ,пиӓл
245,Glück::N,талихӏ-рохел,пиӓл
246,Kummer::N,хӏалкъай,ясы
247,Wunsch::N,къасд,охата
248,Wunsch::N,къасд,шанымаш
249,Lust::N,гъира,шӓр
250,Lust::N,гъира,охата
251,Lust::N,гъира,шанымаш
252,Geist::N,чӏанкӏ,тух
253,Geist::N,рухӏ-жан,тух
254,Gedanke::N,пикру,шанымаш
255,Verstand::N,лумалъи,ыш
256,Verstand::N,цӏодорлъи,ыш
257,Sinn::N,магӏна,кын
258,Grund::N,багьана,вир
259,Wahrheit::N,ритӏухълъи,тöр
260,Gespräch::N,накъит,хытырымаш
261,Märchen::N,маргьа,ямак
262,Erzählung::N,къиса,шайыштмаш
263,Nachricht::N,хабар,увертӓрӹмӓш
264,Neuigkeit::N,хабар-гӏазаб,увер
265,Name::N,цӏар,лӹм
266,Rätsel::N,бицанкӏо,тышты
267,Rede::N,речь,шая
268,Rede::N,речь,шамак
269,Rede::N,калам,шая
270,Rede::N,калам,шамак
271,Sprache::N,мацӏ,йӹлмӹ
272,Stimme::N,гьаракь,юк
273,Wort::N,рагӏи,шамак
274,Zeichen::N,ишара,палӹ
275,Zeichen::N,гӏаламат,палӹ
276,Ruf::N,ахӏи,сӹгӹрӹмӓш
277,Lärm::N,хъуй,юкланымащ
278,Lärm::N,хъуди,юкланымащ
279,Laut::N,гьаракь,юк
280,Laut::N,сас,юк
281,Lied::N,кечӏ,мыры
282,Ruhe::N,рахӏат,тыр
283,Leute::N,гӏадамал,эдемвлӓ
284,Volk::N,халкъ,халык
285,Arbeit::N,хӏалтӏи,пӓшӓ
286,Gast::N,гьобол,хына
287,Geschenk::N,сайигъат,подарка
288,Spiel::N,хӏай,мадыш
289,Spiel::N,расанди,мадыш
290,Gesellschaft::N,жамагӏат,йӓл
291,Gesellschaft::N,жамагӏат,йӓлвлӓ
292,Hilfe::N,кумек,палшык
293,Freund::N,гьудул,тӓнг
294,Kamerad::N,гьалмагъ,тос
295,Angelegenheit::N,къваригӏел,дела
296,Angelegenheit::N,къваригӏел,йела
297,Angelegenheit::N,къваригӏел,йыла
298,Angelegenheit::N,къваригӏел,пӓшӓ
299,Anzahl::N,рикӏкӏен,шот
300,Art::N,жинс,цӹре
301,Stück::N,кесек,лаштык
302,Teil::N,пай,пай
303,Teil::N,пай,часть
304,Hälfte::N,бащдаб,пел
305,Kreis::N,гор,тӹртӹш
306,Kreuz::N,хъанч,крестӹ
307,Linie::N,мухъ,
308,Strich::N,хӏучч,
309,Abstand::N,манзил,ло
310,Entfernung::N,манзил,ло
311,Gegend::N,рахъ,вӓр
312,Platz::N,бакӏ,вӓр
313,Ort::N,бакӏ,вӓр
314,Seite::N,рахъ,öрдӹж
315,Mitte::N,бакьулъбакӏ,ло
316,Gegenstand::N,жо,хӓдӹр
317,Sache::N,жо,хӓдӹр
318,Rand::N,мицӏир,шöр
319,Kante::N,рагӏал,шöр
320,Kante::N,рагӏа-ракьан,шöр
321,Ecke::N,цили,лык
322,Spitze::N,тӏогь,вуй
323,Ende::N,кӏал,вуй
324,Ende::N,кӏал,мычаш
325,Loch::N,каратӏ,ыраж
326,Muster::N,накъиш,тӹрлец
327,Größe::N,кӏодо́лъи,кӱкшӹц
328,Länge::N,халалъи,кыт
329,Höhe::N,борхалъи,кӱкшӹц
330,Gewicht::N,бакӏлъи,нелӹц
331,Haufen::N,гъуни,ара
332,Reihe::N,ирга́,ряд
333,Boot::N,раса,пыш
334,Ruder::N,раххан,вешлӓ
335,Schlitten::N,чанагъ,тир
336,Ski::N,лыжаби,ечӹ
337,Lagerfeuer::N,цӏа,тыл
338,Last::N,бакӏлъи,нелӹц
339,Gang::N,хьвади,ход
340,Gang::N,хьвада-чӏвади,ход
341,Schritt::N,гали,ашкыл
342,Norden::N,шимал,йыдпелвел
343,Süden::N,юг,кечӹвӓлвел
344,Süden::N,къибла,кечӹвӓлвел
345,Westen::N,гъарб,кечӹ шӹцмӹ
346,Westen::N,магъриб,кечӹ шӹцмӹ
347,Osten::N,шаркъ,ирвел
348,Osten::N,шаркъ,кечӹ лӱлтмӹ
349,Osten::N,машрикъ,ирвел
350,Osten::N,машрикъ,кечӹ лӱлтмӹ
351,Holz::N,цӏул,пушӓнгӹ
352,Brett::N,хъарщи,ханга
353,Platte::N,къоно,плитӓ
354,Stange::N,гӏер,равы
355,Stange::N,гӏер,намаш
356,Stock::N,тӏил,панды
357,Stab::N,гӏер,равы
358,Rohr::N,турба,пыч
359,Haus::N,ригь,пöрт
360,Haus::N,рукъзал,пöрт
361,Heim::N,рукъ,пöрт
362,Ofen::N,печь,камака
363,Fußboden::N,чӏабар,седӹрӓ
364,Tisch::N,стол,стöл
365,Stuhl::N,бакӏу,пöкен
366,Wiege::N,кини,шипкӓ
367,Bett::N,кровать,койка
368,Bett::N,кровать,кравать
369,Regal::N,хъарщи,полицӓ
370,Kiste::N,ящик,шӱ́ндӹк
371,Kiste::N,тӏалагъуд,шӱ́ндӹк
