,Concept_ID,se,de
0,Auge::N,tjelmie,Auge
1,Auge::N,tjalmme,Auge
2,Auge::N,čalbmi,Auge
3,Auge::N,čalme,Auge
4,Auge::N,čâ´lmm,Auge
5,Auge::N,ча̄лльм,Auge
6,Ohr::N,bieljie,Ohr
7,Ohr::N,biellje,Ohr
8,Ohr::N,beallji,Ohr
9,Ohr::N,pelji,Ohr
10,Ohr::N,pe´llj,Ohr
11,Ohr::N,пе̄лльй,Ohr
12,Nase::N,njuenie,Nase
13,Nase::N,njunnje,Nase
14,Nase::N,njunni,Nase
15,Nase::N,njuṇe,Nase
16,Nase::N,njuu´nn,Nase
17,Nase::N,нюннҍ,Nase
18,Mund::N,njaelmie,Mund
19,Mund::N,njálmme,Mund
20,Mund::N,njálbmi,Mund
21,Mund::N,njälmi,Mund
22,Mund::N,njä´lmm,Mund
23,Mund::N,ня̄лльм,Mund
24,Zahn::N,baenie,Zahn
25,Zahn::N,bádne,Zahn
26,Zahn::N,bátni,Zahn
27,Zahn::N,pääṇi,Zahn
28,Zahn::N,pää´nn,Zahn
29,Zahn::N,па̄ннҍ,Zahn
30,Zunge::N,njoektjeme,Zunge
31,Zunge::N,njuovtjav,Zunge
32,Zunge::N,njuovčča,Zunge
33,Zunge::N,njuovčâ,Zunge
34,Zunge::N,njuhččâm,Zunge
35,Zunge::N,нюхчем,Zunge
36,Lippe::N,bangseme,Lippe
37,Lippe::N,njálmmerabdda,Lippe
38,Lippe::N,bavssa,Lippe
39,Lippe::N,poovsâ,Lippe
40,Lippe::N,põõus,Lippe
41,Lippe::N,пэ̄кс,Lippe
42,Wange::N,skiehrie,Wange
43,Wange::N,nierra,Wange
44,Wange::N,muohtu,Wange
45,Wange::N,nieṛâ,Wange
46,Wange::N,njiõrr,Wange
47,Wange::N,нӣрр,Wange
48,Gesicht::N,ååredæjja,Gesicht
49,Gesicht::N,muohto,Gesicht
50,Gesicht::N,muođut,Gesicht
51,Gesicht::N,ámadadju,Gesicht
52,Gesicht::N,muáđuh,Gesicht
53,Gesicht::N,muâđ,Gesicht
54,Gesicht::N,ка̄ссв,Gesicht
55,Stirn::N,gaalloe,Stirn
56,Stirn::N,gállo,Stirn
57,Stirn::N,gállu,Stirn
58,Stirn::N,kállu,Stirn
59,Stirn::N,käll,Stirn
60,Stirn::N,вуэххьц,Stirn
61,Haar::N,voepte,Haar
62,Haar::N,vuoppta,Haar
63,Haar::N,vuokta,Haar
64,Haar::N,vuop'tâ,Haar
65,Haar::N,vuõpt,Haar
66,Haar::N,вӯппт,Haar
67,Schnurrbart::N,bijjie-skaavtjoe,Schnurrbart
68,Schnurrbart::N,njunjevuolskávttjá,Schnurrbart
69,Schnurrbart::N,seamu,Schnurrbart
70,Schnurrbart::N,siämu,Schnurrbart
71,Schnurrbart::N,ää´bben,Schnurrbart
72,Schnurrbart::N,о̄а̄бпан,Schnurrbart
73,Bart::N,skaavtja,Bart
74,Bart::N,skaavtjoe,Bart
75,Bart::N,skávttjá,Bart
76,Bart::N,seamu,Bart
77,Bart::N,siämu,Bart
78,Bart::N,seäm,Bart
79,Bart::N,ся̄м,Bart
80,Kinn::N,gaejpie,Kinn
81,Kinn::N,gájbbe,Kinn
82,Kinn::N,gáibi,Kinn
83,Kinn::N,käibi,Kinn
84,Kinn::N,käi´bb,Kinn
85,Kinn::N,ка̄ййп,Kinn
86,Kiefer[Anatomie]::N,gaejpie,Kiefer
