,Concept_ID,uk,la
0,Auge::N,око,oculus
1,Ohr::N,вухо,auris
2,Nase::N,ніс,nasus
3,Mund::N,рот,os
4,Zahn::N,зуб,dens
5,Zunge::N,язик,lingua
6,Lippe::N,губа,labrum
7,Wange::N,щока,gena
8,Gesicht::N,обличчя,vultus
9,Stirn::N,лоб,frons
10,Haar::N,волосся,capillus
11,Schnurrbart::N,вуса,barba labri superioris
12,Bart::N,борода,barba
13,Kinn::N,підборіддя,mentum
14,Kiefer[Anatomie]::N,щелепа,mala
15,Kehle::N,горло,iugulums
16,Hals::N,шия,collum
17,Genick::N,потилиця,cervices
18,Kopf::N,голова,caput
19,Rücken::N,спина,tergum
20,Bauch::N,живіт,venter
21,Nabel::N,пупок,umbilicus
22,Busen::N,груди,sinus
23,Brust::N,груди,pectus
24,Schulter::N,плече,umerus
25,Arm::N,рука,bracchium
26,Ellenbogen::N,лікоть,cubitum
27,Hand::N,рука,manus
28,Handfläche::N,долоня,palma
29,Finger::N,палець,digitus
30,Fingernagel::N,ніготь,unguiculus
31,Nagel[Anatomie]::N,ніготь,unguis
32,Zeh::N,палець на нозі,digitus
33,Fuß::N,нога,pes
34,Ferse::N,п’ятка,calx
35,Knie::N,коліно,genu
36,Oberschenkel::N,стегно,femur
37,Bein::N,нога,crus
38,Körper::N,тіло,corpus
39,Haut::N,шкіра,cutis
40,Haut::N,шкіра,pellis
41,Blut::N,кров,sanguis
42,Ader::N,вена,vena
43,Sehne::N,сухожилля,nervus
44,Knochen::N,кістка,os
45,Gehirn::N,мозок,cerebrum
46,Herz::N,серце,cor
47,Herz::N,серце,animus
48,Magen::N,шлунок,stomachus
49,Leber::N,печінка,iecur
50,Atem::N,дихання,spiritus
51,Hunger::N,голод,fames
52,Träne::N,сльоза,lacrima
53,Geschmack::N,смак,sapor
54,Geschmack::N,смак,gustus
55,Geruch::N,запах,odor
56,Schlaf::N,сон,somnus
57,Schlaf::N,сплячка,somnus
58,Traum::N,сон,somnium
59,Himmel::N,небо,caelum
60,Sonne::N,сонце,sol
61,Mond::N,місяць,luna
62,Stern::N,зірка,sidus
63,Stern::N,зірка,stella
64,Luft::N,повітря,aer
65,Wind::N,вітер,ventus
66,Welle::N,хвиля,unda
67,Wasser::N,вода,aqua
68,Stein::N,камінь,lapis
69,Boden::N,ґрунт,solum
70,Erde::N,земля,terra
71,Staub::N,пил,pulvis
72,Rauch::N,дим,fumus
73,Funke::N,іскра,scintilla
74,Feuer::N,вогонь,ignis
75,Licht::N,світло,lux
76,Licht::N,світло,lumen
77,Schatten::N,тінь,umbra
78,Wetter::N,погода,caelum
79,Wetter::N,погода,tempestas
80,Nebel::N,туман,nebula
81,Wolke::N,хмара,nubes
82,Regen::N,дощ,imber
83,Regen::N,дощ,pluvia
84,Schnee::N,сніг,nix
85,Eis::N,лід,glacies
86,Frost::N,мороз,gelu
87,Kälte::N,холод,frigus
88,Hitze::N,жар,calor
89,Hitze::N,жар,aestus
90,Raureif::N,іній,pruina
91,Regenbogen::N,райдуга,arcus
92,Donner::N,грім,tonitrus
93,Strömung::N,струмина,fluctus
94,Tropfen::N,крапля,gutta
95,Schaum::N,піна,spuma
96,Schmutz::N,бруд,sordes
97,Schmutz::N,бруд,squalor
98,See::N,озеро,lacus
99,Sumpf::N,драговина,palus
100,Moor::N,болото,palus
101,Wiese::N,луг,pratum
102,Wiese::N,лука,pratum
103,Wald::N,ліс,silva
104,Hügel::N,горб,collis
105,Anhöhe::N,височина,specula
106,Berg::N,гора,mons
107,Gipfel::N,вершина,vertex
108,Höhle::N,печера,caverna
109,Höhle::N,печера,spelunca
110,Abhang::N,схил,declivum
111,Quelle::N,джерело,fons
112,Bach::N,струмок,rivus
113,Fluss::N,річка,flumen
114,Ufer::N,берег,ripa
115,Küste::N,узбережжя,litus
116,Festland::N,суша,continens
117,Meer::N,море,mare
118,Bucht::N,бухта,sinus
119,Bucht::N,затока,sinus
120,Insel::N,острів,insula
121,Blume::N,квітка,flos
122,Gras::N,трава,herba
123,Gras::N,трава,gramen
124,Wurzel::N,корінь,radix
125,Baum::N,дерево,arbor
126,Stamm::N,стовбур,truncus
127,Rinde::N,кора,cortex
128,Ast::N,гілка,ramus
129,Zweig::N,галузь,ramus
130,Blatt::N,лист,folium
131,Birke::N,береза,betulla
132,Kiefer[Baum]::N,сосна,pinus
133,Weide[Baum]::N,верба,salix
134,Tanne::N,ялиця,abies
135,Horn::N,ріг,cornu
136,Feder::N,перо,penna
137,Fell::N,хутро,pellis
138,Flügel::N,крило,ala
139,Klaue::N,кіготь,unguis
140,Kralle::N,лапа,unguis
141,Schwanz::N,хвіст,cauda
142,Ei::N,яйце,ovum
143,Nest::N,гніздо,nidus
144,Bau::N,лігво,cavum
145,Bau::N,лігво,latibulum
146,Tier::N,тварина,bestia
147,Herde::N,стадо,grex
148,Kuh::N,корова,vacca
149,Bulle::N,бик,taurus
150,Bulle::N,бугай,taurus
151,Pferd::N,кінь,equus
152,Schaf::N,вівця,ovis
153,Schwein::N,свиня,sus
154,Schwein::N,свиня,porcus
155,Hund::N,собака,canis
156,Katze::N,кішка,felis
157,Bär::N,ведмідь,ursus
158,Eichhörnchen::N,білка,sciurus
159,Elch::N,лось,alces
160,Fuchs::N,лисиця,vulpes
161,Hase::N,заєць,lepus
162,Maus::N,миша,mus
163,Wolf::N,вовк,lupus
164,Vogel::N,птах,avis
165,Schwarm::N,зграя,examen
166,Huhn::N,курка,gallina
167,Hahn::N,півень,gallus
168,Gans::N,гуска,anser
169,Adler::N,орел,aquila
170,Ente::N,качка,anas
171,Eule::N,сова,ulula
172,Eule::N,сова,noctua
173,Kranich::N,журавель,grus
174,Krähe::N,ворона,cornix
175,Kuckuck::N,зозуля,cuculus
176,Schwan::N,лебідь,olor
177,Schwan::N,лебідь,cycnus
178,Fisch::N,риба,piscis
179,Barsch::N,окунь,perca
180,Hecht::N,щука,esox
181,Schlange[Tier]::N,змія,serpens
182,Wurm::N,черв’як,vermis
183,Spinne::N,павук,aranea
184,Ameise::N,мурашка,formica
185,Laus::N,воша,pediculus
186,Mücke::N,комар,culex
187,Fliege::N,муха,musca
188,Schmetterling::N,метелик,papilio
189,Beere::N,ягода,baca
190,Apfel::N,яблуко,malum
191,Pilz::N,гриб,fungus
192,Zwiebel::N,цибуля,cepa
193,Saat::N,сім’я,seges
194,Korn::N,зерно,granum
195,Heu::N,сіно,faenum
196,Schale::N,шкірка,putamen
197,Grube::N,яма,fovea
198,Falle::N,пастка,pedica
199,Schlinge::N,петля,laqueus
200,Spur::N,слід,vestigium
201,Asche::N,зола,cinis
202,Asche::N,попіл,cinis
203,Dreck::N,бруд,lutum
204,Eisen::N,залізо,ferrum
205,Gold::N,золото,aurum
206,Silber::N,срібло,argentum
207,Kohle::N,вугілля,carbo
208,Glas::N,скло,vitrum
209,Lehm::N,глина,lutum
210,Sand::N,пісок,arena
211,Mensch::N,людина,homo
212,Mann::N,чоловік,vir
213,Frau::N,жінка,mulier
214,Kind::N,дитина,puer
215,Kind::N,дитина,infans
216,Junge::N,хлопець,puer
217,Mädchen::N,дівчина,puella
218,Familie::N,сім’я,familia
219,Familie::N,родина,familia
220,Großvater::N,дідусь,avus
221,Großmutter::N,бабуся,avia
222,Eltern::N,батьки,parentes
223,Vater::N,батько,pater
224,Mutter::N,мати,mater
225,Sohn::N,син,filius
226,Tochter::N,дочка,filia
227,Bruder::N,брат,frater
228,Schwester::N,сестра,soror
229,Onkel::N,дядько,patruus
230,Onkel::N,дядько,avunculus
231,Tante::N,тітка,amita
232,Ehemann::N,чоловік,maritus
233,Ehefrau::N,жінка,uxor
234,Ehefrau::N,дружина,uxor
235,Freude::N,радощі,gaudium
236,Freude::N,радощі,laetitia
237,Gelächter::N,сміх,risus
238,Glück::N,щастя,felicitas
239,Kummer::N,горе,aegritudo
240,Wunsch::N,бажання,voluntas
241,Wunsch::N,бажання,desiderium
242,Lust::N,бажання,libido
243,Lust::N,бажання,voluptas
244,Geist::N,дух,mens
245,Geist::N,дух,animus
246,Gedanke::N,думка,sententia
247,Gedächtnis::N,пам’ять,memoria
248,Verstand::N,розум,ratio
249,Verstand::N,розум,ingenium
250,Sinn::N,зміст,sensus
251,Sinn::N,значення,sensus
252,Grund::N,причина,causa
253,Wahrheit::N,правда,veritas
254,Gespräch::N,розмова,sermo
255,Märchen::N,байка,fabula
256,Erzählung::N,повість,fabula
257,Erzählung::N,повість,narratio
258,Erzählung::N,оповідання,fabula
259,Erzählung::N,оповідання,narratio
260,Nachricht::N,повідомлення,nuntius
261,Neuigkeit::N,новина,novitas
262,Name::N,ім’я,nomen
263,Rätsel::N,загадка,aenigma
264,Rede::N,промова,oratio
265,Sprache::N,мова,lingua
266,Stimme::N,голос,vox
267,Wort::N,слово,verbum
268,Wort::N,слово,vocabulum
269,Zeichen::N,знак,signum
270,Ruf::N,оклик,clamor
271,Lärm::N,шум,strepitus
272,Laut::N,звук,sonus
273,Ton::N,тон,sonus
274,Lied::N,пісня,carmen
275,Ruhe::N,спокій,quies
276,Leute::N,люди,homines
277,Volk::N,народ,populus
278,Arbeit::N,робота,labor
279,Gast::N,гість,hospes
280,Gast::N,гість,conviva
281,Geschenk::N,подарунок,munus
282,Spiel::N,гра,ludus
283,Gesellschaft::N,товариство,societas
284,Hilfe::N,допомога,auxilium
285,Hilfe::N,допомога,subsidium
286,Freund::N,друг,amicus
287,Freund::N,приятель,amicus
288,Kamerad::N,товариш,socius
289,Angelegenheit::N,справа,res
290,Anzahl::N,число,numerus
291,Art::N,рід,genus
292,Stück::N,кусок,frustum
293,Stück::N,кусок,fragmentum
294,Teil::N,частина,pars
295,Hälfte::N,половина,dimidium
296,Kreis::N,круг,orbis
297,Kreis::N,круг,circus
298,Kreis::N,коло,orbis
299,Kreis::N,коло,circus
300,Kreuz::N,хрест,crux
301,Linie::N,лінія,linea
302,Strich::N,штрих,lineamentum
303,Abstand::N,проміжок,intervallum
304,Entfernung::N,відстань,spatium
305,Gegend::N,місцевість,loca
306,Gegend::N,місцевість,regio
307,Platz::N,площа,locus
308,Ort::N,місце,locus
309,Seite::N,сторона,latus
310,Mitte::N,середина,medium
311,Gegenstand::N,предмет,res
312,Sache::N,річ,res
313,Rand::N,край,margo
314,Kante::N,ребро,angulus
315,Ecke::N,ріг,angulus
316,Spitze::N,кінчик,cacumen
317,Ende::N,кінець,caput
318,Loch::N,діра,foramen
319,Winkel::N,куток,angulus
320,Muster::N,узор,exemplum
321,Größe::N,розмір,magnitudo
322,Länge::N,довжина,longitudo
323,Höhe::N,висота,altitudo
324,Gewicht::N,вага,pondus
325,Menge::N,кількість,copia
326,Haufen::N,купа,acervus
327,Reihe::N,ряд,ordo
328,Boot::N,човен,navicula
329,Ruder::N,весло,remus
330,Schlitten::N,сани,sclodia
331,Ski::N,лижа,narta
332,Lagerfeuer::N,вогнище,ignis
333,Last::N,тягар,onus
334,Last::N,вантаж,onus
335,Gang::N,хід,cursus
336,Schritt::N,крок,gradus
337,Norden::N,північ,septentriones
338,Süden::N,південь,meridies
339,Westen::N,захід,occidens
340,Osten::N,схід,oriens
341,Holz::N,дрова,lignum
342,Brett::N,дошка,tabula
343,Platte::N,плита,lamina
344,Stütze::N,підпірка,adminiculum
345,Stange::N,жердина,pertica
346,Stock::N,палиця,baculum
347,Stab::N,палиця,scipio
348,Rohr::N,труба,tubus
349,Haus::N,дім,aedes
350,Haus::N,хата,aedes
351,Heim::N,житло,domicilium
352,Ofen::N,піч,fornax
353,Fußboden::N,підлога,solum
354,Tisch::N,стіл,mensa
355,Stuhl::N,стілець,sella
356,Wiege::N,колиска,cunae
357,Bett::N,ліжко,lectus
358,Bett::N,постіль,lectus
359,Regal::N,полиця,foruli
