,Concept_ID,sv,no
0,Auge::N,öga,øye
1,Ohr::N,öra,øre
2,Nase::N,näsa,nese
3,Mund::N,mun,munn
4,Zahn::N,tand,tann
5,Zunge::N,tunga,tunge
6,Lippe::N,läpp,leppe
7,Wange::N,kind,kinn
8,Gesicht::N,syn,fjes
9,Gesicht::N,syn,ansikt
10,Gesicht::N,ansikte,fjes
11,Gesicht::N,ansikte,ansikt
12,Stirn::N,panna,panne
13,Haar::N,hår,hår
14,Schnurrbart::N,mustasch,bart
15,Bart::N,skägg,skjegg
16,Kinn::N,haka,hake
17,Kiefer[Anatomie]::N,käke,kjeve
18,Kehle::N,strupe,strupe
19,Hals::N,hals,hals
20,Genick::N,nacke,nakke
21,Kopf::N,huvud,hode
22,Rücken::N,rygg,rygg
23,Bauch::N,buk,buk
24,Bauch::N,buk,mage
25,Bauch::N,mage,buk
26,Bauch::N,mage,mage
27,Nabel::N,navel,navle
28,Busen::N,barm,barm
29,Brust::N,bröst,bryst
30,Schulter::N,skuldra,skulder
31,Arm::N,arm,arm
32,Ellenbogen::N,armbåge,albue
33,Hand::N,hand,hånd
34,Handfläche::N,handflata,håndflate
35,Finger::N,finger,finger
36,Fingernagel::N,fingernagel,fingernegl
37,Nagel[Anatomie]::N,nagel,negl
38,Zeh::N,tå,tå
39,Fuß::N,fot,fot
40,Ferse::N,häl,hæl
41,Knie::N,knä,kne
42,Oberschenkel::N,lår,lår
43,Bein::N,ben,bein
44,Körper::N,kropp,kropp
45,Körper::N,kropp,legeme
46,Haut::N,hud,hud
47,Haut::N,hud,skinn
48,Haut::N,skinn,hud
49,Haut::N,skinn,skinn
50,Blut::N,blod,blod
51,Ader::N,åder,åre
52,Sehne::N,sena,sene
53,Knochen::N,ben,bein
54,Knochen::N,ben,knokkel
55,Gehirn::N,hjärna,hjerne
56,Herz::N,hjärta,hjerte
57,Magen::N,mage,mage
58,Leber::N,lever,lever
59,Atem::N,anda,pust
60,Atem::N,andedräkt,pust
61,Hunger::N,svält,sult
62,Hunger::N,hunger,sult
63,Träne::N,tår,tåre
64,Geschmack::N,smak,smak
65,Geruch::N,lukt,lukt
66,Schlaf::N,sömn,søvn
67,Traum::N,dröm,drøm
68,Himmel::N,himmel,himmel
69,Sonne::N,sol,sol
70,Mond::N,måne,måne
71,Stern::N,stjärna,stjerne
72,Luft::N,luft,luft
73,Wind::N,vind,vind
74,Welle::N,våg,bølge
75,Welle::N,bölja,bølge
76,Wasser::N,vatten,vann
77,Stein::N,sten,stein
78,Boden::N,mark,bakke
79,Erde::N,jord,jord
80,Staub::N,damm,støv
81,Rauch::N,rök,røyk
82,Funke::N,gnista,gnist
83,Feuer::N,eld,ild
84,Licht::N,ljus,lys
85,Schatten::N,skugga,skygge
86,Wetter::N,väder,vær
87,Nebel::N,dimma,tåke
88,Nebel::N,töcken,tåke
89,Wolke::N,sky,sky
90,Wolke::N,moln,sky
91,Regen::N,regn,regn
92,Schnee::N,snö,snø
93,Eis::N,is,is
94,Frost::N,frost,frost
95,Kälte::N,köld,kulde
96,Hitze::N,hetta,hete
97,Raureif::N,rimfrost,rimfrost
98,Regenbogen::N,regnbåge,regnbue
99,Donner::N,åska,torden
100,Donner::N,dunder,torden
101,Strömung::N,strömning,strømning
102,Tropfen::N,dropper,dråpe
103,Schaum::N,skum,skum
104,Schmutz::N,lort,søl
105,Schmutz::N,lort,skitt
106,Schmutz::N,smuts,søl
107,Schmutz::N,smuts,skitt
108,See::N,sjö,sjø
109,Sumpf::N,träsk,sump
110,Sumpf::N,träsk,myrlende
111,Moor::N,myr,myr
112,Moor::N,myr,myrhei
113,Moor::N,mosse,myr
114,Moor::N,mosse,myrhei
115,Wiese::N,äng,eng
116,Wald::N,skog,skog
117,Hügel::N,höjd,haug
118,Hügel::N,höjd,bakke
119,Hügel::N,kulle,haug
120,Hügel::N,kulle,bakke
121,Anhöhe::N,höjd,haug
122,Anhöhe::N,höjd,bakke
123,Anhöhe::N,backe,haug
124,Anhöhe::N,backe,bakke
125,Berg::N,berg,berg
126,Berg::N,berg,fjell
127,Berg::N,fjäll,berg
128,Berg::N,fjäll,fjell
129,Gipfel::N,topp,topp
130,Höhle::N,håla,hule
131,Höhle::N,grotta,hule
132,Abhang::N,slänt,li
133,Abhang::N,slänt,skråning
134,Abhang::N,sluttning,li
135,Abhang::N,sluttning,skråning
136,Quelle::N,källa,kilde
137,Bach::N,bäck,bekk
138,Fluss::N,älv,elv
139,Fluss::N,flod,elv
140,Ufer::N,strand,bredd
141,Küste::N,kust,kyst
142,Festland::N,fastland,fastland
143,Meer::N,hav,hav
144,Bucht::N,vik,bukt
145,Bucht::N,bukt,bukt
146,Insel::N,ö,øy
147,Blume::N,blomma,blomst
148,Blume::N,blomster,blomst
149,Gras::N,gräs,gress
150,Wurzel::N,rot,rot
151,Baum::N,träd,tre
152,Stamm::N,stam,stamme
153,Rinde::N,bark,bark
154,Ast::N,gren,gren
155,Zweig::N,kvist,kvist
156,Blatt::N,löv,blad
157,Blatt::N,blad,blad
158,Birke::N,björk,bjørk
159,Kiefer[Baum]::N,tall,furu
160,Weide[Baum]::N,pil,selje
161,Weide[Baum]::N,pil,piletre
162,Weide[Baum]::N,vide,selje
163,Weide[Baum]::N,vide,piletre
164,Tanne::N,gran,gran
165,Horn::N,horn,horn
166,Feder::N,fjäder,fjær
167,Fell::N,fäll,skinn
168,Fell::N,skinn,skinn
169,Flügel::N,vinge,vinge
170,Klaue::N,klöv,klauv
171,Kralle::N,klo,klo
172,Schwanz::N,svans,hale
173,Schwanz::N,stjärt,hale
174,Ei::N,ägg,egg
175,Nest::N,rede,rede
176,Nest::N,näste,rede
177,Bau::N,bo,hi
178,Tier::N,djur,dyr
179,Herde::N,flock,flokk
180,Kuh::N,ko,ku
181,Bulle::N,tjur,tyr
182,Pferd::N,häst,hest
183,Schaf::N,får,får
184,Schwein::N,svin,gris
185,Hund::N,hund,hund
186,Katze::N,katt,katt
187,Bär::N,björn,bjørn
188,Eichhörnchen::N,ekorre,ekorn
189,Elch::N,älg,elg
190,Fuchs::N,räv,rev
191,Hase::N,hare,hare
192,Maus::N,mus,mus
193,Wolf::N,varg,ulv
194,Wolf::N,varg,varg
