,Concept_ID,tt,ko
0,Auge::N,күз,눈
1,Ohr::N,колак,귀
2,Nase::N,борын,코
3,Mund::N,авыз,입
4,Mund::N,тамак,입
5,Zahn::N,теш,이
6,Zunge::N,тел,혀
7,Lippe::N,ирен,입술
8,Wange::N,яңак,뺨
9,Gesicht::N,йөз,얼굴
10,Stirn::N,маңгай,이마
11,Haar::N,чәч,털
12,Schnurrbart::N,мыек,윗수몀
13,Schnurrbart::N,мыек,코밑수염
14,Bart::N,сакал,수엄
15,Kinn::N,ияк,아래턱
16,Kiefer[Anatomie]::N,казналык,턱
17,Kehle::N,тамак,인후
18,Hals::N,бугаз,목
19,Genick::N,җилкә,먹덜이
20,Kopf::N,баш,머리
21,Rücken::N,сырт,든
22,Bauch::N,корсак,배
23,Nabel::N,кендек,배꼽
24,Busen::N,түш,가슴속
25,Brust::N,имчәк,가슴
26,Brust::N,күкрәк,가슴
27,Schulter::N,иңбаш,어깨
28,Schulter::N,кулбаш,어깨
29,Arm::N,кул,팔
30,Ellenbogen::N,терсәк,팔쿰치
31,Hand::N,кул,손
32,Handfläche::N,уч,손바닥
33,Finger::N,бармак,속가락
34,Fingernagel::N,тырнак,손톱
35,Nagel[Anatomie]::N,тырнак,손톱
36,Zeh::N,бармак,발가락
37,Fuß::N,табан,발
38,Ferse::N,үкчә,발꿈치
39,Knie::N,тез,무릎
40,Oberschenkel::N,бот,허벅다리
41,Bein::N,аяк,다리
42,Körper::N,тән,구간
43,Körper::N,җисем,구간
44,Haut::N,тире,살갗
45,Blut::N,кан,피
46,Ader::N,тамыр,정맥
47,Sehne::N,сеңер,현
48,Knochen::N,сөяк,뼈
49,Gehirn::N,ми,뇌
50,Gehirn::N,ми,뇌수
51,Herz::N,йөрәк,염통
52,Magen::N,ашказаны,위
53,Leber::N,бавыр,간
54,Atem::N,сулыш,기식
55,Hunger::N,ачлык,공복
56,Träne::N,яшь,눈물
57,Geschmack::N,тәм,기호
58,Geschmack::N,зәвык,기호
59,Geruch::N,ис,냄새
60,Schlaf::N,йокы,수면
61,Traum::N,төш,쿰
62,Himmel::N,күк,하늘
63,Sonne::N,кояш,해
64,Mond::N,ай,달
65,Stern::N,йолдыз,별
66,Luft::N,һава,동준
67,Luft::N,һава,가스채
68,Wind::N,җил,바람
69,Welle::N,дулкын,물결
70,Wasser::N,су,물
71,Stein::N,таш,돌
72,Boden::N,туфрак,바닥
73,Erde::N,җир,흙
74,Staub::N,тузан,먼지
75,Rauch::N,төтен,연기
76,Funke::N,очкын,불티
77,Feuer::N,ут,불
78,Licht::N,якты,불
79,Schatten::N,күләгә,어스레함
80,Wetter::N,һава,기상
81,Nebel::N,томан,안개
82,Wolke::N,болыт,구름
83,Regen::N,яңгыр,비
84,Schnee::N,кар,눈
85,Eis::N,боз,얼음
86,Frost::N,суык,혹한
87,Frost::N,салкын,혹한
88,Kälte::N,суык,추위
89,Kälte::N,суык,차가움
90,Kälte::N,салкын,추위
91,Kälte::N,салкын,차가움
92,Hitze::N,эсселек,고온
93,Hitze::N,эсселек,더위
94,Raureif::N,бәс,
95,Raureif::N,сыкы,
96,Regenbogen::N,салават күпере,무지개
97,Donner::N,күкрәү,뇌명
98,Strömung::N,агыш'агым,유동
99,Tropfen::N,тамчы,물방울
100,Schaum::N,күбек,포말
101,Schmutz::N,пычрак,때
102,See::N,күл,호수
103,Sumpf::N,саз,습지
104,Moor::N,торфлык,저습지
105,Wiese::N,болын,목초지
106,Wald::N,урман,숲
107,Hügel::N,калку,언덕
108,Anhöhe::N,үр,언덕
109,Berg::N,тау,산
110,Gipfel::N,оч,졀졍
111,Höhle::N,мәгарә,공동
112,Abhang::N,кабырга,몰매
113,Quelle::N,чишмә,근원
114,Bach::N,елга,내
115,Fluss::N,дәрья,강
116,Ufer::N,су кырые,강변
117,Ufer::N,су кырые,바닷가
118,Küste::N,яр буе,해변
119,Küste::N,яр буе,해변가
120,Festland::N,коры җир,본토
121,Meer::N,диңгез,바다
122,Bucht::N,бухта,협만
123,Bucht::N,култык,협만
124,Insel::N,атау,섬
125,Insel::N,утрау,섬
126,Blume::N,чәчкә,꽃
127,Gras::N,үлән,풀
128,Wurzel::N,тамыр,뿌리
129,Baum::N,агач,나무
130,Stamm::N,кәүсә,대
131,Rinde::N,кабык,나무껍질
132,Ast::N,ботак,가지
133,Zweig::N,ботак,가지
134,Zweig::N,тармак,가지
135,Blatt::N,яфрак,잎
136,Birke::N,каен,자작나무
137,Kiefer[Baum]::N,нарат,소나무
138,Weide[Baum]::N,тал,쉬양버들
139,Tanne::N,чыршы,전나무
140,Horn::N,мөгез,뿔
141,Feder::N,йон,깃털
142,Fell::N,тире,피혁모피
143,Flügel::N,канат,날개
144,Klaue::N,тырнак,갈고리 발톺
145,Kralle::N,тырнак,발툭
146,Schwanz::N,койрык,꼬리
147,Ei::N,күкәй,알
148,Ei::N,йомырка,알
149,Nest::N,оя,보금자리
150,Bau::N,өн,굴
151,Tier::N,хайван,짐승
152,Herde::N,көтү,가축의떼
153,Kuh::N,сыер,암소
154,Bulle::N,үгез,황소
155,Pferd::N,ат,말
156,Schaf::N,сарык,양
